,Day-ahead demand forecast1
20191016T14-05,41881
20191016T13-05,41666
20191016T12-05,41530
20191016T11-05,41017
20191016T10-05,40376
20191016T09-05,39840
20191016T08-05,39962
20191016T07-05,38831
20191016T06-05,35828
20191016T05-05,34224
20191016T04-05,33966
20191016T03-05,34594
20191016T02-05,35914
20191016T01-05,37943
20191016T00-05,40818
20191015T23-05,44471
20191015T22-05,48338
20191015T21-05,51256
20191015T20-05,53246
20191015T19-05,54240
20191015T18-05,56132
20191015T17-05,57187
20191015T16-05,56864
20191015T15-05,55350
20191015T14-05,53673
20191015T13-05,51342
20191015T12-05,48910
20191015T11-05,46286
20191015T10-05,44075
20191015T09-05,42088
20191015T08-05,41780
20191015T07-05,40203
20191015T06-05,36985
20191015T05-05,35592
20191015T04-05,35187
20191015T03-05,35782
20191015T02-05,36735
20191015T01-05,38322
20191015T00-05,39145
20191014T23-05,42207
20191014T22-05,45271
20191014T21-05,47416
20191014T20-05,48418
20191014T19-05,48402
20191014T18-05,49215
20191014T17-05,49453
20191014T16-05,48714
20191014T15-05,47484
20191014T14-05,46003
20191014T13-05,44230
20191014T12-05,42511
20191014T11-05,40754
20191014T10-05,39066
20191014T09-05,37535
20191014T08-05,37111
20191014T07-05,35655
20191014T06-05,32710
20191014T05-05,31047
20191014T04-05,30669
20191014T03-05,30953
20191014T02-05,31855
20191014T01-05,33192
20191014T00-05,33809
20191013T23-05,36158
20191013T22-05,38304
20191013T21-05,39771
20191013T20-05,40395
20191013T19-05,39427
20191013T18-05,39689
20191013T17-05,39340
20191013T16-05,38488
20191013T15-05,37562
20191013T14-05,36790
20191013T13-05,35809
20191013T12-05,34864
20191013T11-05,33931
20191013T10-05,32750
20191013T09-05,31205
20191013T08-05,30182
20191013T07-05,29262
20191013T06-05,28733
20191013T05-05,28601
20191013T04-05,28858
20191013T03-05,29321
20191013T02-05,30125
20191013T01-05,31273
20191013T00-05,32210
20191012T23-05,34181
20191012T22-05,36027
20191012T21-05,37370
20191012T20-05,37926
20191012T19-05,37370
20191012T18-05,37740
20191012T17-05,37630
20191012T16-05,37263
20191012T15-05,37013
20191012T14-05,36957
20191012T13-05,37226
20191012T12-05,37354
20191012T11-05,37248
20191012T10-05,36518
20191012T09-05,35236
