,Day-ahead demand forecast
20191022T13Z,14760
20191022T12Z,13358
20191022T11Z,13254
20191022T10Z,12392
20191022T09Z,11645
20191022T08Z,11522
20191022T07Z,11958
20191022T06Z,12358
20191022T05Z,12974
20191022T04Z,13846
20191022T03Z,15136
20191022T02Z,16557
20191022T01Z,17706
20191022T00Z,18659
20191021T23Z,19023
20191021T22Z,19586
20191021T21Z,20262
20191021T20Z,20604
20191021T19Z,20799
20191021T18Z,20089
20191021T17Z,19417
20191021T16Z,18413
20191021T15Z,17156
20191021T14Z,15759
20191021T13Z,14224
20191021T12Z,13067
20191021T11Z,12858
20191021T10Z,11948
20191021T09Z,11244
20191021T08Z,11057
20191021T07Z,11288
20191021T06Z,11852
20191021T05Z,12597
20191021T04Z,13196
20191021T03Z,14485
20191021T02Z,15828
20191021T01Z,16874
20191021T00Z,17855
20191020T23Z,18298
20191020T22Z,18878
20191020T21Z,19739
20191020T20Z,20042
20191020T19Z,19642
20191020T18Z,19201
20191020T17Z,18749
20191020T16Z,17915
20191020T15Z,16750
20191020T14Z,15547
20191020T13Z,14004
20191020T12Z,12294
20191020T11Z,11763
20191020T10Z,11444
20191020T09Z,11365
20191020T08Z,11583
20191020T07Z,11815
20191020T06Z,12357
20191020T05Z,12960
20191020T04Z,13254
20191020T03Z,14198
20191020T02Z,15152
20191020T01Z,15921
20191020T00Z,16595
20191019T23Z,16923
20191019T22Z,17360
20191019T21Z,18023
20191019T20Z,18461
20191019T19Z,18544
20191019T18Z,18890
20191019T17Z,18491
20191019T16Z,18143
20191019T15Z,17238
20191019T14Z,16336
20191019T13Z,14853
20191019T12Z,12997
20191019T11Z,12363
20191019T10Z,11921
20191019T09Z,11678
20191019T08Z,11684
20191019T07Z,11887
20191019T06Z,12150
20191019T05Z,12886
20191019T04Z,13066
20191019T03Z,14202
20191019T02Z,15246
20191019T01Z,16155
20191019T00Z,17088
20191018T23Z,17286
20191018T22Z,17959
20191018T21Z,18782
20191018T20Z,19434
20191018T19Z,19633
20191018T18Z,19188
20191018T17Z,18532
20191018T16Z,17589
20191018T15Z,16441
20191018T14Z,15172
20191018T13Z,13823
20191018T12Z,12416
20191018T11Z,12299
20191018T10Z,11457
20191018T09Z,10713
20191018T08Z,10677
20191018T07Z,10934
20191018T06Z,11480
20191018T05Z,11894
20191018T04Z,12259
20191018T03Z,13642
20191018T02Z,15067
20191018T01Z,16220
20191018T00Z,17466
20191017T23Z,18055
20191017T22Z,19041
20191017T21Z,20022
20191017T20Z,20374
20191017T19Z,20336
20191017T18Z,19556
20191017T17Z,18872
20191017T16Z,17819
20191017T15Z,16533
20191017T14Z,15155
20191017T13Z,13978
20191017T12Z,12811
20191017T11Z,12689
20191017T10Z,11955
20191017T09Z,11285
20191017T08Z,11183
20191017T07Z,11299
20191017T06Z,10552
20191017T05Z,11823
20191017T04Z,12437
20191017T03Z,13812
20191017T02Z,15355
20191017T01Z,16838
20191017T00Z,18249
20191016T23Z,18874
20191016T22Z,19811
20191016T21Z,20622
20191016T20Z,20952
20191016T19Z,20556
20191016T18Z,19626
20191016T17Z,18810
20191016T16Z,17603
20191016T15Z,16314
20191016T14Z,14997
20191016T13Z,13530
20191016T12Z,12217
20191016T11Z,12154
20191016T10Z,11345
20191016T09Z,10532
20191016T08Z,10402
20191016T07Z,10625
20191016T06Z,10783
20191016T05Z,11505
20191016T04Z,12523
20191016T03Z,13811
20191016T02Z,15238
20191016T01Z,16450
20191016T00Z,17437
20191015T23Z,17815
20191015T22Z,18506
20191015T21Z,19052
20191015T20Z,19480
20191015T19Z,19362
20191015T18Z,19036
20191015T17Z,18309
20191015T16Z,17284
20191015T15Z,16261
20191015T14Z,14944
20191015T13Z,13548
20191015T12Z,12264
20191015T11Z,11952
20191015T10Z,10999
20191015T09Z,10354
20191015T08Z,10231
20191015T07Z,10455
20191015T06Z,11070
20191015T05Z,11777
20191015T04Z,12566
20191015T03Z,13779
20191015T02Z,15247
20191015T01Z,16372
20191015T00Z,17408
20191014T23Z,17706
20191014T22Z,18355
20191014T21Z,18841
20191014T20Z,19055
20191014T19Z,19186
20191014T18Z,18957
20191014T17Z,18282
20191014T16Z,17316
20191014T15Z,16286
20191014T14Z,14890
20191014T13Z,13567
20191014T12Z,12368
20191014T11Z,12002
20191014T10Z,11159
20191014T09Z,10450
20191014T08Z,10354
20191014T07Z,10491
20191014T06Z,10816
20191014T05Z,11632
20191014T04Z,12184
20191014T03Z,13352
20191014T02Z,14675
20191014T01Z,15503
