,Day-ahead demand forecast
20191026T09Z,2052
20191026T08Z,2054
20191026T07Z,2087
20191026T06Z,2152
20191026T05Z,2216
20191026T04Z,2342
20191026T03Z,2458
20191026T02Z,2571
20191026T01Z,2679
20191026T00Z,2783
20191025T23Z,2773
20191025T22Z,2742
20191025T21Z,2757
20191025T20Z,2750
20191025T19Z,2726
20191025T18Z,2651
20191025T17Z,2555
20191025T16Z,2526
20191025T15Z,2460
20191025T14Z,2439
20191025T13Z,2379
20191025T12Z,2368
20191025T11Z,2308
20191025T10Z,2158
20191025T09Z,2047
20191025T08Z,2066
20191025T07Z,2086
20191025T06Z,2083
20191025T05Z,2172
20191025T04Z,2253
20191025T03Z,2398
20191025T02Z,2542
20191025T01Z,2634
20191025T00Z,2701
20191024T23Z,2596
20191024T22Z,2535
20191024T21Z,2536
20191024T20Z,2457
20191024T19Z,2426
20191024T18Z,2430
20191024T17Z,2399
20191024T16Z,2401
20191024T15Z,2432
20191024T14Z,2496
20191024T13Z,2492
20191024T12Z,2520
20191024T11Z,2405
20191024T10Z,2236
20191024T09Z,2102
20191024T08Z,2054
20191024T07Z,2085
20191024T06Z,2055
20191024T05Z,2113
20191024T04Z,2194
20191024T03Z,2341
20191024T02Z,2480
20191024T01Z,2630
20191024T00Z,2679
20191023T23Z,2528
20191023T22Z,2476
20191023T21Z,2453
20191023T20Z,2315
20191023T19Z,2268
20191023T18Z,2296
20191023T17Z,2257
20191023T16Z,2287
20191023T15Z,2359
20191023T14Z,2343
20191023T13Z,2323
20191023T12Z,2328
20191023T11Z,2260
20191023T10Z,2201
20191023T09Z,2094
20191023T08Z,2071
20191023T07Z,2108
20191023T06Z,2139
20191023T05Z,2217
20191023T04Z,2329
20191023T03Z,2543
20191023T02Z,2753
20191023T01Z,2924
20191023T00Z,3018
20191022T23Z,2963
20191022T22Z,2979
20191022T21Z,3024
20191022T20Z,2983
20191022T19Z,2952
20191022T18Z,2925
20191022T17Z,2830
20191022T16Z,2727
20191022T15Z,2608
20191022T14Z,2579
20191022T13Z,2523
20191022T12Z,2518
20191022T11Z,2445
20191022T10Z,2266
20191022T09Z,2144
20191022T08Z,2135
20191022T07Z,2143
20191022T06Z,2187
20191022T05Z,2283
20191022T04Z,2320
20191022T03Z,2486
20191022T02Z,2591
20191022T01Z,2730
20191022T00Z,2803
20191021T23Z,2692
20191021T22Z,2662
20191021T21Z,2681
20191021T20Z,2614
20191021T19Z,2583
20191021T18Z,2545
20191021T17Z,2470
20191021T16Z,2464
20191021T15Z,2402
20191021T14Z,2379
20191021T13Z,2346
20191021T12Z,2356
20191021T11Z,2249
20191021T10Z,2128
20191021T09Z,1989
20191021T08Z,1961
20191021T07Z,1961
20191021T06Z,1994
20191021T05Z,2045
20191021T04Z,2199
20191021T03Z,2385
20191021T02Z,2509
20191021T01Z,2639
20191021T00Z,2770
20191020T23Z,2663
20191020T22Z,2608
20191020T21Z,2614
20191020T20Z,2618
20191020T19Z,2603
20191020T18Z,2607
20191020T17Z,2535
20191020T16Z,2513
20191020T15Z,2451
20191020T14Z,2389
20191020T13Z,2262
20191020T12Z,2198
20191020T11Z,2121
20191020T10Z,2036
20191020T09Z,1972
20191020T08Z,1985
20191020T07Z,2015
20191020T06Z,2080
20191020T05Z,2136
20191020T04Z,2187
20191020T03Z,2299
20191020T02Z,2428
20191020T01Z,2444
20191020T00Z,2501
20191019T23Z,2367
20191019T22Z,2185
20191019T21Z,2226
20191019T20Z,2221
20191019T19Z,2293
20191019T18Z,2341
20191019T17Z,2210
20191019T16Z,2304
20191019T15Z,2341
20191019T14Z,2397
20191019T13Z,2409
20191019T12Z,2348
20191019T11Z,2230
20191019T10Z,2272
20191019T09Z,2132
20191019T08Z,2175
20191019T07Z,2127
20191019T06Z,2165
20191019T05Z,2149
20191019T04Z,2214
20191019T03Z,2354
20191019T02Z,2429
20191019T01Z,2539
20191019T00Z,2627
20191018T23Z,2463
20191018T22Z,2455
20191018T21Z,2497
20191018T20Z,2424
20191018T19Z,2412
20191018T18Z,2434
20191018T17Z,2370
20191018T16Z,2463
20191018T15Z,2459
20191018T14Z,2518
20191018T13Z,2547
20191018T12Z,2546
20191018T11Z,2454
20191018T10Z,2268
20191018T09Z,2131
20191018T08Z,2064
20191018T07Z,2086
20191018T06Z,2102
20191018T05Z,2111
20191018T04Z,2219
20191018T03Z,2380
20191018T02Z,2467
20191018T01Z,2555
20191018T00Z,2648
20191017T23Z,2474
20191017T22Z,2479
20191017T21Z,2450
20191017T20Z,2393
20191017T19Z,2397
20191017T18Z,2351
20191017T17Z,2327
20191017T16Z,2379
20191017T15Z,2362
20191017T14Z,2415
20191017T13Z,2373
20191017T12Z,2378
20191017T11Z,2282
20191017T10Z,2144
20191017T09Z,2018
20191017T08Z,2000
20191017T07Z,2051
20191017T06Z,2081
20191017T05Z,2170
20191017T04Z,2272
20191017T03Z,2448
20191017T02Z,2641
20191017T01Z,2828
20191017T00Z,2969
20191016T23Z,2831
20191016T22Z,2867
20191016T21Z,2888
20191016T20Z,2816
20191016T19Z,2753
20191016T18Z,2727
20191016T17Z,2621
20191016T16Z,2596
20191016T15Z,2515
20191016T14Z,2474
20191016T13Z,2397
20191016T12Z,2407
20191016T11Z,2338
20191016T10Z,2212
20191016T09Z,2091
20191016T08Z,2088
20191016T07Z,2103
20191016T06Z,2095
20191016T05Z,2184
20191016T04Z,2263
20191016T03Z,2447
20191016T02Z,2574
20191016T01Z,2743
20191016T00Z,2865
20191015T23Z,2688
20191015T22Z,2656
20191015T21Z,2659
20191015T20Z,2628
20191015T19Z,2533
20191015T18Z,2523
20191015T17Z,2436
20191015T16Z,2321
20191015T15Z,2277
20191015T14Z,2257
20191015T13Z,2169
20191015T12Z,2144
20191015T11Z,2171
20191015T10Z,2075
20191015T09Z,2056
20191015T08Z,2041
20191015T07Z,2107
20191015T06Z,2152
20191015T05Z,2213
20191015T04Z,2409
20191015T03Z,2616
20191015T02Z,2822
20191015T01Z,2999
20191015T00Z,3124
20191014T23Z,3089
20191014T22Z,3153
20191014T21Z,3187
20191014T20Z,3126
20191014T19Z,3069
20191014T18Z,2958
20191014T17Z,2852
20191014T16Z,2752
20191014T15Z,2665
20191014T14Z,2568
20191014T13Z,2486
20191014T12Z,2452
20191014T11Z,2396
20191014T10Z,2271
20191014T09Z,2152
20191014T08Z,2158
20191014T07Z,2197
20191014T06Z,2231
20191014T05Z,2313
20191014T04Z,2479
20191014T03Z,2675
20191014T02Z,2860
20191014T01Z,2992
20191014T00Z,3134
20191013T23Z,3106
20191013T22Z,3143
20191013T21Z,3226
20191013T20Z,3169
20191013T19Z,3148
20191013T18Z,3027
20191013T17Z,2917
20191013T16Z,2730
20191013T15Z,2596
20191013T14Z,2460
20191013T13Z,2304
20191013T12Z,2178
20191013T11Z,2072
20191013T10Z,2080
20191013T09Z,2041
20191013T08Z,2026
20191013T07Z,2073
20191013T06Z,2097
20191013T05Z,2246
20191013T04Z,2342
20191013T03Z,2498
20191013T02Z,2626
20191013T01Z,2766
20191013T00Z,2875
20191012T23Z,2881
20191012T22Z,3027
20191012T21Z,3023
20191012T20Z,2981
20191012T19Z,2844
20191012T18Z,2760
20191012T17Z,2593
20191012T16Z,2466
20191012T15Z,2401
20191012T14Z,2357
20191012T13Z,2233
20191012T12Z,2139
20191012T11Z,2043
20191012T10Z,2024
20191012T09Z,1969
20191012T08Z,1985
20191012T07Z,2007
20191012T06Z,2034
20191012T05Z,2121
20191012T04Z,2263
20191012T03Z,2416
20191012T02Z,2557
20191012T01Z,2686
20191012T00Z,2781
20191011T23Z,2749
20191011T22Z,2826
20191011T21Z,2842
20191011T20Z,2759
20191011T19Z,2676
20191011T18Z,2558
20191011T17Z,2467
20191011T16Z,2442
20191011T15Z,2395
20191011T14Z,2379
20191011T13Z,2275
20191011T12Z,2287
20191011T11Z,2211
20191011T10Z,2115
20191011T09Z,1999
20191011T08Z,1959
20191011T07Z,2025
20191011T06Z,2050
20191011T05Z,2125
20191011T04Z,2283
20191011T03Z,2461
20191011T02Z,2628
20191011T01Z,2770
20191011T00Z,2876
20191010T23Z,2793
20191010T22Z,2844
20191010T21Z,2840
20191010T20Z,2774
20191010T19Z,2708
20191010T18Z,2625
20191010T17Z,2538
20191010T16Z,2487
20191010T15Z,2423
20191010T14Z,2418
20191010T13Z,2341
20191010T12Z,2374
20191010T11Z,2282
20191010T10Z,2157
20191010T09Z,2049
20191010T08Z,2037
20191010T07Z,2059
20191010T06Z,2118
20191010T05Z,2196
20191010T04Z,2332
20191010T03Z,2556
20191010T02Z,2685
20191010T01Z,2869
20191010T00Z,2980
20191009T23Z,2899
20191009T22Z,2935
20191009T21Z,2937
20191009T20Z,2850
20191009T19Z,2743
20191009T18Z,2662
20191009T17Z,2595
20191009T16Z,2526
20191009T15Z,2372
20191009T14Z,2338
