,coal,natural gas,other,solar,hydro,wind
20191219T13-07,3361,958,72,578.0,56,817
20191219T12-07,3409,1052,72,604.0,56,944
20191219T11-07,3336,1014,54,661.0,57,864
20191219T10-07,3640,974,74,615.0,53,862
20191219T09-07,3878,1335,80,171.0,55,847
20191219T08-07,3939,1411,92,0.0,55,845
20191219T07-07,3936,1222,95,0.0,54,902
20191219T06-07,3886,1123,92,0.0,54,890
20191219T05-07,3867,960,95,0.0,57,967
20191219T04-07,3914,1086,95,0.0,55,837
20191219T03-07,3957,1098,95,0.0,57,784
20191219T02-07,3974,1067,95,0.0,55,691
20191219T01-07,4011,1019,94,0.0,60,556
20191219T00-07,3999,1194,96,0.0,57,539
20191218T23-07,4032,1421,95,0.0,58,528
20191218T22-07,4034,1534,97,0.0,57,619
20191218T21-07,4040,1558,96,0.0,56,658
20191218T20-07,4054,1538,96,0.0,57,660
20191218T19-07,4106,1550,97,0.0,56,586
20191218T18-07,4079,1651,97,0.0,56,476
20191218T17-07,4035,1400,98,39.0,54,641
20191218T16-07,4009,1169,73,232.0,57,813
20191218T15-07,4019,1083,69,390.0,57,838
20191218T14-07,3907,1044,73,468.0,11275,879
20191218T13-07,3805,1029,94,510.0,53,947
20191218T12-07,3895,994,96,582.0,57,971
20191218T11-07,3974,1056,95,606.0,57,999
20191218T10-07,3944,1137,95,563.0,57,993
20191218T09-07,3950,1397,92,160.0,56,959
20191218T08-07,3955,1474,93,0.0,58,1027
20191218T07-07,3925,1214,94,0.0,59,1058
20191218T06-07,3909,1096,95,0.0,58,1060
20191218T05-07,3905,1053,96,0.0,60,1058
20191218T04-07,3896,1037,96,0.0,60,1109
20191218T03-07,3749,998,96,0.0,61,1087
20191218T02-07,3600,1056,97,0.0,57,1039
20191218T01-07,3393,1101,98,0.0,59,980
20191218T00-07,3366,1232,95,0.0,61,930
20191217T23-07,3373,1526,100,0.0,57,994
20191217T22-07,3356,1558,98,0.0,60,1132
20191217T21-07,3342,1608,73,0.0,59,969
20191217T20-07,3366,1640,73,0.0,59,1021
20191217T19-07,3448,1708,72,0.0,60,1038
20191217T18-07,3451,1662,72,1.0,58,981
20191217T17-07,3475,1514,73,161.0,61,952
20191217T16-07,3457,1190,71,604.0,60,859
20191217T15-07,3451,1052,72,698.0,58,947
20191217T14-07,3462,1006,91,633.0,62,922
20191217T13-07,3454,1078,97,587.0,61,927
20191217T12-07,3459,1125,96,614.0,61,1004
20191217T11-07,3496,1118,95,676.0,61,980
20191217T10-07,3447,1220,100,662.0,63,1143
20191217T09-07,3391,1383,96,218.0,65,1193
20191217T08-07,3403,1492,96,7.0,63,1211
20191217T07-07,3409,1233,97,0.0,66,1243
20191217T06-07,3403,1143,97,0.0,64,1279
20191217T05-07,3403,1089,98,0.0,65,1275
20191217T04-07,3416,1065,96,0.0,65,1241
20191217T03-07,3420,1059,99,0.0,64,1235
20191217T02-07,3455,1011,97,0.0,65,1276
20191217T01-07,3488,1059,103,0.0,63,1098
20191217T00-07,3494,1239,105,0.0,66,1091
20191216T23-07,3541,1512,104,0.0,64,1057
20191216T22-07,3551,1642,104,0.0,65,1023
20191216T21-07,3561,1735,106,0.0,64,996
20191216T20-07,3588,1777,104,0.0,65,990
20191216T19-07,3605,1770,106,0.0,63,1038
20191216T18-07,3605,1621,104,0.0,67,1026
20191216T17-07,3483,1397,104,170.0,66,913
20191216T16-07,3228,1051,104,527.0,63,894
20191216T15-07,3039,911,105,519.0,64,955
20191216T14-07,3234,910,105,511.0,62,949
20191216T13-07,3400,940,103,514.0,64,852
20191216T12-07,3596,1047,104,575.0,65,750
20191216T11-07,3652,1083,102,634.0,65,643
20191216T10-07,3656,1088,103,543.0,69,628
20191216T09-07,3690,1424,103,190.0,73,608
20191216T08-07,3710,1529,103,2.0,67,575
20191216T07-07,3738,1333,104,0.0,67,567
