,natural gas
20191207T17-08,591
20191207T16-08,591
20191207T15-08,591
20191207T14-08,593
20191207T13-08,591
20191207T12-08,592
20191207T11-08,591
20191207T10-08,592
20191207T09-08,593
20191207T08-08,593
20191207T07-08,590
20191207T06-08,562
20191207T05-08,560
20191207T04-08,561
20191207T03-08,560
20191207T02-08,561
20191207T01-08,561
20191207T00-08,561
20191206T23-08,560
20191206T22-08,574
20191206T21-08,575
20191206T20-08,575
20191206T19-08,575
20191206T18-08,575
20191206T17-08,576
20191206T16-08,591
20191206T15-08,592
20191206T14-08,590
20191206T13-08,593
20191206T12-08,592
20191206T11-08,591
20191206T10-08,592
20191206T09-08,592
20191206T08-08,591
20191206T07-08,590
20191206T06-08,562
20191206T05-08,562
20191206T04-08,561
20191206T03-08,560
20191206T02-08,561
20191206T01-08,561
20191206T00-08,560
20191205T23-08,562
20191205T22-08,590
20191205T21-08,590
20191205T20-08,591
20191205T19-08,591
20191205T18-08,590
20191205T17-08,591
20191205T16-08,591
20191205T15-08,591
20191205T14-08,591
20191205T13-08,592
20191205T12-08,590
20191205T11-08,591
20191205T10-08,591
20191205T09-08,591
20191205T08-08,590
20191205T07-08,590
20191205T06-08,562
20191205T05-08,560
20191205T04-08,561
20191205T03-08,561
20191205T02-08,561
20191205T01-08,561
20191205T00-08,560
20191204T23-08,562
20191204T22-08,600
20191204T21-08,602
20191204T20-08,602
20191204T19-08,602
20191204T18-08,601
20191204T17-08,602
20191204T16-08,602
20191204T15-08,603
20191204T14-08,602
20191204T13-08,602
20191204T12-08,602
20191204T11-08,601
20191204T10-08,603
20191204T09-08,601
20191204T08-08,604
20191204T07-08,601
20191204T06-08,563
20191204T05-08,562
20191204T04-08,560
20191204T03-08,561
20191204T02-08,561
20191204T01-08,561
20191204T00-08,560
20191203T23-08,562
20191203T22-08,600
20191203T21-08,602
20191203T20-08,602
20191203T19-08,602
20191203T18-08,601
20191203T17-08,602
20191203T16-08,603
20191203T15-08,603
20191203T14-08,603
20191203T13-08,602
20191203T12-08,603
20191203T11-08,602
20191203T10-08,602
20191203T09-08,602
20191203T08-08,605
20191203T07-08,601
20191203T06-08,562
20191203T05-08,562
20191203T04-08,560
20191203T03-08,561
20191203T02-08,561
20191203T01-08,559
20191203T00-08,565
20191202T23-08,567
20191202T22-08,599
20191202T21-08,601
20191202T20-08,600
20191202T19-08,601
20191202T18-08,601
20191202T17-08,602
20191202T16-08,602
20191202T15-08,602
20191202T14-08,601
20191202T13-08,602
20191202T12-08,601
20191202T11-08,601
20191202T10-08,600
20191202T09-08,601
20191202T08-08,601
20191202T07-08,601
20191202T06-08,602
20191202T05-08,598
20191202T04-08,569
20191202T03-08,565
20191202T02-08,566
20191202T01-08,565
20191202T00-08,565
20191201T23-08,566
20191201T22-08,597
20191201T21-08,572
20191201T20-08,598
20191201T19-08,600
20191201T18-08,598
20191201T17-08,572
20191201T16-08,572
20191201T15-08,589
20191201T14-08,571
20191201T13-08,570
20191201T12-08,569
20191201T11-08,571
20191201T10-08,569
20191201T09-08,571
20191201T08-08,585
20191201T07-08,569
20191201T06-08,566
20191201T05-08,564
20191201T04-08,566
20191201T03-08,565
20191201T02-08,565
20191201T01-08,567
20191201T00-08,588
20191130T23-08,590
20191130T22-08,596
20191130T21-08,597
20191130T20-08,602
20191130T19-08,604
20191130T18-08,603
20191130T17-08,603
20191130T16-08,605
20191130T15-08,604
20191130T14-08,605
20191130T13-08,605
20191130T12-08,604
20191130T11-08,602
20191130T10-08,603
20191130T09-08,601
20191130T08-08,593
20191130T07-08,592
20191130T06-08,585
20191130T05-08,586
20191130T04-08,590
20191130T03-08,602
20191130T02-08,598
20191130T01-08,590
20191130T00-08,590
20191129T23-08,591
20191129T22-08,596
20191129T21-08,596
20191129T20-08,595
20191129T19-08,596
20191129T18-08,596
20191129T17-08,597
20191129T16-08,597
20191129T15-08,596
20191129T14-08,597
20191129T13-08,598
20191129T12-08,595
20191129T11-08,596
20191129T10-08,596
20191129T09-08,596
20191129T08-08,597
20191129T07-08,598
20191129T06-08,591
20191129T05-08,590
20191129T04-08,591
20191129T03-08,589
20191129T02-08,591
20191129T01-08,591
20191129T00-08,591
20191128T23-08,591
20191128T22-08,586
20191128T21-08,588
20191128T20-08,587
20191128T19-08,589
20191128T18-08,586
20191128T17-08,586
20191128T16-08,587
20191128T15-08,586
20191128T14-08,586
20191128T13-08,586
20191128T12-08,588
20191128T11-08,586
20191128T10-08,586
20191128T09-08,588
20191128T08-08,587
20191128T07-08,589
20191128T06-08,590
20191128T05-08,592
20191128T04-08,591
20191128T03-08,590
20191128T02-08,589
20191128T01-08,589
20191128T00-08,561
20191127T23-08,563
20191127T22-08,593
20191127T21-08,594
20191127T20-08,594
20191127T19-08,594
20191127T18-08,595
20191127T17-08,590
20191127T16-08,590
20191127T15-08,589
20191127T14-08,590
20191127T13-08,589
20191127T12-08,589
20191127T11-08,593
20191127T10-08,595
20191127T09-08,594
20191127T08-08,595
20191127T07-08,594
20191127T06-08,586
20191127T05-08,586
20191127T04-08,585
20191127T03-08,586
20191127T02-08,585
20191127T01-08,585
20191127T00-08,590
20191126T23-08,591
20191126T22-08,595
20191126T21-08,596
20191126T20-08,595
20191126T19-08,594
20191126T18-08,594
20191126T17-08,595
20191126T16-08,595
20191126T15-08,594
20191126T14-08,595
