,hydro
20191012T18Z,844
20191012T17Z,819
20191012T16Z,790
20191012T15Z,767
20191012T14Z,644
20191012T13Z,645
20191012T12Z,523
20191012T11Z,441
20191012T10Z,454
20191012T09Z,490
20191012T08Z,635
20191012T07Z,599
20191012T06Z,665
20191012T05Z,745
20191012T04Z,776
20191012T03Z,836
20191012T02Z,887
20191012T01Z,770
20191012T00Z,826
20191011T23Z,807
20191011T22Z,833
20191011T21Z,852
20191011T20Z,867
20191011T19Z,854
20191011T18Z,911
20191011T17Z,887
20191011T16Z,891
20191011T15Z,886
20191011T14Z,842
20191011T13Z,623
20191011T12Z,524
20191011T11Z,457
20191011T10Z,450
20191011T09Z,459
20191011T08Z,492
20191011T07Z,514
20191011T06Z,601
20191011T05Z,733
20191011T04Z,706
20191011T03Z,747
20191011T02Z,709
20191011T01Z,663
20191011T00Z,536
20191010T23Z,529
20191010T22Z,551
20191010T21Z,590
20191010T20Z,620
20191010T19Z,779
20191010T18Z,849
20191010T17Z,851
20191010T16Z,933
20191010T15Z,887
20191010T14Z,883
20191010T13Z,685
20191010T12Z,580
20191010T11Z,550
20191010T10Z,706
20191010T09Z,782
20191010T08Z,779
20191010T07Z,778
20191010T06Z,760
20191010T05Z,701
20191010T04Z,831
20191010T03Z,874
20191010T02Z,836
20191010T01Z,787
20191010T00Z,654
20191009T23Z,641
20191009T22Z,653
20191009T21Z,709
20191009T20Z,740
20191009T19Z,743
20191009T18Z,752
20191009T17Z,787
20191009T16Z,824
20191009T15Z,786
20191009T14Z,673
20191009T13Z,577
20191009T12Z,444
20191009T11Z,385
20191009T10Z,374
20191009T09Z,395
20191009T08Z,461
20191009T07Z,689
20191009T06Z,771
20191009T05Z,813
20191009T04Z,812
20191009T03Z,838
20191009T02Z,873
20191009T01Z,769
20191009T00Z,777
20191008T23Z,738
20191008T22Z,756
20191008T21Z,779
20191008T20Z,739
20191008T19Z,761
20191008T18Z,768
20191008T17Z,706
20191008T16Z,616
20191008T15Z,698
20191008T14Z,683
20191008T13Z,523
20191008T12Z,397
20191008T11Z,297
20191008T10Z,274
20191008T09Z,353
20191008T08Z,315
20191008T07Z,301
20191008T06Z,370
20191008T05Z,769
20191008T04Z,804
20191008T03Z,768
20191008T02Z,777
20191008T01Z,822
20191008T00Z,803
20191007T23Z,790
20191007T22Z,813
20191007T21Z,798
20191007T20Z,792
20191007T19Z,808
20191007T18Z,803
20191007T17Z,781
20191007T16Z,704
20191007T15Z,724
20191007T14Z,573
20191007T13Z,260
20191007T12Z,252
20191007T11Z,254
20191007T10Z,263
20191007T09Z,283
20191007T08Z,325
20191007T07Z,415
20191007T06Z,503
20191007T05Z,851
20191007T04Z,918
20191007T03Z,935
20191007T02Z,906
20191007T01Z,888
20191007T00Z,872
20191006T23Z,756
20191006T22Z,782
20191006T21Z,740
20191006T20Z,789
20191006T19Z,816
20191006T18Z,804
20191006T17Z,816
20191006T16Z,748
20191006T15Z,728
20191006T14Z,617
20191006T13Z,343
20191006T12Z,288
20191006T11Z,252
20191006T10Z,278
20191006T09Z,279
20191006T08Z,325
20191006T07Z,628
20191006T06Z,705
20191006T05Z,546
20191006T04Z,570
20191006T03Z,709
20191006T02Z,682
20191006T01Z,638
20191006T00Z,666
20191005T23Z,608
20191005T22Z,580
20191005T21Z,597
20191005T20Z,605
20191005T19Z,624
20191005T18Z,562
20191005T17Z,548
20191005T16Z,492
20191005T15Z,437
20191005T14Z,411
20191005T13Z,557
20191005T12Z,488
20191005T11Z,483
20191005T10Z,484
20191005T09Z,516
20191005T08Z,577
20191005T07Z,663
20191005T06Z,714
20191005T05Z,564
20191005T04Z,647
20191005T03Z,689
20191005T02Z,570
20191005T01Z,600
20191005T00Z,574
20191004T23Z,609
20191004T22Z,593
20191004T21Z,626
20191004T20Z,653
20191004T19Z,584
20191004T18Z,603
20191004T17Z,556
20191004T16Z,579
20191004T15Z,576
20191004T14Z,547
20191004T13Z,621
20191004T12Z,523
20191004T11Z,500
20191004T10Z,490
20191004T09Z,495
20191004T08Z,538
20191004T07Z,559
20191004T06Z,623
20191004T05Z,465
20191004T04Z,382
20191004T03Z,407
20191004T02Z,401
20191004T01Z,413
20191004T00Z,406
20191003T23Z,398
20191003T22Z,401
20191003T21Z,455
20191003T20Z,457
20191003T19Z,441
20191003T18Z,442
20191003T17Z,444
20191003T16Z,425
20191003T15Z,419
20191003T14Z,444
20191003T13Z,552
20191003T12Z,626
20191003T11Z,601
20191003T10Z,626
20191003T09Z,624
20191003T08Z,667
20191003T07Z,363
20191003T06Z,491
20191003T05Z,384
20191003T04Z,384
20191003T03Z,340
20191003T02Z,332
20191003T01Z,327
20191003T00Z,330
20191002T23Z,327
20191002T22Z,327
20191002T21Z,326
20191002T20Z,319
20191002T19Z,345
20191002T18Z,339
20191002T17Z,318
20191002T16Z,331
20191002T15Z,314
20191002T14Z,360
20191002T13Z,363
20191002T12Z,363
20191002T11Z,359
20191002T10Z,345
20191002T09Z,341
20191002T08Z,332
20191002T07Z,485
20191002T06Z,503
20191002T05Z,488
20191002T04Z,491
20191002T03Z,499
20191002T02Z,474
20191002T01Z,488
20191002T00Z,506
20191001T23Z,489
20191001T22Z,494
20191001T21Z,511
20191001T20Z,498
20191001T19Z,490
20191001T18Z,474
20191001T17Z,501
20191001T16Z,528
20191001T15Z,505
20191001T14Z,504
20191001T13Z,469
20191001T12Z,374
20191001T11Z,328
20191001T10Z,308
20191001T09Z,328
20191001T08Z,355
20191001T07Z,368
20191001T06Z,470
20191001T05Z,702
20191001T04Z,709
20191001T03Z,731
20191001T02Z,656
20191001T01Z,609
20191001T00Z,588
20190930T23Z,546
20190930T22Z,548
20190930T21Z,570
20190930T20Z,575
20190930T19Z,594
20190930T18Z,670
20190930T17Z,622
20190930T16Z,634
20190930T15Z,656
20190930T14Z,676
20190930T13Z,417
20190930T12Z,317
20190930T11Z,276
20190930T10Z,256
20190930T09Z,257
20190930T08Z,292
20190930T07Z,359
20190930T06Z,489
20190930T05Z,717
20190930T04Z,794
20190930T03Z,758
20190930T02Z,702
20190930T01Z,656
20190930T00Z,668
20190929T23Z,495
20190929T22Z,559
20190929T21Z,587
20190929T20Z,560
20190929T19Z,608
20190929T18Z,521
20190929T17Z,505
20190929T16Z,441
20190929T15Z,354
20190929T14Z,313
20190929T13Z,246
20190929T12Z,168
20190929T11Z,152
20190929T10Z,156
20190929T09Z,239
20190929T08Z,274
20190929T07Z,267
20190929T06Z,328
20190929T05Z,563
20190929T04Z,595
20190929T03Z,671
20190929T02Z,598
20190929T01Z,563
20190929T00Z,384
20190928T23Z,345
20190928T22Z,495
20190928T21Z,562
20190928T20Z,534
20190928T19Z,587
20190928T18Z,558
20190928T17Z,561
20190928T16Z,556
20190928T15Z,430
20190928T14Z,372
