,coal,natural gas,petroleum,other,solar,hydro,wind
20191106T17Z,267,422,0,48,213,533,101
20191106T16Z,492,453,0,48,112,551,116
20191106T15Z,543,463,0,50,6,608,141
20191106T14Z,294,457,0,51,0,631,136
20191106T13Z,150,454,0,47,0,522,128
20191106T12Z,147,447,0,50,0,505,89
20191106T11Z,147,448,0,49,0,373,81
20191106T10Z,151,437,0,50,0,356,84
20191106T09Z,199,437,0,53,0,354,83
20191106T08Z,245,421,0,50,0,370,81
20191106T07Z,175,439,0,50,0,440,80
20191106T06Z,147,433,0,47,0,516,80
20191106T05Z,147,437,0,47,0,617,81
20191106T04Z,199,444,0,47,0,628,90
20191106T03Z,277,456,0,45,0,673,108
20191106T02Z,168,453,0,45,0,678,130
20191106T01Z,176,440,0,41,1,668,113
20191106T00Z,151,417,0,43,65,529,40
20191105T23Z,146,399,0,43,197,490,24
20191105T22Z,147,412,0,43,211,435,21
20191105T21Z,146,420,0,46,190,421,22
20191105T20Z,147,421,0,47,181,418,15
20191105T19Z,146,443,0,47,193,417,12
20191105T18Z,155,425,0,45,212,487,24
20191105T17Z,310,417,0,48,216,496,65
20191105T16Z,551,447,0,50,118,665,106
20191105T15Z,502,463,0,49,7,696,108
20191105T14Z,275,462,0,52,0,665,92
20191105T13Z,165,458,0,52,0,505,72
20191105T12Z,179,459,0,51,0,500,37
20191105T11Z,146,441,0,47,0,477,27
20191105T10Z,161,453,0,49,0,475,23
20191105T09Z,269,461,0,47,0,499,26
20191105T08Z,273,444,0,49,0,499,40
20191105T07Z,316,556,0,47,0,562,44
20191105T06Z,283,614,0,48,0,608,36
20191105T05Z,299,620,0,46,0,602,41
20191105T04Z,211,614,0,46,0,601,54
20191105T03Z,354,618,0,46,0,600,55
20191105T02Z,224,609,0,48,0,556,49
20191105T01Z,176,609,0,41,7,563,29
20191105T00Z,164,601,0,44,84,508,30
20191104T23Z,156,574,0,41,201,462,38
20191104T22Z,155,580,0,43,197,464,31
20191104T21Z,154,580,0,47,185,470,23
20191104T20Z,169,597,0,47,173,461,17
20191104T19Z,196,615,0,44,187,466,17
20191104T18Z,159,633,0,47,203,526,13
20191104T17Z,286,604,0,47,201,502,17
20191104T16Z,513,621,0,51,110,521,37
20191104T15Z,570,643,0,47,6,636,32
20191104T14Z,314,644,0,48,0,539,26
20191104T13Z,174,632,0,47,0,378,36
20191104T12Z,146,618,0,49,0,364,41
20191104T11Z,146,617,0,48,0,339,47
20191104T10Z,169,558,0,46,0,340,50
20191104T09Z,227,589,0,49,0,358,66
20191103T07Z,156,346,0,48,0,449,51
20191103T06Z,253,347,0,48,0,510,70
20191103T05Z,352,345,0,52,0,512,83
20191103T04Z,187,424,0,46,0,513,91
20191103T03Z,148,555,0,49,0,515,100
20191103T02Z,161,497,0,49,0,733,90
20191103T01Z,179,400,0,48,4,735,34
20191103T00Z,151,357,0,46,103,472,10
20191102T23Z,154,309,0,46,213,447,22
20191102T22Z,154,307,0,50,214,454,25
20191102T21Z,146,298,0,47,199,432,39
20191102T20Z,147,314,0,49,190,423,46
20191102T19Z,150,288,0,48,200,412,38
20191102T18Z,156,251,0,50,216,537,42
20191102T17Z,164,491,0,48,223,482,83
20191102T16Z,335,535,0,50,132,543,126
20191102T15Z,279,587,0,54,10,598,117
20191102T14Z,188,625,0,48,0,513,112
20191102T13Z,206,552,0,51,0,553,103
20191102T12Z,150,463,0,51,0,560,110
20191102T11Z,153,408,0,53,0,557,88
20191102T10Z,163,394,0,51,0,515,83
20191102T09Z,152,371,0,50,0,505,48
20191102T08Z,147,352,0,53,0,525,25
20191102T07Z,155,340,0,52,0,541,10
20191102T06Z,200,346,0,50,0,646,6
20191102T05Z,289,343,0,49,0,684,8
20191102T04Z,206,335,0,54,0,658,4
20191102T03Z,186,350,0,51,0,671,0
20191102T02Z,205,346,0,51,0,646,0
20191102T01Z,232,314,0,45,6,518,0
20191102T00Z,189,279,0,45,117,463,0
20191101T23Z,183,267,0,47,224,365,3
20191101T22Z,184,251,0,48,228,331,6
20191101T21Z,182,284,0,47,208,331,7
20191101T20Z,182,293,0,46,199,336,15
20191101T19Z,200,297,0,50,211,400,26
20191101T18Z,351,344,0,49,230,432,44
20191101T17Z,569,339,0,47,229,439,53
20191101T16Z,677,355,0,52,138,572,52
20191101T15Z,585,361,0,48,8,805,27
20191101T14Z,336,340,0,50,0,789,15
20191101T13Z,236,333,0,52,0,692,11
20191101T12Z,265,345,0,51,0,447,14
20191101T11Z,206,338,0,51,0,441,22
20191101T10Z,182,317,0,53,0,404,23
20191101T09Z,200,317,0,51,0,403,25
20191101T08Z,266,327,0,53,0,404,24
20191101T07Z,186,280,0,48,0,507,31
20191101T06Z,293,322,0,51,0,548,56
20191101T05Z,257,336,0,52,0,544,65
20191101T04Z,185,262,0,53,0,563,92
20191101T03Z,182,250,0,46,0,590,133
20191101T02Z,191,303,0,46,0,588,96
20191101T01Z,221,305,0,47,4,574,59
20191101T00Z,196,291,0,42,66,369,41
20191031T23Z,200,328,0,44,132,342,42
20191031T22Z,179,291,0,43,150,315,42
20191031T21Z,199,331,0,47,145,306,53
20191031T20Z,194,280,0,42,174,312,135
20191031T19Z,252,248,0,45,210,313,223
20191031T18Z,343,271,0,45,189,312,257
20191031T17Z,398,301,0,44,200,349,292
20191031T16Z,618,336,0,44,137,552,343
20191031T15Z,682,363,0,49,14,781,303
20191031T14Z,506,354,0,44,0,750,311
20191031T13Z,470,342,0,44,0,540,305
20191031T12Z,358,340,0,44,0,369,292
20191031T11Z,380,339,0,47,0,366,278
20191031T10Z,452,339,0,45,0,336,269
20191031T09Z,412,346,0,42,0,346,246
20191031T08Z,235,321,0,41,0,345,215
20191031T07Z,382,317,0,42,0,342,191
20191031T06Z,554,336,0,42,0,604,178
20191031T05Z,670,355,0,41,0,721,170
20191031T04Z,672,358,0,42,0,809,148
20191031T03Z,705,361,0,41,0,825,131
20191031T02Z,572,357,0,39,0,841,125
20191031T01Z,327,349,0,41,6,672,103
20191031T00Z,208,307,0,39,128,483,62
20191030T23Z,179,259,0,41,237,339,53
20191030T22Z,186,281,0,38,228,334,55
20191030T21Z,226,346,0,40,213,392,62
20191030T20Z,211,349,0,41,200,438,46
20191030T19Z,270,317,0,39,221,382,35
20191030T18Z,385,331,0,39,227,745,24
20191030T17Z,477,314,0,35,228,476,36
20191030T16Z,635,364,0,37,127,569,64
20191030T15Z,677,369,0,31,12,801,72
20191030T14Z,610,371,0,38,0,922,66
20191030T13Z,556,368,0,47,0,529,44
20191030T12Z,596,370,0,48,0,880,32
20191030T11Z,437,369,0,49,0,236,19
20191030T10Z,362,371,0,47,0,191,13
20191030T09Z,465,368,0,54,0,225,28
20191030T08Z,581,367,0,49,0,447,26
20191030T07Z,589,369,0,56,0,459,26
20191030T06Z,668,368,0,57,0,578,45
20191030T05Z,590,366,0,58,0,559,85
20191030T04Z,623,366,0,55,0,659,109
20191030T03Z,699,365,0,56,0,747,114
20191030T02Z,613,360,0,57,0,862,127
20191030T01Z,426,355,0,54,11,730,131
20191030T00Z,364,320,0,57,130,538,132
20191029T23Z,345,261,0,54,233,482,145
20191029T22Z,343,264,0,57,229,505,181
20191029T21Z,344,259,0,57,200,502,195
20191029T20Z,261,304,0,56,201,532,222
20191029T19Z,183,275,0,57,191,533,259
20191029T18Z,198,325,0,57,149,535,256
20191029T17Z,325,333,0,56,113,558,276
20191029T16Z,549,355,0,62,70,691,325
20191029T15Z,506,363,0,59,6,730,487
20191029T14Z,264,364,0,55,0,564,545
20191029T13Z,179,354,0,55,0,538,511
20191029T12Z,179,336,0,55,0,541,551
20191029T11Z,179,300,0,56,0,513,580
20191029T10Z,183,297,0,55,0,440,512
20191029T09Z,182,292,0,58,0,364,520
20191029T08Z,178,267,0,57,0,394,544
20191029T07Z,171,269,0,54,0,397,505
20191029T06Z,176,315,0,57,0,435,437
20191029T05Z,171,299,0,54,0,440,414
20191029T04Z,275,328,0,56,0,441,267
20191029T03Z,376,348,0,56,0,501,237
20191029T02Z,458,348,0,57,0,569,186
20191029T01Z,241,344,0,54,0,616,153
20191029T00Z,174,349,0,55,32,609,166
20191028T23Z,148,336,0,59,60,456,166
20191028T22Z,149,311,0,52,83,431,114
20191028T21Z,148,304,0,55,128,482,83
20191028T20Z,154,321,0,56,120,488,51
20191028T19Z,211,344,0,58,97,521,47
20191028T18Z,170,344,0,58,73,536,31
20191028T17Z,216,348,0,57,66,595,25
20191028T16Z,276,357,0,58,24,658,21
20191028T15Z,271,364,0,60,2,759,35
20191028T14Z,165,351,0,63,0,755,44
20191028T13Z,153,358,0,59,0,668,45
20191028T12Z,145,353,0,61,0,497,34
20191028T11Z,145,363,0,61,0,419,14
20191028T10Z,145,340,0,59,0,381,24
20191028T09Z,145,342,0,61,0,406,42
20191028T08Z,145,336,0,62,0,413,44
20191028T07Z,145,325,0,63,0,553,46
20191028T06Z,145,334,0,61,0,548,85
20191028T05Z,145,345,0,63,0,546,118
20191028T04Z,145,357,0,60,0,544,144
20191028T03Z,145,354,0,63,0,548,143
20191028T02Z,148,352,0,60,0,549,158
20191028T01Z,169,340,0,61,16,565,158
