,coal,natural gas,petroleum,other,solar,hydro,wind
20190918T12Z,225,266,0,61,0,744,299
20190918T11Z,225,265,0,62,0,715,320
20190918T10Z,225,266,0,63,0,715,310
20190918T09Z,224,267,0,59,0,718,282
20190918T08Z,224,265,0,60,0,721,363
20190918T07Z,223,266,0,62,0,745,301
20190918T06Z,224,265,0,55,0,855,279
20190918T05Z,224,267,0,54,0,971,259
20190918T04Z,224,267,0,53,0,1108,254
20190918T03Z,284,273,0,52,0,1090,207
20190918T02Z,287,272,0,50,7,1191,147
20190918T01Z,228,269,0,52,101,1102,124
20190918T00Z,229,270,0,43,218,1026,132
20190917T23Z,225,269,0,43,246,949,154
20190917T22Z,232,270,0,43,242,931,182
20190917T21Z,229,270,0,43,227,856,197
20190917T20Z,227,271,0,43,201,772,234
20190917T19Z,226,275,0,44,186,734,253
20190917T18Z,225,276,0,45,219,700,249
20190917T17Z,225,277,0,49,228,701,175
20190917T16Z,224,274,0,47,170,687,123
20190917T15Z,225,280,0,53,30,706,163
20190917T14Z,227,280,0,56,2,699,171
20190917T13Z,225,279,0,60,0,747,199
20190917T12Z,225,279,0,61,0,742,189
20190917T11Z,225,277,0,61,0,720,273
20190917T10Z,223,279,0,62,0,719,266
20190917T09Z,223,278,0,58,0,707,168
20190917T08Z,225,279,0,62,0,716,139
20190917T07Z,223,277,0,59,0,725,252
20190917T06Z,225,279,0,58,0,859,517
20190917T05Z,224,276,0,56,0,995,554
20190917T04Z,224,278,0,58,1,1011,521
20190917T03Z,225,273,0,55,2,1005,473
20190917T02Z,224,270,0,57,7,1006,499
20190917T01Z,225,270,0,54,54,1001,510
20190917T00Z,225,266,-1,52,72,1011,315
20190916T23Z,294,264,0,55,110,1020,164
20190916T22Z,510,262,0,49,189,1032,136
20190916T21Z,493,263,0,52,217,1006,127
20190916T20Z,421,266,0,50,215,1012,145
20190916T19Z,259,269,0,55,196,1014,162
20190916T18Z,223,269,0,51,152,985,157
20190916T17Z,224,273,0,56,90,990,128
20190916T16Z,253,274,0,56,83,1017,60
20190916T15Z,298,275,0,61,41,983,45
20190916T14Z,224,275,0,61,1,1016,62
20190916T13Z,225,266,0,60,0,901,68
20190916T12Z,225,265,0,60,0,771,46
20190916T11Z,224,266,0,58,0,732,72
20190916T10Z,226,266,0,54,0,732,154
20190916T09Z,224,266,0,59,0,713,172
20190916T08Z,224,265,0,53,0,718,277
20190916T07Z,223,361,0,55,0,745,311
20190916T06Z,223,402,0,53,0,853,252
20190916T05Z,225,410,0,53,0,991,237
20190916T04Z,228,416,0,54,0,1089,228
20190916T03Z,252,404,0,46,1,1091,220
20190916T02Z,266,422,0,46,12,1100,230
20190916T01Z,302,403,0,42,88,1175,207
20190916T00Z,254,372,0,45,147,1098,186
20190915T23Z,228,371,0,42,180,1073,223
20190915T22Z,225,381,0,46,220,1075,197
20190915T21Z,226,376,0,47,229,948,178
20190915T20Z,226,373,0,48,281,855,148
20190915T19Z,225,371,0,48,277,738,139
20190915T18Z,225,370,0,45,255,747,114
20190915T17Z,226,376,0,52,263,756,88
20190915T16Z,225,373,0,56,258,752,92
20190915T15Z,225,376,0,61,95,723,90
20190915T14Z,227,382,0,61,5,724,106
20190915T13Z,225,382,0,60,0,744,140
20190915T12Z,226,379,0,61,0,747,159
20190915T11Z,225,378,0,60,0,718,183
20190915T10Z,225,380,0,61,0,735,217
20190915T09Z,224,385,0,58,0,723,188
20190915T08Z,225,387,0,58,0,727,227
20190915T07Z,232,389,0,58,0,775,178
20190915T06Z,289,414,0,57,0,863,167
20190915T05Z,255,390,0,55,0,983,146
20190915T04Z,253,416,0,54,0,1149,106
20190915T03Z,252,423,0,51,1,1143,91
20190915T02Z,336,425,0,48,24,1133,88
20190915T01Z,347,424,0,50,122,1151,93
20190915T00Z,275,410,0,48,193,1025,59
20190914T23Z,252,398,0,46,211,972,44
20190914T22Z,252,399,0,49,229,954,34
20190914T21Z,250,401,0,48,238,834,44
20190914T20Z,230,396,0,52,240,835,47
20190914T19Z,229,377,0,48,259,743,34
20190914T18Z,232,383,0,51,282,764,15
20190914T17Z,230,378,0,53,264,760,9
20190914T16Z,229,384,0,49,239,699,33
20190914T15Z,230,388,0,53,123,697,74
20190914T14Z,231,390,0,58,8,681,106
20190914T13Z,231,380,0,58,0,708,125
20190914T12Z,232,381,0,58,0,708,122
20190914T11Z,230,381,0,57,0,683,100
20190914T10Z,229,380,0,54,0,723,97
20190914T09Z,230,379,0,56,0,710,112
20190914T08Z,230,379,0,54,0,711,119
20190914T07Z,229,381,0,53,0,856,102
20190914T06Z,250,400,0,52,0,932,116
20190914T05Z,230,377,0,56,0,1062,143
20190914T04Z,230,377,0,51,0,1137,147
20190914T03Z,230,374,0,48,2,1123,111
20190914T02Z,230,378,0,48,28,1134,77
20190914T01Z,230,368,0,44,161,1133,67
20190914T00Z,230,361,0,44,246,1134,45
20190913T23Z,229,364,0,46,260,1116,28
20190913T22Z,231,361,0,45,237,1072,23
20190913T21Z,231,366,0,48,242,1070,15
20190913T20Z,230,366,0,46,245,1012,12
20190913T19Z,231,372,0,51,246,959,42
20190913T18Z,230,373,0,47,272,870,46
20190913T17Z,231,381,0,53,240,846,62
20190913T16Z,228,388,0,56,239,783,115
20190913T15Z,227,391,0,58,129,755,164
20190913T14Z,229,394,-1,60,9,765,140
20190913T13Z,229,395,0,57,0,742,144
20190913T12Z,231,395,0,60,0,733,118
20190913T11Z,229,394,0,59,0,739,140
20190913T10Z,230,394,0,61,0,736,143
20190913T09Z,230,394,0,59,0,731,101
20190913T08Z,230,394,0,59,0,737,98
20190913T07Z,230,396,0,59,0,765,106
20190913T06Z,257,408,0,56,0,874,104
20190913T05Z,231,399,0,58,0,1006,92
20190913T04Z,236,396,0,54,0,1076,66
20190913T03Z,337,392,0,52,0,1089,49
20190913T02Z,385,414,0,51,31,1149,48
20190913T01Z,248,392,0,50,177,1099,49
20190913T00Z,232,388,0,51,296,1102,51
20190912T23Z,232,380,0,52,254,1101,48
20190912T22Z,232,382,0,51,265,1058,43
20190912T21Z,232,374,0,52,255,1023,36
20190912T20Z,233,376,0,52,251,1021,34
20190912T19Z,232,376,0,51,259,850,30
20190912T18Z,233,382,0,53,270,798,22
20190912T17Z,232,383,0,59,275,794,30
20190912T16Z,232,390,1,57,246,800,45
20190912T15Z,231,396,4,60,119,789,75
20190912T14Z,232,405,3,62,8,794,58
20190912T13Z,232,412,0,64,0,807,34
20190912T12Z,232,396,0,61,0,777,17
20190912T11Z,232,389,0,64,0,747,17
20190912T10Z,232,396,0,59,0,756,15
20190912T09Z,231,394,0,65,0,743,18
20190912T08Z,232,391,0,57,0,765,37
20190912T07Z,234,397,0,56,0,1039,56
20190912T06Z,374,409,0,56,0,1221,70
20190912T05Z,292,396,0,53,0,1186,74
20190912T04Z,399,417,0,55,0,1272,119
20190912T03Z,467,424,0,53,0,1137,189
20190912T02Z,383,417,0,54,30,1121,265
20190912T01Z,235,389,0,52,164,945,418
20190912T00Z,233,379,0,53,251,890,504
20190911T23Z,233,377,0,53,271,906,506
20190911T22Z,246,401,0,52,256,815,479
20190911T21Z,210,375,0,58,257,714,444
20190911T20Z,164,379,0,54,246,700,440
20190911T19Z,142,380,0,55,266,728,427
20190911T18Z,104,384,0,59,265,723,388
20190911T17Z,80,386,0,55,248,733,343
20190911T16Z,80,390,0,61,239,729,298
20190911T15Z,114,419,0,57,113,813,234
20190911T14Z,82,418,0,63,6,813,209
20190911T13Z,80,403,0,59,0,724,178
20190911T12Z,80,396,0,59,0,642,156
20190911T11Z,80,396,0,62,0,634,128
20190911T10Z,81,396,0,60,0,617,106
20190911T09Z,81,394,0,59,0,592,119
20190911T08Z,88,414,0,58,0,590,102
20190911T07Z,136,420,0,58,0,649,103
20190911T06Z,257,435,0,54,1,787,100
20190911T05Z,283,425,0,51,1,1040,104
20190911T04Z,524,421,0,53,1,1097,98
20190911T03Z,505,428,0,50,1,1240,100
20190911T02Z,244,421,0,47,20,1191,103
20190911T01Z,230,394,0,50,105,1163,107
20190911T00Z,232,381,0,51,151,1046,126
20190910T23Z,231,375,0,46,207,1033,79
20190910T22Z,230,373,0,52,224,972,87
20190910T21Z,230,374,0,49,195,885,64
20190910T20Z,230,380,0,51,152,802,92
20190910T19Z,231,397,0,50,103,836,156
20190910T18Z,231,388,0,49,75,820,151
20190910T17Z,231,388,0,49,90,819,103
20190910T16Z,229,348,0,49,86,775,99
20190910T15Z,264,413,0,50,42,913,109
20190910T14Z,247,431,0,56,2,822,99
20190910T13Z,234,417,0,60,0,681,86
20190910T12Z,231,395,0,61,0,672,98
20190910T11Z,229,395,0,62,0,653,63
20190910T10Z,230,395,0,60,0,655,49
20190910T09Z,240,412,0,58,0,625,65
20190910T08Z,240,504,0,56,0,632,47
20190910T07Z,230,541,0,58,0,662,31
20190910T06Z,282,557,0,56,0,771,45
20190910T05Z,256,567,0,54,0,873,40
20190910T04Z,258,572,0,53,0,981,36
20190910T03Z,268,591,0,53,5,1153,49
20190910T02Z,283,571,0,52,33,1144,34
20190910T01Z,252,533,0,53,97,1159,21
20190910T00Z,233,521,0,50,152,1019,22
20190909T23Z,231,490,0,52,168,1015,13
20190909T22Z,232,488,0,53,198,1013,11
20190909T21Z,231,489,0,54,214,988,16
20190909T20Z,231,492,0,52,225,982,20
20190909T19Z,231,493,0,56,249,838,10
20190909T18Z,234,493,0,51,262,835,6
20190909T17Z,233,503,0,44,259,737,7
20190909T16Z,231,500,0,44,203,732,7
20190909T15Z,231,537,0,51,106,767,4
20190909T14Z,231,521,0,59,11,780,11
20190909T13Z,233,516,0,58,0,710,73
20190909T12Z,232,434,-1,60,0,700,55
20190909T11Z,232,394,0,58,0,690,77
20190909T10Z,231,396,0,63,0,674,76
20190909T09Z,230,394,0,55,0,665,63
20190909T08Z,232,393,0,61,0,657,133
20190909T07Z,230,392,0,61,0,660,177
20190909T06Z,230,395,0,59,0,664,247
20190909T05Z,231,400,0,56,0,756,267
20190909T04Z,231,403,0,56,5,901,198
20190909T03Z,327,424,0,52,9,911,270
20190909T02Z,336,418,0,51,21,939,281
20190909T01Z,231,406,0,51,65,807,336
20190909T00Z,231,385,0,52,138,755,425
20190908T23Z,231,383,0,54,155,716,449
20190908T22Z,233,385,0,50,119,692,404
20190908T21Z,234,387,0,55,81,653,420
20190908T20Z,233,386,0,52,65,660,379
20190908T19Z,234,381,0,52,56,737,215
20190908T18Z,234,315,0,50,42,849,132
20190908T17Z,234,332,0,50,17,603,121
20190908T16Z,232,380,0,52,18,633,121
20190908T15Z,232,386,0,50,9,719,117
20190908T14Z,231,391,0,50,1,687,197
20190908T13Z,230,386,0,47,0,682,258
20190908T12Z,232,390,0,48,0,673,288
20190908T11Z,231,394,0,48,0,636,308
20190908T10Z,231,387,0,48,0,644,276
20190908T09Z,243,409,0,53,0,638,247
20190908T08Z,260,386,0,54,0,636,138
20190908T07Z,257,474,0,54,0,629,38
20190908T06Z,258,538,0,55,0,665,63
20190908T05Z,257,490,0,52,0,746,70
20190908T04Z,257,521,0,53,0,921,75
20190908T03Z,351,522,0,50,0,1065,35
20190908T02Z,320,547,0,47,14,1208,19
20190908T01Z,269,526,0,47,60,1148,3
20190908T00Z,257,478,0,43,110,1106,0
20190907T23Z,257,498,0,48,145,1101,4
20190907T22Z,257,496,0,42,195,1101,8
20190907T21Z,256,518,0,40,243,1018,10
20190907T20Z,257,526,0,42,226,1014,5
20190907T19Z,258,502,0,39,226,998,1
20190907T18Z,257,493,0,45,231,894,1
20190907T17Z,258,493,0,46,235,721,0
20190907T16Z,257,496,0,45,203,681,2
20190907T15Z,257,503,0,52,125,695,6
20190907T14Z,256,507,0,52,14,699,10
20190907T13Z,257,507,0,54,0,700,10
20190907T12Z,256,506,0,49,0,668,6
20190907T11Z,258,504,0,52,0,662,18
20190907T10Z,256,505,0,48,0,663,18
20190907T09Z,258,518,0,47,0,652,35
20190907T08Z,276,557,0,49,0,633,39
20190907T07Z,267,605,0,47,0,653,37
20190907T06Z,417,650,0,45,0,817,34
20190907T05Z,372,614,0,46,0,935,40
20190907T04Z,294,623,0,48,0,1167,47
20190907T03Z,488,646,0,45,3,1216,24
20190907T02Z,545,660,0,42,37,1241,32
20190907T01Z,451,639,0,43,111,1232,21
20190907T00Z,308,640,0,42,167,1159,40
20190906T23Z,271,646,0,41,144,1156,49
20190906T22Z,243,636,0,41,222,1130,50
20190906T21Z,262,631,0,43,226,1111,109
20190906T20Z,266,600,0,42,168,984,317
20190906T19Z,258,604,0,46,73,921,251
20190906T18Z,257,567,0,44,64,873,46
20190906T17Z,257,561,0,48,75,869,42
20190906T16Z,257,564,0,49,102,866,9
20190906T15Z,263,624,0,47,64,886,10
20190906T14Z,270,648,0,47,5,891,18
20190906T13Z,276,646,0,48,0,782,59
20190906T12Z,257,647,0,48,0,728,105
20190906T11Z,256,602,0,48,0,706,327
20190906T10Z,270,651,0,46,0,691,356
20190906T09Z,267,653,0,46,0,668,293
20190906T08Z,381,651,0,43,0,684,354
20190906T07Z,406,617,0,46,0,744,428
20190906T06Z,528,646,0,45,0,971,137
20190906T05Z,474,632,0,46,0,1089,180
20190906T04Z,388,650,0,43,0,1180,267
20190906T03Z,484,648,0,44,0,1226,134
20190906T02Z,526,644,0,42,4,1250,136
20190906T01Z,611,640,0,37,59,1237,111
20190906T00Z,647,638,0,35,174,1250,54
20190905T23Z,708,640,0,36,174,1242,47
20190905T22Z,686,642,0,48,213,1232,23
20190905T21Z,710,641,0,36,208,1198,21
20190905T20Z,616,639,0,39,249,994,4
20190905T19Z,641,645,0,37,231,835,8
20190905T18Z,678,618,0,41,235,832,20
20190905T17Z,473,640,0,38,236,839,28
20190905T16Z,509,648,0,44,209,848,36
20190905T15Z,619,652,0,47,95,843,24
20190905T14Z,470,658,0,50,9,850,34
20190905T13Z,505,661,0,49,0,816,53
20190905T12Z,388,664,0,46,0,691,78
20190905T11Z,379,661,0,47,0,704,84
20190905T10Z,472,658,0,44,0,702,55
20190905T09Z,536,659,0,43,0,706,50
20190905T08Z,683,655,0,45,0,759,77
20190905T07Z,625,654,0,45,0,739,70
20190905T06Z,692,656,0,44,0,757,84
20190905T05Z,688,660,0,45,75,938,113
20190905T04Z,727,661,0,41,0,1004,151
20190905T03Z,743,657,0,38,0,1109,179
20190905T02Z,750,656,0,37,46,1236,125
20190905T01Z,740,650,0,36,180,1134,120
20190905T00Z,684,652,0,55,191,1087,113
20190904T23Z,695,649,0,36,162,1114,119
20190904T22Z,671,652,0,37,166,-6453180,49
20190904T21Z,680,651,0,37,139,1258,26
20190904T20Z,665,653,0,41,187,924,25
20190904T19Z,593,657,0,36,240,863,13
20190904T18Z,413,649,0,37,245,684,11
20190904T17Z,344,665,0,43,263,718,21
20190904T16Z,399,636,0,46,274,723,54
20190904T15Z,546,661,0,46,126,925,78
20190904T14Z,319,655,0,49,15,987,123
20190904T13Z,329,667,0,49,0,823,182
20190904T12Z,224,656,0,47,0,637,174
20190904T11Z,225,603,0,46,0,606,177
20190904T10Z,224,635,0,46,0,611,197
20190904T09Z,266,620,0,45,0,604,180
20190904T08Z,268,653,0,44,0,621,183
20190904T07Z,266,651,0,46,0,658,177
20190904T06Z,275,611,0,44,74,754,170
20190904T05Z,256,595,0,42,74,897,129
20190904T04Z,363,632,0,44,74,1046,120
20190904T03Z,651,649,0,41,75,1073,135
20190904T02Z,665,646,0,39,59,1204,155
20190904T01Z,423,642,0,35,148,1161,61
20190904T00Z,520,644,0,38,186,1100,24
20190903T23Z,584,644,0,35,222,1099,28
20190903T22Z,516,645,0,36,246,1077,42
20190903T21Z,456,646,0,38,224,1004,20
20190903T20Z,327,632,0,38,228,913,23
20190903T19Z,257,653,0,41,236,735,43
20190903T18Z,331,660,0,39,236,670,50
20190903T17Z,289,662,0,40,246,618,39
20190903T16Z,274,634,-1,44,232,572,89
20190903T15Z,462,657,0,46,137,602,88
20190903T14Z,365,664,0,50,16,629,45
20190903T13Z,276,630,0,47,0,735,26
20190903T12Z,259,604,0,51,0,602,48
20190903T11Z,256,587,0,45,0,568,46
20190903T10Z,257,585,0,50,0,561,40
20190903T09Z,257,624,0,48,0,566,46
20190903T08Z,272,648,0,51,2,593,56
20190903T07Z,297,645,0,127,0,652,67
20190903T06Z,447,648,0,129,0,806,68
20190903T05Z,446,651,0,128,0,914,63
20190903T04Z,385,661,0,122,0,956,85
20190903T03Z,491,660,0,125,75,925,79
20190903T02Z,659,653,0,120,136,947,85
20190903T01Z,604,649,0,120,268,967,81
20190903T00Z,599,648,0,118,255,980,81
20190902T23Z,438,635,0,122,259,974,86
20190902T22Z,303,617,0,125,253,995,88
20190902T21Z,259,621,0,124,246,828,91
20190902T20Z,317,622,0,127,248,676,89
20190902T19Z,291,606,0,127,253,619,62
20190902T18Z,262,602,0,129,258,626,52
20190902T17Z,259,551,0,129,260,611,41
20190902T16Z,228,502,0,135,248,598,72
20190902T15Z,224,502,0,135,157,581,90
20190902T14Z,224,518,0,138,21,598,105
20190902T13Z,225,562,0,136,0,620,117
20190902T12Z,225,514,0,136,0,570,128
20190902T11Z,225,516,0,52,0,569,134
20190902T10Z,224,513,0,50,0,585,137
20190902T09Z,224,564,0,47,0,577,154
20190902T08Z,248,555,0,47,0,569,170
20190902T07Z,256,529,0,48,0,603,203
20190902T06Z,300,610,0,51,0,646,190
20190902T05Z,263,600,0,44,0,676,148
20190902T04Z,275,624,0,47,0,743,104
20190902T03Z,439,654,0,42,36,875,93
20190902T02Z,465,649,0,36,70,1086,80
20190902T01Z,479,645,0,40,204,975,24
20190902T00Z,616,645,0,38,251,980,14
20190901T23Z,607,647,0,38,255,1049,18
20190901T22Z,406,645,0,40,252,904,18
20190901T21Z,278,617,0,43,252,747,11
20190901T20Z,336,643,0,40,277,749,4
20190901T19Z,279,650,0,43,252,677,9
20190901T18Z,259,550,0,45,262,609,20
20190901T17Z,256,500,0,44,280,591,50
20190901T16Z,257,482,0,46,246,587,115
20190901T15Z,255,495,0,47,154,602,188
20190901T14Z,257,507,0,53,22,598,247
20190901T13Z,258,501,0,49,0,589,254
20190901T12Z,257,499,0,51,0,573,226
20190901T11Z,255,505,0,48,0,566,223
20190901T10Z,257,535,0,47,0,585,204
20190901T09Z,256,543,0,46,0,597,176
20190901T08Z,256,534,0,47,0,602,174
20190901T07Z,258,527,0,48,0,628,145
20190901T06Z,364,581,0,50,0,664,141
20190901T05Z,286,599,0,45,0,657,119
20190901T04Z,291,638,0,46,0,711,85
20190901T03Z,477,628,0,42,31,942,64
20190901T02Z,628,644,0,39,72,1057,67
20190901T01Z,591,644,0,41,207,1027,66
20190901T00Z,507,646,0,40,253,989,30
20190831T23Z,499,645,0,41,257,954,26
20190831T22Z,389,644,0,38,253,731,24
20190831T21Z,423,647,0,41,247,690,26
20190831T20Z,353,650,0,42,247,648,15
20190831T19Z,275,646,0,39,271,620,10
20190831T18Z,257,584,0,43,260,618,11
20190831T17Z,257,572,0,44,263,596,30
20190831T16Z,258,560,0,47,253,562,33
20190831T15Z,256,574,0,49,152,605,52
20190831T14Z,255,589,0,54,22,637,47
20190831T13Z,257,523,0,51,0,612,43
20190831T12Z,256,512,0,49,0,584,39
20190831T11Z,256,530,0,53,0,581,48
20190831T10Z,256,526,0,47,0,592,82
20190831T09Z,256,529,0,49,0,587,124
20190831T08Z,302,540,0,48,0,636,143
20190831T07Z,348,613,0,48,0,671,178
20190831T06Z,339,655,0,48,0,716,226
20190831T05Z,278,612,0,45,0,841,219
20190831T04Z,267,630,0,44,0,1003,279
20190831T03Z,491,657,0,41,9,1092,236
20190831T02Z,633,650,0,40,91,1218,222
20190831T01Z,330,647,0,38,215,1098,236
20190831T00Z,347,646,0,38,256,1000,220
20190830T23Z,334,647,0,37,262,942,196
20190830T22Z,300,634,0,40,260,911,179
20190830T21Z,450,650,0,41,254,799,164
20190830T20Z,379,651,0,43,287,788,164
20190830T19Z,328,652,0,43,213,780,133
20190830T18Z,260,654,0,47,259,752,130
20190830T17Z,260,614,0,49,263,728,122
20190830T16Z,265,611,0,48,249,754,122
20190830T15Z,260,589,0,53,145,747,128
20190830T14Z,260,590,0,53,19,742,137
20190830T13Z,260,518,0,55,0,730,127
20190830T12Z,261,506,0,56,0,670,127
20190830T11Z,259,499,0,54,0,634,175
20190830T10Z,260,504,0,56,0,622,187
20190830T09Z,259,503,0,56,0,637,218
20190830T08Z,260,511,0,54,0,635,210
20190830T07Z,260,587,0,51,0,619,313
20190830T06Z,260,615,0,50,0,768,200
20190830T05Z,260,611,0,52,0,862,199
20190830T04Z,262,615,0,47,0,1003,276
20190830T03Z,339,614,0,50,3,1062,211
20190830T02Z,337,649,0,45,45,1104,178
20190830T01Z,296,647,0,48,151,1112,192
20190830T00Z,272,648,0,47,220,1091,281
20190829T23Z,252,624,0,46,252,955,211
20190829T22Z,309,621,0,44,246,782,198
20190829T21Z,453,649,0,47,221,769,97
20190829T20Z,382,642,0,47,197,713,64
20190829T19Z,271,642,0,48,211,709,85
20190829T18Z,246,647,0,50,227,680,110
20190829T17Z,246,611,0,50,126,599,124
20190829T16Z,257,600,0,55,103,576,129
20190829T15Z,259,631,0,53,75,638,214
20190829T14Z,260,657,0,60,11,630,174
20190829T13Z,260,646,0,55,0,667,141
20190829T12Z,260,588,0,56,0,616,138
20190829T11Z,259,583,0,56,0,578,122
20190829T10Z,260,623,0,55,0,596,66
20190829T09Z,259,636,0,52,0,636,68
20190829T08Z,258,650,0,53,0,640,77
20190829T07Z,263,652,0,52,0,677,111
20190829T06Z,269,654,0,54,0,753,91
20190829T05Z,273,639,0,47,0,886,70
20190829T04Z,372,656,0,47,0,1073,66
20190829T03Z,477,656,0,45,2,1126,117
20190829T02Z,553,650,0,43,57,1128,109
20190829T01Z,408,650,0,42,169,1130,73
20190829T00Z,275,650,0,42,237,1072,46
20190828T23Z,268,649,0,45,257,1030,43
20190828T22Z,268,653,0,44,256,849,35
20190828T21Z,260,657,0,46,254,747,30
20190828T20Z,259,645,0,48,251,680,30
20190828T19Z,259,609,0,49,259,624,38
20190828T18Z,260,608,0,398,268,627,18
20190828T17Z,258,581,0,51,274,656,29
20190828T16Z,260,583,0,55,259,603,60
20190828T15Z,258,592,0,56,172,603,94
20190828T14Z,259,613,0,61,27,624,71
20190828T13Z,260,643,0,59,0,623,62
20190828T12Z,259,590,0,60,0,582,38
20190828T11Z,258,586,0,59,0,583,30
20190828T10Z,259,590,0,63,0,596,20
20190828T09Z,258,616,0,62,0,621,19
20190828T08Z,259,671,-1,55,0,668,14
20190828T07Z,271,658,0,59,0,727,20
20190828T06Z,410,665,0,56,0,821,20
20190828T05Z,315,652,0,61,0,977,9
20190828T04Z,429,662,0,55,0,1190,5
20190828T03Z,607,661,0,50,2,1239,4
20190828T02Z,689,664,0,47,89,1241,1
20190828T01Z,662,662,0,47,225,1157,2
20190828T00Z,418,659,0,45,284,1090,2
20190827T23Z,441,662,0,46,270,1101,1
20190827T22Z,362,662,0,47,264,1047,1
20190827T21Z,328,667,0,44,260,-44959,6
20190827T20Z,262,655,0,51,257,51639,15
20190827T19Z,259,650,0,46,261,701,24
20190827T18Z,260,638,0,48,269,716,37
20190827T17Z,264,618,2,52,306,694,43
20190827T16Z,260,622,0,45,255,693,53
20190827T15Z,258,626,0,58,178,655,90
20190827T14Z,259,634,0,58,31,686,105
20190827T13Z,260,550,0,60,0,685,77
20190827T12Z,260,514,0,59,0,652,59
20190827T11Z,226,513,0,57,0,615,61
20190827T10Z,225,517,0,58,0,633,80
20190827T09Z,224,515,0,54,0,634,127
20190827T08Z,258,569,0,52,0,664,166
20190827T07Z,259,559,0,49,0,726,242
20190827T06Z,278,573,0,50,0,825,273
20190827T05Z,258,579,0,50,0,821,340
20190827T04Z,273,609,0,53,0,1077,353
20190827T03Z,463,660,0,49,8,1156,275
20190827T02Z,550,673,0,45,101,1238,236
20190827T01Z,419,669,0,48,237,970,212
20190827T00Z,277,669,0,47,274,858,186
20190826T23Z,372,671,0,47,277,1003,131
20190826T22Z,389,674,0,49,273,866,86
20190826T21Z,270,676,0,48,269,819,47
20190826T20Z,263,665,0,48,270,780,33
20190826T19Z,261,579,0,46,273,813,30
20190826T18Z,259,536,0,48,281,775,25
20190826T17Z,259,547,0,49,282,714,23
20190826T16Z,260,567,0,53,272,743,37
20190826T15Z,258,563,0,53,183,617,74
20190826T14Z,260,444,0,59,32,617,173
20190826T13Z,259,429,0,61,0,616,260
20190826T12Z,224,390,0,56,0,614,317
20190826T11Z,224,391,0,54,0,602,321
20190826T10Z,223,392,0,55,0,596,345
20190826T09Z,224,407,0,56,0,609,414
20190826T08Z,224,431,0,53,0,608,398
20190826T07Z,226,419,0,48,0,729,402
20190826T06Z,259,420,0,49,0,782,432
20190826T05Z,265,429,0,48,0,855,461
20190826T04Z,284,427,0,49,0,972,484
20190826T03Z,489,421,0,46,4,1118,587
20190826T02Z,550,428,0,44,91,1194,629
20190826T01Z,542,429,0,45,220,1010,635
20190826T00Z,307,425,0,44,256,930,649
20190825T23Z,279,426,0,44,264,832,631
20190825T22Z,291,429,0,43,265,861,613
20190825T21Z,285,430,0,44,261,765,625
20190825T20Z,260,425,0,44,279,738,624
20190825T19Z,258,422,0,47,275,605,588
20190825T18Z,239,384,0,48,281,602,555
20190825T17Z,225,375,0,55,301,625,432
20190825T16Z,226,380,0,52,267,630,322
20190825T15Z,225,385,0,57,183,633,291
20190825T14Z,224,389,0,58,33,596,372
20190825T13Z,226,389,0,59,0,607,451
20190825T12Z,225,390,0,55,0,616,492
20190825T11Z,224,386,0,55,0,605,470
20190825T10Z,224,391,0,51,0,612,394
20190825T09Z,223,408,0,52,0,608,328
20190825T08Z,223,371,0,55,0,625,260
20190825T07Z,230,564,0,50,0,654,253
20190825T06Z,323,581,0,48,0,791,160
20190825T05Z,302,586,0,51,0,868,172
20190825T04Z,264,589,0,44,0,1146,237
20190825T03Z,430,584,0,43,3,1253,283
20190825T02Z,471,579,0,42,75,1255,315
20190825T01Z,268,578,0,41,197,1061,303
20190825T00Z,264,580,0,40,245,873,248
20190824T23Z,260,580,0,44,254,795,169
20190824T22Z,259,580,0,40,248,794,145
20190824T21Z,258,579,0,44,260,792,106
20190824T20Z,248,583,0,45,254,807,66
20190824T19Z,229,574,0,47,264,804,41
20190824T18Z,230,499,0,48,268,846,33
20190824T17Z,229,497,0,48,275,770,2
20190824T16Z,229,496,0,51,261,694,11
20190824T15Z,229,496,0,56,177,658,72
20190824T14Z,229,502,0,56,27,636,100
20190824T13Z,229,515,0,57,0,668,99
20190824T12Z,229,511,0,58,0,649,63
20190824T11Z,227,516,0,52,0,638,48
20190824T10Z,285,577,0,56,0,614,40
20190824T09Z,237,586,0,53,0,628,55
20190824T08Z,281,593,0,54,0,610,59
20190824T07Z,294,577,0,53,0,715,51
20190824T06Z,255,578,0,50,0,778,57
20190824T05Z,294,588,0,51,0,960,64
20190824T04Z,383,577,0,48,0,1105,127
20190824T03Z,564,581,0,47,3,1235,126
20190824T02Z,446,590,0,46,78,1248,85
20190824T01Z,324,590,0,47,218,1175,68
20190824T00Z,283,589,0,47,260,921,49
20190823T23Z,327,591,0,43,265,825,25
20190823T22Z,441,591,0,48,272,891,9
20190823T21Z,258,590,0,46,299,849,7
20190823T20Z,252,592,0,47,228,837,4
20190823T19Z,253,589,0,49,269,865,8
20190823T18Z,251,571,0,49,277,816,8
20190823T17Z,251,582,0,51,277,761,4
20190823T16Z,231,558,0,52,266,728,6
20190823T15Z,223,561,0,54,184,727,28
20190823T14Z,224,588,0,56,36,728,37
20190823T13Z,233,450,0,59,0,733,41
20190823T12Z,260,438,0,56,0,705,58
20190823T11Z,224,435,0,56,0,705,96
20190823T10Z,225,414,0,54,0,706,176
