,coal,natural gas,petroleum,other,solar,hydro
20191209T05-05,595,852,0,74,0,2
20191209T04-05,532,817,0,75,0,2
20191209T03-05,514,842,0,75,0,1
20191209T02-05,508,843,0,76,0,2
20191209T01-05,449,844,0,75,0,2
20191209T00-05,509,762,0,78,0,2
20191208T23-05,605,844,-1,77,0,2
20191208T22-05,727,847,0,76,0,2
20191208T21-05,728,846,0,77,0,58
20191208T20-05,728,844,0,77,0,132
20191208T19-05,732,834,0,76,0,152
20191208T18-05,572,830,0,79,0,58
20191208T17-05,528,809,0,79,1,2
20191208T16-05,527,802,0,75,1,2
20191208T15-05,575,780,0,79,2,2
20191208T14-05,595,776,0,76,2,2
20191208T13-05,591,797,0,83,4,2
20191208T12-05,672,749,0,77,4,2
20191208T11-05,697,848,0,79,3,136
20191208T10-05,697,853,0,73,1,153
20191208T09-05,690,855,0,75,2,152
20191208T08-05,597,854,0,80,0,154
20191208T07-05,545,854,0,77,0,155
20191208T06-05,581,835,0,76,0,154
20191208T05-05,578,839,0,77,0,45
20191208T04-05,539,842,0,78,0,2
20191208T03-05,537,834,0,73,0,2
20191208T02-05,539,819,0,76,0,2
20191208T01-05,562,827,0,79,0,1
20191208T00-05,589,848,0,74,0,17
20191207T23-05,472,845,-1,77,0,97
20191207T22-05,504,845,0,77,0,153
20191207T21-05,594,842,0,78,0,154
20191207T20-05,604,839,0,77,0,153
20191207T19-05,670,830,0,74,0,98
20191207T18-05,602,829,0,77,0,2
20191207T17-05,476,827,0,74,0,2
20191207T16-05,478,823,0,75,1,1
20191207T15-05,477,824,0,74,3,1
20191207T14-05,472,826,0,78,5,2
20191207T13-05,539,825,-1,75,4,2
20191207T12-05,568,829,0,77,3,2
20191207T11-05,568,817,0,75,3,96
20191207T10-05,569,824,0,77,1,153
20191207T09-05,570,854,0,75,1,155
20191207T08-05,567,855,0,75,0,152
20191207T07-05,568,852,0,98,0,127
20191207T06-05,560,834,0,53,0,2
20191207T05-05,488,847,0,76,0,2
20191207T04-05,460,834,0,75,0,2
20191207T03-05,462,804,0,76,0,2
20191207T02-05,457,835,0,75,0,2
20191207T01-05,534,838,0,76,0,3
20191207T00-05,602,819,0,76,0,2
20191206T23-05,607,833,0,75,0,1
20191206T22-05,590,835,0,76,0,2
20191206T21-05,599,817,0,74,0,65
20191206T20-05,695,803,0,76,0,85
20191206T19-05,738,807,0,76,0,85
20191206T18-05,649,813,0,76,0,18
20191206T17-05,516,786,0,77,0,2
20191206T16-05,500,744,0,78,1,2
20191206T15-05,494,745,0,76,0,3
20191206T14-05,516,750,0,75,1,1
20191206T13-05,589,746,0,73,2,2
20191206T12-05,700,758,0,69,3,2
20191206T11-05,826,788,0,70,2,2
20191206T10-05,830,825,0,72,3,51
20191206T09-05,911,815,0,77,1,152
20191206T08-05,925,845,0,77,0,207
20191206T07-05,927,827,0,74,0,199
20191206T06-05,897,784,-1,76,0,155
20191206T05-05,875,806,0,74,0,155
20191206T04-05,817,804,-1,74,0,156
20191206T03-05,814,805,0,75,0,75
20191206T02-05,972,799,0,75,0,12
20191206T01-05,1053,778,0,76,0,3
20191206T00-05,1125,841,0,75,0,3
20191205T23-05,1133,841,0,80,0,68
20191205T22-05,1085,835,0,76,0,112
20191205T21-05,1063,831,0,76,0,154
20191205T20-05,974,814,0,78,0,154
20191205T19-05,944,806,0,78,0,155
20191205T18-05,889,818,0,79,0,42
20191205T17-05,710,796,0,78,0,3
20191205T16-05,709,788,0,79,3,5
20191205T15-05,707,793,0,78,4,3
20191205T14-05,709,801,0,82,3,7
20191205T13-05,788,762,0,78,5,5
20191205T12-05,918,723,0,81,4,33
20191205T11-05,1020,762,0,81,4,61
20191205T10-05,1216,794,0,80,1,60
20191205T09-05,1273,806,0,82,3,81
20191205T08-05,1327,814,0,78,0,178
20191205T07-05,1226,824,0,78,0,180
20191205T06-05,1079,824,0,79,0,94
20191205T05-05,1049,826,0,79,0,5
20191205T04-05,971,826,0,80,0,5
20191205T03-05,927,826,0,75,0,3
20191205T02-05,877,828,0,77,0,5
20191205T01-05,876,832,0,77,0,4
