,coal,natural gas,solar,hydro,wind
20190207T17-07,3576,889,24,776,180
20190207T16-07,3529,879,34,647,218
20190207T15-07,3431,893,32,657,255
20190207T14-07,3495,868,30,701,329
20190207T13-07,3495,867,30,701,354
20190207T12-07,3539,831,30,721,365
20190207T11-07,3509,893,30,792,352
20190207T10-07,3494,899,28,867,308
20190207T09-07,3466,911,18,950,281
20190207T08-07,3353,913,2,1045,310
20190207T07-07,3420,928,0,934,324
20190207T06-07,3406,919,0,678,335
20190207T05-07,3346,938,0,631,338
20190207T04-07,3286,940,0,569,301
20190207T03-07,3288,944,0,564,302
20190207T02-07,3269,935,0,568,245
20190207T01-07,3299,919,0,644,189
20190207T00-07,3446,911,0,730,130
20190206T23-07,3614,944,0,770,100
20190206T22-07,3640,998,0,876,110
20190206T21-07,3636,961,0,944,156
20190206T20-07,3641,957,0,1040,215
20190206T19-07,3697,969,0,1046,239
20190206T18-07,3626,971,1,965,250
20190206T17-07,3548,863,6,766,262
20190206T16-07,3481,836,20,653,272
20190206T15-07,3456,838,31,634,267
20190206T14-07,3484,827,25,638,252
20190206T13-07,3462,806,25,681,251
20190206T12-07,3501,744,19,733,170
20190206T11-07,3562,648,8,787,107
20190206T10-07,3610,625,20,870,140
20190206T09-07,3657,608,9,975,199
20190206T08-07,3707,643,0,1023,226
20190206T07-07,3520,669,0,970,222
20190206T06-07,3380,659,0,732,235
20190206T05-07,3324,658,0,632,228
20190206T04-07,3305,661,0,587,249
20190206T03-07,3303,656,0,580,274
20190206T02-07,3295,659,0,559,281
20190206T01-07,3286,657,0,593,287
20190206T00-07,3240,658,0,690,274
20190205T23-07,3353,661,0,760,347
20190205T22-07,3439,690,0,894,390
20190205T21-07,3488,680,0,921,374
20190205T20-07,3403,671,0,960,376
20190205T19-07,3406,684,0,956,433
20190205T18-07,3276,650,0,880,438
20190205T17-07,3103,629,8,801,394
20190205T16-07,3061,604,23,670,372
20190205T15-07,3124,601,29,664,307
20190205T14-07,3128,566,31,713,216
20190205T13-07,3204,577,38,708,236
20190205T12-07,3309,559,42,731,277
20190205T11-07,3254,556,42,766,267
20190205T10-07,3562,558,35,860,242
20190205T09-07,3565,555,20,948,256
20190205T08-07,3471,621,1,1041,261
20190205T07-07,3390,655,0,962,296
20190205T06-07,3388,633,0,736,336
20190205T05-07,3127,640,0,628,375
20190205T04-07,3048,625,0,567,407
20190205T03-07,3000,621,0,567,359
20190205T02-07,2994,621,0,568,312
20190205T01-07,3084,563,0,575,301
20190205T00-07,3184,629,0,669,324
20190204T23-07,3102,632,0,756,347
20190204T22-07,3112,651,0,867,396
20190204T21-07,3131,647,0,909,402
20190204T20-07,3120,677,0,898,445
20190204T19-07,3142,663,0,946,527
20190204T18-07,3055,624,1,889,545
20190204T17-07,2967,601,17,799,577
20190204T16-07,2939,638,35,687,522
20190204T15-07,2999,674,42,679,462
20190204T14-07,3111,669,38,689,402
20190204T13-07,3146,669,31,696,326
20190204T12-07,3066,669,28,732,273
20190204T11-07,3169,666,24,758,266
20190204T10-07,3194,650,20,876,195
20190204T09-07,3238,639,15,926,134
20190204T08-07,3268,604,0,977,86
20190204T07-07,3363,640,0,935,156
20190204T06-07,3286,568,0,814,158
20190204T05-07,3054,502,0,646,98
20190204T04-07,2975,489,0,577,155
20190204T03-07,2906,489,0,573,207
20190204T02-07,2873,492,0,574,177
20190204T01-07,2900,499,0,581,202
20190204T00-07,3009,515,0,650,224
20190203T23-07,3090,539,0,676,222
20190203T22-07,3228,491,0,839,339
20190203T21-07,3277,519,0,947,283
20190203T20-07,3277,519,0,932,336
20190203T19-07,3177,527,0,959,494
20190203T18-07,3107,506,2,890,600
20190203T17-07,2922,517,23,749,587
20190203T16-07,2755,531,42,661,655
20190203T15-07,2777,537,46,597,497
20190203T14-07,2837,535,42,602,477
20190203T13-07,2936,564,41,602,424
20190203T12-07,3025,545,44,638,327
20190203T11-07,3037,524,45,695,204
20190203T10-07,3120,550,39,761,189
20190203T09-07,3205,534,14,776,185
20190203T08-07,3236,509,1,738,65
20190203T07-07,3205,522,0,662,59
20190203T06-07,3092,528,0,563,76
20190203T05-07,3049,517,0,528,121
20190203T04-07,3022,498,0,613,85
20190203T03-07,3002,500,0,613,88
20190203T02-07,3016,507,0,616,117
20190203T01-07,3061,548,0,659,176
20190203T00-07,3109,534,0,635,96
20190202T23-07,3093,566,0,775,78
20190202T22-07,3181,594,0,910,81
20190202T21-07,3250,585,0,919,80
20190202T20-07,3348,590,0,951,86
20190202T19-07,3392,602,0,947,114
20190202T18-07,3183,565,0,840,155
20190202T17-07,2884,556,4,720,129
20190202T16-07,2661,556,11,748,112
20190202T15-07,2687,636,25,683,126
20190202T14-07,2812,637,32,639,116
20190202T13-07,2909,638,28,675,130
20190202T12-07,2934,643,26,741,128
20190202T11-07,2945,646,27,821,126
20190202T10-07,3094,648,27,896,113
20190202T09-07,3167,644,23,920,180
20190202T08-07,3201,639,3,939,186
20190202T07-07,3123,597,0,852,172
20190202T06-07,3075,587,0,739,158
20190202T05-07,2953,577,0,588,136
20190202T04-07,2905,570,0,581,139
20190202T03-07,2867,572,0,583,258
20190202T02-07,2848,580,0,582,322
20190202T01-07,2855,589,0,597,364
20190202T00-07,2747,625,0,643,423
20190201T23-07,2915,605,0,750,412
20190201T22-07,2995,614,0,873,361
20190201T21-07,2986,617,0,917,330
20190201T20-07,3025,612,0,957,317
20190201T19-07,3010,623,0,952,307
20190201T18-07,3017,622,1,902,326
20190201T17-07,2875,621,23,752,250
20190201T16-07,2812,626,46,678,191
20190201T15-07,2891,634,47,658,139
20190201T14-07,3030,635,44,660,119
20190201T13-07,3265,592,41,691,99
20190201T12-07,3305,637,43,731,94
20190201T11-07,3410,634,48,794,99
20190201T10-07,3430,636,49,869,101
20190201T09-07,3539,631,32,939,148
20190201T08-07,3547,631,3,968,212
20190201T07-07,3504,679,0,944,286
20190201T06-07,3381,634,0,793,357
20190201T05-07,3220,618,0,605,365
20190201T04-07,3055,603,0,564,358
20190201T03-07,2937,601,0,562,345
20190201T02-07,2971,606,0,561,351
20190201T01-07,3059,611,0,562,356
20190201T00-07,3121,581,0,623,352
20190131T23-07,3352,612,0,695,308
20190131T22-07,3492,630,0,847,283
20190131T21-07,3540,638,0,916,228
20190131T20-07,3579,634,0,968,200
20190131T19-07,3554,645,0,937,139
20190131T18-07,3471,632,1,895,154
20190131T17-07,3242,629,21,805,147
20190131T16-07,3122,628,44,673,230
20190131T15-07,3083,624,47,624,340
20190131T14-07,3110,629,44,629,402
20190131T13-07,3101,596,42,648,385
20190131T12-07,3125,616,45,692,280
20190131T11-07,3183,618,48,754,198
20190131T10-07,3231,611,49,836,170
20190131T09-07,3325,607,32,941,311
20190131T08-07,3290,606,2,1051,437
20190131T07-07,3251,618,0,965,487
20190131T06-07,2974,612,0,792,499
20190131T05-07,2868,571,0,651,393
20190131T04-07,2858,544,0,553,409
20190131T03-07,2930,584,0,550,422
20190131T02-07,3028,583,0,551,375
20190131T01-07,3182,566,0,583,332
20190131T00-07,3322,581,0,645,328
20190130T23-07,3358,584,0,713,305
20190130T22-07,3364,599,0,862,277
20190130T21-07,3503,602,0,916,269
20190130T20-07,3556,600,0,962,311
20190130T19-07,3560,613,0,963,223
20190130T18-07,3365,594,1,920,238
20190130T17-07,3077,612,20,790,149
20190130T16-07,3003,615,39,658,164
20190130T15-07,3000,621,41,602,204
20190130T14-07,3012,618,42,577,176
20190130T13-07,3034,642,40,631,175
20190130T12-07,3136,569,44,650,237
20190130T11-07,3221,600,47,745,213
20190130T10-07,3185,602,50,829,224
20190130T09-07,3296,602,32,948,264
20190130T08-07,3346,608,2,987,379
20190130T07-07,3261,626,0,924,332
20190130T06-07,3028,605,0,798,348
20190130T05-07,2880,570,0,660,393
20190130T04-07,2875,561,0,574,417
20190130T03-07,2960,590,0,532,421
20190130T02-07,3076,595,0,560,327
20190130T01-07,3171,620,0,602,210
20190130T00-07,3377,611,0,666,90
20190129T23-07,3544,634,0,725,82
20190129T22-07,3612,632,0,860,132
20190129T21-07,3652,640,0,915,255
20190129T20-07,3642,642,0,949,348
20190129T19-07,3620,639,0,1016,376
20190129T18-07,3586,639,1,954,361
20190129T17-07,3315,615,12,871,324
20190129T16-07,2970,621,28,663,317
20190129T15-07,2957,624,35,629,304
20190129T14-07,3029,625,33,617,341
20190129T13-07,3105,625,34,610,372
20190129T12-07,3194,654,29,673,355
20190129T11-07,3336,662,30,721,299
20190129T10-07,3399,657,19,804,318
20190129T09-07,3605,638,10,936,266
20190129T08-07,3581,633,0,1003,245
20190129T07-07,3496,648,0,989,255
20190129T06-07,3287,633,0,793,228
20190129T05-07,3162,629,0,640,245
20190129T04-07,3081,605,0,552,321
20190129T03-07,3096,585,0,544,371
20190129T02-07,3114,566,0,549,424
20190129T01-07,3167,571,0,566,493
20190129T00-07,3243,587,0,674,499
20190128T23-07,3402,603,0,703,482
20190128T22-07,3518,625,0,889,457
20190128T21-07,3498,638,0,959,386
20190128T20-07,3497,648,0,968,391
20190128T19-07,3429,663,0,982,409
20190128T18-07,3291,650,1,900,513
20190128T17-07,2923,605,20,843,559
20190128T16-07,2769,610,44,670,597
20190128T15-07,2794,609,42,639,708
20190128T14-07,2852,624,40,628,709
20190128T13-07,2858,630,40,645,664
20190128T12-07,2963,647,41,650,658
20190128T11-07,2986,658,41,771,633
20190128T10-07,3101,651,40,785,669
20190128T09-07,3052,648,20,863,712
20190128T08-07,3157,645,1,917,735
20190128T07-07,3160,634,0,903,738
20190128T06-07,2962,575,0,795,713
20190128T05-07,2777,539,0,645,705
20190128T04-07,2659,513,0,559,692
20190128T03-07,2656,515,0,555,682
20190128T02-07,2682,517,0,550,709
20190128T01-07,2694,518,0,567,689
20190128T00-07,2832,528,0,579,685
20190127T23-07,2858,527,0,671,702
20190127T22-07,2975,562,0,769,628
20190127T21-07,3053,551,0,883,623
20190127T20-07,3039,569,0,866,704
20190127T19-07,3064,609,0,850,708
20190127T18-07,3001,596,1,827,612
20190127T17-07,2729,566,17,746,510
20190127T16-07,2577,546,28,615,495
20190127T15-07,2558,538,30,553,458
20190127T14-07,2585,571,30,560,392
20190127T13-07,2649,564,33,604,404
20190127T12-07,2890,562,37,630,401
20190127T11-07,2954,568,38,614,417
20190127T10-07,3023,569,29,648,445
20190127T09-07,3138,573,15,709,524
20190127T08-07,3082,566,1,688,624
20190127T07-07,3029,567,0,661,672
20190127T06-07,3013,548,0,585,657
20190127T05-07,3081,538,0,545,557
20190127T04-07,3066,534,0,535,453
20190127T03-07,3061,537,0,522,561
20190127T02-07,3081,542,0,545,541
20190127T01-07,3113,552,0,584,523
20190127T00-07,3143,569,0,646,538
20190126T23-07,3225,582,0,733,520
20190126T22-07,3208,589,0,871,522
20190126T21-07,3189,590,0,912,598
20190126T20-07,3142,597,0,905,670
20190126T19-07,3186,609,0,916,716
20190126T18-07,3118,594,1,873,745
20190126T17-07,2822,571,16,758,731
20190126T16-07,2727,594,39,615,675
20190126T15-07,2751,591,43,582,670
20190126T14-07,2748,594,39,576,678
20190126T13-07,2860,594,36,598,608
20190126T12-07,3035,598,39,650,470
20190126T11-07,3110,600,39,675,301
20190126T10-07,3230,598,35,697,327
20190126T09-07,3340,596,17,755,381
20190126T08-07,3208,588,1,881,377
20190126T07-07,3184,585,0,854,327
20190126T06-07,3184,567,0,715,338
20190126T05-07,3062,552,0,618,369
20190126T04-07,3088,544,0,572,443
20190126T03-07,3080,538,0,567,543
20190126T02-07,3131,553,0,563,630
20190126T01-07,3153,560,0,541,561
20190126T00-07,3227,581,0,630,495
20190125T23-07,3282,610,0,747,443
20190125T22-07,3376,622,0,869,499
20190125T21-07,3372,624,0,893,502
20190125T20-07,3446,623,0,929,430
20190125T19-07,3485,732,0,938,409
20190125T18-07,3315,708,0,923,407
20190125T17-07,3069,628,9,844,413
20190125T16-07,2987,550,18,696,428
20190125T15-07,2960,522,29,639,450
20190125T14-07,2953,548,43,631,476
20190125T13-07,3005,563,40,652,467
20190125T12-07,3073,657,45,700,420
20190125T11-07,3148,678,42,694,340
20190125T10-07,3161,676,40,805,364
20190125T09-07,3398,672,23,891,396
20190125T08-07,3397,630,2,998,458
20190125T07-07,3423,627,0,915,480
20190125T06-07,3246,604,0,758,515
20190125T05-07,3153,569,0,636,572
20190125T04-07,3118,552,0,553,609
20190125T03-07,3110,552,0,549,575
20190125T02-07,3100,553,0,550,582
20190125T01-07,3141,560,0,571,610
20190125T00-07,3166,581,0,656,468
20190124T23-07,3313,615,0,710,469
20190124T22-07,3369,635,0,869,476
20190124T21-07,3428,668,0,916,471
20190124T20-07,3472,672,0,931,485
20190124T19-07,3480,688,0,957,457
20190124T18-07,3426,682,1,926,395
20190124T17-07,3281,602,14,865,220
20190124T16-07,3065,576,44,721,105
20190124T15-07,3082,590,47,635,55
20190124T14-07,3108,612,44,643,83
20190124T13-07,3182,611,40,670,198
20190124T12-07,3203,601,39,714,312
20190124T11-07,3082,588,37,740,368
20190124T10-07,3251,579,29,786,292
20190124T09-07,3514,620,15,840,240
20190124T08-07,3592,626,1,937,241
20190124T07-07,3468,624,0,931,245
20190124T06-07,3265,587,0,756,311
20190124T05-07,3208,551,0,657,248
20190124T04-07,3164,534,0,560,182
20190124T03-07,3153,531,0,538,259
20190124T02-07,3166,533,0,555,280
20190124T01-07,3224,541,0,559,285
20190124T00-07,3204,568,0,689,296
20190123T23-07,3277,594,0,733,437
20190123T22-07,3487,608,0,877,545
20190123T21-07,3503,628,0,888,575
20190123T20-07,3485,627,0,930,515
20190123T19-07,3521,633,0,927,410
20190123T18-07,3220,627,1,917,315
20190123T17-07,2951,592,14,848,348
20190123T16-07,2875,585,39,667,389
20190123T15-07,2922,607,41,552,401
20190123T14-07,2912,611,34,599,342
20190123T13-07,2886,589,38,614,362
20190123T12-07,2874,575,38,726,394
20190123T11-07,2853,613,42,750,475
20190123T10-07,3061,614,42,824,553
20190123T09-07,3166,611,26,934,656
20190123T08-07,3255,606,2,943,665
20190123T07-07,3240,630,0,926,651
20190123T06-07,3169,620,0,769,679
20190123T05-07,3133,595,0,636,700
20190123T04-07,3062,579,0,559,642
20190123T03-07,2978,580,0,534,551
20190123T02-07,3038,581,0,574,553
20190123T01-07,3166,586,0,592,610
20190123T00-07,3307,605,0,690,455
20190122T23-07,3458,620,0,762,414
20190122T22-07,3565,619,0,901,408
20190122T21-07,3538,618,0,945,420
20190122T20-07,3546,638,0,951,464
20190122T19-07,3454,644,0,921,489
20190122T18-07,3186,654,0,929,573
20190122T17-07,2900,609,18,910,662
20190122T16-07,2806,616,44,790,700
20190122T15-07,2914,539,45,684,687
20190122T14-07,2935,557,37,634,664
20190122T13-07,2948,515,37,614,520
20190122T12-07,3010,483,34,692,450
20190122T11-07,3116,515,26,714,428
20190122T10-07,3161,650,15,765,420
20190122T09-07,3302,639,11,846,419
20190122T08-07,3366,616,0,894,395
20190122T07-07,3250,602,0,928,363
20190122T06-07,3164,602,0,723,372
20190122T05-07,3046,570,0,606,364
20190122T04-07,2911,548,0,548,398
20190122T03-07,2876,539,0,549,452
20190122T02-07,2878,538,0,544,436
20190122T01-07,2950,537,0,574,559
20190122T00-07,3088,592,0,654,533
20190121T23-07,2992,638,0,811,437
20190121T22-07,3310,648,0,877,331
20190121T21-07,3559,655,0,918,137
20190121T20-07,3574,674,0,1000,138
20190121T19-07,3603,633,0,1016,77
20190121T18-07,3423,619,0,997,158
20190121T17-07,3035,573,6,897,316
20190121T16-07,2869,584,7,744,339
20190121T15-07,2944,587,16,664,288
20190121T14-07,2917,588,32,669,251
20190121T13-07,2947,592,26,700,206
20190121T12-07,3012,600,19,656,250
20190121T11-07,3236,592,22,662,98
20190121T10-07,3378,585,19,724,64
20190121T09-07,3544,583,19,788,74
20190121T08-07,3525,597,0,864,100
20190121T07-07,3465,680,0,891,96
20190121T06-07,3091,589,0,761,137
20190121T05-07,2969,544,0,652,246
20190121T04-07,2963,549,0,552,431
20190121T03-07,2851,554,0,543,446
20190121T02-07,2758,555,0,536,502
20190121T01-07,2691,565,0,554,595
20190121T00-07,2823,630,0,568,644
20190120T23-07,2800,655,0,668,602
20190120T22-07,2927,654,0,751,574
20190120T21-07,3143,613,0,864,588
20190120T20-07,3117,617,0,851,558
20190120T19-07,3227,634,0,859,494
20190120T18-07,3126,636,0,784,393
20190120T17-07,3020,608,10,728,254
20190120T16-07,2960,632,25,654,135
20190120T15-07,3081,650,26,551,68
20190120T14-07,3105,653,28,569,47
20190120T13-07,3039,649,33,586,77
20190120T12-07,2969,653,30,613,82
20190120T11-07,2865,651,32,660,112
20190120T10-07,2796,669,36,692,147
20190120T09-07,2730,672,15,772,247
20190120T08-07,2746,770,0,697,314
20190120T07-07,2676,733,0,666,336
20190120T06-07,2626,732,0,599,388
20190120T05-07,2615,681,0,565,403
20190120T04-07,2609,682,0,577,504
20190120T03-07,2557,695,0,554,619
20190120T02-07,2544,693,0,553,608
20190120T01-07,2586,734,0,565,509
20190120T00-07,2667,791,0,618,529
20190119T23-07,2707,828,0,717,514
20190119T22-07,2785,865,0,851,557
20190119T21-07,2954,809,0,963,473
20190119T20-07,2926,902,0,971,384
20190119T19-07,2937,903,0,966,342
20190119T18-07,2950,825,0,943,228
20190119T17-07,2751,651,9,820,175
20190119T16-07,2659,570,23,668,245
20190119T15-07,2683,624,29,580,332
20190119T14-07,2711,631,32,593,403
20190119T13-07,2767,753,34,612,362
20190119T12-07,2784,744,35,646,293
20190119T11-07,2930,769,35,661,213
20190119T10-07,2950,780,40,756,196
20190119T09-07,2949,715,27,824,191
20190119T08-07,2877,718,1,856,231
20190119T07-07,2732,793,0,790,339
20190119T06-07,2610,796,0,726,330
20190119T05-07,2558,756,0,592,332
20190119T04-07,2563,725,0,550,410
20190119T03-07,2563,704,0,536,444
20190119T02-07,2541,758,0,528,449
20190119T01-07,2558,762,0,553,430
20190119T00-07,2610,763,0,666,409
20190118T23-07,2680,755,0,766,405
20190118T22-07,2763,784,0,877,479
20190118T21-07,2759,718,0,929,517
20190118T20-07,2747,735,0,930,550
20190118T19-07,2779,785,0,964,620
20190118T18-07,2732,757,0,967,683
20190118T17-07,2537,725,12,901,621
20190118T16-07,2486,744,33,659,499
20190118T15-07,2517,750,31,575,509
20190118T14-07,2540,755,30,617,567
20190118T13-07,2526,750,26,653,667
20190118T12-07,2548,755,23,697,631
20190118T11-07,2653,748,21,733,548
20190118T10-07,2791,739,22,792,477
20190118T09-07,2918,802,11,876,330
20190118T08-07,2904,789,0,954,225
20190118T07-07,2803,783,0,916,216
20190118T06-07,2735,735,0,740,187
20190118T05-07,2661,648,0,634,150
20190118T04-07,2615,614,0,545,242
20190118T03-07,2620,638,0,538,225
20190118T02-07,2617,728,0,537,223
20190118T01-07,2654,673,0,587,247
20190118T00-07,2706,636,0,656,379
20190117T23-07,2821,635,0,751,371
20190117T22-07,2889,661,0,880,342
20190117T21-07,2970,669,0,926,473
20190117T20-07,3045,668,0,955,552
20190117T19-07,3161,712,0,957,515
20190117T18-07,3075,728,0,931,576
20190117T17-07,2962,654,2,927,545
20190117T16-07,2912,663,8,744,519
20190117T15-07,2901,671,16,653,466
20190117T14-07,2995,677,25,657,417
20190117T13-07,3148,674,36,669,395
20190117T12-07,3301,676,38,675,242
20190117T11-07,3446,685,39,715,164
20190117T10-07,3459,695,26,810,128
20190117T09-07,3517,757,18,882,153
20190117T08-07,3539,728,0,976,202
20190117T07-07,3449,687,0,881,242
20190117T06-07,3188,646,0,754,273
20190117T05-07,3064,573,0,643,317
20190117T04-07,3061,580,0,542,395
20190117T03-07,3084,574,0,511,543
20190117T02-07,3025,577,0,509,590
20190117T01-07,3025,540,0,573,504
20190117T00-07,3099,585,0,634,470
20190116T23-07,3303,619,0,714,391
20190116T22-07,3411,684,0,853,367
20190116T21-07,3437,691,0,973,297
20190116T20-07,3424,752,0,939,245
20190116T19-07,3481,774,0,959,212
20190116T18-07,3380,770,0,912,216
20190116T17-07,3187,712,10,884,169
20190116T16-07,3152,708,30,753,145
20190116T15-07,3252,718,27,662,103
20190116T14-07,3260,704,28,672,120
20190116T13-07,3247,712,27,663,151
20190116T12-07,3297,724,26,705,163
20190116T11-07,3314,726,19,733,209
20190116T10-07,3337,782,25,806,203
20190116T09-07,3301,765,10,874,261
20190116T08-07,3260,697,0,941,274
20190116T07-07,3211,672,0,928,261
20190116T06-07,3229,651,0,715,322
20190116T05-07,3144,624,0,620,289
20190116T04-07,3151,578,0,540,294
20190116T03-07,3171,573,0,508,289
20190116T02-07,3170,582,0,541,329
20190116T01-07,3227,595,0,591,339
20190116T00-07,3273,599,0,645,295
20190115T23-07,3343,606,0,715,263
20190115T22-07,3571,654,0,850,169
20190115T21-07,3679,673,0,912,138
20190115T20-07,3680,723,0,940,112
20190115T19-07,3687,730,0,968,77
20190115T18-07,3673,717,0,935,42
20190115T17-07,3549,616,2,896,52
20190115T16-07,3290,623,7,710,69
20190115T15-07,3264,626,11,625,94
20190115T14-07,3226,632,23,632,102
20190115T13-07,3246,653,30,658,147
20190115T12-07,3332,660,26,696,177
20190115T11-07,3463,676,19,754,186
20190115T10-07,3450,702,14,831,168
20190115T09-07,3573,734,5,890,210
20190115T08-07,3557,743,0,998,185
20190115T07-07,3560,681,0,927,264
20190115T06-07,3357,685,0,741,193
20190115T05-07,3072,668,0,632,168
20190115T04-07,3076,656,0,528,199
20190115T03-07,3126,639,0,537,139
20190115T02-07,3163,587,0,533,159
20190115T01-07,3234,616,0,586,166
20190115T00-07,3269,626,0,633,151
20190114T23-07,3391,624,0,736,163
20190114T22-07,3439,649,0,905,183
20190114T21-07,3365,749,0,990,138
20190114T20-07,3423,687,0,998,99
20190114T19-07,3487,736,0,975,99
20190114T18-07,3516,725,0,926,98
20190114T17-07,3400,668,5,858,91
20190114T16-07,3219,630,18,699,82
20190114T15-07,3309,651,23,623,82
20190114T14-07,3374,678,24,624,76
20190114T13-07,3385,661,22,650,65
20190114T12-07,3405,710,24,685,60
20190114T11-07,3467,710,24,717,82
20190114T10-07,3436,694,18,794,131
20190114T09-07,3457,675,13,896,206
20190114T08-07,3509,696,0,985,206
20190114T07-07,3398,841,0,916,199
20190114T06-07,3288,813,0,730,203
20190114T05-07,3148,675,0,610,175
20190114T04-07,3091,633,0,519,143
20190114T03-07,2992,628,0,528,100
20190114T02-07,2999,628,0,534,92
20190114T01-07,3114,639,0,524,124
20190114T00-07,3112,658,0,590,140
20190113T23-07,3332,669,0,648,146
20190113T22-07,3425,698,0,765,186
20190113T21-07,3494,730,0,874,166
20190113T20-07,3541,749,0,898,148
20190113T19-07,3558,739,0,904,142
20190113T18-07,3533,729,0,850,149
20190113T17-07,3172,641,3,788,89
20190113T16-07,2952,665,14,665,47
20190113T15-07,2828,669,21,576,58
20190113T14-07,2866,686,22,577,79
20190113T13-07,3052,704,22,602,36
20190113T12-07,3214,702,19,621,15
20190113T11-07,3223,708,19,645,17
20190113T10-07,3282,704,19,665,26
20190113T09-07,3366,674,13,690,28
20190113T08-07,3425,704,0,649,31
20190113T07-07,3336,783,0,620,25
20190113T06-07,3259,757,0,575,35
20190113T05-07,3179,716,0,545,62
20190113T04-07,3132,704,0,544,34
20190113T03-07,3111,682,0,550,34
20190113T02-07,3128,645,0,548,28
20190113T01-07,3139,665,0,569,53
20190113T00-07,3093,626,0,671,54
20190112T23-07,3181,619,0,811,56
20190112T22-07,3360,653,0,932,46
20190112T21-07,3512,661,0,931,24
20190112T20-07,3525,649,0,904,30
20190112T19-07,3484,669,0,919,30
20190112T18-07,3333,657,0,885,26
20190112T17-07,3157,627,5,766,11
20190112T16-07,3059,569,21,656,32
20190112T15-07,2978,578,24,565,62
20190112T14-07,3055,586,26,549,99
20190112T13-07,3058,629,28,557,113
20190112T12-07,3094,674,30,563,113
20190112T11-07,3079,662,31,644,118
20190112T10-07,3007,678,30,734,136
20190112T09-07,3081,661,12,777,228
20190112T08-07,2935,609,0,825,288
20190112T07-07,2858,663,0,738,322
20190112T06-07,2785,678,0,638,402
20190112T05-07,2711,607,0,562,471
20190112T04-07,2707,598,0,556,529
20190112T03-07,2724,598,0,571,560
20190112T02-07,2725,594,0,550,557
20190112T01-07,2693,621,0,540,565
20190112T00-07,2689,659,0,674,568
20190111T23-07,2737,625,0,714,569
20190111T22-07,2801,611,0,862,596
20190111T21-07,3011,596,0,921,603
20190111T20-07,3113,651,0,991,631
20190111T19-07,3141,676,0,990,658
20190111T18-07,3032,684,0,957,631
20190111T17-07,2693,648,9,843,669
20190111T16-07,2630,667,25,712,659
20190111T15-07,2632,680,24,629,622
20190111T14-07,2738,695,25,619,619
20190111T13-07,2864,702,24,630,632
20190111T12-07,2931,705,26,645,587
20190111T11-07,2865,707,28,712,552
20190111T10-07,2945,701,25,799,552
20190111T09-07,3059,724,11,872,536
20190111T08-07,3056,751,0,905,535
20190111T07-07,2970,762,0,901,493
20190111T06-07,2755,710,0,743,455
20190111T05-07,2676,643,0,627,373
20190111T04-07,2655,590,0,536,241
20190111T03-07,2709,586,0,510,193
20190111T02-07,2779,591,0,524,167
20190111T01-07,2958,617,0,556,108
20190111T00-07,3007,685,0,675,49
20190110T23-07,3153,704,0,727,13
20190110T22-07,3250,726,0,849,50
20190110T21-07,3271,747,0,930,113
20190110T20-07,3320,777,0,989,187
20190110T19-07,3325,792,0,1051,243
20190110T18-07,3267,766,0,965,192
20190110T17-07,3137,668,8,931,157
20190110T16-07,3012,658,22,798,154
20190110T15-07,3045,670,21,705,151
20190110T14-07,3075,676,25,700,122
20190110T13-07,3083,669,29,744,89
20190110T12-07,3120,677,30,777,42
20190110T11-07,3201,764,23,776,84
20190110T10-07,3233,763,17,825,69
20190110T09-07,3257,779,12,948,86
20190110T08-07,3227,766,0,1021,166
20190110T07-07,3071,749,0,950,172
20190110T06-07,3002,759,0,798,139
20190110T05-07,2902,684,0,685,182
20190110T04-07,2811,529,0,602,194
20190110T03-07,2820,657,0,564,159
20190110T02-07,2818,700,0,578,161
20190110T01-07,2918,722,0,587,168
20190110T00-07,3008,712,0,693,184
20190109T23-07,3107,684,0,724,167
20190109T22-07,3085,721,0,883,220
20190109T21-07,3108,734,0,988,248
20190109T20-07,3077,823,0,972,333
20190109T19-07,3111,836,0,980,400
20190109T18-07,3027,801,0,963,407
20190109T17-07,2823,757,4,926,336
20190109T16-07,2701,761,8,851,359
20190109T15-07,2673,742,14,711,367
20190109T14-07,2629,753,20,755,284
20190109T13-07,2680,753,24,750,313
20190109T12-07,2781,771,31,774,277
20190109T11-07,2834,805,33,788,227
20190109T10-07,2830,898,25,850,228
20190109T09-07,2933,849,7,930,259
20190109T08-07,3103,872,0,1006,246
20190109T07-07,3123,876,0,931,194
20190109T06-07,2995,822,0,786,296
20190109T05-07,2930,694,0,661,318
20190109T04-07,2907,677,0,567,293
20190109T03-07,2905,676,0,554,299
20190109T02-07,2902,680,0,576,306
20190109T01-07,2907,687,0,599,328
20190109T00-07,2907,658,0,681,335
20190108T23-07,2932,758,0,736,325
20190108T22-07,3075,774,0,869,264
20190108T21-07,3164,774,0,976,227
20190108T20-07,3201,774,0,1006,160
20190108T19-07,3200,728,0,1014,105
20190108T18-07,3145,704,0,975,100
20190108T17-07,2886,638,7,936,116
20190108T16-07,2814,659,31,821,148
20190108T15-07,2841,682,38,699,184
20190108T14-07,2829,671,38,708,234
20190108T13-07,2770,643,36,792,301
20190108T12-07,2793,683,38,855,360
20190108T11-07,3003,700,41,810,408
20190108T10-07,3076,801,42,836,378
20190108T09-07,3255,846,21,923,253
20190108T08-07,3229,867,0,981,313
20190108T07-07,3148,817,0,937,348
20190108T06-07,2989,740,0,801,363
20190108T05-07,2902,615,0,692,353
20190108T04-07,2805,531,0,560,394
20190108T03-07,2748,531,0,560,474
