,wind
20191124T04-07,0
20191124T03-07,108
20191124T02-07,156
20191124T01-07,118
20191123T23-07,173
20191123T22-07,170
20191123T21-07,178
20191123T20-07,173
20191123T19-07,177
20191123T18-07,180
20191123T17-07,163
20191123T16-07,170
20191123T15-07,148
20191123T14-07,146
20191123T13-07,152
20191123T12-07,166
20191123T11-07,170
20191123T10-07,72
20191123T09-07,52
20191123T08-07,115
20191123T07-07,178
20191123T06-07,168
20191123T05-07,175
20191123T04-07,160
20191123T03-07,158
20191123T02-07,172
20191123T01-07,165
20191122T23-07,126
20191122T22-07,162
20191122T21-07,180
20191122T20-07,179
20191122T19-07,180
20191122T18-07,179
20191122T17-07,141
20191122T16-07,51
20191122T15-07,5
20191122T14-07,49
20191122T13-07,151
20191122T12-07,180
20191122T11-07,176
20191122T10-07,171
20191122T09-07,174
20191122T08-07,179
20191122T07-07,179
20191122T06-07,179
20191122T05-07,147
20191122T04-07,105
20191122T03-07,63
20191122T02-07,32
20191122T01-07,13
20191121T23-07,95
20191121T22-07,67
20191121T21-07,57
20191121T20-07,47
20191121T19-07,49
20191121T18-07,43
20191121T17-07,48
20191121T16-07,34
20191121T15-07,18
20191121T14-07,19
20191121T13-07,29
20191121T12-07,47
20191121T11-07,33
20191121T10-07,23
20191121T09-07,28
20191121T08-07,37
20191121T07-07,52
20191121T06-07,74
20191121T05-07,91
20191121T04-07,120
20191121T03-07,122
20191121T02-07,105
20191121T01-07,102
20191120T23-07,84
20191120T22-07,96
20191120T21-07,66
20191120T20-07,30
20191120T19-07,5
20191120T18-07,0
20191120T17-07,0
20191120T16-07,0
20191120T15-07,1
20191120T14-07,0
20191120T13-07,2
20191120T12-07,0
20191120T11-07,2
20191120T10-07,2
20191120T09-07,0
20191120T08-07,0
20191120T07-07,2
20191120T06-07,12
20191120T05-07,16
20191120T04-07,41
20191120T03-07,69
20191120T02-07,102
20191120T01-07,114
20191119T23-07,145
20191119T22-07,152
20191119T21-07,158
20191119T20-07,142
20191119T19-07,143
20191119T18-07,138
20191119T17-07,126
20191119T16-07,113
20191119T15-07,68
20191119T14-07,35
20191119T13-07,7
20191119T12-07,1
20191119T11-07,14
20191119T10-07,17
20191119T09-07,11
20191119T08-07,27
20191119T07-07,54
20191119T06-07,77
20191119T05-07,78
20191119T04-07,80
20191119T03-07,71
20191119T02-07,56
20191119T01-07,41
20191118T23-07,35
20191118T22-07,38
20191118T21-07,42
20191118T20-07,42
20191118T19-07,3
20191118T17-07,1
20191118T16-07,10
20191118T15-07,31
20191118T14-07,91
20191118T13-07,128
20191118T12-07,174
20191118T11-07,175
20191118T10-07,169
20191118T09-07,176
20191118T08-07,177
20191118T07-07,175
20191118T06-07,175
20191118T05-07,177
20191118T04-07,178
20191118T03-07,172
20191118T02-07,154
20191118T01-07,164
20191117T23-07,172
20191117T22-07,163
20191117T21-07,126
20191117T20-07,101
20191117T19-07,121
20191117T18-07,132
20191117T17-07,174
20191117T16-07,178
20191117T15-07,178
20191117T14-07,179
20191117T13-07,179
20191117T12-07,170
20191117T11-07,143
20191117T10-07,122
20191117T09-07,172
20191117T08-07,152
20191117T07-07,155
20191117T06-07,158
20191117T05-07,153
20191117T04-07,174
20191117T03-07,175
20191117T02-07,180
20191117T01-07,179
20191116T23-07,145
20191116T22-07,153
20191116T21-07,171
20191116T20-07,178
20191116T19-07,166
20191116T18-07,164
20191116T17-07,155
20191116T16-07,123
20191116T15-07,84
20191116T14-07,56
20191116T13-07,101
20191116T12-07,99
20191116T11-07,75
20191116T10-07,59
20191116T09-07,41
20191116T08-07,10
20191116T07-07,10
20191116T06-07,30
20191116T05-07,80
20191116T04-07,121
20191116T03-07,167
20191116T02-07,177
20191116T01-07,180
20191115T23-07,171
20191115T22-07,180
20191115T21-07,180
20191115T20-07,163
20191115T19-07,175
20191115T18-07,180
20191115T17-07,181
20191115T16-07,181
20191115T15-07,178
20191115T14-07,181
20191115T13-07,175
20191115T12-07,180
20191115T11-07,173
20191115T10-07,172
20191115T09-07,179
20191115T08-07,180
20191115T07-07,180
20191115T06-07,173
20191115T05-07,160
20191115T04-07,179
20191115T03-07,174
20191115T02-07,170
20191115T01-07,161
20191114T23-07,134
20191114T22-07,141
20191114T21-07,156
20191114T20-07,133
20191114T19-07,113
20191114T18-07,111
20191114T17-07,76
20191114T16-07,52
20191114T15-07,21
20191114T14-07,9
20191114T13-07,12
20191114T12-07,10
20191114T11-07,13
20191114T10-07,0
20191114T09-07,0
20191114T08-07,2
20191114T07-07,16
20191114T06-07,19
20191114T05-07,93
20191114T04-07,93
20191114T03-07,103
20191114T02-07,134
20191114T01-07,154
20191113T23-07,172
20191113T22-07,160
20191113T21-07,143
20191113T20-07,165
20191113T19-07,170
20191113T18-07,157
20191113T17-07,53
20191113T16-07,37
20191113T15-07,65
20191113T14-07,88
20191113T13-07,78
20191113T12-07,69
20191113T11-07,76
20191113T10-07,90
20191113T09-07,111
20191113T08-07,144
20191113T07-07,134
20191113T06-07,119
20191113T05-07,141
20191113T04-07,167
20191113T03-07,173
20191113T02-07,178
20191113T01-07,156
20191112T23-07,146
20191112T22-07,160
20191112T21-07,163
20191112T20-07,172
20191112T19-07,145
20191112T18-07,76
20191112T17-07,74
20191112T16-07,64
20191112T15-07,45
20191112T14-07,61
20191112T13-07,51
20191112T12-07,107
20191112T11-07,164
20191112T10-07,164
20191112T09-07,156
20191112T08-07,150
20191112T07-07,166
20191112T06-07,175
20191112T05-07,175
20191112T04-07,177
20191112T03-07,178
20191112T02-07,174
20191112T01-07,177
20191111T23-07,172
20191111T22-07,158
20191111T21-07,166
20191111T20-07,154
20191111T19-07,159
20191111T18-07,174
20191111T17-07,169
20191111T16-07,155
20191111T15-07,147
20191111T14-07,128
20191111T13-07,83
20191111T12-07,63
20191111T11-07,49
20191111T10-07,18
20191111T09-07,1
20191111T08-07,0
20191111T07-07,0
20191111T06-07,0
20191111T05-07,0
20191111T04-07,0
20191111T03-07,0
20191111T02-07,0
20191111T01-07,0
20191110T23-07,0
20191110T22-07,0
20191110T21-07,0
20191110T20-07,0
20191110T19-07,0
20191110T18-07,0
20191110T17-07,0
20191110T16-07,0
20191110T15-07,0
20191110T14-07,0
20191110T13-07,0
20191110T12-07,0
20191110T11-07,0
20191110T10-07,0
20191110T09-07,0
20191110T08-07,0
20191110T07-07,0
20191110T06-07,0
20191110T05-07,0
20191110T04-07,0
20191110T03-07,0
20191110T02-07,0
20191110T01-07,0
20191109T23-07,0
20191109T22-07,0
20191109T21-07,0
20191109T20-07,0
20191109T19-07,0
20191109T18-07,0
20191109T17-07,5
20191109T16-07,18
20191109T15-07,45
20191109T14-07,78
20191109T13-07,92
20191109T12-07,111
20191109T11-07,143
20191109T10-07,158
20191109T09-07,173
20191109T08-07,179
20191109T07-07,178
20191109T06-07,179
20191109T05-07,180
20191109T04-07,172
20191109T03-07,176
20191109T02-07,170
20191109T01-07,169
20191108T23-07,178
20191108T22-07,180
20191108T21-07,174
20191108T20-07,179
20191108T19-07,180
20191108T18-07,180
20191108T17-07,180
20191108T16-07,181
20191108T15-07,180
20191108T14-07,179
20191108T13-07,168
20191108T12-07,157
20191108T11-07,163
20191108T10-07,149
20191108T09-07,135
20191108T08-07,131
20191108T07-07,141
20191108T06-07,147
20191108T05-07,165
20191108T04-07,174
20191108T03-07,179
20191108T02-07,177
20191108T01-07,177
20191107T23-07,180
20191107T22-07,177
20191107T21-07,174
20191107T20-07,172
20191107T19-07,180
20191107T18-07,180
20191107T17-07,164
20191107T16-07,136
20191107T15-07,112
20191107T14-07,88
20191107T13-07,58
20191107T12-07,81
20191107T11-07,88
20191107T10-07,64
20191107T09-07,98
20191107T08-07,108
20191107T07-07,73
20191107T06-07,110
20191107T05-07,125
20191107T04-07,130
20191107T03-07,95
20191107T02-07,73
20191107T01-07,35
20191106T23-07,60
20191106T22-07,21
20191106T21-07,0
20191106T20-07,7
20191106T19-07,25
20191106T18-07,35
20191106T17-07,48
20191106T16-07,48
20191106T15-07,47
20191106T14-07,41
20191106T13-07,13
20191106T12-07,4
20191106T11-07,2
20191106T10-07,1
20191106T09-07,0
20191106T08-07,0
20191106T07-07,0
20191106T06-07,0
20191106T05-07,0
20191106T04-07,2
20191106T03-07,5
20191106T02-07,9
20191106T01-07,14
20191105T23-07,37
20191105T22-07,51
20191105T21-07,67
20191105T20-07,65
20191105T19-07,82
20191105T18-07,71
20191105T17-07,75
20191105T16-07,102
20191105T15-07,118
20191105T14-07,122
20191105T13-07,98
20191105T12-07,54
20191105T11-07,40
20191105T10-07,52
20191105T09-07,43
20191105T08-07,5
20191105T07-07,0
20191105T06-07,0
20191105T05-07,0
20191105T04-07,0
20191105T03-07,4
20191105T02-07,8
20191105T01-07,5
20191104T23-07,16
20191104T22-07,7
20191104T21-07,1
20191104T20-07,4
20191104T19-07,8
20191104T18-07,11
20191104T17-07,12
20191104T16-07,8
20191104T15-07,5
20191104T14-07,4
20191104T13-07,5
20191104T12-07,7
20191104T11-07,7
20191104T10-07,4
20191104T09-07,8
20191104T08-07,12
20191104T07-07,14
20191104T06-07,2
20191104T05-07,2
20191104T04-07,1
20191104T03-07,0
20191104T02-07,0
20191104T01-07,0
20191103T01-06,167
20191102T23-06,174
20191102T22-06,162
20191102T21-06,152
20191102T20-06,160
20191102T19-06,172
20191102T18-06,177
20191102T17-06,163
20191102T16-06,137
20191102T15-06,96
20191102T14-06,95
20191102T13-06,123
20191102T12-06,129
20191102T11-06,117
20191102T10-06,96
20191102T09-06,100
20191102T08-06,142
20191102T07-06,130
20191102T06-06,127
20191102T05-06,150
20191102T04-06,157
20191102T03-06,161
20191102T02-06,167
20191102T01-06,179
20191101T23-06,114
20191101T22-06,117
20191101T21-06,155
20191101T20-06,163
20191101T19-06,167
20191101T18-06,159
20191101T17-06,87
20191101T16-06,36
20191101T15-06,18
20191101T14-06,27
20191101T13-06,27
20191101T12-06,30
20191101T11-06,47
20191101T10-06,44
20191101T09-06,72
20191101T08-06,87
20191101T07-06,84
20191101T06-06,35
20191101T05-06,56
20191101T04-06,89
20191101T03-06,89
20191101T02-06,103
20191101T01-06,70
20191031T23-06,166
20191031T22-06,168
20191031T21-06,169
20191031T20-06,123
20191031T19-06,142
20191031T18-06,112
20191031T17-06,103
20191031T16-06,70
20191031T15-06,10
20191031T14-06,0
20191031T13-06,6
20191031T12-06,56
20191031T11-06,154
20191031T10-06,129
20191031T09-06,169
20191031T08-06,175
20191031T07-06,163
20191031T06-06,179
20191031T05-06,166
20191031T04-06,160
20191031T03-06,162
20191031T02-06,164
20191031T01-06,169
20191030T23-06,176
20191030T22-06,179
20191030T21-06,179
20191030T20-06,178
20191030T19-06,179
20191030T18-06,179
20191030T17-06,165
20191030T16-06,132
