,coal,natural gas,nuclear,other,solar,hydro,wind
20191026T20-05,6979,14823,3756,7,0,46,9781
20191026T19-05,7535,15745,3754,11,317,46,6973
20191026T18-05,7104,15254,3751,11,1061,10,6996
20191026T17-05,6648,15229,3751,11,1341,8,6908
20191026T16-05,6670,15415,3757,13,1479,7,6361
20191026T15-05,6957,15587,3758,12,1481,7,6097
20191026T14-05,7861,16011,3758,11,1479,7,5056
20191026T13-05,9028,16427,3757,8,1493,0,3990
20191026T12-05,9962,16697,3758,8,1516,4,3534
20191026T11-05,10370,17399,3758,7,1508,61,3177
20191026T10-05,10477,16807,3757,12,1224,27,4270
20191026T09-05,10148,15767,3757,9,259,27,6194
20191026T08-05,9522,14701,3758,9,0,27,7015
20191026T07-05,8876,13239,3757,12,0,26,7261
20191026T06-05,7997,12606,3757,11,0,0,7528
20191026T05-05,7860,12356,3757,10,0,0,7201
20191026T04-05,8287,12375,3758,9,0,0,6378
20191026T03-05,8671,12605,3758,9,0,1,5949
20191026T02-05,8641,13286,3757,9,0,23,5866
20191026T01-05,9483,13501,3757,11,0,7,5859
20191026T00-05,9643,14106,3757,13,0,7,6777
20191025T23-05,9568,14699,3757,10,0,7,7900
20191025T22-05,9931,14850,3756,11,0,7,8816
20191025T21-05,10355,14884,3756,12,0,7,9253
20191025T20-05,10188,15272,3755,17,1,7,9390
20191025T19-05,7640,14660,3755,25,322,7,11809
20191025T18-05,6191,12902,3756,23,1076,7,14055
20191025T17-05,6040,11617,3755,14,1302,7,15112
20191025T16-05,5769,11468,3755,13,1304,7,15498
20191025T15-05,5986,11189,3755,14,1326,7,15824
20191025T14-05,6244,11095,3755,12,1296,7,15959
20191025T13-05,6314,11089,3754,10,1316,0,16081
20191025T12-05,6490,11196,3753,10,1331,1,16162
20191025T11-05,6663,11029,3754,10,1307,61,16288
20191025T10-05,6469,11050,3753,9,996,27,16509
20191025T09-05,6118,11364,3752,10,211,27,16921
20191025T08-05,5983,10845,3751,9,0,27,17281
20191025T07-05,5659,9698,3751,9,0,27,16611
20191025T06-05,5361,8280,3751,11,0,0,15093
20191025T05-05,5180,7706,3750,8,0,0,14113
20191025T04-05,5348,7450,3750,8,0,0,14018
20191025T03-05,5596,6659,3748,16,0,0,15017
20191025T02-05,5759,7201,3745,18,0,25,15171
20191025T01-05,6215,8497,3744,20,0,7,14775
20191025T00-05,6320,10116,3744,9,0,7,14914
20191024T23-05,6793,11915,3744,8,0,7,15594
20191024T22-05,7376,13392,3743,10,0,7,16365
20191024T21-05,8298,14496,3744,7,0,7,16480
20191024T20-05,8317,15373,3744,8,0,20,16711
20191024T19-05,8429,15712,3744,8,33,5,16425
20191024T18-05,8521,16167,3744,9,103,5,16358
20191024T17-05,9095,17047,3744,11,216,5,15004
20191024T16-05,9197,17408,3745,10,210,5,14287
20191024T15-05,9387,16564,3744,13,206,5,14685
20191024T14-05,8797,15560,3744,14,219,5,15667
20191024T13-05,8940,14877,3744,13,364,0,14771
20191024T12-05,8678,13775,3740,12,456,37,14850
20191024T11-05,8667,13072,3745,11,329,62,14078
20191024T10-05,8713,12591,3745,10,251,27,13299
20191024T09-05,8211,12496,3746,10,70,26,12816
20191024T08-05,8103,12699,3745,9,0,26,12722
20191024T07-05,7599,12490,3745,13,0,26,11689
20191024T06-05,7432,10478,3745,11,0,0,11044
20191024T05-05,6719,9099,3745,12,0,0,11435
20191024T04-05,6523,8620,3744,9,0,0,11791
20191024T03-05,6614,8618,3744,11,0,5,12068
20191024T02-05,7035,8652,3744,9,0,20,12415
20191024T01-05,7855,9028,3744,14,0,5,12734
20191024T00-05,8196,10603,3744,13,0,5,12962
20191023T23-05,8244,12472,3744,9,0,5,13944
20191023T22-05,9057,14061,3744,10,0,5,14293
20191023T21-05,9850,16401,3744,10,0,5,12949
20191023T20-05,11206,18564,3744,13,1,5,10240
20191023T19-05,11339,18534,3744,12,318,5,9647
20191023T18-05,11306,18097,3743,15,1094,7,10140
20191023T17-05,11117,17764,3743,22,1369,45,10342
20191023T16-05,10404,16642,3743,26,1413,45,11123
20191023T15-05,9066,15809,3744,19,1397,44,12024
20191023T14-05,7681,15139,3743,13,1386,6,12981
20191023T13-05,7128,13453,3746,10,1386,0,14057
20191023T12-05,7016,12326,3748,10,1189,45,14470
20191023T11-05,6680,11947,3748,14,1051,63,14216
20191023T10-05,6645,12030,3746,14,814,27,13346
20191023T09-05,6214,11513,3746,14,166,27,14411
20191023T08-05,6362,11054,3746,16,0,27,14836
20191023T07-05,6234,10180,3746,19,0,26,14520
20191023T06-05,5527,8725,3746,20,0,1,13427
20191023T05-05,5083,7972,3746,18,0,0,12840
20191023T04-05,4866,7744,3746,17,0,1,12608
20191023T03-05,4885,7716,3746,16,0,1,12431
20191023T02-05,5141,8006,3747,14,0,24,12465
