,hydro,wind
20191024T07Z,677,0
20191024T06Z,751,0
20191024T05Z,768,0
20191024T04Z,809,0
20191024T03Z,825,0
20191024T02Z,744,0
20191024T01Z,617,0
20191024T00Z,576,0
20191023T23Z,633,0
20191023T22Z,616,0
20191023T21Z,536,0
20191023T20Z,553,0
20191023T19Z,700,0
20191023T18Z,771,0
20191023T17Z,754,0
20191023T16Z,681,0
20191023T15Z,744,0
20191023T14Z,588,0
20191023T13Z,671,1
20191023T12Z,701,0
20191023T11Z,398,0
20191023T10Z,367,1
20191023T09Z,310,2
20191023T08Z,208,1
20191023T07Z,301,2
20191023T06Z,409,0
20191023T05Z,604,0
20191023T04Z,641,0
20191023T03Z,613,0
20191023T02Z,529,0
20191023T01Z,424,3
20191023T00Z,421,4
20191022T23Z,376,4
20191022T22Z,363,6
20191022T21Z,404,6
20191022T20Z,323,7
20191022T19Z,405,8
20191022T18Z,402,8
20191022T17Z,430,8
20191022T16Z,519,7
20191022T15Z,441,7
20191022T14Z,290,8
20191022T13Z,328,8
20191022T12Z,356,7
20191022T11Z,274,8
20191022T10Z,213,8
20191022T09Z,398,8
20191022T08Z,459,8
20191022T07Z,286,8
20191022T06Z,445,7
20191022T05Z,604,8
20191022T04Z,654,8
20191022T03Z,659,8
20191022T02Z,737,8
20191022T01Z,773,7
20191022T00Z,798,7
20191021T23Z,699,6
20191021T22Z,582,5
20191021T21Z,418,5
20191021T20Z,523,6
20191021T19Z,641,5
20191021T18Z,839,4
20191021T17Z,793,5
20191021T16Z,829,7
20191021T15Z,537,5
20191021T14Z,551,5
20191021T13Z,562,5
20191021T12Z,511,2
20191021T11Z,400,4
20191021T10Z,304,7
20191021T09Z,274,7
20191021T08Z,344,8
20191021T07Z,558,8
20191021T06Z,694,8
20191021T05Z,791,7
20191021T04Z,857,7
20191021T03Z,963,7
20191021T02Z,920,6
20191021T01Z,953,3
20191021T00Z,821,2
20191020T23Z,611,2
20191020T22Z,484,2
20191020T21Z,375,1
20191020T20Z,411,4
20191020T19Z,573,6
20191020T18Z,593,7
20191020T17Z,580,5
20191020T16Z,551,6
20191020T15Z,541,5
20191020T14Z,473,7
20191020T13Z,345,7
20191020T12Z,326,7
20191020T11Z,299,8
20191020T10Z,369,7
