,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191030T19Z,689,1897,2667,0.0,612,581,-1
20191030T18Z,687,1852,2661,0.0,616,607,0
20191030T17Z,687,1792,2671,0.0,618,560,0
20191030T16Z,683,1736,2671,0.0,615,492,0
20191030T15Z,685,1704,2674,0.0,620,340,0
20191030T14Z,684,1553,2674,0.0,619,181,22
20191030T13Z,685,1353,2673,0.0,619,56,23
20191030T12Z,678,1151,2672,0.0,583,17,20
20191030T11Z,662,721,2674,-1.0,568,0,20
20191030T10Z,626,207,2671,-1.0,495,0,0
20191030T09Z,504,196,2670,0.0,493,0,0
20191030T08Z,417,196,2670,-1.0,484,0,0
20191030T07Z,270,197,2670,-1.0,486,0,0
20191030T06Z,293,197,2672,-2.0,497,0,0
20191030T05Z,379,790,2670,0.0,553,0,0
20191030T04Z,295,1607,2673,0.0,605,0,0
20191030T03Z,345,2177,2672,0.0,639,0,0
20191030T02Z,546,2243,2672,0.0,651,0,18
20191030T01Z,641,2251,2670,0.0,647,0,42
20191030T00Z,680,2293,2670,0.0,622,26,40
20191029T23Z,679,2226,2670,0.0,624,27,42
20191029T22Z,673,2091,2670,0.0,611,97,42
20191029T21Z,668,2057,2671,0.0,610,214,43
20191029T20Z,670,2099,2678,0.0,610,307,42
20191029T19Z,671,2188,2672,0.0,615,432,2
20191029T18Z,631,2223,2677,0.0,628,682,0
20191029T17Z,574,2240,2677,0.0,637,894,0
20191029T16Z,523,2253,2683,0.0,642,924,0
20191029T15Z,387,2305,2683,0.0,639,781,-1
20191029T14Z,354,2268,2688,0.0,639,576,1
20191029T13Z,459,2288,2679,0.0,636,269,21
20191029T12Z,571,2326,2674,0.0,637,45,22
20191029T11Z,324,2029,2673,0.0,675,0,0
20191029T10Z,123,1607,2671,0.0,670,0,0
20191029T09Z,108,1492,2672,0.0,662,0,0
20191029T08Z,107,1478,2673,0.0,651,0,0
20191029T07Z,107,1480,2671,0.0,649,0,0
20191029T06Z,141,1397,2673,0.0,650,0,-1
20191029T05Z,370,1273,2674,0.0,638,0,0
20191029T04Z,467,1393,2675,0.0,643,0,0
20191029T03Z,496,1500,2676,0.0,659,0,0
20191029T02Z,602,1577,2673,0.0,674,0,0
20191029T01Z,521,2070,2668,0.0,670,0,4
20191029T00Z,512,2333,2668,0.0,631,38,22
20191028T23Z,503,2330,2669,0.0,634,49,11
20191028T22Z,463,2195,2667,-2.0,629,379,0
20191028T21Z,587,2124,2672,-2.0,629,987,0
20191028T20Z,580,1998,2671,-2.0,626,1579,-1
20191028T19Z,511,1622,2669,0.0,604,1936,0
20191028T18Z,286,1494,2671,0.0,613,2110,0
20191028T17Z,234,1439,2673,0.0,631,2132,0
20191028T16Z,224,1387,2674,-2.0,630,2018,0
20191028T15Z,225,1388,2675,-2.0,628,1743,0
20191028T14Z,265,1626,2676,-1.0,630,1244,7
20191028T13Z,357,2041,2672,-1.0,625,451,13
20191028T12Z,338,2285,2673,-1.0,632,31,21
20191028T11Z,234,2186,2674,0.0,645,0,1
20191028T10Z,208,1473,2671,-1.0,649,0,0
20191028T09Z,106,1146,2675,-2.0,637,0,0
20191028T08Z,103,1068,2670,-2.0,607,0,0
20191028T07Z,104,1001,2674,-2.0,578,0,-1
20191028T06Z,186,1100,2672,0.0,577,0,0
20191028T05Z,434,1335,2674,0.0,567,0,0
20191028T04Z,457,1796,2674,0.0,568,0,0
20191028T03Z,644,1920,2674,0.0,582,0,0
20191028T02Z,667,2249,2674,0.0,586,0,0
20191028T01Z,667,2245,2671,0.0,587,0,-1
20191028T00Z,625,2388,2672,0.0,562,20,47
20191027T23Z,470,2398,2673,0.0,566,30,19
20191027T22Z,469,2404,2671,0.0,554,328,0
20191027T21Z,429,2380,2674,0.0,550,901,0
20191027T20Z,415,2329,2673,0.0,547,1212,0
20191027T19Z,416,2173,2673,0.0,550,1166,0
20191027T18Z,410,2180,2677,0.0,550,944,-1
20191027T17Z,390,2197,2675,0.0,554,876,0
20191027T16Z,385,2200,2679,0.0,552,752,0
20191027T15Z,277,2177,2682,0.0,540,619,0
20191027T14Z,212,2117,2684,0.0,527,376,0
20191027T13Z,108,1729,2679,0.0,538,102,14
20191027T12Z,73,1355,2679,0.0,551,17,21
20191027T11Z,59,1357,2677,0.0,571,0,1
20191027T10Z,0,1346,2678,0.0,562,0,0
20191027T09Z,-30,1341,2678,0.0,566,0,0
20191027T08Z,-41,1354,2673,0.0,570,0,0
20191027T07Z,-44,1364,2676,0.0,568,0,0
20191027T06Z,-49,1352,2677,0.0,572,0,-1
20191027T05Z,-50,1361,2675,0.0,564,0,0
20191027T04Z,-45,1681,2678,0.0,567,0,0
20191027T03Z,-34,2047,2674,0.0,564,0,0
20191027T02Z,81,2087,2677,0.0,565,0,0
20191027T01Z,346,2184,2675,0.0,564,0,1
20191027T00Z,528,2260,2675,0.0,545,19,17
20191026T23Z,581,2209,2676,0.0,544,22,14
20191026T22Z,623,2078,2673,0.0,545,181,0
20191026T21Z,526,2119,2681,0.0,543,488,0
20191026T20Z,592,1574,2675,0.0,542,623,0
20191026T19Z,616,1336,2676,0.0,545,880,0
20191026T18Z,426,1242,2676,0.0,544,1237,0
20191026T17Z,235,1180,2676,0.0,553,1717,-1
20191026T16Z,239,1028,2678,0.0,536,1904,0
20191026T15Z,359,868,2678,0.0,523,1685,0
20191026T14Z,387,878,2682,0.0,528,1200,0
20191026T13Z,447,920,2678,0.0,538,436,17
20191026T12Z,590,695,2679,0.0,546,34,22
20191026T11Z,484,704,2678,0.0,576,0,0
20191026T10Z,398,695,2682,0.0,567,0,0
20191026T09Z,388,610,2677,0.0,544,0,0
20191026T08Z,387,608,2675,0.0,547,0,0
20191026T07Z,408,644,2678,0.0,551,0,0
20191026T06Z,392,706,2676,0.0,613,0,0
20191026T05Z,395,902,2678,0.0,736,0,-1
20191026T04Z,444,1282,2679,0.0,931,0,0
20191026T03Z,609,1338,2677,0.0,1032,0,0
20191026T02Z,658,1380,2673,0.0,1083,0,0
20191026T01Z,657,1542,2678,0.0,1115,0,5
20191026T00Z,657,1787,2675,0.0,1213,22,19
20191025T23Z,658,1679,2676,0.0,1248,34,12
20191025T22Z,623,1602,2679,0.0,1256,288,0
20191025T21Z,482,1562,2680,0.0,1271,773,0
20191025T20Z,451,1553,2675,0.0,1268,1193,0
20191025T19Z,457,1527,2679,0.0,1252,1436,0
20191025T18Z,273,1541,2678,0.0,1261,1492,0
20191025T17Z,235,1555,2679,0.0,1255,1627,-1
20191025T16Z,345,1543,2680,0.0,1188,1619,0
20191025T15Z,639,1464,2679,0.0,1141,1344,0
20191025T14Z,657,1575,2681,-1.0,1183,866,0
20191025T13Z,656,1625,2679,-1.0,1187,357,16
20191025T12Z,661,1600,2683,0.0,1185,35,19
20191025T11Z,622,1662,2680,-1.0,1218,0,0
20191025T10Z,410,1669,2679,-1.0,1210,0,0
20191025T09Z,248,1608,2680,0.0,1057,0,-1
20191025T08Z,235,1501,2678,0.0,1016,0,0
20191025T07Z,235,1551,2677,-1.0,1038,0,0
20191025T06Z,245,1557,2681,-1.0,1039,0,0
20191025T05Z,356,1605,2677,0.0,1071,0,0
20191025T04Z,435,1628,2676,0.0,1182,0,0
20191025T03Z,534,1599,2679,0.0,1221,0,0
20191025T02Z,656,1834,2678,0.0,1295,0,0
20191025T01Z,663,2052,2677,0.0,1302,0,0
20191025T00Z,661,2095,2678,0.0,1272,21,21
20191024T23Z,645,2186,2678,0.0,1274,39,21
