,coal,natural gas,other,hydro
20191106T00Z,212,124,5,0
20191105T23Z,210,76,5,0
20191105T22Z,211,75,5,0
20191105T21Z,212,76,5,0
20191105T20Z,212,75,4,0
20191105T19Z,209,76,5,0
20191105T18Z,211,75,5,0
20191105T17Z,211,76,4,0
20191105T16Z,205,73,4,0
20191105T15Z,186,63,5,0
20191105T14Z,187,63,5,0
20191105T13Z,187,63,5,0
20191105T12Z,185,63,4,0
20191105T11Z,144,62,5,0
20191105T10Z,140,63,5,0
20191105T09Z,146,63,5,0
20191105T08Z,185,63,4,0
20191105T07Z,184,63,5,0
20191105T06Z,189,62,5,0
20191105T05Z,201,101,5,0
20191105T04Z,201,154,5,0
20191105T03Z,202,173,4,0
20191105T02Z,196,177,5,0
20191105T01Z,199,169,5,0
20191105T00Z,202,132,5,0
20191104T23Z,199,72,4,0
20191104T22Z,201,68,5,0
20191104T21Z,201,68,5,0
20191104T20Z,200,67,4,0
20191104T19Z,200,68,5,0
20191104T18Z,199,68,4,0
20191104T17Z,200,67,3,0
20191104T16Z,198,69,4,0
20191104T15Z,186,99,5,0
20191104T14Z,188,103,4,0
20191104T13Z,186,103,5,0
20191104T12Z,184,97,5,0
20191104T11Z,188,93,5,0
20191104T10Z,188,83,4,0
20191104T09Z,187,67,5,0
20191104T08Z,186,67,5,0
20191104T07Z,188,67,5,0
20191104T06Z,188,89,5,0
20191104T05Z,184,168,4,0
20191104T04Z,185,200,5,0
20191104T03Z,203,215,5,0
20191104T02Z,199,214,5,0
20191104T01Z,200,151,4,0
20191104T00Z,188,57,5,0
20191103T23Z,175,64,5,0
20191103T22Z,176,63,5,0
20191103T21Z,177,64,4,0
20191103T20Z,176,64,5,0
20191103T19Z,171,63,5,0
20191103T18Z,137,84,5,0
20191103T17Z,134,112,5,0
20191103T16Z,135,197,4,0
20191103T15Z,134,199,5,0
20191103T14Z,135,217,5,0
20191103T13Z,134,209,5,0
20191103T12Z,139,168,4,0
20191103T11Z,136,124,5,0
20191103T10Z,181,70,5,0
20191103T09Z,159,72,5,0
20191103T08Z,108,103,4,0
20191103T07Z,133,78,5,0
20191103T06Z,138,64,5,0
20191103T05Z,144,63,5,0
20191103T04Z,184,65,5,0
20191103T03Z,196,70,4,0
20191103T02Z,188,94,5,0
20191103T01Z,177,103,5,0
20191103T00Z,182,102,5,0
20191102T23Z,177,63,5,0
20191102T22Z,176,69,5,0
20191102T21Z,176,67,4,0
20191102T20Z,175,66,5,0
20191102T19Z,187,71,5,0
20191102T18Z,202,176,5,0
20191102T17Z,200,200,5,0
20191102T16Z,200,283,5,0
20191102T15Z,199,304,5,0
20191102T14Z,197,269,4,0
20191102T13Z,201,253,5,0
20191102T12Z,203,242,5,0
20191102T11Z,184,252,5,0
20191102T10Z,174,266,4,0
20191102T09Z,158,261,5,0
20191102T08Z,147,257,5,0
20191102T07Z,123,256,5,0
20191102T06Z,124,266,5,0
20191102T05Z,90,339,4,0
20191102T04Z,37,389,5,0
20191102T03Z,13,398,5,0
20191102T02Z,-1,381,5,0
20191102T01Z,-16,390,4,0
20191102T00Z,-12,425,5,0
20191101T23Z,-14,328,5,0
20191101T22Z,-14,308,5,0
20191101T21Z,-11,310,4,0
20191101T20Z,-11,298,5,0
20191101T19Z,-14,304,5,0
20191101T18Z,-11,349,5,0
20191101T17Z,-10,414,5,0
20191101T16Z,-10,463,4,0
20191101T15Z,-11,485,5,0
20191101T14Z,-11,476,5,0
20191101T13Z,-9,475,5,0
20191101T12Z,-10,493,4,0
20191101T11Z,-8,432,5,0
20191101T10Z,-13,307,5,0
20191101T09Z,-10,232,5,0
20191101T08Z,-9,206,4,0
20191101T07Z,-11,204,5,0
20191101T06Z,-8,210,5,0
20191101T05Z,-12,302,5,0
20191101T04Z,-9,385,5,0
20191101T03Z,-10,389,4,0
20191101T02Z,-9,385,5,0
20191101T01Z,-12,334,5,0
20191101T00Z,-12,333,5,0
20191031T23Z,-14,325,4,0
20191031T22Z,-12,345,5,0
20191031T21Z,-16,337,5,0
20191031T20Z,-15,348,5,0
20191031T19Z,-15,372,5,0
20191031T18Z,-14,413,4,0
20191031T17Z,-14,413,5,0
20191031T16Z,-15,412,5,0
20191031T15Z,-11,371,4,0
20191031T14Z,97,257,5,0
20191031T13Z,194,153,5,0
20191031T12Z,189,102,5,0
20191031T11Z,149,102,4,0
20191031T10Z,134,85,5,0
20191031T09Z,138,68,5,0
20191031T08Z,135,67,5,0
20191031T07Z,135,67,5,0
