,coal,natural gas,solar
20191026T08-04,551,71,0
20191026T07-04,557,-6,0
20191026T06-04,530,-6,0
20191026T05-04,531,-6,0
20191026T04-04,541,-6,0
20191026T03-04,563,-6,0
20191026T02-04,595,-5,0
20191026T01-04,600,-6,0
20191026T00-04,572,136,0
20191025T23-04,587,227,0
20191025T22-04,604,227,0
20191025T21-04,595,227,0
20191025T20-04,607,226,0
20191025T19-04,603,223,0
20191025T18-04,626,257,1
20191025T17-04,626,295,1
20191025T16-04,627,190,1
20191025T15-04,625,208,1
20191025T14-04,626,272,1
20191025T13-04,629,276,1
20191025T12-04,630,325,1
20191025T11-04,631,253,1
20191025T10-04,603,225,1
20191025T09-04,616,195,0
20191025T08-04,627,82,0
20191025T07-04,583,-6,0
20191025T06-04,507,-5,0
20191025T05-04,466,-5,0
20191025T04-04,467,-5,0
20191025T03-04,480,-5,0
20191025T02-04,516,-6,0
20191025T01-04,564,-6,0
20191025T00-04,548,146,0
20191024T23-04,580,237,0
20191024T22-04,575,281,0
20191024T21-04,611,257,0
20191024T20-04,622,224,0
20191024T19-04,595,261,0
20191024T18-04,610,328,0
20191024T17-04,625,330,1
20191024T16-04,615,324,1
20191024T15-04,597,324,1
20191024T14-04,600,325,2
20191024T13-04,601,326,1
20191024T12-04,566,237,1
20191024T11-04,576,223,1
20191024T10-04,524,198,1
20191024T09-04,515,120,0
20191024T08-04,521,89,0
20191024T07-04,489,-6,0
20191024T06-04,390,-5,0
20191024T05-04,320,-5,0
20191024T04-04,321,-5,0
20191024T03-04,335,-5,0
20191024T02-04,386,-5,0
20191024T01-04,444,-5,0
20191024T00-04,466,151,0
20191023T23-04,525,223,0
20191023T22-04,590,253,0
20191023T21-04,587,311,0
20191023T20-04,627,303,0
20191023T19-04,634,329,0
20191023T18-04,632,329,1
20191023T17-04,633,328,1
20191023T16-04,631,322,2
20191023T15-04,632,223,2
20191023T14-04,632,225,2
20191023T13-04,632,227,2
20191023T12-04,632,228,2
20191023T11-04,632,230,2
20191023T10-04,634,215,1
20191023T09-04,633,138,0
20191023T08-04,625,82,0
20191023T07-04,590,-5,0
20191023T06-04,522,-5,0
20191023T05-04,491,-5,0
20191023T04-04,511,-5,0
20191023T03-04,571,-5,0
20191023T02-04,615,-5,0
20191023T01-04,627,-5,0
20191023T00-04,554,178,0
20191022T23-04,571,268,0
20191022T22-04,572,313,0
20191022T21-04,611,316,0
20191022T20-04,624,278,0
20191022T19-04,615,323,0
20191022T18-04,611,325,1
20191022T17-04,568,323,1
20191022T16-04,567,323,1
20191022T15-04,542,322,1
20191022T14-04,607,323,1
20191022T13-04,614,323,2
20191022T12-04,614,275,2
20191022T11-04,566,277,1
20191022T10-04,443,278,0
20191022T09-04,509,211,0
20191022T08-04,567,187,0
20191022T07-04,572,55,0
20191022T06-04,519,-5,0
20191022T05-04,480,-5,0
20191022T04-04,462,-5,0
20191022T03-04,470,-5,0
20191022T02-04,497,-5,0
20191022T01-04,514,42,0
20191022T00-04,441,185,0
20191021T23-04,507,228,0
20191021T22-04,570,265,0
20191021T21-04,628,320,0
20191021T20-04,628,316,0
20191021T19-04,627,274,0
20191021T18-04,628,245,0
20191021T17-04,605,220,1
20191021T16-04,604,219,1
20191021T15-04,580,219,1
20191021T14-04,571,220,1
20191021T13-04,518,219,1
20191021T12-04,479,220,2
20191021T11-04,478,183,1
20191021T10-04,476,81,1
20191021T09-04,496,-4,0
20191021T08-04,479,-5,0
20191021T07-04,420,-4,0
20191021T06-04,342,-5,0
20191021T05-04,319,-4,0
20191021T04-04,318,-5,0
20191021T03-04,322,-4,0
20191021T02-04,322,-5,0
20191021T01-04,344,-3,0
20191021T00-04,445,182,0
20191020T23-04,500,229,0
20191020T22-04,571,228,0
20191020T21-04,598,227,0
20191020T20-04,614,232,0
20191020T19-04,587,322,0
20191020T18-04,599,323,1
20191020T17-04,607,272,2
20191020T16-04,599,247,2
20191020T15-04,599,264,2
20191020T14-04,598,223,1
20191020T13-04,595,220,2
20191020T12-04,589,224,1
20191020T11-04,568,188,1
20191020T10-04,584,85,1
20191020T09-04,535,-5,0
20191020T08-04,466,-3,0
20191020T07-04,443,-2,0
20191020T06-04,420,-4,0
20191020T05-04,406,-5,0
20191020T04-04,428,-4,0
20191020T03-04,456,-5,0
20191020T02-04,497,-4,0
20191020T01-04,547,-5,0
20191020T00-04,519,178,0
20191019T23-04,565,227,0
20191019T22-04,577,225,0
20191019T21-04,605,223,0
20191019T20-04,606,242,0
20191019T19-04,590,321,0
20191019T18-04,613,328,0
20191019T17-04,617,319,1
20191019T16-04,616,247,1
20191019T15-04,606,222,1
20191019T14-04,542,223,1
20191019T13-04,434,222,1
20191019T12-04,331,210,1
20191019T11-04,322,227,0
20191019T10-04,323,224,0
20191019T09-04,360,159,0
20191019T08-04,381,122,0
20191019T07-04,435,-4,0
20191019T06-04,405,-4,0
20191019T05-04,384,-4,0
20191019T04-04,384,-4,0
20191019T03-04,386,-4,0
20191019T02-04,400,-4,0
20191019T01-04,428,-4,0
20191019T00-04,435,75,0
20191018T23-04,510,112,0
20191018T22-04,513,112,0
20191018T21-04,550,112,0
20191018T20-04,572,112,0
20191018T19-04,559,112,0
20191018T18-04,520,111,0
20191018T17-04,456,111,0
20191018T16-04,425,112,0
20191018T15-04,432,162,0
20191018T14-04,454,187,1
20191018T13-04,423,111,1
20191018T12-04,409,112,1
20191018T11-04,419,113,1
20191018T10-04,415,114,0
20191018T09-04,399,114,0
20191018T08-04,401,99,0
20191018T07-04,391,43,0
20191018T06-04,359,-4,0
20191018T05-04,327,-4,0
20191018T04-04,323,-4,0
20191018T03-04,323,-4,0
20191018T02-04,357,-4,0
20191018T01-04,418,-4,0
20191018T00-04,397,74,0
20191017T23-04,480,113,0
20191017T22-04,549,113,0
20191017T21-04,611,135,0
20191017T20-04,631,162,0
20191017T19-04,632,161,0
20191017T18-04,633,160,1
20191017T17-04,632,159,1
20191017T16-04,633,184,1
20191017T15-04,633,186,0
20191017T14-04,617,110,1
20191017T13-04,571,110,2
20191017T12-04,558,111,2
20191017T11-04,531,112,1
20191017T10-04,509,112,1
20191017T09-04,472,100,0
20191017T08-04,491,38,0
20191017T07-04,465,-4,0
20191017T06-04,399,-5,0
20191017T05-04,371,-5,0
20191017T04-04,381,-5,0
20191017T03-04,395,-5,0
20191017T02-04,435,-5,0
20191017T01-04,494,3,0
20191017T00-04,526,182,0
20191016T23-04,578,301,0
20191016T22-04,606,335,0
20191016T21-04,619,333,0
20191016T20-04,613,303,0
20191016T19-04,611,275,0
20191016T18-04,626,245,1
20191016T17-04,625,223,2
20191016T16-04,625,288,1
20191016T15-04,614,295,1
20191016T14-04,579,334,1
20191016T13-04,602,358,1
20191016T12-04,627,385,1
20191016T11-04,627,325,1
20191016T10-04,620,240,1
20191016T09-04,615,164,0
20191016T08-04,626,85,0
20191016T07-04,602,-4,0
20191016T06-04,526,-5,0
20191016T05-04,487,-5,0
20191016T04-04,487,-4,0
20191016T03-04,500,-5,0
20191016T02-04,531,-4,0
20191016T01-04,561,-5,0
20191016T00-04,579,153,0
20191015T23-04,610,228,0
20191015T22-04,609,229,0
20191015T21-04,594,227,0
20191015T20-04,614,225,0
20191015T19-04,592,269,0
20191015T18-04,625,326,1
20191015T17-04,626,303,1
20191015T16-04,630,230,2
20191015T15-04,629,272,2
20191015T14-04,629,238,1
20191015T13-04,601,235,2
20191015T12-04,594,252,2
20191015T11-04,581,227,2
20191015T10-04,532,229,1
20191015T09-04,516,233,0
20191015T08-04,539,152,0
20191015T07-04,508,89,0
20191015T06-04,473,-5,0
20191015T05-04,443,-5,0
20191015T04-04,437,-5,0
20191015T03-04,457,-5,0
20191015T02-04,494,-5,0
20191015T01-04,556,-5,0
20191015T00-04,593,134,0
20191014T23-04,594,144,0
20191014T22-04,589,210,0
20191014T21-04,628,328,0
20191014T20-04,631,280,0
20191014T19-04,631,275,0
20191014T18-04,632,274,1
20191014T17-04,631,309,1
20191014T16-04,633,295,2
20191014T15-04,631,273,1
20191014T14-04,623,269,1
20191014T13-04,629,274,2
20191014T12-04,629,275,2
20191014T11-04,626,251,2
20191014T10-04,560,227,2
20191014T09-04,495,204,0
20191014T08-04,533,80,0
20191014T07-04,513,-5,0
20191014T06-04,457,-4,0
20191014T05-04,424,-5,0
20191014T04-04,419,-4,0
20191014T03-04,437,-5,0
20191014T02-04,474,-4,0
20191014T01-04,530,-5,0
20191014T00-04,531,147,0
20191013T23-04,588,284,0
20191013T22-04,576,283,0
20191013T21-04,606,282,0
20191013T20-04,603,256,0
20191013T19-04,629,277,0
20191013T18-04,628,276,1
20191013T17-04,630,276,1
20191013T16-04,628,276,1
20191013T15-04,629,258,1
20191013T14-04,622,223,2
20191013T13-04,593,224,2
20191013T12-04,612,225,2
20191013T11-04,602,226,2
20191013T10-04,540,222,2
20191013T09-04,455,187,0
20191013T08-04,425,80,0
20191013T07-04,402,-5,0
20191013T06-04,384,-4,0
20191013T05-04,382,-5,0
20191013T04-04,392,-4,0
20191013T03-04,418,-5,0
20191013T02-04,457,-5,0
20191013T01-04,509,-5,0
20191013T00-04,512,144,0
20191012T23-04,575,230,0
20191012T22-04,575,229,0
20191012T21-04,566,228,0
20191012T20-04,595,227,0
20191012T19-04,629,241,0
20191012T18-04,630,318,0
20191012T17-04,632,312,1
20191012T16-04,630,242,0
20191012T15-04,605,225,0
20191012T14-04,602,224,2
20191012T13-04,589,225,2
20191012T12-04,582,225,1
20191012T11-04,562,226,2
20191012T10-04,487,228,2
20191012T09-04,442,177,0
20191012T08-04,439,84,0
20191012T07-04,409,-5,0
20191012T06-04,385,-4,0
20191012T05-04,380,-5,0
20191012T04-04,391,-5,0
20191012T03-04,412,-5,0
20191012T02-04,450,-5,0
20191012T01-04,499,-5,0
20191012T00-04,464,198,0
20191011T23-04,542,286,0
20191011T22-04,557,336,0
20191011T21-04,615,335,0
20191011T20-04,616,332,0
20191011T19-04,629,328,0
20191011T18-04,632,326,1
20191011T17-04,632,325,1
20191011T16-04,631,325,2
20191011T15-04,631,325,2
20191011T14-04,630,305,1
20191011T13-04,631,247,1
20191011T12-04,612,224,2
20191011T11-04,568,226,1
20191011T10-04,516,227,2
20191011T09-04,488,209,0
20191011T08-04,532,86,0
20191011T07-04,492,-5,0
20191011T06-04,426,-4,0
20191011T05-04,375,-5,0
20191011T04-04,390,-5,0
20191011T03-04,407,-5,0
20191011T02-04,453,-5,0
20191011T01-04,556,-5,0
20191011T00-04,629,86,0
20191010T23-04,630,229,0
20191010T22-04,629,243,0
20191010T21-04,630,280,0
20191010T20-04,630,278,0
20191010T19-04,593,289,0
20191010T18-04,599,327,1
20191010T17-04,605,326,1
20191010T16-04,595,324,2
20191010T15-04,598,324,1
20191010T14-04,600,325,1
20191010T13-04,597,326,2
20191010T12-04,607,275,1
20191010T11-04,593,225,1
20191010T10-04,560,176,2
20191010T09-04,573,84,0
20191010T08-04,0,0,0
20191010T07-04,529,-5,0
20191010T06-04,454,-5,0
20191010T05-04,410,-5,0
20191010T04-04,403,-5,0
20191010T03-04,435,-5,0
20191010T02-04,469,-5,0
20191010T01-04,528,-5,0
20191010T00-04,625,83,0
20191009T23-04,630,229,0
20191009T22-04,632,229,0
20191009T21-04,631,237,0
20191009T20-04,623,229,0
20191009T19-04,609,225,0
20191009T18-04,606,229,0
20191009T17-04,604,231,0
20191009T16-04,607,217,0
20191009T15-04,604,48,0
20191009T14-04,625,178,1
20191009T13-04,628,223,1
20191009T12-04,604,224,1
20191009T11-04,583,226,1
20191009T10-04,546,188,0
20191009T09-04,560,93,0
20191009T08-04,598,-4,0
20191009T07-04,561,-4,0
20191009T06-04,482,-4,0
20191009T05-04,404,-4,0
20191009T04-04,389,-4,0
20191009T03-04,424,-4,0
20191009T02-04,509,-4,0
20191009T01-04,576,-4,0
20191009T00-04,556,40,0
20191008T23-04,611,237,0
20191008T22-04,597,229,0
20191008T21-04,586,229,0
20191008T20-04,613,229,0
20191008T19-04,582,256,0
20191008T18-04,568,315,1
20191008T17-04,583,324,1
20191008T16-04,594,314,1
20191008T15-04,615,248,1
20191008T14-04,604,223,2
20191008T13-04,598,224,1
20191008T12-04,584,226,1
20191008T11-04,579,226,1
20191008T10-04,537,228,0
20191008T09-04,567,179,0
20191008T08-04,612,79,0
20191008T07-04,553,-5,0
20191008T06-04,479,-4,0
20191008T05-04,433,-4,0
20191008T04-04,433,-4,0
20191008T03-04,449,-4,0
20191008T02-04,473,-5,0
20191008T01-04,512,-4,0
20191008T00-04,540,85,0
20191007T23-04,575,216,0
20191007T22-04,622,227,0
20191007T21-04,569,310,0
20191007T20-04,587,229,0
20191007T19-04,543,278,0
20191007T18-04,438,220,0
20191007T17-04,361,310,1
20191007T16-04,350,441,1
20191007T15-04,540,236,1
20191007T14-04,538,220,1
20191007T13-04,503,221,2
20191007T12-04,507,222,1
20191007T11-04,532,224,1
20191007T10-04,504,223,0
20191007T09-04,561,220,0
20191007T08-04,607,108,0
20191007T07-04,598,8,0
20191007T06-04,525,-4,0
20191007T05-04,484,-4,0
20191007T04-04,477,-4,0
20191007T03-04,494,-4,0
20191007T02-04,526,-5,0
20191007T01-04,577,-4,0
20191007T00-04,547,140,0
20191006T23-04,541,221,0
20191006T22-04,573,222,0
20191006T21-04,610,221,0
20191006T20-04,600,220,0
20191006T19-04,567,251,0
20191006T18-04,587,278,0
20191006T17-04,601,277,1
20191006T16-04,601,274,1
20191006T15-04,571,274,1
20191006T14-04,590,274,1
20191006T13-04,568,288,1
20191006T12-04,576,327,1
20191006T11-04,600,293,1
20191006T10-04,522,166,1
20191006T09-04,514,50,0
20191006T08-04,468,-4,0
20191006T07-04,407,-5,0
20191006T06-04,392,-4,0
20191006T05-04,393,-5,0
20191006T04-04,411,-5,0
20191006T03-04,437,-5,0
20191006T02-04,481,-5,0
20191006T01-04,506,-5,0
20191006T00-04,509,147,0
20191005T23-04,527,221,0
20191005T22-04,566,224,0
20191005T21-04,566,226,0
20191005T20-04,584,225,0
20191005T19-04,557,237,0
20191005T18-04,579,263,0
20191005T17-04,607,224,1
20191005T16-04,601,223,1
20191005T15-04,601,181,1
20191005T14-04,599,116,1
20191005T13-04,594,106,1
20191005T12-04,604,107,2
20191005T11-04,584,108,1
20191005T10-04,552,109,2
20191005T09-04,472,111,0
20191005T08-04,409,111,0
20191005T07-04,375,111,0
20191005T06-04,371,111,0
20191005T05-04,370,111,0
20191005T04-04,371,111,0
20191005T03-04,385,111,0
20191005T02-04,407,110,0
20191005T01-04,515,110,0
20191005T00-04,577,145,0
20191004T23-04,593,363,0
20191004T22-04,594,445,0
20191004T21-04,575,491,0
20191004T20-04,576,487,0
20191004T19-04,533,432,0
20191004T18-04,577,455,1
20191004T17-04,575,482,2
20191004T16-04,581,483,2
20191004T15-04,591,485,2
20191004T14-04,602,463,1
20191004T13-04,602,392,2
20191004T12-04,607,326,2
20191004T11-04,612,304,2
20191004T10-04,608,173,2
20191004T09-04,603,122,0
20191004T08-04,603,107,0
20191004T07-04,591,27,0
20191004T06-04,593,79,0
20191004T05-04,566,113,0
20191004T04-04,576,113,0
20191004T03-04,585,114,0
20191004T02-04,594,113,0
20191004T01-04,600,121,0
20191004T00-04,620,216,0
20191003T23-04,626,313,0
20191003T22-04,619,461,0
20191003T21-04,573,523,0
20191003T20-04,523,567,0
20191003T19-04,578,560,0
20191003T18-04,600,408,1
20191003T17-04,607,390,1
20191003T16-04,591,385,1
20191003T15-04,597,483,2
20191003T14-04,585,435,2
20191003T13-04,580,470,2
20191003T12-04,575,472,1
20191003T11-04,588,400,2
20191003T10-04,585,355,2
20191003T09-04,604,298,0
20191003T08-04,580,334,0
20191003T07-04,604,311,0
20191003T06-04,599,230,0
20191003T05-04,584,230,0
20191003T04-04,583,230,0
20191003T03-04,580,229,0
20191003T02-04,563,232,0
20191003T01-04,557,229,0
20191003T00-04,567,307,0
20191002T23-04,567,339,0
