,hydro
20191123T00-05,122
20191122T23-05,123
20191122T22-05,123
20191122T21-05,123
20191122T20-05,124
20191122T19-05,123
20191122T18-05,109
20191122T17-05,0
20191122T16-05,0
20191122T15-05,0
20191122T14-05,1
20191122T13-05,0
20191122T12-05,1
20191122T11-05,4
20191122T10-05,120
20191122T09-05,124
20191122T08-05,122
20191122T07-05,122
20191122T06-05,119
20191122T05-05,3
20191122T04-05,1
20191122T03-05,0
20191122T02-05,1
20191122T01-05,4
20191122T00-05,121
20191121T23-05,123
20191121T22-05,123
20191121T21-05,122
20191121T20-05,123
20191121T19-05,122
20191121T18-05,116
20191121T17-05,2
20191121T16-05,0
20191121T15-05,1
20191121T14-05,0
20191121T13-05,1
20191121T12-05,0
20191121T11-05,2
20191121T10-05,66
20191121T09-05,67
20191121T08-05,72
20191121T07-05,122
20191121T06-05,71
20191121T05-05,2
20191121T04-05,0
20191121T03-05,0
20191121T02-05,0
20191121T01-05,11
20191121T00-05,122
20191120T23-05,122
20191120T22-05,123
20191120T21-05,125
20191120T20-05,124
20191120T19-05,125
20191120T18-05,117
20191120T17-05,0
20191120T16-05,1
20191120T15-05,0
20191120T14-05,1
20191120T13-05,0
20191120T12-05,1
20191120T11-05,2
20191120T10-05,118
20191120T09-05,123
20191120T08-05,123
20191120T07-05,121
20191120T06-05,63
20191120T05-05,1
20191120T04-05,0
20191120T03-05,0
20191120T02-05,0
20191120T01-05,2
20191120T00-05,43
20191119T23-05,69
20191119T22-05,70
20191119T21-05,68
20191119T20-05,70
20191119T19-05,70
20191119T18-05,70
20191119T17-05,4
20191119T16-05,0
20191119T15-05,1
20191119T14-05,0
20191119T13-05,1
20191119T12-05,1
20191119T11-05,2
20191119T10-05,70
20191119T09-05,71
20191119T08-05,71
20191119T07-05,47
20191119T06-05,1
20191119T05-05,1
20191119T04-05,0
20191119T03-05,1
20191119T02-05,16
20191119T01-05,51
20191119T00-05,122
20191118T23-05,136
20191118T22-05,122
20191118T21-05,123
20191118T20-05,123
20191118T19-05,122
20191118T18-05,120
20191118T17-05,53
20191118T16-05,53
20191118T15-05,52
20191118T14-05,52
20191118T13-05,51
20191118T12-05,52
20191118T11-05,55
20191118T10-05,122
20191118T09-05,124
20191118T08-05,123
20191118T07-05,123
20191118T06-05,120
20191118T05-05,52
20191118T04-05,52
20191118T03-05,52
20191118T02-05,51
20191118T01-05,52
20191118T00-05,52
20191117T23-05,51
20191117T22-05,52
20191117T21-05,52
20191117T20-05,51
20191117T19-05,52
20191117T18-05,52
20191117T17-05,51
20191117T16-05,53
20191117T15-05,53
20191117T14-05,53
20191117T13-05,51
20191117T12-05,51
20191117T11-05,53
20191117T10-05,52
20191117T09-05,50
20191117T08-05,52
20191117T07-05,53
20191117T06-05,51
20191117T05-05,52
20191117T04-05,52
20191117T03-05,52
20191117T02-05,52
20191117T01-05,52
20191117T00-05,52
20191116T23-05,51
20191116T22-05,52
20191116T21-05,53
20191116T20-05,52
20191116T19-05,51
20191116T18-05,51
20191116T17-05,53
20191116T16-05,51
20191116T15-05,52
20191116T14-05,51
20191116T13-05,52
20191116T12-05,52
20191116T11-05,51
20191116T10-05,51
20191116T09-05,52
20191116T08-05,52
20191116T07-05,53
20191116T06-05,52
20191116T05-05,51
20191116T04-05,52
20191116T03-05,52
20191116T02-05,52
20191116T01-05,56
20191116T00-05,121
20191115T23-05,123
20191115T22-05,122
20191115T21-05,123
20191115T20-05,122
20191115T19-05,123
20191115T18-05,120
20191115T17-05,78
20191115T16-05,77
20191115T15-05,77
20191115T14-05,77
20191115T13-05,76
20191115T12-05,78
20191115T11-05,79
20191115T10-05,122
20191115T09-05,123
20191115T08-05,123
20191115T07-05,123
20191115T06-05,121
20191115T05-05,78
20191115T04-05,77
20191115T03-05,76
20191115T02-05,78
20191115T01-05,79
20191115T00-05,156
20191114T23-05,156
20191114T22-05,157
20191114T21-05,157
20191114T20-05,157
20191114T19-05,157
20191114T18-05,158
20191114T17-05,158
20191114T16-05,157
20191114T15-05,157
20191114T14-05,159
20191114T13-05,159
20191114T12-05,160
20191114T11-05,158
20191114T10-05,160
20191114T09-05,159
20191114T08-05,159
20191114T07-05,159
20191114T06-05,159
20191114T05-05,160
20191114T04-05,159
20191114T03-05,158
20191114T02-05,159
20191114T01-05,159
20191114T00-05,159
20191113T23-05,159
20191113T22-05,159
20191113T21-05,159
20191113T20-05,159
20191113T19-05,158
20191113T18-05,159
20191113T17-05,159
20191113T16-05,159
20191113T15-05,159
20191113T14-05,159
20191113T13-05,159
20191113T12-05,159
20191113T11-05,158
20191113T10-05,159
20191113T09-05,157
20191113T08-05,159
20191113T07-05,158
20191113T06-05,159
20191113T05-05,159
20191113T04-05,158
20191113T03-05,159
20191113T02-05,158
20191113T01-05,157
20191113T00-05,123
20191112T23-05,123
20191112T22-05,122
20191112T21-05,123
20191112T20-05,122
20191112T19-05,122
20191112T18-05,119
20191112T17-05,79
20191112T16-05,76
20191112T15-05,77
20191112T14-05,76
20191112T13-05,78
20191112T12-05,77
20191112T11-05,78
20191112T10-05,120
20191112T09-05,123
20191112T08-05,124
20191112T07-05,122
20191112T06-05,78
20191112T05-05,78
20191112T04-05,78
20191112T03-05,76
20191112T02-05,83
20191112T01-05,78
20191112T00-05,77
20191111T23-05,78
20191111T22-05,81
20191111T21-05,123
20191111T20-05,123
20191111T19-05,123
20191111T18-05,122
20191111T17-05,78
20191111T16-05,77
20191111T15-05,78
20191111T14-05,77
20191111T13-05,78
20191111T12-05,76
20191111T11-05,78
20191111T10-05,120
20191111T09-05,123
20191111T08-05,122
20191111T07-05,121
20191111T06-05,78
20191111T05-05,77
20191111T04-05,77
20191111T03-05,77
20191111T02-05,78
20191111T01-05,76
20191111T00-05,52
20191110T23-05,60
20191110T22-05,127
20191110T21-05,127
20191110T20-05,128
20191110T19-05,127
20191110T18-05,128
20191110T17-05,52
20191110T16-05,51
20191110T15-05,52
20191110T14-05,51
20191110T13-05,51
20191110T12-05,56
20191110T11-05,126
20191110T10-05,127
20191110T09-05,128
20191110T08-05,128
20191110T07-05,125
20191110T06-05,53
20191110T05-05,52
20191110T04-05,53
20191110T03-05,52
20191110T02-05,52
20191110T01-05,53
20191110T00-05,52
20191109T23-05,58
20191109T22-05,127
20191109T21-05,127
20191109T20-05,129
20191109T19-05,128
20191109T18-05,128
20191109T17-05,53
20191109T16-05,50
20191109T15-05,52
20191109T14-05,52
20191109T13-05,51
20191109T12-05,53
20191109T11-05,97
20191109T10-05,141
20191109T09-05,145
20191109T08-05,150
20191109T07-05,168
20191109T06-05,51
20191109T05-05,50
20191109T04-05,51
20191109T03-05,53
20191109T02-05,52
20191109T01-05,52
20191109T00-05,50
20191108T23-05,47
20191108T22-05,128
20191108T21-05,129
20191108T20-05,128
20191108T19-05,126
20191108T18-05,128
20191108T17-05,129
20191108T16-05,128
20191108T15-05,128
20191108T14-05,127
20191108T13-05,127
20191108T12-05,127
20191108T11-05,128
20191108T10-05,128
