,coal,natural gas,nuclear,petroleum,other,solar
20191029T00Z,1282,1695,67,0.0,7,0
20191028T23Z,1283,1739,66,0.0,7,0
20191028T22Z,1285,1860,66,37.0,7,7
20191028T21Z,1283,1889,67,54.0,7,11
20191028T20Z,1286,1873,65,40.0,7,9
20191028T19Z,1290,1737,67,7.0,7,11
20191028T18Z,1282,1556,67,0.0,6,13
20191028T17Z,1193,1505,66,0.0,7,16
20191028T16Z,1108,1410,65,0.0,7,18
20191028T15Z,1135,1377,66,0.0,7,17
20191028T14Z,737,1394,68,0.0,7,13
20191028T13Z,765,1239,66,0.0,9,2
20191028T12Z,745,1197,66,0.0,10,0
20191028T11Z,638,1198,65,0.0,10,0
20191028T10Z,454,1194,66,0.0,10,0
20191028T09Z,392,1145,67,0.0,12,0
20191028T08Z,390,1134,66,0.0,13,0
20191028T07Z,508,1044,65,0.0,12,0
20191028T06Z,706,931,66,0.0,13,0
20191028T05Z,757,992,67,0.0,13,0
20191028T04Z,756,1155,68,0.0,13,0
20191028T03Z,762,1355,65,0.0,12,0
20191028T02Z,906,1388,65,0.0,13,0
20191028T01Z,1067,1374,66,0.0,12,0
20191028T00Z,1102,1458,67,0.0,13,0
20191027T23Z,1154,1432,65,0.0,13,1
20191027T22Z,1277,1395,67,0.0,13,2
20191027T21Z,1290,1423,67,0.0,13,7
20191027T20Z,1288,1427,66,0.0,13,13
20191027T19Z,1276,1396,65,0.0,13,17
20191027T18Z,1192,1412,66,0.0,12,14
20191027T17Z,1119,1400,66,0.0,12,14
20191027T16Z,1057,1320,66,0.0,12,18
20191027T15Z,879,1325,66,0.0,11,15
20191027T14Z,760,1237,66,0.0,9,12
20191027T13Z,596,1166,67,0.0,13,4
20191027T12Z,412,1211,64,0.0,13,0
20191027T11Z,395,1143,67,0.0,13,0
20191027T10Z,396,1089,67,0.0,13,0
20191027T09Z,401,1070,67,0.0,12,0
20191027T08Z,401,1094,65,0.0,13,0
20191027T07Z,402,1129,66,0.0,13,0
20191027T06Z,462,1140,66,0.0,12,0
20191027T05Z,537,1169,66,0.0,13,0
20191027T04Z,612,1217,66,0.0,13,0
20191027T03Z,750,1232,66,0.0,12,0
20191027T02Z,807,1309,66,0.0,13,0
20191027T01Z,905,1313,67,0.0,14,0
20191027T00Z,1013,1303,66,0.0,13,0
20191026T23Z,1046,1309,66,0.0,13,1
20191026T22Z,1155,1306,65,0.0,13,5
20191026T21Z,1227,1346,66,0.0,13,7
20191026T20Z,1228,1391,66,0.0,13,6
20191026T19Z,1227,1375,68,0.0,14,8
20191026T18Z,1160,1411,64,0.0,12,8
20191026T17Z,1115,1389,66,0.0,13,15
20191026T16Z,1099,1285,66,0.0,14,16
20191026T15Z,932,1294,68,0.0,13,14
20191026T14Z,772,1245,64,0.0,13,12
20191026T13Z,758,1047,66,0.0,13,3
20191026T12Z,589,1088,66,0.0,14,0
20191026T11Z,486,1089,68,0.0,13,0
20191026T10Z,485,1022,66,0.0,13,0
20191026T09Z,487,1008,65,0.0,12,0
20191026T08Z,485,1025,66,0.0,13,0
20191026T07Z,488,1071,66,0.0,13,0
20191026T06Z,484,1148,65,0.0,14,0
20191026T05Z,487,1247,66,2.0,13,0
20191026T04Z,576,1283,67,0.0,13,0
20191026T03Z,814,1215,67,0.0,12,0
20191026T02Z,898,1277,65,0.0,13,0
20191026T01Z,1009,1280,66,0.0,14,0
20191026T00Z,1057,1226,66,0.0,14,0
20191025T23Z,1055,1187,66,0.0,13,0
20191025T22Z,1090,1225,65,0.0,14,3
20191025T21Z,1110,1272,66,0.0,13,7
20191025T20Z,1110,1255,68,0.0,13,9
20191025T19Z,1110,1306,65,0.0,14,8
20191025T18Z,1115,1258,66,0.0,13,15
20191025T17Z,1162,1144,67,0.0,13,8
20191025T16Z,1169,1074,66,0.0,14,14
20191025T15Z,1172,1070,65,0.0,13,13
20191025T14Z,1114,1077,65,0.0,13,12
20191025T13Z,951,1079,68,0.0,13,4
20191025T12Z,872,1093,67,0.0,14,0
20191025T11Z,798,1053,66,0.0,16,0
20191025T10Z,669,1011,64,0.0,12,0
20191025T09Z,648,931,67,0.0,13,0
20191025T08Z,645,916,67,0.0,12,0
20191025T07Z,648,962,66,0.0,13,0
20191025T06Z,657,1015,66,0.0,12,0
20191025T05Z,755,1034,66,0.0,13,0
20191025T04Z,860,1101,63,0.0,13,0
