,hydro
20191025T06-07,968
20191025T05-07,644
20191025T04-07,580
20191025T03-07,585
20191025T02-07,511
20191025T01-07,432
20191025T00-07,359
20191024T23-07,394
20191024T22-07,580
20191024T21-07,866
20191024T20-07,892
20191024T19-07,765
20191024T18-07,749
20191024T17-07,631
20191024T16-07,692
20191024T15-07,658
20191024T14-07,724
20191024T13-07,688
20191024T12-07,730
20191024T11-07,582
20191024T10-07,527
20191024T09-07,588
20191024T08-07,636
20191024T07-07,537
20191024T06-07,615
20191024T05-07,627
20191024T04-07,605
20191024T03-07,544
20191024T02-07,429
20191024T01-07,418
20191024T00-07,478
20191023T23-07,528
20191023T22-07,645
20191023T21-07,715
20191023T20-07,662
20191023T19-07,643
20191023T18-07,728
20191023T17-07,661
20191023T16-07,657
20191023T15-07,658
20191023T14-07,665
20191023T13-07,653
20191023T12-07,653
20191023T11-07,592
20191023T10-07,517
20191023T09-07,516
20191023T08-07,535
20191023T07-07,617
20191023T06-07,612
20191023T05-07,636
20191023T04-07,598
20191023T03-07,540
20191023T02-07,461
20191023T01-07,441
20191023T00-07,546
20191022T23-07,535
20191022T22-07,532
20191022T21-07,536
20191022T20-07,576
20191022T19-07,623
20191022T18-07,637
20191022T17-07,691
20191022T16-07,698
20191022T15-07,614
20191022T14-07,604
20191022T13-07,551
20191022T12-07,448
20191022T11-07,396
20191022T10-07,413
20191022T09-07,658
20191022T08-07,641
20191022T07-07,643
20191022T06-07,510
20191022T05-07,543
20191022T04-07,624
20191022T03-07,668
20191022T02-07,849
20191022T01-07,943
20191022T00-07,694
20191021T23-07,808
20191021T22-07,897
20191021T21-07,994
20191021T20-07,924
20191021T19-07,847
20191021T18-07,817
20191021T17-07,793
20191021T16-07,744
20191021T15-07,811
20191021T14-07,663
20191021T13-07,843
20191021T12-07,795
20191021T11-07,678
20191021T10-07,443
20191021T09-07,486
20191021T08-07,622
20191021T07-07,693
20191021T06-07,642
20191021T05-07,492
20191021T04-07,503
20191021T03-07,647
20191021T02-07,740
20191021T01-07,551
20191021T00-07,526
20191020T23-07,622
20191020T22-07,761
20191020T21-07,759
20191020T20-07,786
20191020T19-07,881
20191020T18-07,987
20191020T17-07,802
20191020T16-07,600
20191020T15-07,720
20191020T14-07,844
20191020T13-07,744
20191020T12-07,508
20191020T11-07,406
20191020T10-07,365
20191020T09-07,356
20191020T08-07,439
20191020T07-07,474
20191020T06-07,400
20191020T05-07,468
20191020T04-07,511
20191020T03-07,797
20191020T02-07,672
20191020T01-07,703
20191020T00-07,769
20191019T23-07,1009
20191019T22-07,1116
20191019T21-07,1225
20191019T20-07,1038
20191019T19-07,757
20191019T18-07,697
20191019T17-07,932
20191019T16-07,997
20191019T15-07,930
20191019T14-07,821
20191019T13-07,675
20191019T12-07,638
20191019T11-07,574
20191019T10-07,547
20191019T09-07,551
20191019T08-07,608
20191019T07-07,547
20191019T06-07,475
20191019T05-07,627
20191019T04-07,573
20191019T03-07,632
20191019T02-07,567
20191019T01-07,606
20191019T00-07,842
20191018T23-07,1058
20191018T22-07,1324
20191018T21-07,1094
20191018T20-07,1103
20191018T19-07,1048
20191018T18-07,799
20191018T17-07,676
20191018T16-07,441
20191018T15-07,440
20191018T14-07,435
20191018T13-07,441
20191018T12-07,437
20191018T11-07,442
20191018T10-07,476
20191018T09-07,637
20191018T08-07,548
20191018T07-07,513
20191018T06-07,563
20191018T05-07,563
20191018T04-07,628
20191018T03-07,647
20191018T02-07,632
20191018T01-07,529
20191018T00-07,658
20191017T23-07,693
20191017T22-07,812
20191017T21-07,1009
20191017T20-07,1000
20191017T19-07,843
20191017T18-07,821
20191017T17-07,738
20191017T16-07,777
20191017T15-07,609
20191017T14-07,506
20191017T13-07,574
20191017T12-07,441
20191017T11-07,466
20191017T10-07,445
20191017T09-07,586
20191017T08-07,761
20191017T07-07,803
20191017T06-07,551
20191017T05-07,641
20191017T04-07,959
20191017T03-07,1128
20191017T02-07,1235
20191017T01-07,1206
20191017T00-07,1102
20191016T23-07,1041
20191016T22-07,1177
20191016T21-07,1293
20191016T20-07,1223
20191016T19-07,952
20191016T18-07,868
20191016T17-07,914
20191016T16-07,708
20191016T15-07,736
20191016T14-07,732
20191016T13-07,768
20191016T12-07,683
20191016T11-07,477
20191016T10-07,438
20191016T09-07,500
20191016T08-07,706
20191016T07-07,834
20191016T06-07,716
20191016T05-07,918
20191016T04-07,977
20191016T03-07,920
20191016T02-07,894
20191016T01-07,868
20191016T00-07,745
20191015T23-07,756
20191015T22-07,939
20191015T21-07,926
20191015T20-07,1003
20191015T19-07,932
20191015T18-07,1029
20191015T17-07,956
20191015T16-07,819
20191015T15-07,727
20191015T14-07,715
20191015T13-07,661
20191015T12-07,656
20191015T11-07,697
20191015T10-07,539
20191015T09-07,470
20191015T08-07,547
20191015T07-07,711
20191015T06-07,696
20191015T05-07,622
20191015T04-07,557
20191015T03-07,368
20191015T02-07,370
20191015T01-07,442
20191015T00-07,477
20191014T23-07,480
20191014T22-07,842
20191014T21-07,755
20191014T20-07,836
20191014T19-07,920
20191014T18-07,882
20191014T17-07,908
20191014T16-07,869
20191014T15-07,850
20191014T14-07,788
20191014T13-07,648
20191014T12-07,534
20191014T11-07,536
20191014T10-07,633
20191014T09-07,915
20191014T08-07,1100
20191014T07-07,936
20191014T06-07,639
20191014T05-07,453
20191014T04-07,434
20191014T03-07,422
20191014T02-07,444
20191014T01-07,393
20191014T00-07,458
20191013T23-07,436
20191013T22-07,588
20191013T21-07,724
20191013T20-07,512
20191013T19-07,579
20191013T18-07,637
20191013T17-07,557
20191013T16-07,530
20191013T15-07,499
20191013T14-07,570
20191013T13-07,522
20191013T12-07,612
20191013T11-07,680
20191013T10-07,734
20191013T09-07,869
20191013T08-07,910
20191013T07-07,758
20191013T06-07,459
20191013T05-07,398
20191013T04-07,648
20191013T03-07,915
20191013T02-07,920
20191013T01-07,877
20191013T00-07,910
20191012T23-07,987
20191012T22-07,1221
20191012T21-07,1389
20191012T20-07,1326
20191012T19-07,1338
20191012T18-07,1056
20191012T17-07,960
20191012T16-07,603
20191012T15-07,532
20191012T14-07,480
20191012T13-07,543
20191012T12-07,700
20191012T11-07,795
20191012T10-07,893
20191012T09-07,869
20191012T08-07,1088
20191012T07-07,860
20191012T06-07,632
20191012T05-07,593
20191012T04-07,580
20191012T03-07,650
20191012T02-07,678
20191012T01-07,697
20191012T00-07,851
20191011T23-07,885
20191011T22-07,1084
20191011T21-07,939
20191011T20-07,777
20191011T19-07,857
20191011T18-07,886
20191011T17-07,857
20191011T16-07,599
20191011T15-07,418
20191011T14-07,320
20191011T13-07,324
20191011T12-07,316
20191011T11-07,324
20191011T10-07,403
20191011T09-07,940
20191011T08-07,1119
20191011T07-07,1141
20191011T06-07,685
20191011T05-07,366
20191011T04-07,309
20191011T03-07,304
20191011T02-07,314
20191011T01-07,381
20191011T00-07,379
20191010T23-07,464
20191010T22-07,864
20191010T21-07,955
20191010T20-07,1081
20191010T19-07,1156
20191010T18-07,995
20191010T17-07,757
20191010T16-07,603
20191010T15-07,538
20191010T14-07,444
20191010T13-07,500
20191010T12-07,470
20191010T11-07,443
20191010T10-07,465
20191010T09-07,521
20191010T08-07,1004
20191010T07-07,1115
20191010T06-07,907
20191010T05-07,375
20191010T04-07,363
20191010T03-07,400
20191010T02-07,471
20191010T01-07,437
20191010T00-07,403
20191009T23-07,630
20191009T22-07,822
20191009T21-07,1039
20191009T20-07,1093
20191009T19-07,999
20191009T18-07,774
20191009T17-07,520
20191009T16-07,437
20191009T15-07,592
20191009T14-07,400
20191009T13-07,451
20191009T12-07,380
20191009T11-07,458
20191009T10-07,733
20191009T09-07,909
20191009T08-07,1143
20191009T07-07,1112
20191009T06-07,1007
20191009T05-07,648
20191009T04-07,468
20191009T03-07,373
20191009T02-07,411
20191009T01-07,428
20191009T00-07,656
20191008T23-07,575
20191008T22-07,928
20191008T21-07,1106
20191008T20-07,1267
20191008T19-07,1149
20191008T18-07,1008
20191008T17-07,651
20191008T16-07,497
20191008T15-07,382
20191008T14-07,374
20191008T13-07,377
20191008T12-07,575
20191008T11-07,595
20191008T10-07,790
20191008T09-07,802
20191008T08-07,804
20191008T07-07,664
20191008T06-07,512
20191008T05-07,317
20191008T04-07,314
20191008T03-07,302
20191008T02-07,347
20191008T01-07,393
20191008T00-07,341
20191007T23-07,578
20191007T22-07,867
20191007T21-07,1061
