,coal,natural gas,nuclear,other,solar,hydro
20191105T05Z,3088,1491,7119,,0,-526
20191105T04Z,3362,1498,7121,,-2,-7
20191105T03Z,3599,1561,7121,,0,206
20191105T02Z,3636,1628,7116,,-1,433
20191105T01Z,3641,1625,7119,,0,536
20191105T00Z,3640,1658,7121,,0,689
20191104T23Z,3652,1646,7120,,0,681
20191104T22Z,3582,1525,7120,,28,338
20191104T21Z,3295,1499,7119,,83,222
20191104T20Z,3198,1510,7124,,155,225
20191104T19Z,3106,1504,7126,,211,250
20191104T18Z,2929,1517,7124,,286,238
20191104T17Z,3034,1531,7124,,408,281
20191104T16Z,3102,1791,7125,,432,354
20191104T15Z,3254,2173,7128,,383,338
20191104T14Z,3526,2395,7131,,259,1029
20191104T13Z,3536,2780,7131,,59,1743
20191104T12Z,3526,2731,7132,,2,1738
20191104T11Z,3504,2145,7131,,0,978
20191104T10Z,3373,1520,7133,,-1,541
20191104T09Z,3070,1432,7130,,0,28
20191104T08Z,2918,1417,7131,,-2,-90
20191104T07Z,2990,1407,7131,,-1,-266
20191104T06Z,3021,1406,7126,,-1,-203
20191104T05Z,2851,1519,7129,,0,114
20191104T04Z,2703,1625,7125,,-1,506
20191104T03Z,2710,1627,7126,,0,759
20191104T02Z,2708,1625,7128,,0,1192
20191104T01Z,2712,1618,7128,,0,1443
20191104T00Z,2813,1495,7128,,-1,1685
20191103T23Z,2858,1469,7125,,13,1208
20191103T22Z,2554,1456,7124,,86,5
20191103T21Z,2259,1455,7127,,290,-854
20191103T20Z,1862,1451,7126,,411,-1043
20191103T19Z,1763,1431,7125,,474,-1047
20191103T18Z,1932,1449,7123,,499,-1058
20191103T17Z,1966,1437,7125,,496,-806
20191103T16Z,2091,2035,7132,,474,-236
20191103T15Z,2338,2146,7128,,399,265
20191103T14Z,2548,2221,7137,,258,453
20191103T13Z,2659,2198,7135,,69,1238
20191103T12Z,2643,2016,7136,,0,975
20191103T11Z,2559,1657,7136,,0,177
20191103T10Z,2550,1537,7135,,0,-366
20191103T09Z,2531,1516,7134,,-1,-520
20191103T08Z,2410,1501,7135,,0,-518
20191103T07Z,2382,1479,7070,,0,-503
20191103T06Z,2382,1456,7128,,0,-509
20191103T05Z,2543,1571,7128,,-1,-454
20191103T04Z,2591,1596,7134,,0,-60
20191103T03Z,2590,1599,7132,,-1,346
20191103T02Z,2587,1598,7129,,0,539
20191103T01Z,2586,1542,7124,,-1,542
20191103T00Z,2578,1553,7127,,-2,567
20191102T23Z,2599,1580,7125,,3,335
20191102T22Z,2603,1540,7127,,99,-494
20191102T21Z,2540,1489,7124,,286,-994
20191102T20Z,2079,1456,7130,,406,-1055
20191102T19Z,1966,1434,7132,,464,-1026
20191102T18Z,2110,1383,7131,,489,-1038
20191102T17Z,2403,1522,7134,,486,-1050
20191102T16Z,2479,1944,7130,,460,-589
20191102T15Z,2611,2136,7137,,396,392
20191102T14Z,2662,2217,7133,,264,1148
20191102T13Z,2665,2246,7138,,70,1891
20191102T12Z,2665,2195,7139,,0,1725
20191102T11Z,2637,2170,7139,,-1,1448
20191102T10Z,2578,1954,7138,,-1,811
20191102T09Z,2548,1468,7138,,0,226
20191102T08Z,2514,1470,7133,,0,-81
20191102T07Z,2487,1472,7133,,-1,-294
20191102T06Z,2457,1484,7135,,0,-382
20191102T05Z,2364,1551,7138,,-1,-71
20191102T04Z,2278,1762,7136,,0,-56
20191102T03Z,2402,1977,7134,,0,21
20191102T02Z,2471,1922,7133,,-2,257
20191102T01Z,2450,1915,7133,,0,487
20191102T00Z,2490,1687,7134,,0,753
20191101T23Z,2565,1598,7133,,4,139
20191101T22Z,2557,1555,7138,,110,-359
20191101T21Z,2491,1519,7131,,296,-1076
20191101T20Z,2093,1513,7135,,420,-1075
20191101T19Z,1985,1515,7141,,483,-1078
20191101T18Z,2082,1524,7139,,505,-1028
20191101T17Z,2352,1553,7140,,502,-1042
20191101T16Z,2519,1938,7142,,478,-755
20191101T15Z,2534,2289,7147,,402,-293
20191101T14Z,2494,2344,7145,,269,350
20191101T13Z,2437,2355,7147,,76,1418
20191101T12Z,2430,2427,7145,,1,1513
20191101T11Z,2306,2402,7143,,-1,899
20191101T10Z,2194,1895,7143,,1,-490
20191101T09Z,2198,1381,7144,,0,-1162
20191101T08Z,2147,1335,7146,,-1,-1196
20191101T07Z,2193,1344,7146,,1,-1191
20191101T06Z,2186,1374,7142,,0,-1177
20191101T05Z,2233,1531,7140,,0,-776
20191101T04Z,2288,1508,7138,,1,-330
20191101T03Z,2472,1983,7130,,0,435
20191101T02Z,2656,3042,7114,,-1,883
20191101T01Z,2692,3575,7109,,-2,1188
20191101T00Z,2691,3538,7102,,0,1711
20191031T23Z,2689,3550,7099,,1,1870
20191031T22Z,2695,3519,7099,,10,2124
20191031T21Z,2685,3518,7091,,55,1964
20191031T20Z,2686,3510,7091,,102,1683
20191031T19Z,2656,3519,7089,,156,1310
20191031T18Z,2654,3467,7092,,217,1069
20191031T17Z,2666,3387,7093,,208,823
20191031T16Z,2648,3393,7087,,151,918
20191031T15Z,2524,3188,7093,,86,1027
20191031T14Z,2554,2908,7095,,29,884
20191031T13Z,2658,2712,7091,,8,603
20191031T12Z,2658,2295,7099,,0,959
20191031T11Z,2666,1785,7098,,0,708
20191031T10Z,2672,1489,7095,,-1,-350
20191031T09Z,2665,1414,7096,,0,-1122
20191031T08Z,2664,1385,7099,,0,-1219
20191031T07Z,2671,1408,7091,,0,-1228
20191031T06Z,2668,1407,7098,,-3,-862
20191031T05Z,2602,1467,7095,,0,-430
20191031T04Z,2562,1509,7098,,0,-284
20191031T03Z,2590,2051,7100,,0,-41
20191031T02Z,2668,2928,7106,,0,413
20191031T01Z,2675,3077,7110,,0,744
20191031T00Z,2678,3093,7111,,0,1006
20191030T23Z,2678,3110,7111,,-2,827
20191030T22Z,2675,2965,7108,,5,422
20191030T21Z,2673,2948,7111,,14,409
20191030T20Z,2678,2931,7108,,20,240
20191030T19Z,2666,2824,7112,,30,230
20191030T18Z,2671,2929,7117,,36,232
20191030T17Z,2672,2898,7117,,50,230
20191030T16Z,2671,2598,7123,,49,522
20191030T15Z,2678,2065,7120,,34,935
20191030T14Z,2671,1535,7118,,17,1188
20191030T13Z,2669,1463,7124,,3,1347
20191030T12Z,2666,1336,7124,,-1,1708
20191030T11Z,2667,1295,7123,,0,997
20191030T10Z,2666,1264,7128,,-2,-335
20191030T09Z,2672,1157,7124,,-1,-881
20191030T08Z,2661,1160,7121,,0,-921
20191030T07Z,2675,1275,7128,,0,-798
20191030T06Z,2664,1377,7125,,0,-568
20191030T05Z,2577,1399,7120,,-1,-602
20191030T04Z,2320,1818,7124,,0,-567
20191030T03Z,2234,2492,7126,,-1,-338
20191030T02Z,2454,2781,7120,,0,247
20191030T01Z,2546,2822,7124,,0,845
20191030T00Z,2507,2802,7124,,-1,1256
20191029T23Z,2423,2803,7127,,1,1014
20191029T22Z,2418,2807,7121,,35,431
20191029T21Z,2436,2674,7121,,78,368
20191029T20Z,2414,2506,7117,,108,358
20191029T19Z,2384,2412,7122,,143,286
20191029T18Z,2341,2186,7125,,163,191
20191029T17Z,2223,2132,7126,,148,153
20191029T16Z,2173,1979,7125,,122,140
20191029T15Z,2125,1925,7126,,75,178
20191029T14Z,2249,1969,7125,,49,146
20191029T13Z,2302,1961,7128,,11,135
20191029T12Z,2294,1864,7127,,1,367
20191029T11Z,2268,1551,7127,,-1,250
20191029T10Z,1960,1531,7132,,0,-644
20191029T09Z,1584,1462,7129,,0,-884
20191029T08Z,1505,1295,7136,,-1,-915
20191029T07Z,1551,1338,7130,,-1,-917
20191029T06Z,1887,1409,7130,,0,-885
20191029T05Z,2288,1431,7130,,0,-887
20191029T04Z,2599,1408,7126,,-1,-449
20191029T03Z,2669,1539,7128,,-2,538
20191029T02Z,2775,1603,7125,,0,1630
20191029T01Z,2817,2131,7132,,0,1649
20191029T00Z,2858,2446,7126,,-2,1840
20191028T23Z,2777,2455,7128,,3,1668
20191028T22Z,2654,2447,7130,,107,1590
20191028T21Z,2643,2439,7125,,275,775
20191028T20Z,2580,2147,7126,,456,327
20191028T19Z,2575,1945,7131,,394,220
20191028T18Z,2517,1882,7133,,486,46
20191028T17Z,2280,1851,7131,,545,-43
20191028T16Z,2102,1770,7137,,393,-44
20191028T15Z,2114,1746,7136,,387,-7
20191028T14Z,2081,1855,7137,,265,57
20191028T13Z,2146,1917,7138,,80,143
20191028T12Z,2233,1936,7137,,1,174
20191028T11Z,2036,1757,7140,,-1,-69
20191028T10Z,1798,1615,7136,,0,-780
20191028T09Z,1557,1482,7140,,-1,-885
20191028T08Z,1531,1552,7138,,-1,-920
20191028T07Z,1639,1655,7134,,-1,-921
20191028T06Z,1753,1689,7136,,0,-889
20191028T05Z,2016,1746,7133,,0,-924
20191028T04Z,2130,1780,7130,,-1,-539
20191028T03Z,2231,1854,7136,,0,367
20191028T02Z,2263,1889,7132,,0,1219
20191028T01Z,2348,2260,7135,,-1,1802
20191028T00Z,2346,2710,7131,,0,2026
20191027T23Z,2353,2827,7132,,4,1986
20191027T22Z,2353,2785,7132,,115,2008
20191027T21Z,2351,2558,7132,,280,1733
20191027T20Z,2354,2547,7127,,378,1126
20191027T19Z,2344,2541,7128,,426,888
20191027T18Z,2352,2397,7130,,450,707
20191027T17Z,2348,2391,7127,,414,432
20191027T16Z,2304,2187,7126,,335,180
20191027T15Z,2216,2151,7123,,226,174
20191027T14Z,2250,2169,7123,,107,83
20191027T13Z,2252,1746,7118,,17,30
20191027T12Z,2196,1407,7117,,0,42
20191027T11Z,2171,1364,7114,,-1,-427
20191027T10Z,2123,1347,7110,,0,-775
20191027T09Z,2088,1359,7112,,0,-962
20191027T08Z,2092,1361,7111,,-1,-991
20191027T07Z,2189,1364,7119,,-1,-997
20191027T06Z,2162,1387,7117,,0,-641
20191027T05Z,2189,1495,7129,,-1,-117
20191027T04Z,2160,1510,7127,,0,349
20191027T03Z,2260,1560,7128,,0,562
20191027T02Z,2330,1764,7128,,-1,1030
20191027T01Z,2335,1990,7127,,-1,1213
20191027T00Z,2338,1995,7127,,0,1267
20191026T23Z,2322,1962,7129,,-1,1088
20191026T22Z,2325,1945,7125,,19,694
20191026T21Z,2196,1928,7129,,47,589
20191026T20Z,2299,1930,7123,,127,695
20191026T19Z,2246,1949,7131,,145,560
20191026T18Z,2055,1947,7129,,246,389
20191026T17Z,1820,1911,7131,,365,146
20191026T16Z,1781,1851,7132,,318,121
20191026T15Z,1814,1565,7137,,278,119
20191026T14Z,1920,1493,7144,,189,87
20191026T13Z,2108,1468,7140,,63,31
20191026T12Z,1940,1341,7143,,2,42
20191026T11Z,1873,1269,7143,,-2,-356
20191026T10Z,1830,1259,7146,,0,-784
20191026T09Z,1706,1258,7139,,0,-771
20191026T08Z,1704,1255,7144,,0,-800
20191026T07Z,1792,1303,7140,,0,-867
20191026T06Z,1836,1307,7150,,0,-568
20191026T05Z,1994,1373,7137,,-4,-604
