,natural gas,solar
20190419T10-07,315,109
20190419T09-07,333,107
20190419T08-07,315,98
20190419T07-07,316,45
20190419T06-07,410,2
20190419T05-07,389,0
20190419T04-07,360,0
20190419T03-07,352,0
20190419T02-07,377,0
20190419T01-07,459,0
20190419T00-07,444,0
20190418T23-07,484,0
20190418T22-07,541,0
20190418T21-07,601,0
20190418T20-07,600,0
20190418T19-07,589,6
20190418T18-07,606,63
20190418T17-07,578,102
20190418T16-07,566,108
20190418T15-07,540,109
20190418T14-07,515,109
20190418T13-07,480,109
20190418T12-07,450,108
20190418T11-07,427,111
20190418T10-07,419,110
20190418T09-07,397,108
20190418T08-07,393,98
20190418T07-07,428,44
20190418T06-07,449,1
20190418T05-07,441,0
20190418T04-07,393,0
20190418T03-07,383,0
20190418T02-07,395,0
20190418T01-07,407,0
20190418T00-07,428,0
20190417T23-07,480,0
20190417T22-07,511,0
20190417T21-07,534,0
20190417T20-07,552,0
20190417T19-07,505,4
20190417T18-07,472,27
20190417T17-07,470,36
20190417T16-07,471,39
20190417T15-07,490,67
20190417T14-07,449,86
20190417T13-07,425,98
20190417T12-07,437,80
20190417T11-07,415,95
20190417T10-07,429,89
20190417T09-07,481,47
20190417T08-07,491,24
20190417T07-07,461,14
20190417T06-07,449,0
20190417T05-07,453,0
20190417T04-07,412,0
20190417T03-07,409,0
20190417T02-07,407,0
20190417T01-07,439,0
20190417T00-07,425,0
20190416T23-07,487,0
20190416T22-07,492,0
20190416T21-07,549,0
20190416T20-07,579,0
20190416T19-07,553,4
20190416T18-07,565,49
20190416T17-07,523,86
20190416T16-07,504,104
20190416T15-07,470,110
20190416T14-07,449,110
20190416T13-07,408,111
20190416T12-07,410,109
20190416T11-07,385,111
20190416T10-07,357,110
20190416T09-07,337,107
20190416T08-07,325,96
20190416T07-07,371,36
20190416T06-07,481,0
20190416T05-07,409,0
20190416T04-07,368,0
20190416T03-07,359,0
20190416T02-07,362,0
20190416T01-07,390,0
20190416T00-07,433,0
20190415T23-07,488,0
20190415T22-07,476,0
20190415T21-07,552,0
20190415T20-07,598,0
20190415T19-07,559,3
20190415T18-07,529,52
20190415T17-07,524,100
20190415T16-07,534,106
20190415T15-07,500,107
20190415T14-07,462,109
20190415T13-07,417,108
20190415T12-07,376,108
20190415T11-07,343,108
20190415T10-07,321,108
20190415T09-07,293,92
20190415T08-07,309,75
20190415T07-07,328,30
20190415T06-07,430,1
20190415T05-07,355,0
20190415T04-07,308,0
20190415T03-07,292,0
20190415T02-07,301,0
20190415T01-07,317,0
20190415T00-07,339,0
20190414T23-07,392,0
20190414T22-07,470,0
20190414T21-07,547,0
20190414T20-07,567,0
20190414T19-07,542,4
20190414T18-07,478,53
20190414T17-07,432,86
20190414T16-07,375,99
20190414T15-07,339,108
20190414T14-07,314,110
20190414T13-07,297,111
20190414T12-07,281,112
20190414T11-07,271,112
20190414T10-07,254,111
20190414T09-07,251,109
20190414T08-07,291,98
20190414T07-07,306,40
20190414T06-07,333,1
20190414T05-07,316,0
20190414T04-07,309,0
20190414T03-07,323,0
20190414T02-07,343,0
20190414T01-07,365,0
20190414T00-07,484,0
20190413T23-07,521,0
20190413T22-07,471,0
20190413T21-07,512,0
20190413T20-07,519,0
20190413T19-07,492,3
20190413T18-07,441,32
20190413T17-07,438,38
20190413T16-07,405,59
20190413T15-07,374,79
20190413T14-07,384,68
20190413T13-07,372,81
20190413T12-07,364,85
20190413T11-07,364,83
20190413T10-07,353,78
20190413T09-07,334,102
20190413T08-07,338,89
20190413T07-07,395,34
20190413T06-07,484,0
20190413T05-07,452,0
20190413T04-07,426,0
20190413T03-07,424,0
20190413T02-07,455,0
20190413T01-07,475,0
20190413T00-07,501,0
20190412T23-07,528,0
20190412T22-07,524,0
20190412T21-07,563,0
20190412T20-07,553,0
20190412T19-07,518,2
20190412T18-07,519,15
20190412T17-07,478,25
20190412T16-07,471,35
20190412T15-07,489,40
20190412T14-07,496,47
20190412T13-07,484,62
20190412T12-07,487,58
20190412T11-07,501,53
20190412T10-07,496,55
20190412T09-07,500,36
20190412T08-07,507,16
20190412T07-07,491,4
20190412T06-07,506,0
20190412T05-07,474,0
20190412T04-07,445,0
20190412T03-07,430,0
20190412T02-07,426,0
20190412T01-07,443,0
20190412T00-07,486,0
20190411T23-07,522,0
20190411T22-07,487,0
20190411T21-07,546,0
20190411T20-07,573,0
20190411T19-07,535,1
20190411T18-07,473,41
20190411T17-07,422,89
20190411T16-07,411,101
20190411T15-07,393,94
20190411T14-07,389,95
20190411T13-07,382,97
20190411T12-07,386,108
20190411T11-07,351,110
20190411T10-07,353,110
20190411T09-07,357,110
20190411T08-07,353,97
20190411T07-07,433,36
20190411T06-07,592,0
20190411T05-07,494,0
20190411T04-07,450,0
20190411T03-07,434,0
20190411T02-07,429,0
20190411T01-07,416,0
20190411T00-07,418,0
20190410T23-07,448,0
20190410T22-07,477,0
20190410T21-07,554,0
20190410T20-07,577,0
20190410T19-07,543,2
20190410T18-07,554,25
20190410T17-07,547,57
20190410T16-07,542,76
20190410T15-07,512,92
20190410T14-07,506,99
20190410T13-07,502,102
20190410T12-07,475,105
20190410T11-07,488,103
20190410T10-07,462,97
20190410T09-07,439,89
20190410T08-07,446,67
20190410T07-07,493,22
20190410T06-07,550,0
20190410T05-07,470,0
20190410T04-07,442,0
20190410T03-07,435,0
20190410T02-07,448,0
20190410T01-07,467,0
20190410T00-07,467,0
20190409T23-07,533,0
20190409T22-07,556,0
20190409T21-07,658,0
20190409T20-07,690,0
20190409T19-07,664,3
20190409T18-07,652,41
20190409T17-07,609,76
20190409T16-07,604,94
20190409T15-07,567,97
20190409T14-07,546,100
20190409T13-07,487,106
20190409T12-07,369,107
20190409T11-07,314,109
20190409T10-07,312,109
20190409T09-07,308,106
20190409T08-07,295,90
20190409T07-07,285,31
20190409T06-07,307,0
20190409T05-07,301,0
20190409T04-07,279,0
20190409T03-07,294,0
20190409T02-07,359,0
20190409T01-07,372,0
20190409T00-07,370,0
20190408T23-07,436,0
20190408T22-07,519,0
20190408T21-07,598,0
20190408T20-07,680,0
20190408T19-07,668,4
20190408T18-07,637,58
20190408T17-07,633,92
20190408T16-07,595,106
20190408T15-07,568,107
20190408T14-07,519,107
20190408T13-07,487,107
20190408T12-07,433,107
20190408T11-07,400,108
20190408T10-07,356,108
20190408T09-07,318,106
20190408T08-07,333,92
20190408T07-07,362,31
20190408T06-07,377,0
20190408T05-07,295,0
20190408T04-07,270,0
20190408T03-07,242,0
20190408T02-07,249,0
20190408T01-07,266,0
20190408T00-07,300,0
20190407T23-07,355,0
20190407T22-07,442,0
20190407T21-07,530,0
20190407T20-07,566,0
20190407T19-07,537,2
20190407T18-07,487,46
20190407T17-07,425,96
20190407T16-07,369,105
20190407T15-07,332,107
20190407T14-07,310,107
20190407T13-07,285,107
20190407T12-07,261,107
20190407T11-07,218,108
20190407T10-07,213,107
20190407T09-07,209,106
20190407T08-07,195,91
20190407T07-07,213,30
20190407T06-07,258,0
20190407T05-07,248,0
20190407T04-07,242,0
20190407T03-07,243,0
20190407T02-07,246,0
20190407T01-07,268,0
20190407T00-07,259,0
20190406T23-07,303,0
20190406T22-07,419,0
20190406T21-07,468,0
20190406T20-07,484,0
20190406T19-07,443,1
20190406T18-07,390,30
20190406T17-07,346,80
20190406T16-07,336,77
20190406T15-07,303,82
20190406T14-07,275,95
20190406T13-07,254,102
20190406T12-07,248,107
20190406T11-07,254,96
20190406T10-07,275,95
20190406T09-07,245,97
20190406T08-07,204,88
20190406T07-07,246,26
20190406T06-07,248,0
20190406T05-07,246,0
20190406T04-07,243,0
20190406T03-07,247,0
20190406T02-07,240,0
20190406T01-07,228,0
20190406T00-07,234,0
20190405T23-07,257,0
20190405T22-07,340,0
20190405T21-07,365,0
20190405T20-07,372,0
20190405T19-07,374,1
20190405T18-07,347,13
20190405T17-07,335,30
20190405T16-07,352,35
20190405T15-07,308,73
20190405T14-07,268,99
20190405T13-07,256,100
20190405T12-07,263,83
20190405T11-07,243,93
20190405T10-07,255,94
20190405T09-07,321,76
20190405T08-07,427,41
20190405T07-07,532,9
20190405T06-07,477,0
20190405T05-07,338,0
20190405T04-07,298,0
20190405T03-07,258,0
20190405T02-07,264,0
20190405T01-07,289,0
20190405T00-07,326,0
20190404T23-07,384,0
20190404T22-07,460,0
20190404T21-07,518,0
20190404T20-07,561,0
20190404T19-07,553,2
20190404T18-07,509,30
20190404T17-07,493,74
20190404T16-07,520,45
20190404T15-07,489,71
20190404T14-07,475,83
20190404T13-07,464,84
20190404T12-07,417,100
20190404T11-07,396,105
20190404T10-07,388,105
20190404T09-07,370,106
20190404T08-07,364,89
20190404T07-07,418,26
20190404T06-07,422,0
20190404T05-07,363,0
20190404T04-07,313,0
20190404T03-07,310,0
20190404T02-07,288,0
20190404T01-07,308,0
20190404T00-07,303,0
20190403T23-07,363,0
20190403T22-07,401,0
20190403T21-07,405,0
20190403T20-07,448,0
20190403T19-07,430,2
20190403T18-07,384,34
20190403T17-07,402,73
20190403T16-07,394,94
20190403T15-07,376,97
20190403T14-07,336,110
20190403T13-07,297,111
20190403T12-07,313,111
20190403T11-07,294,110
20190403T10-07,310,110
20190403T09-07,296,107
20190403T08-07,320,89
20190403T07-07,365,24
20190403T06-07,411,0
20190403T05-07,324,0
20190403T04-07,273,0
20190403T03-07,253,0
20190403T02-07,266,0
20190403T01-07,304,0
20190403T00-07,350,0
20190402T23-07,387,0
20190402T22-07,434,0
20190402T21-07,446,0
20190402T20-07,485,0
20190402T19-07,453,2
20190402T18-07,381,44
20190402T17-07,408,92
20190402T16-07,391,104
20190402T15-07,391,105
20190402T14-07,370,107
20190402T13-07,358,108
20190402T12-07,379,102
20190402T11-07,326,110
20190402T10-07,337,99
20190402T09-07,345,71
20190402T08-07,354,62
20190402T07-07,352,16
20190402T06-07,390,0
20190402T05-07,345,0
20190402T04-07,285,0
20190402T03-07,269,0
20190402T02-07,271,0
20190402T01-07,301,0
20190402T00-07,412,0
20190401T23-07,402,0
20190401T22-07,436,0
20190401T21-07,435,0
20190401T20-07,425,0
20190401T19-07,380,1
20190401T18-07,369,28
20190401T17-07,401,68
20190401T16-07,387,89
20190401T15-07,351,105
20190401T14-07,350,101
20190401T13-07,346,103
20190401T12-07,322,108
20190401T11-07,330,112
20190401T10-07,340,110
20190401T09-07,333,108
20190401T08-07,339,89
20190401T07-07,358,23
20190401T06-07,463,0
20190401T05-07,441,0
20190401T04-07,383,0
20190401T03-07,365,0
20190401T02-07,361,0
20190401T01-07,368,0
20190401T00-07,381,0
20190331T23-07,423,0
20190331T22-07,488,0
20190331T21-07,547,0
20190331T20-07,547,0
20190331T19-07,521,2
20190331T18-07,427,45
20190331T17-07,356,97
20190331T16-07,304,109
20190331T15-07,293,112
20190331T14-07,288,112
20190331T13-07,301,112
20190331T12-07,306,110
20190331T11-07,303,111
20190331T10-07,293,111
20190331T09-07,295,105
20190331T08-07,309,80
20190331T07-07,353,17
20190331T06-07,370,0
20190331T05-07,343,0
20190331T04-07,329,0
20190331T03-07,337,0
20190331T02-07,359,0
20190331T01-07,375,0
20190331T00-07,422,0
20190330T23-07,443,0
20190330T22-07,370,0
20190330T21-07,419,0
20190330T20-07,430,0
20190330T19-07,369,2
20190330T18-07,318,44
20190330T17-07,275,92
20190330T16-07,276,96
20190330T15-07,267,97
20190330T14-07,255,96
20190330T13-07,235,105
20190330T12-07,237,104
20190330T11-07,246,99
20190330T10-07,251,90
20190330T09-07,248,71
20190330T08-07,253,39
20190330T07-07,276,6
20190330T06-07,382,0
20190330T05-07,363,0
20190330T04-07,347,0
20190330T03-07,353,0
20190330T02-07,367,0
20190330T01-07,392,0
20190330T00-07,406,0
20190329T23-07,453,0
20190329T22-07,445,0
20190329T21-07,509,0
20190329T20-07,512,0
20190329T19-07,491,1
20190329T18-07,423,29
20190329T17-07,424,71
20190329T16-07,456,92
20190329T15-07,446,105
20190329T14-07,416,111
20190329T13-07,388,107
20190329T12-07,376,107
20190329T11-07,350,107
20190329T10-07,329,107
20190329T09-07,296,104
20190329T08-07,316,83
20190329T07-07,368,19
20190329T06-07,447,0
20190329T05-07,390,0
20190329T04-07,352,0
20190329T03-07,339,0
20190329T02-07,355,0
20190329T01-07,380,0
20190329T00-07,417,0
20190328T23-07,468,0
20190328T22-07,471,0
20190328T21-07,548,0
20190328T20-07,609,0
20190328T19-07,621,1
20190328T18-07,565,42
20190328T17-07,548,91
20190328T16-07,526,102
20190328T15-07,506,104
20190328T14-07,465,105
20190328T13-07,437,105
20190328T12-07,402,99
20190328T11-07,375,97
20190328T10-07,356,89
20190328T09-07,348,92
20190328T08-07,373,53
20190328T07-07,393,11
20190328T06-07,475,0
20190328T05-07,396,0
20190328T04-07,355,0
20190328T03-07,342,0
20190328T02-07,351,0
20190328T01-07,375,0
20190328T00-07,402,0
20190327T23-07,454,0
20190327T22-07,469,0
20190327T21-07,555,0
20190327T20-07,617,0
20190327T19-07,610,0
20190327T18-07,575,10
20190327T17-07,577,39
20190327T16-07,568,71
20190327T15-07,555,73
20190327T14-07,506,73
20190327T13-07,496,68
20190327T12-07,474,78
20190327T11-07,436,93
20190327T10-07,371,100
20190327T09-07,369,80
20190327T08-07,369,35
20190327T07-07,387,5
20190327T06-07,448,0
20190327T05-07,370,0
20190327T04-07,330,0
20190327T03-07,319,0
20190327T02-07,325,0
20190327T01-07,344,0
20190327T00-07,364,0
20190326T23-07,423,0
20190326T22-07,479,0
20190326T21-07,552,0
20190326T20-07,608,0
20190326T19-07,584,0
20190326T18-07,539,16
20190326T17-07,542,38
20190326T16-07,528,68
20190326T15-07,494,83
20190326T14-07,451,92
20190326T13-07,422,102
20190326T12-07,377,103
20190326T11-07,356,109
20190326T10-07,336,101
20190326T09-07,336,95
20190326T08-07,353,66
20190326T07-07,410,10
20190326T06-07,433,0
20190326T05-07,310,0
20190326T04-07,243,0
20190326T03-07,241,0
20190326T02-07,259,0
20190326T01-07,262,0
20190326T00-07,272,0
20190325T23-07,386,0
20190325T22-07,447,0
20190325T21-07,557,0
20190325T20-07,594,0
20190325T19-07,558,1
20190325T18-07,514,34
20190325T17-07,460,91
20190325T16-07,428,107
20190325T15-07,401,108
20190325T14-07,405,108
20190325T13-07,420,110
20190325T12-07,387,110
20190325T11-07,378,110
20190325T10-07,360,109
20190325T09-07,354,101
20190325T08-07,374,63
20190325T07-07,413,10
20190325T06-07,397,0
20190325T05-07,323,0
20190325T04-07,279,0
20190325T03-07,271,0
20190325T02-07,269,0
20190325T01-07,265,0
20190325T00-07,294,0
20190324T23-07,331,0
20190324T22-07,390,0
20190324T21-07,454,0
20190324T20-07,489,0
20190324T19-07,483,1
20190324T18-07,371,42
20190324T17-07,297,99
20190324T16-07,258,108
20190324T15-07,249,111
20190324T14-07,268,111
20190324T13-07,267,112
20190324T12-07,238,111
20190324T11-07,220,111
20190324T10-07,218,109
20190324T09-07,219,104
20190324T08-07,251,79
20190324T07-07,256,13
20190324T06-07,270,0
20190324T05-07,248,0
20190324T04-07,237,0
20190324T03-07,249,0
20190324T02-07,272,0
20190324T01-07,297,0
20190324T00-07,380,0
20190323T23-07,422,0
20190323T22-07,396,0
20190323T21-07,436,0
20190323T20-07,463,0
20190323T19-07,431,1
20190323T18-07,358,42
20190323T17-07,306,98
20190323T16-07,281,109
20190323T15-07,265,108
20190323T14-07,271,101
20190323T13-07,270,97
20190323T12-07,263,107
20190323T11-07,267,106
20190323T10-07,269,101
20190323T09-07,275,93
20190323T08-07,269,78
20190323T07-07,294,14
20190323T06-07,384,0
20190323T05-07,355,0
20190323T04-07,344,0
20190323T03-07,338,0
20190323T02-07,348,0
20190323T01-07,370,0
20190323T00-07,399,0
20190322T23-07,439,0
20190322T22-07,423,0
20190322T21-07,467,0
20190322T20-07,495,0
20190322T19-07,457,1
20190322T18-07,398,39
20190322T17-07,352,95
20190322T16-07,338,105
20190322T15-07,339,108
20190322T14-07,335,108
20190322T13-07,330,108
20190322T12-07,330,109
20190322T11-07,331,109
20190322T10-07,328,109
20190322T09-07,317,103
20190322T08-07,337,74
20190322T07-07,374,11
20190322T06-07,430,0
20190322T05-07,391,0
20190322T04-07,359,0
20190322T03-07,359,0
20190322T02-07,344,0
20190322T01-07,366,0
20190322T00-07,370,0
20190321T23-07,406,0
20190321T22-07,441,0
20190321T21-07,502,0
20190321T20-07,539,0
20190321T19-07,522,0
20190321T18-07,468,10
20190321T17-07,436,38
20190321T16-07,409,72
20190321T15-07,385,91
20190321T14-07,355,92
20190321T13-07,333,107
20190321T12-07,326,106
20190321T11-07,352,95
20190321T10-07,366,88
20190321T09-07,397,67
20190321T08-07,418,44
20190321T07-07,441,6
20190321T06-07,423,0
20190321T05-07,353,0
20190321T04-07,311,0
20190321T03-07,291,0
20190321T02-07,305,0
20190321T01-07,324,0
20190321T00-07,388,0
20190320T23-07,428,0
20190320T22-07,433,0
20190320T21-07,487,0
20190320T20-07,522,0
20190320T19-07,493,0
20190320T18-07,420,28
20190320T17-07,396,84
20190320T16-07,401,89
20190320T15-07,407,81
20190320T14-07,368,106
20190320T13-07,356,109
20190320T12-07,364,106
20190320T11-07,388,103
20190320T10-07,402,93
20190320T09-07,381,95
20190320T08-07,389,54
20190320T07-07,430,7
20190320T06-07,471,0
20190320T05-07,407,0
20190320T04-07,346,0
20190320T03-07,330,0
20190320T02-07,326,0
20190320T01-07,349,0
20190320T00-07,351,0
20190319T23-07,365,0
20190319T22-07,405,0
20190319T21-07,467,0
20190319T20-07,501,0
20190319T19-07,466,1
20190319T18-07,408,37
20190319T17-07,393,94
20190319T16-07,376,108
20190319T15-07,376,110
20190319T14-07,379,110
20190319T13-07,371,109
20190319T12-07,371,109
20190319T11-07,378,109
20190319T10-07,378,109
20190319T09-07,400,101
20190319T08-07,413,67
20190319T07-07,437,10
20190319T06-07,445,0
20190319T05-07,377,0
20190319T04-07,363,0
20190319T03-07,345,0
20190319T02-07,343,0
20190319T01-07,357,0
20190319T00-07,361,0
20190318T23-07,404,0
20190318T22-07,470,0
20190318T21-07,528,0
20190318T20-07,554,0
20190318T19-07,513,1
20190318T18-07,423,37
20190318T17-07,350,93
20190318T16-07,358,91
20190318T15-07,353,104
20190318T14-07,355,94
20190318T13-07,347,107
20190318T12-07,366,103
20190318T11-07,381,103
20190318T10-07,397,95
20190318T09-07,411,67
20190318T08-07,414,52
20190318T07-07,445,4
20190318T06-07,417,0
20190318T05-07,338,0
20190318T04-07,293,0
20190318T03-07,281,0
20190318T02-07,284,0
20190318T01-07,286,0
20190318T00-07,306,0
20190317T23-07,348,0
20190317T22-07,404,0
20190317T21-07,450,0
20190317T20-07,470,0
20190317T19-07,435,1
20190317T18-07,337,35
20190317T17-07,230,93
20190317T16-07,232,107
20190317T15-07,255,110
20190317T14-07,267,110
20190317T13-07,261,110
20190317T12-07,264,111
20190317T11-07,259,111
20190317T10-07,262,109
20190317T09-07,273,103
20190317T08-07,317,65
20190317T07-07,371,7
20190317T06-07,369,0
20190317T05-07,334,0
20190317T04-07,327,0
20190317T03-07,338,0
20190317T02-07,356,0
20190317T01-07,377,0
20190317T00-07,437,0
20190316T23-07,482,0
20190316T22-07,510,0
20190316T21-07,537,0
20190316T20-07,547,0
20190316T19-07,531,0
20190316T18-07,455,23
20190316T17-07,438,26
20190316T16-07,437,25
20190316T15-07,431,31
20190316T14-07,475,31
20190316T13-07,485,34
20190316T12-07,488,39
20190316T11-07,522,26
20190316T10-07,535,12
20190316T09-07,510,8
20190316T08-07,476,2
20190316T07-07,438,0
20190316T06-07,432,0
20190316T05-07,395,0
20190316T04-07,383,0
20190316T03-07,369,0
20190316T02-07,384,0
20190316T01-07,406,0
20190316T00-07,426,0
20190315T23-07,520,0
20190315T22-07,494,0
20190315T21-07,551,0
20190315T20-07,564,0
20190315T19-07,560,0
20190315T18-07,470,16
20190315T17-07,413,51
20190315T16-07,392,66
20190315T15-07,389,76
20190315T14-07,401,84
20190315T13-07,408,70
20190315T12-07,426,76
20190315T11-07,458,69
20190315T10-07,460,72
20190315T09-07,464,82
20190315T08-07,490,57
20190315T07-07,553,6
20190315T06-07,544,0
20190315T05-07,462,0
20190315T04-07,396,0
20190315T03-07,369,0
20190315T02-07,371,0
20190315T01-07,377,0
20190315T00-07,436,0
20190314T23-07,482,0
20190314T22-07,481,0
20190314T21-07,538,0
20190314T20-07,551,0
20190314T19-07,522,1
20190314T18-07,412,33
20190314T17-07,337,88
20190314T16-07,329,98
20190314T15-07,310,99
20190314T14-07,333,99
20190314T13-07,330,98
20190314T12-07,349,99
20190314T11-07,372,100
20190314T10-07,386,96
20190314T09-07,447,66
20190314T08-07,462,56
20190314T07-07,537,5
20190314T06-07,569,0
20190314T05-07,482,0
20190314T04-07,412,0
20190314T03-07,406,0
20190314T02-07,409,0
20190314T01-07,420,0
20190314T00-07,450,0
20190313T23-07,487,0
20190313T22-07,514,0
20190313T21-07,575,0
20190313T20-07,621,0
20190313T19-07,588,0
20190313T18-07,510,12
20190313T17-07,439,39
20190313T16-07,413,35
20190313T15-07,426,40
20190313T14-07,408,70
20190313T13-07,415,73
20190313T12-07,438,59
20190313T11-07,444,66
20190313T10-07,444,71
20190313T09-07,460,66
20190313T08-07,516,46
20190313T07-07,565,6
20190313T06-07,566,0
20190313T05-07,494,0
20190313T04-07,433,0
20190313T03-07,417,0
20190313T02-07,408,0
20190313T01-07,429,0
20190313T00-07,411,0
20190312T23-07,447,0
20190312T22-07,509,0
20190312T21-07,581,0
20190312T20-07,617,0
20190312T19-07,614,0
20190312T18-07,569,1
20190312T17-07,542,3
20190312T16-07,530,7
20190312T15-07,523,17
20190312T14-07,553,16
20190312T13-07,501,44
20190312T12-07,466,62
20190312T11-07,431,75
20190312T10-07,406,94
20190312T09-07,417,81
20190312T08-07,475,21
20190312T07-07,492,1
20190312T06-07,452,0
20190312T05-07,364,0
20190312T04-07,325,0
20190312T03-07,316,0
20190312T02-07,317,0
20190312T01-07,334,0
20190312T00-07,344,0
20190311T23-07,395,0
20190311T22-07,467,0
20190311T21-07,543,0
20190311T20-07,566,0
20190311T19-07,541,0
20190311T18-07,504,1
20190311T17-07,487,8
20190311T16-07,488,7
20190311T15-07,468,16
20190311T14-07,452,43
20190311T13-07,441,56
20190311T12-07,431,74
20190311T11-07,433,72
20190311T10-07,431,60
20190311T09-07,465,28
20190311T08-07,468,13
20190311T07-07,467,1
20190311T06-07,408,0
20190311T05-07,327,0
20190311T04-07,275,0
20190311T03-07,257,0
20190311T02-07,259,0
20190311T01-07,272,0
20190311T00-07,344,0
20190310T23-07,413,0
20190310T22-07,462,0
20190310T21-07,483,0
20190310T20-07,475,0
20190310T19-07,408,4
20190310T18-07,375,14
20190310T17-07,347,25
20190310T16-07,335,28
20190310T15-07,322,41
20190310T14-07,292,64
20190310T13-07,287,62
20190310T12-07,277,58
20190310T11-07,289,42
20190310T10-07,293,27
20190310T09-07,290,12
20190310T08-07,287,1
20190310T07-07,278,0
20190310T06-07,265,0
20190310T05-07,256,0
20190310T04-07,277,0
20190310T02-07,299,0
20190310T01-07,354,0
20190310T00-07,387,0
20190309T23-07,418,0
20190309T22-07,457,0
20190309T21-07,491,0
20190309T20-07,516,0
20190309T19-07,479,0
20190309T18-07,423,6
20190309T17-07,385,25
20190309T16-07,351,43
20190309T15-07,317,67
20190309T14-07,236,89
20190309T13-07,243,96
20190309T12-07,290,102
20190309T11-07,293,104
20190309T10-07,288,106
20190309T09-07,291,101
20190309T08-07,326,59
20190309T07-07,392,5
20190309T06-07,389,0
20190309T05-07,365,0
20190309T04-07,353,0
20190309T03-07,361,0
20190309T02-07,372,0
20190309T01-07,391,0
20190309T00-07,415,0
20190308T23-07,445,0
20190308T22-07,499,0
20190308T21-07,529,0
20190308T20-07,561,0
20190308T19-07,551,0
20190308T18-07,517,4
20190308T17-07,502,7
20190308T16-07,505,11
20190308T15-07,503,11
20190308T14-07,490,17
20190308T13-07,486,27
20190308T12-07,448,47
20190308T11-07,432,66
20190308T10-07,428,62
20190308T09-07,432,45
20190308T08-07,479,14
20190308T07-07,471,1
20190308T06-07,403,0
20190308T05-07,351,0
20190308T04-07,338,0
20190308T03-07,338,0
20190308T02-07,361,0
20190308T01-07,422,0
20190308T00-07,464,0
20190307T23-07,504,0
20190307T22-07,573,0
20190307T21-07,627,0
20190307T20-07,651,0
20190307T19-07,640,0
20190307T18-07,593,5
20190307T17-07,562,20
20190307T16-07,548,31
20190307T15-07,525,43
20190307T14-07,510,65
20190307T13-07,427,76
20190307T12-07,478,84
20190307T11-07,483,76
20190307T10-07,506,48
20190307T09-07,518,24
20190307T08-07,525,12
20190307T07-07,546,1
20190307T06-07,471,0
20190307T05-07,417,0
20190307T04-07,394,0
20190307T03-07,397,0
20190307T02-07,406,0
20190307T01-07,424,0
20190307T00-07,475,0
20190306T23-07,488,0
20190306T22-07,562,0
20190306T21-07,592,0
20190306T20-07,610,0
20190306T19-07,616,0
20190306T18-07,551,33
20190306T17-07,506,69
20190306T16-07,447,98
20190306T15-07,427,103
20190306T14-07,412,103
20190306T13-07,384,104
20190306T12-07,404,105
20190306T11-07,411,107
20190306T10-07,404,107
20190306T09-07,438,98
20190306T08-07,511,49
20190306T07-07,597,1
20190306T06-07,512,0
20190306T05-07,457,0
20190306T04-07,437,0
20190306T03-07,442,0
20190306T02-07,435,0
20190306T01-07,402,0
20190306T00-07,507,0
20190305T23-07,584,0
20190305T22-07,632,0
20190305T21-07,661,0
20190305T20-07,672,0
20190305T19-07,644,0
20190305T18-07,553,17
20190305T17-07,481,79
20190305T16-07,467,104
20190305T15-07,433,108
20190305T14-07,427,107
20190305T13-07,435,105
20190305T12-07,437,106
20190305T11-07,469,108
20190305T10-07,474,107
20190305T09-07,512,95
20190305T08-07,586,48
20190305T07-07,629,2
20190305T06-07,538,0
20190305T05-07,482,0
20190305T04-07,438,0
20190305T03-07,417,0
20190305T02-07,429,0
20190305T01-07,466,0
20190305T00-07,513,0
20190304T23-07,601,0
20190304T22-07,684,0
20190304T21-07,696,0
20190304T20-07,728,0
20190304T19-07,702,0
20190304T18-07,601,25
20190304T17-07,522,73
20190304T16-07,485,101
20190304T15-07,485,108
20190304T14-07,494,108
20190304T13-07,497,107
20190304T12-07,504,101
20190304T11-07,537,96
20190304T10-07,533,92
20190304T09-07,546,86
20190304T08-07,611,21
20190304T07-07,534,1
20190304T06-07,498,0
20190304T05-07,438,0
20190304T04-07,407,0
20190304T03-07,397,0
20190304T02-07,417,0
20190304T01-07,438,0
20190304T00-07,470,0
20190303T23-07,544,0
20190303T22-07,607,0
20190303T21-07,655,0
20190303T20-07,674,0
20190303T19-07,641,0
20190303T18-07,545,20
20190303T17-07,458,70
20190303T16-07,404,93
20190303T15-07,402,104
20190303T14-07,389,105
20190303T13-07,370,105
20190303T12-07,363,105
20190303T11-07,365,107
20190303T10-07,360,107
20190303T09-07,330,98
20190303T08-07,320,47
20190303T07-07,391,2
20190303T06-07,390,0
20190303T05-07,372,0
20190303T04-07,361,0
20190303T03-07,409,0
20190303T02-07,389,0
20190303T01-07,420,0
20190303T00-07,476,0
20190302T23-07,559,0
20190302T22-07,583,0
20190302T21-07,621,0
20190302T20-07,639,0
20190302T19-07,635,0
20190302T18-07,564,17
20190302T17-07,486,64
20190302T16-07,463,78
20190302T15-07,435,96
20190302T14-07,440,92
20190302T13-07,435,98
20190302T12-07,402,94
20190302T11-07,406,85
20190302T10-07,416,70
20190302T09-07,454,30
20190302T08-07,444,9
20190302T07-07,401,0
20190302T06-07,382,0
20190302T05-07,360,0
20190302T04-07,367,0
20190302T03-07,385,0
20190302T02-07,413,0
20190302T01-07,437,0
20190302T00-07,487,0
20190301T23-07,551,0
20190301T22-07,615,0
20190301T21-07,640,0
