,natural gas,solar
20191124T00-07,434,0
20191123T23-07,430,0
20191123T22-07,470,0
20191123T21-07,497,0
20191123T20-07,507,0
20191123T19-07,514,0
20191123T18-07,497,0
20191123T17-07,403,17
20191123T16-07,384,56
20191123T15-07,358,84
20191123T14-07,302,89
20191123T13-07,317,88
20191123T12-07,331,88
20191123T11-07,348,90
20191123T10-07,365,92
20191123T09-07,387,82
20191123T08-07,437,34
20191123T07-07,505,0
20191123T06-07,472,0
20191123T05-07,458,0
20191123T04-07,452,0
20191123T03-07,459,0
20191123T02-07,479,0
20191123T01-07,487,0
20191123T00-07,540,0
20191122T23-07,491,0
20191122T22-07,530,0
20191122T21-07,552,0
20191122T20-07,567,0
20191122T19-07,571,0
20191122T18-07,553,0
20191122T17-07,466,14
20191122T16-07,397,70
20191122T15-07,396,71
20191122T14-07,396,74
20191122T13-07,394,77
20191122T12-07,408,79
20191122T11-07,418,79
20191122T10-07,429,76
20191122T09-07,468,59
20191122T08-07,529,20
20191122T07-07,615,0
20191122T06-07,556,0
20191122T05-07,536,0
20191122T04-07,538,0
20191122T03-07,537,0
20191122T02-07,523,0
20191122T01-07,478,0
20191122T00-07,497,0
20191121T23-07,470,0
20191121T22-07,524,0
20191121T21-07,580,0
20191121T20-07,579,0
20191121T19-07,558,0
20191121T18-07,560,0
20191121T17-07,473,13
20191121T16-07,469,29
20191121T15-07,481,21
20191121T14-07,438,34
20191121T13-07,470,35
20191121T12-07,513,34
20191121T11-07,495,35
20191121T10-07,510,26
20191121T09-07,490,22
20191121T08-07,468,24
20191121T07-07,588,1
20191121T06-07,503,0
20191121T05-07,467,0
20191121T04-07,443,0
20191121T03-07,445,0
20191121T02-07,455,0
20191121T01-07,404,0
20191121T00-07,434,0
20191120T23-07,430,0
20191120T22-07,505,0
20191120T21-07,533,0
20191120T20-07,565,0
20191120T19-07,564,0
20191120T18-07,545,0
20191120T17-07,473,15
20191120T16-07,430,50
20191120T15-07,396,79
20191120T14-07,401,69
20191120T13-07,403,53
20191120T12-07,389,63
20191120T11-07,368,63
20191120T10-07,363,60
20191120T09-07,350,63
20191120T08-07,408,27
20191120T07-07,485,0
20191120T06-07,433,0
20191120T05-07,378,0
20191120T04-07,401,0
20191120T03-07,388,0
20191120T02-07,408,0
20191120T01-07,373,0
20191120T00-07,376,0
20191119T23-07,416,0
20191119T22-07,479,0
20191119T21-07,506,0
20191119T20-07,538,0
20191119T19-07,567,0
20191119T18-07,554,0
20191119T17-07,492,1
20191119T16-07,470,8
20191119T15-07,451,25
20191119T14-07,401,54
20191119T13-07,358,75
20191119T12-07,360,67
20191119T11-07,333,75
20191119T10-07,341,87
20191119T09-07,368,67
20191119T08-07,431,33
20191119T07-07,443,1
20191119T06-07,371,1
20191119T05-07,375,0
20191119T04-07,346,0
20191119T03-07,343,0
20191119T02-07,348,0
20191119T01-07,456,0
20191119T00-07,508,0
20191118T23-07,458,0
20191118T22-07,502,0
20191118T21-07,544,0
20191118T20-07,559,0
20191118T19-07,565,0
20191118T18-07,475,0
20191118T17-07,491,20
20191118T16-07,418,72
20191118T15-07,396,97
20191118T14-07,381,79
20191118T13-07,367,87
20191118T12-07,357,87
20191118T11-07,371,89
20191118T10-07,372,90
20191118T09-07,405,71
20191118T08-07,486,26
20191118T07-07,625,1
20191118T06-07,530,1
20191118T05-07,485,0
20191118T04-07,458,0
20191118T03-07,444,0
20191118T02-07,449,0
20191118T01-07,466,0
20191118T00-07,498,0
20191117T23-07,545,0
20191117T22-07,597,0
20191117T21-07,627,0
20191117T20-07,638,0
20191117T19-07,636,0
20191117T18-07,606,0
20191117T17-07,528,13
20191117T16-07,468,49
20191117T15-07,434,58
20191117T14-07,419,54
20191117T13-07,415,58
20191117T12-07,399,64
20191117T11-07,370,86
20191117T10-07,354,87
20191117T09-07,363,74
20191117T08-07,404,35
20191117T07-07,458,1
20191117T06-07,445,0
20191117T05-07,423,0
20191117T04-07,474,0
20191117T03-07,474,0
20191117T02-07,483,0
20191117T01-07,465,0
20191117T00-07,492,0
20191116T23-07,466,0
20191116T22-07,505,0
20191116T21-07,519,0
20191116T20-07,543,0
20191116T19-07,558,0
20191116T18-07,531,0
20191116T17-07,448,24
20191116T16-07,424,71
20191116T15-07,402,75
20191116T14-07,448,58
20191116T13-07,424,72
