,coal,natural gas,wind
20191029T03Z,1657,995.0,116
20191029T02Z,1642,1043.0,134
20191029T01Z,1670,1173.0,133
20191029T00Z,1692,1251.0,91
20191028T23Z,1618,1253.0,37
20191028T22Z,1357,1250.0,30
20191028T21Z,1344,1253.0,15
20191028T20Z,1364,1254.0,17
20191028T19Z,1414,1256.0,24
20191028T18Z,1312,1257.0,39
20191028T17Z,1399,1187.0,55
20191028T16Z,1452,1113.0,73
20191028T15Z,1498,1017.0,103
20191028T14Z,1619,996.0,125
20191028T13Z,1581,993.0,135
20191028T12Z,1546,966.0,159
20191028T11Z,1368,853.0,179
20191028T10Z,999,975.0,202
20191028T09Z,937,935.0,206
20191028T08Z,940,873.0,228
20191028T07Z,1014,827.0,248
20191028T06Z,1114,827.0,240
20191028T05Z,1297,861.0,235
20191028T04Z,1403,952.0,267
20191028T03Z,1455,962.0,277
20191028T02Z,1604,956.0,267
20191028T01Z,1674,964.0,248
20191028T00Z,1631,959.0,163
20191027T23Z,1682,952.0,83
20191027T22Z,1637,948.0,65
20191027T21Z,1557,911.0,59
20191027T20Z,1546,924.0,58
20191027T19Z,1498,921.0,57
20191027T18Z,1501,880.0,49
20191027T17Z,1528,943.0,83
20191027T16Z,1554,972.0,116
20191027T15Z,1518,948.0,132
20191027T14Z,1385,838.0,221
20191027T13Z,1114,838.0,234
20191027T12Z,1172,764.0,214
20191027T11Z,991,890.0,203
20191027T10Z,785,861.0,264
20191027T09Z,719,799.0,272
20191027T08Z,710,818.0,232
20191027T07Z,880,717.0,213
20191027T06Z,1032,765.0,170
20191027T05Z,1249,778.0,150
20191027T04Z,1525,829.0,105
20191027T03Z,1709,899.0,75
20191027T02Z,1638,924.0,52
20191027T01Z,1670,955.0,21
20191027T00Z,1671,963.0,14
20191026T23Z,1612,966.0,9
20191026T22Z,1670,966.0,7
20191026T21Z,1677,967.0,2
20191026T20Z,1677,970.0,0
20191026T19Z,1696,970.0,0
20191026T18Z,1681,975.0,0
20191026T17Z,1689,981.0,5
20191026T16Z,1699,983.0,13
20191026T15Z,1624,982.0,29
20191026T14Z,1544,970.0,69
20191026T13Z,1528,917.0,43
20191026T12Z,1455,750.0,53
20191026T11Z,1355,819.0,32
20191026T10Z,1246,816.0,36
20191026T09Z,1112,861.0,99
20191026T08Z,1105,927.0,132
20191026T07Z,1112,924.0,146
20191026T06Z,1110,847.0,161
20191026T05Z,1364,730.0,122
20191026T04Z,1505,802.0,103
20191026T03Z,1501,919.0,92
20191026T02Z,1607,1002.0,91
20191026T01Z,1711,1152.0,57
20191026T00Z,1752,1118.0,46
20191025T23Z,1752,1114.0,50
20191025T22Z,1716,1132.0,83
20191025T21Z,1677,1198.0,82
20191025T20Z,1671,1186.0,98
20191025T19Z,1671,1224.0,116
20191025T18Z,1671,1192.0,125
20191025T17Z,1672,1203.0,120
20191025T16Z,1673,1210.0,133
20191025T15Z,1675,1222.0,146
20191025T14Z,1623,1172.0,152
