,natural gas,other,solar,hydro
20191027T17Z,41,351,115,19
20191027T16Z,41,361,87,19
20191027T15Z,59,372,20,22
20191027T14Z,59,385,0,20
20191027T13Z,59,403,0,24
20191027T12Z,58,428,0,20
20191027T11Z,60,441,0,22
20191027T10Z,59,438,0,21
20191027T09Z,59,442,0,21
20191027T08Z,59,436,0,21
20191027T07Z,58,439,0,21
20191027T06Z,58,438,0,21
20191027T05Z,57,440,0,22
20191027T04Z,64,438,0,23
20191027T03Z,103,437,0,25
20191027T02Z,101,436,0,23
20191027T01Z,97,430,14,26
20191027T00Z,57,434,87,25
20191026T23Z,50,427,134,23
20191026T22Z,54,424,142,25
20191026T21Z,55,409,145,23
20191026T20Z,53,402,147,25
20191026T19Z,56,415,139,25
20191026T18Z,52,428,140,28
20191026T17Z,49,442,137,30
20191026T16Z,50,448,101,30
20191026T15Z,59,447,23,31
20191026T14Z,59,452,0,31
20191026T13Z,58,453,0,30
20191026T12Z,58,449,0,33
20191026T11Z,59,446,0,27
20191026T10Z,59,444,0,30
20191026T09Z,59,446,0,27
20191026T08Z,59,464,0,27
20191026T07Z,57,483,0,24
20191026T06Z,58,503,0,28
20191026T05Z,83,512,0,25
20191026T04Z,104,506,0,29
20191026T03Z,146,506,0,28
20191026T02Z,148,502,0,26
20191026T01Z,141,499,16,26
20191026T00Z,106,500,89,27
20191025T23Z,78,498,126,30
20191025T22Z,55,501,135,30
20191025T21Z,56,456,132,33
20191025T20Z,56,440,131,30
20191025T19Z,54,439,132,34
20191025T18Z,57,438,131,34
20191025T17Z,56,448,127,34
20191025T16Z,54,504,102,28
20191025T15Z,57,514,22,28
20191025T14Z,59,513,0,27
20191025T13Z,55,516,0,27
20191025T12Z,46,508,0,28
20191025T11Z,46,511,0,27
20191025T10Z,55,503,0,27
20191025T09Z,59,507,0,25
20191025T08Z,58,506,0,24
20191025T07Z,58,505,0,25
20191025T06Z,60,511,0,24
20191025T05Z,91,507,0,24
20191025T04Z,105,511,0,24
20191025T03Z,143,511,0,23
20191025T02Z,138,506,0,23
