,wind
20191204T20-07,174
20191204T19-07,161
20191204T18-07,137
20191204T17-07,175
20191204T16-07,140
20191204T15-07,140
20191204T14-07,153
20191204T13-07,135
20191204T12-07,146
20191204T11-07,153
20191204T10-07,156
20191204T09-07,121
20191204T08-07,92
20191204T07-07,137
20191204T06-07,159
20191204T05-07,141
20191204T04-07,174
20191204T03-07,167
20191204T02-07,160
20191204T01-07,172
20191203T23-07,184
20191203T22-07,184
20191203T21-07,179
20191203T20-07,168
20191203T19-07,160
20191203T18-07,178
20191203T17-07,182
20191203T16-07,185
20191203T15-07,185
20191203T14-07,184
20191203T13-07,182
20191203T12-07,158
20191203T11-07,154
20191203T10-07,101
20191203T09-07,147
20191203T08-07,16
20191203T07-07,25
20191203T06-07,107
20191203T05-07,162
20191203T04-07,184
20191203T03-07,183
20191203T02-07,185
20191203T01-07,184
20191202T23-07,185
20191202T22-07,184
20191202T21-07,185
20191202T20-07,186
20191202T19-07,185
20191202T18-07,184
20191202T17-07,178
20191202T16-07,179
20191202T15-07,174
20191202T14-07,171
20191202T13-07,170
20191202T12-07,170
20191202T11-07,171
20191202T10-07,169
20191202T09-07,168
20191202T08-07,169
20191202T07-07,168
20191202T06-07,168
20191202T05-07,163
20191202T04-07,167
20191202T03-07,169
20191202T02-07,107
20191202T01-07,126
20191201T23-07,140
20191201T22-07,130
20191201T21-07,96
20191201T20-07,62
20191201T19-07,25
20191201T18-07,27
20191201T17-07,70
20191201T16-07,75
20191201T15-07,29
20191201T14-07,70
20191201T13-07,77
20191201T12-07,56
20191201T11-07,43
20191201T10-07,23
20191201T09-07,45
20191201T08-07,33
20191201T07-07,19
20191201T06-07,6
20191201T05-07,0
20191201T04-07,1
20191201T03-07,2
20191201T02-07,1
20191201T01-07,0
20191130T23-07,0
20191130T22-07,0
20191130T21-07,0
20191130T20-07,0
20191130T19-07,7
20191130T18-07,24
20191130T17-07,36
20191130T16-07,26
20191130T15-07,17
20191130T14-07,7
20191130T13-07,2
20191130T12-07,0
20191130T11-07,0
20191130T10-07,0
20191130T09-07,0
20191130T08-07,1
20191130T07-07,4
20191130T06-07,0
20191130T05-07,0
20191130T04-07,1
20191130T03-07,10
20191130T02-07,19
20191130T01-07,7
20191129T23-07,1
20191129T22-07,1
20191129T21-07,4
20191129T20-07,4
20191129T19-07,0
20191129T18-07,5
20191129T17-07,1
20191129T16-07,0
20191129T15-07,0
20191129T14-07,0
20191129T13-07,0
20191129T12-07,0
20191129T11-07,0
20191129T10-07,0
20191129T09-07,0
20191129T08-07,0
20191129T07-07,0
20191129T06-07,0
20191129T05-07,0
20191129T04-07,0
20191129T03-07,0
20191129T02-07,0
20191129T01-07,0
20191128T23-07,1
20191128T22-07,14
20191128T21-07,26
20191128T20-07,42
20191128T19-07,53
20191128T18-07,65
20191128T17-07,89
20191128T16-07,136
20191128T15-07,147
20191128T14-07,163
20191128T13-07,165
20191128T12-07,161
20191128T11-07,166
20191128T10-07,178
20191128T09-07,182
20191128T08-07,182
20191128T07-07,184
20191128T06-07,180
20191128T05-07,177
20191128T04-07,178
20191128T03-07,175
20191128T02-07,171
20191128T01-07,170
20191127T23-07,172
20191127T22-07,174
20191127T21-07,175
20191127T20-07,175
20191127T19-07,172
20191127T18-07,162
20191127T17-07,160
20191127T16-07,160
20191127T15-07,154
20191127T14-07,164
20191127T13-07,181
20191127T12-07,176
20191127T11-07,169
20191127T10-07,171
20191127T09-07,149
20191127T08-07,124
20191127T07-07,129
20191127T06-07,115
20191127T05-07,87
20191127T04-07,60
20191127T03-07,35
20191127T02-07,13
20191127T01-07,2
20191126T23-07,0
20191126T22-07,0
20191126T21-07,0
20191126T20-07,0
20191126T19-07,0
20191126T18-07,0
20191126T17-07,0
20191126T16-07,0
20191126T15-07,0
20191126T14-07,0
20191126T13-07,0
20191126T12-07,0
20191126T11-07,0
20191126T10-07,0
20191126T09-07,0
20191126T08-07,0
20191126T07-07,0
20191126T06-07,0
20191126T05-07,0
20191126T04-07,0
20191126T03-07,0
20191126T02-07,0
20191126T01-07,0
20191125T23-07,0
20191125T22-07,0
20191125T21-07,0
20191125T20-07,12
20191125T19-07,23
20191125T18-07,35
20191125T17-07,57
20191125T16-07,29
20191125T15-07,17
20191125T14-07,0
20191125T13-07,10
20191125T12-07,10
20191125T11-07,3
20191125T10-07,42
20191125T09-07,39
20191125T08-07,47
20191125T07-07,26
20191125T06-07,77
20191125T05-07,86
20191125T04-07,49
20191125T03-07,31
20191125T02-07,27
20191125T01-07,6
20191124T23-07,9
20191124T22-07,197
20191124T21-07,197
20191124T20-07,197
20191124T19-07,197
20191124T18-07,197
20191124T17-07,197
20191124T16-07,198
20191124T15-07,200
20191124T14-07,199
20191124T13-07,199
20191124T12-07,198
20191124T11-07,200
20191124T10-07,194
20191124T09-07,198
20191124T08-07,193
20191124T07-07,167
20191124T06-07,195
20191124T05-07,184
20191124T04-07,178
20191124T03-07,118
20191124T02-07,140
20191124T01-07,12
20191123T23-07,128
20191123T22-07,190
20191123T21-07,186
20191123T20-07,196
20191123T19-07,194
20191123T18-07,196
20191123T17-07,195
20191123T16-07,197
20191123T15-07,193
20191123T14-07,189
20191123T13-07,191
20191123T12-07,190
20191123T11-07,178
20191123T10-07,179
20191123T09-07,187
20191123T08-07,159
20191123T07-07,194
20191123T06-07,164
20191123T05-07,196
20191123T04-07,176
20191123T03-07,169
20191123T02-07,194
20191123T01-07,191
20191122T23-07,199
20191122T22-07,196
20191122T21-07,188
20191122T20-07,167
20191122T19-07,163
20191122T18-07,142
20191122T17-07,132
20191122T16-07,143
20191122T15-07,161
20191122T14-07,153
20191122T13-07,185
20191122T12-07,181
20191122T11-07,174
20191122T10-07,137
20191122T09-07,190
20191122T08-07,165
20191122T07-07,128
20191122T06-07,125
20191122T05-07,106
20191122T04-07,117
20191122T03-07,91
20191122T02-07,41
20191122T01-07,9
20191121T23-07,0
20191121T22-07,0
20191121T21-07,0
20191121T20-07,8
20191121T19-07,15
20191121T18-07,16
20191121T17-07,19
20191121T16-07,14
20191121T15-07,1
20191121T14-07,0
20191121T13-07,0
20191121T12-07,2
20191121T11-07,1
20191121T10-07,0
20191121T09-07,0
20191121T08-07,0
20191121T07-07,4
20191121T06-07,1
20191121T05-07,3
20191121T04-07,26
20191121T03-07,13
20191121T02-07,30
20191121T01-07,45
20191120T23-07,63
20191120T22-07,68
20191120T21-07,50
20191120T20-07,20
20191120T19-07,7
20191120T18-07,1
20191120T17-07,0
20191120T16-07,0
20191120T15-07,0
20191120T14-07,0
20191120T13-07,1
20191120T12-07,0
20191120T11-07,0
20191120T10-07,0
20191120T09-07,0
20191120T08-07,0
20191120T07-07,1
20191120T06-07,11
20191120T05-07,30
20191120T04-07,45
20191120T03-07,59
20191120T02-07,81
20191120T01-07,124
20191119T23-07,133
20191119T22-07,164
20191119T21-07,120
20191119T20-07,104
20191119T19-07,115
20191119T18-07,89
20191119T17-07,57
20191119T16-07,50
20191119T15-07,34
20191119T14-07,3
20191119T13-07,0
20191119T12-07,3
20191119T11-07,1
20191119T10-07,0
20191119T09-07,1
20191119T08-07,13
20191119T07-07,11
20191119T06-07,10
20191119T05-07,10
20191119T04-07,11
20191119T03-07,7
20191119T02-07,22
20191119T01-07,25
20191118T23-07,15
20191118T22-07,33
20191118T21-07,30
20191118T20-07,3
20191118T19-07,19
20191118T17-07,34
20191118T16-07,42
20191118T15-07,61
20191118T14-07,124
20191118T13-07,156
20191118T12-07,125
20191118T11-07,177
20191118T10-07,183
20191118T09-07,194
20191118T08-07,188
20191118T07-07,197
20191118T06-07,194
20191118T05-07,197
20191118T04-07,197
20191118T03-07,196
20191118T02-07,195
20191118T01-07,192
20191117T23-07,136
20191117T22-07,154
20191117T21-07,73
20191117T20-07,113
20191117T19-07,87
20191117T18-07,96
20191117T17-07,193
20191117T16-07,195
20191117T15-07,196
20191117T14-07,197
20191117T13-07,197
20191117T12-07,197
20191117T11-07,197
20191117T10-07,179
20191117T09-07,178
20191117T08-07,179
20191117T07-07,172
20191117T06-07,176
20191117T05-07,178
20191117T04-07,178
20191117T03-07,179
20191117T02-07,175
20191117T01-07,167
20191116T23-07,174
20191116T22-07,156
20191116T21-07,120
20191116T20-07,133
20191116T19-07,192
20191116T18-07,190
20191116T17-07,191
20191116T16-07,182
20191116T15-07,160
20191116T14-07,132
20191116T13-07,106
20191116T12-07,147
20191116T11-07,131
20191116T10-07,101
20191116T09-07,91
20191116T08-07,43
20191116T07-07,42
20191116T06-07,93
20191116T05-07,123
20191116T04-07,110
20191116T03-07,175
20191116T02-07,161
20191116T01-07,156
20191115T23-07,177
20191115T22-07,187
20191115T21-07,155
20191115T20-07,157
20191115T19-07,199
20191115T18-07,193
20191115T17-07,183
20191115T16-07,161
20191115T15-07,129
20191115T14-07,176
20191115T13-07,155
20191115T12-07,130
20191115T11-07,140
20191115T10-07,88
20191115T09-07,46
20191115T08-07,121
20191115T07-07,173
20191115T06-07,180
20191115T05-07,172
20191115T04-07,143
20191115T03-07,125
20191115T02-07,106
20191115T01-07,75
20191114T23-07,21
20191114T22-07,28
20191114T21-07,41
20191114T20-07,28
20191114T19-07,9
20191114T18-07,5
20191114T17-07,1
20191114T16-07,0
20191114T15-07,0
20191114T14-07,0
20191114T13-07,1
20191114T12-07,7
20191114T11-07,4
20191114T10-07,0
20191114T09-07,5
20191114T08-07,2
20191114T07-07,1
20191114T06-07,1
20191114T05-07,1
20191114T04-07,0
20191114T03-07,0
20191114T02-07,2
20191114T01-07,5
20191113T23-07,24
20191113T22-07,35
20191113T21-07,45
20191113T20-07,61
20191113T19-07,64
20191113T18-07,67
20191113T17-07,64
20191113T16-07,59
20191113T15-07,75
20191113T14-07,119
20191113T13-07,131
20191113T12-07,125
20191113T11-07,122
20191113T10-07,102
20191113T09-07,138
20191113T08-07,153
20191113T07-07,138
20191113T06-07,105
20191113T05-07,88
20191113T04-07,105
20191113T03-07,125
20191113T02-07,130
20191113T01-07,133
20191112T23-07,126
20191112T22-07,134
20191112T21-07,121
20191112T20-07,157
20191112T19-07,78
20191112T18-07,147
20191112T17-07,155
20191112T16-07,180
20191112T15-07,176
20191112T14-07,188
20191112T13-07,124
20191112T12-07,135
20191112T11-07,126
20191112T10-07,104
20191112T09-07,195
20191112T08-07,195
20191112T07-07,191
20191112T06-07,197
20191112T05-07,196
20191112T04-07,194
20191112T03-07,194
20191112T02-07,190
20191112T01-07,194
20191111T23-07,190
20191111T22-07,189
20191111T21-07,195
20191111T20-07,162
20191111T19-07,59
20191111T18-07,95
20191111T17-07,16
20191111T16-07,3
20191111T15-07,8
20191111T14-07,1
20191111T13-07,0
20191111T12-07,1
20191111T11-07,0
20191111T10-07,0
20191111T09-07,1
20191111T08-07,0
20191111T07-07,0
20191111T06-07,1
20191111T05-07,6
20191111T04-07,11
20191111T03-07,22
20191111T02-07,26
20191111T01-07,15
20191110T23-07,0
20191110T22-07,0
20191110T21-07,0
20191110T20-07,0
20191110T19-07,0
20191110T18-07,0
20191110T17-07,0
20191110T16-07,3
20191110T15-07,27
20191110T14-07,36
20191110T13-07,31
20191110T12-07,34
20191110T11-07,25
20191110T10-07,21
20191110T09-07,24
20191110T08-07,31
20191110T07-07,21
20191110T06-07,16
20191110T05-07,22
20191110T04-07,27
20191110T03-07,23
20191110T02-07,32
20191110T01-07,31
20191109T23-07,8
20191109T22-07,0
20191109T21-07,0
20191109T20-07,0
20191109T19-07,5
20191109T18-07,10
20191109T17-07,49
20191109T16-07,73
20191109T15-07,66
20191109T14-07,78
20191109T13-07,134
20191109T12-07,148
20191109T11-07,179
20191109T10-07,139
20191109T09-07,120
20191109T08-07,172
20191109T07-07,172
20191109T06-07,132
20191109T05-07,89
20191109T04-07,127
20191109T03-07,156
20191109T02-07,179
20191109T01-07,193
20191108T23-07,124
20191108T22-07,174
20191108T21-07,180
20191108T20-07,188
20191108T19-07,185
20191108T18-07,179
20191108T17-07,188
20191108T16-07,197
20191108T15-07,192
20191108T14-07,198
20191108T13-07,197
20191108T12-07,197
20191108T11-07,192
20191108T10-07,187
20191108T09-07,197
20191108T08-07,201
20191108T07-07,201
20191108T06-07,201
20191108T05-07,200
20191108T04-07,200
20191108T03-07,199
20191108T02-07,180
20191108T01-07,199
20191107T23-07,199
20191107T22-07,196
20191107T21-07,187
20191107T20-07,196
20191107T19-07,201
20191107T18-07,200
20191107T17-07,188
20191107T16-07,149
20191107T15-07,68
20191107T14-07,45
20191107T13-07,23
20191107T12-07,19
20191107T11-07,20
20191107T10-07,5
20191107T09-07,1
20191107T08-07,9
20191107T07-07,24
20191107T06-07,19
20191107T05-07,0
20191107T04-07,4
20191107T03-07,7
20191107T02-07,11
20191107T01-07,6
20191106T23-07,7
20191106T22-07,9
20191106T21-07,1
20191106T20-07,0
20191106T19-07,0
20191106T18-07,0
20191106T17-07,9
20191106T16-07,7
20191106T15-07,9
20191106T14-07,9
20191106T13-07,3
20191106T12-07,1
20191106T11-07,1
20191106T10-07,1
20191106T09-07,1
20191106T08-07,0
20191106T07-07,0
20191106T06-07,0
20191106T05-07,1
20191106T04-07,2
20191106T03-07,18
20191106T02-07,35
20191106T01-07,40
20191105T23-07,83
20191105T22-07,86
