,coal,natural gas,petroleum,solar,hydro,wind
20190710T00-06,919,147,60,0,573,8
20190709T23-06,897,156,59,0,569,8
20190709T22-06,901,167,59,0,572,16
20190709T21-06,897,149,59,1,584,7
20190709T20-06,897,142,58,8,563,11
20190709T19-06,898,122,60,12,569,15
20190709T18-06,898,123,60,12,564,15
20190709T17-06,898,95,59,12,566,41
20190709T16-06,868,82,60,12,569,45
20190709T15-06,843,83,59,14,571,66
20190709T14-06,836,84,59,13,571,82
20190709T13-06,837,80,59,14,572,110
20190709T12-06,836,72,59,12,574,123
20190709T11-06,830,61,59,9,740,134
20190709T10-06,834,62,60,7,576,114
20190709T09-06,834,56,60,3,570,82
20190709T08-06,932,67,59,2,574,92
20190709T07-06,1212,50,60,0,575,150
20190709T06-06,1225,58,60,0,571,136
20190709T05-06,1220,12,59,0,574,145
20190709T04-06,1220,9,60,0,574,178
20190709T03-06,1216,11,59,0,572,109
20190709T02-06,1219,19,59,0,568,46
20190709T01-06,1220,40,59,0,583,56
20190709T00-06,1224,96,58,0,581,60
20190708T23-06,1221,80,59,0,580,62
20190708T22-06,1225,97,58,0,581,98
20190708T21-06,1221,94,59,0,581,113
20190708T20-06,1222,84,60,0,582,121
20190708T19-06,1220,124,60,2,574,91
20190708T18-06,1227,129,60,3,583,46
20190708T17-06,1322,130,59,4,575,40
20190708T16-06,1323,129,57,4,571,48
20190708T15-06,1292,130,59,6,580,51
20190708T14-06,1239,131,58,10,580,40
20190708T13-06,1087,144,59,14,575,42
20190708T12-06,982,131,59,13,576,43
20190708T11-06,935,66,59,15,575,64
20190708T10-06,935,77,57,12,568,72
20190708T09-06,934,68,59,9,568,55
20190708T08-06,936,61,60,3,566,67
20190708T07-06,910,72,59,0,581,98
20190708T06-06,881,83,60,0,579,45
20190708T05-06,839,17,60,0,576,100
20190708T04-06,832,9,60,0,577,161
20190708T03-06,831,9,59,0,576,131
20190708T02-06,971,16,60,0,579,64
20190708T01-06,1452,31,60,0,579,31
20190708T00-06,1446,31,59,0,578,56
20190707T23-06,1360,29,59,0,571,109
20190707T22-06,1030,26,59,0,574,82
20190707T21-06,1012,9,55,0,573,145
20190707T20-06,1014,24,54,4,571,148
20190707T19-06,1019,71,55,3,574,151
20190707T18-06,1190,60,54,5,571,31
20190707T17-06,1478,30,53,7,566,36
20190707T16-06,1511,32,52,11,567,38
20190707T15-06,1513,31,53,13,567,42
20190707T14-06,1458,31,54,11,571,74
20190707T13-06,1424,29,56,10,567,103
20190707T12-06,1347,15,58,10,565,75
20190707T11-06,1398,14,59,8,569,67
20190707T10-06,1382,31,60,7,569,10
20190707T09-06,1083,28,60,8,569,1
20190707T08-06,1065,22,60,7,571,1
20190707T07-06,1050,32,61,1,570,5
20190707T06-06,1049,31,60,0,578,14
20190707T05-06,1050,31,60,0,572,16
20190707T04-06,1043,26,60,0,579,31
20190707T03-06,1101,21,59,0,578,34
20190707T02-06,1278,29,59,0,582,41
20190707T01-06,1342,23,59,0,574,49
20190707T00-06,1337,20,60,0,581,80
20190706T23-06,1301,10,60,0,579,154
20190706T22-06,1355,8,59,0,577,133
20190706T21-06,1412,21,60,0,580,94
20190706T20-06,1464,30,58,1,572,41
20190706T19-06,1485,9,57,3,568,93
20190706T18-06,1612,10,57,7,570,100
20190706T17-06,1573,31,56,9,571,51
20190706T16-06,1455,31,55,10,571,26
20190706T15-06,1357,30,58,13,572,24
20190706T14-06,1354,25,57,15,575,21
20190706T13-06,1370,17,59,17,574,22
20190706T12-06,1464,22,59,17,574,16
20190706T11-06,1465,19,58,17,575,11
20190706T10-06,1400,15,59,14,575,1
20190706T09-06,1368,9,59,14,572,2
20190706T08-06,1323,9,60,6,574,6
20190706T07-06,1335,10,59,0,574,7
20190706T06-06,1336,10,59,0,573,7
20190706T05-06,1332,14,60,0,578,10
20190706T04-06,1401,30,60,0,570,8
20190706T03-06,1570,27,60,0,577,9
20190706T02-06,1714,10,59,0,577,22
20190706T01-06,1899,27,58,0,584,33
20190706T00-06,1929,27,60,0,583,37
20190705T23-06,1920,31,58,0,583,37
20190705T22-06,1969,15,59,0,579,84
20190705T21-06,1985,9,58,0,581,57
20190705T20-06,1995,20,59,8,583,43
20190705T19-06,1966,27,59,12,582,34
20190705T18-06,2002,10,59,12,579,62
20190705T17-06,2018,25,59,13,581,13
20190705T16-06,2047,25,59,10,581,4
20190705T15-06,2051,15,60,12,503,5
20190705T14-06,2049,28,60,13,583,6
20190705T13-06,2037,27,58,12,579,10
20190705T12-06,1905,30,59,8,579,39
20190705T11-06,1777,30,59,5,582,67
20190705T10-06,1789,22,59,6,580,96
20190705T09-06,1702,17,59,5,579,137
20190705T08-06,1686,9,60,3,577,169
20190705T07-06,1695,10,61,1,578,165
20190705T06-06,1701,9,60,0,582,143
20190705T05-06,1681,10,60,0,577,71
20190705T04-06,1608,9,60,0,580,27
20190705T03-06,1659,9,60,0,579,20
20190705T02-06,1605,11,60,0,582,36
20190705T01-06,1586,31,60,0,577,51
20190705T00-06,1633,31,60,0,586,22
20190704T23-06,1684,29,59,0,577,25
20190704T22-06,1741,8,61,0,580,74
20190704T21-06,1897,9,59,0,581,82
20190704T20-06,1902,18,60,3,578,104
20190704T19-06,1970,28,60,5,581,45
20190704T18-06,1966,10,61,10,581,70
20190704T17-06,1966,9,59,10,576,61
20190704T16-06,1969,15,60,14,582,58
20190704T15-06,1966,11,59,14,578,21
20190704T14-06,1963,8,60,15,578,15
20190704T13-06,1989,8,60,13,578,6
20190704T12-06,1995,8,60,14,572,2
20190704T11-06,1999,9,59,14,574,-2
20190704T10-06,1986,10,60,12,576,0
20190704T09-06,1972,9,60,10,577,-1
20190704T08-06,1950,9,61,6,572,0
20190704T07-06,1919,12,61,2,579,0
20190704T06-06,1892,10,60,0,576,3
20190704T05-06,1850,10,60,0,575,4
20190704T04-06,1844,9,61,0,578,5
20190704T03-06,1851,10,60,0,574,0
20190704T02-06,1885,9,60,0,580,0
20190704T01-06,1947,29,60,0,595,1
20190704T00-06,1968,30,60,0,594,0
20190703T23-06,1985,31,59,0,596,0
20190703T22-06,1985,31,59,0,593,6
20190703T21-06,1992,18,58,0,592,7
20190703T20-06,1986,10,59,3,589,14
20190703T19-06,1988,11,61,7,588,15
20190703T18-06,1987,32,60,9,589,22
20190703T17-06,1992,13,59,12,592,47
20190703T16-06,1996,13,60,9,594,53
20190703T15-06,1984,13,59,10,595,9
20190703T14-06,2001,12,60,10,582,11
20190703T13-06,1992,13,59,6,585,11
20190703T12-06,1988,12,60,6,585,6
20190703T11-06,1988,16,58,4,584,5
20190703T10-06,1989,19,58,5,584,3
20190703T09-06,1969,15,59,2,583,9
20190703T08-06,1946,15,58,3,582,15
20190703T07-06,1784,20,61,0,584,14
20190703T06-06,1675,13,61,0,582,13
20190703T05-06,1672,13,60,0,581,8
20190703T04-06,1706,20,60,0,583,3
20190703T03-06,1827,14,60,0,578,8
20190703T02-06,1826,29,60,0,580,13
20190703T01-06,1689,31,61,0,586,16
20190703T00-06,1758,30,60,0,586,19
20190702T23-06,1802,19,59,0,582,52
20190702T22-06,1980,12,59,0,587,77
20190702T21-06,1974,22,61,0,584,107
20190702T20-06,1861,30,61,0,593,77
20190702T19-06,1941,16,60,3,586,151
20190702T18-06,1959,21,60,5,591,93
20190702T17-06,2010,16,60,8,588,67
20190702T16-06,2019,8,59,14,581,99
20190702T15-06,2016,8,59,14,583,111
20190702T14-06,2016,12,43,14,573,99
20190702T13-06,2013,12,29,11,572,93
20190702T12-06,1955,15,23,12,575,98
20190702T11-06,1943,28,41,12,571,78
20190702T10-06,1880,19,59,11,580,108
20190702T09-06,1845,13,57,10,585,146
20190702T08-06,1803,13,57,5,590,158
20190702T07-06,1757,27,55,1,594,152
20190702T06-06,1750,31,56,0,591,160
20190702T05-06,1744,20,54,0,591,163
20190702T04-06,1714,9,57,0,596,148
20190702T03-06,1746,9,59,0,589,53
20190702T02-06,1891,10,59,0,595,29
20190702T01-06,2031,9,59,0,593,41
20190702T00-06,2025,12,58,0,594,48
20190701T23-06,1961,19,44,0,594,39
20190701T22-06,1956,25,58,0,594,22
20190701T21-06,1959,9,59,0,596,65
20190701T20-06,1953,32,58,4,598,83
20190701T19-06,1905,48,55,10,593,107
20190701T18-06,1910,29,52,13,593,143
20190701T17-06,1973,12,40,12,597,217
20190701T16-06,1973,50,38,11,590,164
20190701T15-06,1906,51,57,13,592,61
20190701T14-06,1896,50,59,15,553,32
20190701T13-06,1900,24,59,15,556,15
20190701T12-06,1939,41,59,16,553,12
20190701T11-06,1905,32,60,14,583,3
20190701T10-06,1919,31,59,11,600,3
20190701T09-06,1959,29,60,10,594,6
20190701T08-06,1986,21,60,5,596,8
20190701T07-06,1936,25,60,1,594,16
20190701T06-06,1900,27,59,0,594,12
20190701T05-06,1809,14,59,0,596,15
20190701T04-06,1882,9,59,0,591,12
20190701T03-06,1788,10,58,0,591,10
20190701T02-06,1838,9,60,0,594,9
20190701T01-06,1849,11,60,0,593,16
20190701T00-06,1823,49,60,0,600,30
20190630T23-06,1844,74,59,0,598,39
20190630T22-06,1827,49,59,0,595,40
20190630T21-06,1847,31,59,1,599,85
20190630T20-06,1826,43,59,2,597,135
20190630T19-06,1835,43,60,5,595,144
20190630T18-06,1824,43,59,8,595,145
20190630T17-06,1804,80,59,10,596,113
20190630T16-06,1831,108,58,13,597,84
20190630T15-06,1816,108,58,16,598,45
20190630T14-06,1839,105,59,15,596,39
20190630T13-06,1838,108,59,15,594,34
20190630T12-06,1837,106,59,14,601,13
20190630T11-06,1847,84,59,14,600,15
20190630T10-06,1817,66,59,12,601,13
20190630T09-06,1819,33,59,11,602,22
20190630T08-06,1807,30,60,7,603,20
20190630T07-06,1780,15,60,2,604,20
20190630T06-06,1720,11,60,0,606,41
20190630T05-06,1609,9,59,0,603,21
20190630T04-06,1613,10,58,0,604,21
20190630T03-06,1625,9,59,0,604,20
20190630T02-06,1632,9,59,0,607,22
20190630T01-06,1644,9,60,0,604,27
20190630T00-06,1616,13,60,0,605,22
20190629T23-06,1595,49,60,0,608,34
20190629T22-06,1600,65,60,0,607,89
20190629T21-06,1584,61,58,1,602,139
20190629T20-06,1601,106,59,7,607,94
20190629T19-06,1595,122,60,12,608,49
20190629T18-06,1756,98,59,15,608,42
20190629T17-06,1793,83,58,15,610,47
20190629T16-06,1771,82,58,16,610,55
20190629T15-06,1786,80,58,16,609,48
20190629T14-06,1771,56,59,15,610,46
20190629T13-06,1789,55,58,16,604,43
20190629T12-06,1773,41,59,16,610,38
20190629T11-06,1786,14,58,16,604,41
20190629T10-06,1772,9,59,13,610,33
20190629T09-06,1786,9,58,9,600,9
20190629T08-06,1749,10,60,4,608,19
20190629T07-06,1730,10,59,0,605,51
20190629T06-06,1698,12,60,0,605,91
20190629T05-06,1631,11,60,0,609,140
20190629T04-06,1669,9,59,0,604,177
20190629T03-06,1657,9,58,0,607,188
20190629T02-06,1692,10,58,0,607,209
20190629T01-06,1728,29,59,0,603,187
20190629T00-06,1739,10,58,0,605,221
20190628T23-06,1711,9,59,0,606,251
20190628T22-06,1741,9,59,0,604,254
20190628T21-06,1761,9,59,0,606,212
20190628T20-06,1685,9,59,4,600,192
20190628T19-06,1763,9,60,5,601,175
20190628T18-06,1749,30,59,5,608,70
20190628T17-06,1762,44,59,6,600,61
20190628T16-06,1765,49,56,11,607,47
20190628T15-06,1742,50,58,12,609,25
20190628T14-06,1755,49,57,12,607,13
20190628T13-06,1760,49,58,13,609,4
20190628T12-06,1764,50,59,13,604,10
20190628T11-06,1748,26,59,11,605,13
20190628T10-06,1763,9,58,9,608,12
20190628T09-06,1741,10,59,8,607,20
20190628T08-06,1705,16,59,3,602,28
20190628T07-06,1727,22,61,1,605,103
20190628T06-06,1647,9,59,0,604,179
20190628T05-06,1611,9,60,0,604,148
20190628T04-06,1580,9,60,0,609,167
20190628T03-06,1581,16,60,0,606,156
20190628T02-06,1562,9,60,0,606,177
20190628T01-06,1598,9,60,0,613,233
20190628T00-06,1566,9,61,0,611,248
20190627T23-06,1592,9,59,0,611,259
20190627T22-06,1611,8,59,0,618,261
20190627T21-06,1715,9,59,0,612,192
20190627T20-06,1756,8,54,4,610,172
20190627T19-06,1738,8,56,6,613,146
20190627T18-06,1753,9,54,9,607,114
20190627T17-06,1737,21,55,9,601,85
20190627T16-06,1779,32,56,7,583,61
20190627T15-06,1765,31,56,9,591,53
20190627T14-06,1784,14,58,13,574,62
20190627T13-06,1781,14,58,16,574,54
20190627T12-06,1755,16,57,15,575,33
20190627T11-06,1807,12,59,12,579,47
20190627T10-06,1798,13,58,11,581,20
20190627T09-06,1819,13,58,7,577,22
20190627T08-06,1804,13,58,3,579,26
20190627T07-06,1756,12,60,0,567,24
20190627T06-06,1744,13,60,0,565,19
20190627T05-06,1712,18,60,0,566,14
20190627T04-06,1639,31,60,0,562,14
20190627T03-06,1646,21,60,0,567,18
20190627T02-06,1575,31,60,0,560,27
20190627T01-06,1493,30,60,0,563,46
20190627T00-06,1486,26,60,0,567,75
20190626T23-06,1613,27,59,0,563,53
20190626T22-06,1518,24,59,0,561,94
20190626T21-06,1601,15,59,0,562,81
20190626T20-06,1629,30,59,3,566,67
20190626T19-06,1677,30,60,3,566,64
20190626T18-06,1701,13,58,3,564,111
20190626T17-06,1686,12,59,8,582,94
20190626T16-06,1698,14,59,7,585,78
20190626T15-06,1686,25,58,11,582,46
20190626T14-06,1698,16,59,14,579,33
20190626T13-06,1701,13,57,13,578,23
20190626T12-06,1683,13,59,13,586,8
20190626T11-06,1680,12,57,16,589,2
20190626T10-06,1669,13,60,13,590,0
20190626T09-06,1688,13,58,12,588,4
20190626T08-06,1660,12,59,8,592,13
20190626T07-06,1659,13,60,3,590,27
20190626T06-06,1738,13,60,0,589,35
20190626T05-06,1690,12,61,0,587,32
20190626T04-06,1735,13,59,0,591,32
20190626T03-06,1716,13,59,0,588,32
20190626T02-06,1743,20,59,0,590,18
20190626T01-06,1692,23,60,0,589,15
20190626T00-06,1673,31,60,0,592,24
20190625T23-06,1665,21,60,0,588,33
20190625T22-06,1631,15,60,0,606,44
20190625T21-06,1606,13,61,1,606,42
20190625T20-06,1585,13,60,2,608,23
20190625T19-06,1576,21,59,2,604,68
20190625T18-06,1565,38,58,7,608,63
20190625T17-06,1466,55,59,11,603,63
20190625T16-06,1451,36,58,14,607,57
20190625T15-06,1460,27,55,11,606,112
20190625T14-06,1490,27,56,16,604,29
20190625T13-06,1472,28,57,15,605,29
20190625T12-06,1488,53,58,15,604,14
20190625T11-06,1473,53,59,16,592,7
20190625T10-06,1512,13,57,13,587,7
20190625T09-06,1522,9,58,12,588,8
20190625T08-06,1476,10,59,7,590,9
20190625T07-06,1539,30,58,3,588,7
20190625T06-06,1426,31,58,0,594,3
20190625T05-06,1319,31,58,0,589,4
20190625T04-06,1296,31,59,0,592,13
20190625T03-06,1399,12,59,0,593,11
20190625T02-06,1460,10,59,0,593,12
20190625T01-06,1503,9,59,0,590,18
20190625T00-06,1500,10,58,0,595,13
20190624T23-06,1404,11,59,0,606,21
20190624T22-06,1419,10,57,0,603,37
20190624T21-06,1482,31,59,1,602,48
20190624T20-06,1468,31,58,6,610,72
20190624T19-06,1462,21,59,11,601,147
20190624T18-06,1514,9,58,15,609,182
20190624T17-06,1514,14,58,13,601,144
20190624T16-06,1510,15,58,14,595,138
20190624T15-06,1439,31,57,14,595,122
20190624T14-06,1508,32,57,14,603,146
20190624T13-06,1441,31,57,12,598,167
20190624T12-06,1327,29,58,14,605,170
20190624T11-06,1326,10,58,11,608,194
20190624T10-06,1249,9,58,8,605,212
20190624T09-06,1162,9,57,8,610,205
20190624T08-06,1045,9,59,1,591,183
20190624T07-06,957,12,60,0,591,226
20190624T06-06,957,17,61,0,591,172
20190624T05-06,936,14,61,0,583,146
20190624T04-06,924,20,61,0,586,138
20190624T03-06,934,10,59,0,589,131
20190624T02-06,977,10,60,0,585,132
20190624T01-06,1010,9,60,0,592,89
20190624T00-06,1095,10,59,0,596,97
20190623T23-06,1092,21,59,0,599,93
20190623T22-06,1066,10,60,0,598,140
20190623T21-06,1136,31,59,0,597,99
20190623T20-06,1154,30,60,3,602,127
20190623T19-06,1056,32,60,6,598,161
20190623T18-06,1036,24,61,7,601,213
20190623T17-06,1044,9,59,7,598,287
20190623T16-06,1020,8,59,9,597,279
20190623T15-06,940,9,60,12,596,252
20190623T14-06,929,30,59,10,597,235
20190623T13-06,938,31,59,11,596,229
20190623T12-06,930,19,60,13,595,262
20190623T11-06,939,9,59,14,596,263
20190623T10-06,939,10,58,12,593,213
20190623T09-06,866,32,60,12,590,126
20190623T08-06,760,31,61,8,581,136
20190623T07-06,691,12,61,3,582,196
20190623T06-06,683,10,61,0,581,233
20190623T05-06,676,13,60,0,577,231
20190623T04-06,896,10,60,0,578,195
20190623T03-06,937,12,60,0,579,212
20190623T02-06,935,31,61,0,581,160
20190623T01-06,934,29,60,0,584,124
20190623T00-06,929,10,60,0,589,144
20190622T23-06,929,9,61,0,596,146
20190622T22-06,939,9,60,0,593,94
20190622T21-06,1028,30,59,0,598,81
20190622T20-06,1047,31,60,5,601,100
20190622T19-06,1045,30,61,6,599,152
20190622T18-06,930,27,60,7,602,207
20190622T17-06,935,9,58,10,600,321
20190622T16-06,927,9,60,10,598,280
20190622T15-06,939,8,59,9,595,311
20190622T14-06,935,9,60,12,594,267
20190622T13-06,928,9,60,9,603,283
20190622T12-06,956,9,59,9,594,315
20190622T11-06,1133,22,61,8,601,285
20190622T10-06,1151,12,59,4,597,322
20190622T09-06,1151,11,59,0,580,327
20190622T08-06,1189,18,59,0,582,317
20190622T07-06,1286,28,60,0,582,345
20190622T06-06,1277,32,60,0,584,334
20190622T05-06,1287,31,60,0,582,326
20190622T04-06,1277,31,58,0,585,323
20190622T03-06,1289,28,59,0,579,313
20190622T02-06,1286,9,61,0,584,329
20190622T01-06,1237,10,59,0,586,287
20190622T00-06,1284,13,60,0,592,249
20190621T23-06,1286,12,59,0,593,243
20190621T22-06,1320,21,59,0,589,219
20190621T21-06,1272,29,60,0,599,237
20190621T20-06,1282,31,60,3,602,219
20190621T19-06,1230,18,60,5,597,255
20190621T18-06,1300,9,59,7,603,317
20190621T17-06,1154,16,57,11,599,268
20190621T16-06,1107,9,59,11,602,291
20190621T15-06,1218,9,58,12,604,314
20190621T14-06,1211,10,58,11,601,250
20190621T13-06,1218,9,58,11,607,239
20190621T12-06,1152,9,59,10,606,191
20190621T11-06,1248,10,60,9,600,197
20190621T10-06,1316,9,58,10,604,233
20190621T09-06,1315,10,58,5,600,247
20190621T08-06,1355,13,59,0,584,229
20190621T07-06,1316,19,58,0,584,205
20190621T06-06,1268,10,59,0,591,217
20190621T05-06,1266,10,61,0,587,217
20190621T04-06,1233,26,58,0,587,175
20190621T03-06,1333,17,59,0,584,165
20190621T02-06,1360,10,58,0,590,151
20190621T01-06,1230,11,60,0,584,144
20190621T00-06,1234,10,59,0,585,126
20190620T23-06,1303,17,59,0,599,90
20190620T22-06,1339,31,59,0,595,38
20190620T21-06,1184,32,59,0,598,96
20190620T20-06,1184,31,58,1,595,109
20190620T19-06,1281,29,59,3,596,120
20190620T18-06,1287,10,59,7,601,150
20190620T17-06,1355,10,57,12,594,117
20190620T16-06,1372,16,58,5,596,98
20190620T15-06,1375,45,58,8,598,47
20190620T14-06,1343,14,59,11,605,67
20190620T13-06,1318,29,59,12,599,42
20190620T12-06,1353,10,57,12,591,39
20190620T11-06,1423,9,58,8,593,48
20190620T10-06,1440,11,58,9,592,31
20190620T09-06,1485,12,57,7,597,12
20190620T08-06,1356,12,59,6,586,19
20190620T07-06,1308,18,59,1,586,21
20190620T06-06,1261,12,59,0,587,24
20190620T05-06,1268,13,58,0,589,19
20190620T04-06,1257,31,57,0,583,10
20190620T03-06,1275,31,59,0,588,13
20190620T02-06,1404,31,58,0,589,46
20190620T01-06,1409,31,57,0,597,97
20190620T00-06,1376,31,59,0,598,183
20190619T23-06,1361,13,58,0,595,252
20190619T22-06,1374,13,60,0,556,291
20190619T21-06,1385,13,58,0,596,262
20190619T20-06,1425,13,59,5,595,238
20190619T19-06,1403,25,58,7,598,223
20190619T18-06,1347,21,57,8,600,263
20190619T17-06,1428,19,57,8,597,271
20190619T16-06,1404,35,57,14,591,227
20190619T15-06,1400,18,56,15,580,297
20190619T14-06,1397,28,56,15,585,256
20190619T13-06,1437,13,54,17,598,252
20190619T12-06,1466,12,52,15,592,267
20190619T11-06,1471,14,54,13,589,222
20190619T10-06,1482,13,59,10,572,183
20190619T09-06,1481,13,59,9,587,136
20190619T08-06,1487,23,58,4,582,141
20190619T07-06,1460,13,58,1,582,191
20190619T06-06,1478,13,58,0,585,179
20190619T05-06,1491,13,59,0,588,129
20190619T04-06,1471,12,61,0,583,85
20190619T03-06,1514,13,59,0,584,49
20190619T02-06,1501,17,59,0,582,35
20190619T01-06,1519,30,59,0,582,24
20190619T00-06,1539,29,59,0,582,28
20190618T23-06,1467,31,59,0,601,39
20190618T22-06,1491,31,59,0,594,40
20190618T21-06,1519,14,58,1,602,58
20190618T20-06,1537,18,59,4,598,53
20190618T19-06,1522,29,59,8,598,24
20190618T18-06,1529,30,59,11,599,35
20190618T17-06,1522,10,57,8,590,123
20190618T16-06,1503,8,56,10,587,129
20190618T15-06,1523,8,57,12,583,159
20190618T14-06,1491,30,57,12,589,114
20190618T13-06,1488,20,57,12,586,117
20190618T12-06,1526,8,59,13,589,183
20190618T11-06,1507,11,58,11,581,118
20190618T10-06,1526,16,58,10,589,123
20190618T09-06,1515,9,58,9,591,120
20190618T08-06,1530,9,59,7,569,133
20190618T07-06,1516,9,59,2,572,127
20190618T06-06,1523,9,59,0,572,71
20190618T05-06,1505,9,59,0,578,60
20190618T04-06,1524,9,59,0,569,25
20190618T03-06,1507,13,61,0,573,17
20190618T02-06,1523,23,59,0,571,17
20190618T01-06,1482,11,59,0,586,6
20190618T00-06,1519,19,60,0,584,4
20190617T23-06,1520,10,60,0,590,10
20190617T22-06,1471,9,61,0,590,10
20190617T21-06,1518,9,60,0,589,3
20190617T20-06,1510,9,59,2,590,3
20190617T19-06,1525,19,58,8,592,6
20190617T18-06,1524,8,58,10,584,12
20190617T17-06,1512,8,58,10,591,25
20190617T16-06,1524,8,59,14,587,37
20190617T15-06,1512,24,58,15,586,12
20190617T14-06,1529,28,58,17,589,11
20190617T13-06,1531,29,58,16,589,1
20190617T12-06,1511,23,58,17,590,1
20190617T11-06,1528,18,59,17,591,2
20190617T10-06,1519,10,58,13,591,1
20190617T09-06,1519,13,59,14,591,0
20190617T08-06,1524,9,59,7,578,4
20190617T07-06,1508,9,60,3,583,2
20190617T06-06,1508,9,61,0,582,4
20190617T05-06,1467,9,60,0,583,8
20190617T04-06,1477,9,59,0,580,2
20190617T03-06,1474,9,60,0,584,2
20190617T02-06,1498,9,61,0,583,0
20190617T01-06,1512,23,60,0,588,1
20190617T00-06,1500,24,61,0,591,11
20190616T23-06,1524,20,61,0,591,26
20190616T22-06,1508,32,59,0,593,33
20190616T21-06,1524,50,60,0,595,16
20190616T20-06,1507,58,59,2,591,21
20190616T19-06,1517,58,60,6,584,48
20190616T18-06,1506,56,59,7,583,76
20190616T17-06,1517,57,59,9,583,96
20190616T16-06,1491,32,59,7,583,40
20190616T15-06,1317,39,59,13,582,92
20190616T14-06,1249,45,59,14,585,61
20190616T13-06,1146,64,59,12,585,23
20190616T12-06,1046,64,58,11,571,25
20190616T11-06,995,61,60,12,564,17
20190616T10-06,1002,48,59,9,560,25
20190616T09-06,854,26,60,6,564,21
20190616T08-06,750,13,59,2,560,24
20190616T07-06,762,12,61,0,562,21
20190616T06-06,751,14,59,0,558,10
20190616T05-06,751,13,59,0,560,11
20190616T04-06,756,13,60,0,567,10
20190616T03-06,758,15,60,0,539,13
20190616T02-06,748,21,60,0,565,11
20190616T01-06,762,56,60,0,567,35
20190616T00-06,754,59,58,0,572,66
20190615T23-06,763,29,59,0,570,32
20190615T22-06,761,23,60,0,569,52
20190615T21-06,750,29,58,0,563,65
20190615T20-06,745,29,59,4,557,58
20190615T19-06,749,30,57,10,571,75
20190615T18-06,742,26,58,11,571,89
20190615T17-06,749,29,56,13,572,68
20190615T16-06,742,19,55,11,569,70
20190615T15-06,749,12,55,14,568,66
20190615T14-06,749,13,56,14,570,45
20190615T13-06,742,13,54,17,573,28
20190615T12-06,750,26,54,15,567,16
20190615T11-06,749,15,49,16,571,36
20190615T10-06,757,12,45,14,544,64
20190615T09-06,754,13,33,13,572,70
20190615T08-06,712,12,31,7,555,76
20190615T07-06,732,14,28,2,561,74
20190615T06-06,711,13,21,0,562,75
20190615T05-06,714,12,20,0,560,60
20190615T04-06,769,13,20,0,557,33
20190615T03-06,926,13,21,0,566,19
20190615T02-06,960,20,20,0,563,25
20190615T01-06,967,30,21,0,565,23
20190615T00-06,1066,13,20,0,568,59
20190614T23-06,1267,21,20,0,573,96
20190614T22-06,1386,18,21,0,575,115
20190614T21-06,1336,12,21,0,570,192
20190614T20-06,1356,13,21,4,576,188
20190614T19-06,1396,12,22,8,573,128
20190614T18-06,1314,17,22,12,578,100
20190614T17-06,1289,23,22,12,571,93
20190614T16-06,1264,30,22,10,577,114
20190614T15-06,1213,13,23,13,573,200
20190614T14-06,1012,12,22,13,579,216
20190614T13-06,935,13,23,14,573,168
20190614T12-06,941,12,23,12,581,149
20190614T11-06,867,13,23,11,574,140
20190614T10-06,813,16,21,9,571,110
20190614T09-06,804,18,22,11,577,88
20190614T08-06,619,29,21,6,557,94
20190614T07-06,545,30,23,2,562,125
20190614T06-06,513,19,22,0,558,197
20190614T05-06,482,39,22,0,559,193
20190614T04-06,444,30,22,0,548,248
20190614T03-06,452,13,22,0,491,283
20190614T02-06,467,13,23,0,492,257
20190614T01-06,564,12,23,0,564,184
20190614T00-06,715,22,22,0,564,100
20190613T23-06,712,22,22,0,567,52
20190613T22-06,720,23,23,0,571,50
20190613T21-06,726,13,23,1,566,94
20190613T20-06,710,12,22,5,572,68
20190613T19-06,707,27,21,8,568,55
20190613T18-06,617,23,22,9,543,143
20190613T17-06,713,17,20,10,546,147
20190613T16-06,719,44,21,10,554,62
20190613T15-06,727,37,22,15,559,38
20190613T14-06,721,31,23,16,564,59
20190613T13-06,726,31,22,17,565,93
20190613T12-06,725,30,21,17,572,88
20190613T11-06,717,13,22,15,576,98
20190613T10-06,725,13,22,12,582,111
20190613T09-06,717,12,22,8,577,93
20190613T08-06,675,13,22,5,574,106
20190613T07-06,713,17,22,1,575,76
20190613T06-06,722,15,22,0,575,83
20190613T05-06,673,12,22,0,571,89
20190613T04-06,715,29,20,0,571,85
20190613T03-06,722,49,22,0,575,30
20190613T02-06,716,58,21,0,577,3
20190613T01-06,722,63,23,0,579,3
20190613T00-06,716,74,22,0,584,16
20190612T23-06,722,27,23,0,575,30
20190612T22-06,724,54,21,0,584,71
20190612T21-06,715,56,21,0,582,62
20190612T20-06,722,64,22,6,582,41
20190612T19-06,720,54,23,11,585,41
20190612T18-06,728,68,23,12,581,32
20190612T17-06,720,90,23,15,583,26
20190612T16-06,724,91,23,16,580,19
20190612T15-06,719,88,23,16,576,18
20190612T14-06,727,74,22,17,580,17
20190612T13-06,719,83,24,17,585,14
20190612T12-06,724,99,22,17,580,16
20190612T11-06,724,75,23,17,578,8
20190612T10-06,719,63,22,14,580,3
20190612T09-06,724,52,23,14,581,1
20190612T08-06,680,25,22,9,577,8
20190612T07-06,722,60,22,3,574,17
20190612T06-06,714,45,21,0,576,11
20190612T05-06,720,17,22,0,574,9
20190612T04-06,721,17,23,0,577,9
20190612T03-06,713,42,22,0,575,5
20190612T02-06,626,58,23,0,575,7
20190612T01-06,700,59,21,0,578,8
