,coal,natural gas,petroleum,other,solar
20191102T13Z,541,1274,0,348,56
20191102T12Z,508,1273,0,270,1
20191102T11Z,458,1225,0,267,0
20191102T10Z,457,1147,0,267,0
20191102T09Z,456,1121,0,264,0
20191102T08Z,443,1157,0,263,0
20191102T07Z,469,1197,0,266,0
20191102T06Z,464,1286,0,274,0
20191102T05Z,464,1416,0,274,0
20191102T04Z,463,1574,0,277,0
20191102T03Z,537,1699,0,344,0
20191102T02Z,639,1831,0,348,0
20191102T01Z,680,2019,0,343,0
20191102T00Z,807,2053,0,341,0
20191101T23Z,903,2039,0,342,6
20191101T22Z,922,2086,0,340,80
20191101T21Z,864,2136,0,336,144
20191101T20Z,830,2068,0,338,250
20191101T19Z,675,2106,0,336,271
20191101T18Z,502,2084,0,341,304
20191101T17Z,449,1957,0,341,281
20191101T16Z,448,1822,0,342,252
20191101T15Z,448,1812,0,345,117
20191101T14Z,448,1716,0,343,51
20191101T13Z,449,1660,0,339,7
20191101T12Z,449,1714,0,267,0
20191101T11Z,444,1682,0,266,0
20191101T10Z,425,1551,0,269,0
20191101T09Z,425,1465,0,272,0
20191101T08Z,425,1462,0,272,0
20191101T07Z,430,1528,0,273,0
20191101T06Z,450,1614,0,272,0
20191101T05Z,450,1778,0,258,0
20191101T04Z,465,1973,0,255,0
20191101T03Z,588,1977,0,317,0
20191101T02Z,585,2107,0,463,0
20191101T01Z,563,2074,0,581,0
20191101T00Z,742,1881,0,647,0
20191031T23Z,814,1918,0,650,17
20191031T22Z,813,2003,0,643,159
20191031T21Z,780,2039,0,640,265
20191031T20Z,746,2045,0,640,262
20191031T19Z,689,2012,0,639,268
20191031T18Z,550,2008,0,637,281
20191031T17Z,456,1993,0,638,306
20191031T16Z,449,1762,0,639,318
20191031T15Z,449,1664,0,590,321
20191031T14Z,449,1577,0,472,281
20191031T13Z,449,1647,0,334,105
20191031T12Z,449,1816,0,253,2
20191031T11Z,449,1817,0,249,0
20191031T10Z,449,1622,0,247,0
20191031T09Z,449,1494,0,250,0
20191031T08Z,450,1498,0,251,0
20191031T07Z,449,1564,0,255,0
20191031T06Z,449,1674,0,255,0
20191031T05Z,449,1836,0,255,0
20191031T04Z,479,2019,0,258,0
20191031T03Z,635,1978,0,321,0
20191031T02Z,733,2038,0,466,0
20191031T01Z,756,1921,0,594,0
20191031T00Z,755,1949,0,650,0
20191030T23Z,754,1990,0,650,8
20191030T22Z,700,2060,0,647,146
20191030T21Z,687,1992,0,647,244
20191030T20Z,714,1764,0,645,285
20191030T19Z,727,1870,0,644,265
20191030T18Z,459,1925,0,645,275
20191030T17Z,449,1904,0,644,224
20191030T16Z,449,1785,0,646,253
20191030T15Z,449,1643,0,592,293
20191030T14Z,449,1525,0,482,281
20191030T13Z,449,1605,0,342,102
20191030T12Z,449,1758,0,265,2
20191030T11Z,449,1749,0,258,0
20191030T10Z,449,1572,0,258,0
20191030T09Z,450,1448,0,259,0
20191030T08Z,449,1466,0,258,0
20191030T07Z,449,1512,0,259,0
20191030T06Z,449,1594,0,257,0
20191030T05Z,449,1718,0,262,0
20191030T04Z,449,1894,0,266,0
20191030T03Z,475,1955,0,324,0
20191030T02Z,568,2003,0,462,0
20191030T01Z,651,1835,0,586,0
20191030T00Z,650,1844,0,646,0
20191029T23Z,688,1931,0,645,10
20191029T22Z,777,1882,0,646,95
20191029T21Z,778,1967,0,648,161
20191029T20Z,722,2095,0,648,145
20191029T19Z,630,1993,0,645,196
20191029T18Z,493,1923,0,647,283
20191029T17Z,449,1876,0,648,300
20191029T16Z,449,1882,0,648,240
20191029T15Z,449,1774,0,593,268
20191029T14Z,449,1659,0,480,264
20191029T13Z,449,1685,0,349,107
20191029T12Z,449,1818,0,263,2
20191029T11Z,449,1838,0,255,0
20191029T10Z,449,1666,0,256,0
20191029T09Z,449,1551,0,254,0
20191029T08Z,449,1534,0,251,0
20191029T07Z,449,1602,0,252,0
20191029T06Z,448,1709,0,254,0
20191029T05Z,459,1866,0,255,0
20191029T04Z,558,1986,0,260,0
20191029T03Z,526,2037,0,414,0
20191029T02Z,526,2009,0,606,0
20191029T01Z,519,1899,0,751,0
20191029T00Z,469,1950,0,810,0
20191028T23Z,523,1927,0,842,4
20191028T22Z,522,1874,0,866,133
20191028T21Z,521,1758,0,867,291
20191028T20Z,521,1714,0,870,290
20191028T19Z,509,1763,0,825,258
20191028T18Z,407,1896,0,652,289
20191028T17Z,399,1831,0,654,286
20191028T16Z,352,1861,0,648,294
20191028T15Z,329,1761,0,589,305
20191028T14Z,329,1638,0,479,267
20191028T13Z,336,1699,0,332,107
20191028T12Z,404,1779,0,255,1
20191028T11Z,394,1784,0,250,0
20191028T10Z,330,1652,0,249,0
20191028T09Z,329,1543,0,253,0
20191028T08Z,329,1564,0,254,0
20191028T07Z,329,1623,0,259,0
20191028T06Z,329,1711,0,259,0
20191028T05Z,329,1832,0,257,0
20191028T04Z,381,1958,0,257,0
20191028T03Z,403,2027,0,327,0
20191028T02Z,403,2184,0,466,0
20191028T01Z,404,2161,0,592,0
20191028T00Z,408,2304,0,653,0
20191027T23Z,512,2238,0,658,7
20191027T22Z,533,2308,0,702,34
20191027T21Z,530,2361,0,669,73
20191027T20Z,509,2292,0,647,185
20191027T19Z,392,2286,0,648,224
20191027T18Z,329,2211,0,642,276
20191027T17Z,329,2159,0,643,277
20191027T16Z,329,1957,0,642,264
20191027T15Z,329,1722,0,596,246
20191027T14Z,320,1574,0,471,219
20191027T13Z,306,1519,0,339,113
20191027T12Z,306,1583,0,252,4
20191027T11Z,306,1596,0,249,0
20191027T10Z,306,1574,0,248,0
20191027T09Z,306,1572,0,247,0
20191027T08Z,306,1600,0,248,0
20191027T07Z,306,1653,0,250,0
20191027T06Z,306,1750,0,245,0
20191027T05Z,306,1881,0,243,0
20191027T04Z,306,2013,0,245,0
20191027T03Z,306,2043,0,307,0
20191027T02Z,306,2083,0,456,0
20191027T01Z,317,2025,0,576,0
20191027T00Z,318,2127,0,637,0
20191026T23Z,317,2138,0,640,15
20191026T22Z,318,2053,0,643,156
20191026T21Z,328,2047,0,638,161
20191026T20Z,327,2116,0,637,122
20191026T19Z,326,2204,0,636,200
20191026T18Z,323,2226,0,633,181
20191026T17Z,274,2295,0,633,170
20191026T16Z,234,2144,0,634,222
20191026T15Z,193,1923,0,583,270
20191026T14Z,185,1791,0,465,266
20191026T13Z,186,1766,0,339,90
20191026T12Z,185,1806,0,253,2
20191026T11Z,185,1807,0,243,0
20191026T10Z,185,1762,0,247,0
20191026T09Z,185,1744,0,248,0
20191026T08Z,185,1768,0,246,0
