,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191103T00-07,165.0,2656,2663,,-7,-1,0.0,
20191102T23-07,180.0,2737,2667,,-2,-3,1.0,
20191102T22-07,199.0,2914,2662,,0,-1,0.0,
20191102T21-07,200.0,3205,2661,,-3,2,0.0,
20191102T20-07,200.0,3301,2663,,10,7,1.0,
20191102T19-07,204.0,3229,2663,,10,8,0.0,
20191102T18-07,206.0,2995,2661,,10,16,1.0,
20191102T17-07,207.0,3100,2658,,9,188,1.0,
20191102T16-07,193.0,2797,2655,,-1,507,0.0,
20191102T15-07,167.0,2297,2655,,0,593,1.0,
20191102T14-07,184.0,2163,2659,,-1,502,0.0,
20191102T13-07,187.0,2255,2659,,-2,550,0.0,
20191102T12-07,187.0,2380,2663,,-4,593,1.0,
20191102T11-07,168.0,2272,2664,,-4,608,0.0,
20191102T10-07,163.0,2551,2671,,0,599,1.0,
20191102T09-07,163.0,2527,2675,,0,443,0.0,
20191102T08-07,163.0,2722,2676,,0,102,1.0,
20191102T07-07,191.0,2652,2676,,-1,7,0.0,
20191102T06-07,170.0,2453,2678,,0,-1,0.0,
20191102T05-07,163.0,2221,2675,,-10,-3,1.0,
20191102T04-07,162.0,2186,2671,,-8,-3,0.0,
20191102T03-07,161.0,2130,2673,,0,-2,0.0,
20191102T02-07,159.0,2175,2673,,0,-2,1.0,
20191102T01-07,159.0,2129,2673,,-2,-1,0.0,
20191102T00-07,170.0,2507,2665,,-7,-2,1.0,
20191101T23-07,226.0,2460,2669,,-2,-1,1.0,
20191101T22-07,269.0,2672,2665,,0,-2,1.0,
20191101T21-07,286.0,2864,2662,,-4,-1,-1.0,
20191101T20-07,330.0,2939,2661,,10,8,-1.0,
20191101T19-07,363.0,2971,2664,,10,7,1.0,
20191101T18-07,361.0,2915,2663,,10,20,0.0,
20191101T17-07,330.0,2715,2663,,9,265,1.0,
20191101T16-07,240.0,2367,2665,,0,552,0.0,
20191101T15-07,232.0,2391,2667,,0,612,1.0,
20191101T14-07,232.0,2474,2666,,-1,614,1.0,
20191101T13-07,232.0,2657,2667,,-2,605,0.0,
20191101T12-07,240.0,2660,2669,,-4,613,1.0,
20191101T11-07,232.0,2330,2671,,-4,634,-1.0,
20191101T10-07,232.0,2651,2674,,0,626,0.0,
20191101T09-07,283.0,2612,2679,,0,485,1.0,
20191101T08-07,299.0,2790,2674,,-1,132,0.0,
20191101T07-07,280.0,2848,2677,,0,0,1.0,
20191101T06-07,162.0,2729,2674,,0,-1,0.0,
20191101T05-07,148.0,2437,2672,,-10,-2,0.0,
20191101T04-07,213.0,1885,2672,,-8,-1,1.0,
20191101T03-07,244.0,1779,2675,,0,-2,0.0,
20191101T02-07,249.0,1865,2676,,0,-2,1.0,
20191101T01-07,275.0,2061,2675,,-2,-3,0.0,
20191101T00-07,335.0,2887,2673,,-7,-2,0.0,
20191031T23-07,243.0,3098,2670,,-2,-2,1.0,
20191031T22-07,452.0,3380,2671,,0,-2,0.0,
20191031T21-07,494.0,3398,2664,,-4,-1,1.0,
20191031T20-07,512.0,3367,2667,,10,9,1.0,
20191031T19-07,535.0,3226,2664,,10,7,0.0,
20191031T18-07,532.0,3185,2663,,10,30,1.0,
20191031T17-07,464.0,2715,2662,,9,300,0.0,
20191031T16-07,458.0,2388,2664,,0,580,1.0,
20191031T15-07,457.0,2261,2663,,0,639,0.0,
20191031T14-07,458.0,2278,2666,,-1,640,0.0,
20191031T13-07,457.0,2322,2661,,-2,627,1.0,
20191031T12-07,457.0,2302,2664,,-4,630,1.0,
20191031T11-07,464.0,2494,2666,,-4,649,1.0,
20191031T10-07,501.0,2671,2666,,0,642,0.0,
20191031T09-07,511.0,2929,2674,,-1,498,0.0,
20191031T08-07,540.0,3168,2674,,0,139,1.0,
20191031T07-07,556.0,3349,2674,,0,0,-2.0,
20191031T06-07,508.0,3250,2674,,0,-2,1.0,
20191031T05-07,460.0,3005,2673,,-10,-1,0.0,
20191031T04-07,455.0,2876,2670,,-8,-1,1.0,
20191031T03-07,452.0,2729,2669,,0,-3,1.0,
20191031T02-07,453.0,2690,2670,,0,-1,0.0,
20191031T01-07,470.0,2736,2665,,-2,-2,0.0,
20191031T00-07,452.0,3050,2666,,-7,-2,1.0,
20191030T23-07,452.0,3228,2668,,-2,-1,0.0,
20191030T22-07,459.0,3271,2664,,0,-4,0.0,
20191030T21-07,458.0,3297,2662,,-4,-1,1.0,
20191030T20-07,452.0,3563,2664,,10,8,0.0,
20191030T19-07,541.0,3448,2662,,10,9,1.0,
20191030T18-07,419.0,3169,2664,,10,34,1.0,
20191030T17-07,401.0,2774,2665,,10,312,0.0,
20191030T16-07,402.0,2261,2662,,0,582,1.0,
20191030T15-07,402.0,2290,2664,,0,627,0.0,
20191030T14-07,402.0,2230,2668,,-1,589,0.0,
20191030T13-07,402.0,2443,2667,,-3,631,1.0,
20191030T12-07,402.0,2609,2666,,-4,639,-1.0,
20191030T11-07,402.0,2712,2666,,-3,650,1.0,
20191030T10-07,402.0,3015,2667,,-1,635,1.0,
20191030T09-07,452.0,3191,2666,,0,550,0.0,
20191030T08-07,511.0,3305,2672,,0,160,1.0,
20191030T07-07,471.0,3281,2667,,0,-1,0.0,
20191030T06-07,405.0,3046,2666,,0,-3,0.0,
20191030T05-07,394.0,2732,2666,,-10,-1,1.0,
20191030T04-07,394.0,2569,2664,,-8,-1,0.0,
20191030T03-07,394.0,2497,2660,,0,-2,-1.0,
20191030T02-07,394.0,2551,2660,,0,-1,2.0,
20191030T01-07,468.0,2403,2666,,-3,-2,0.0,
20191030T00-07,411.0,2452,2664,,-6,-2,0.0,
20191029T23-07,393.0,2712,2662,,-2,-1,1.0,
20191029T22-07,466.0,2978,2658,,-1,-2,0.0,
20191029T21-07,474.0,3057,2658,,-3,-2,1.0,
20191029T20-07,417.0,3080,2659,,10,8,0.0,
20191029T19-07,409.0,3093,2662,,9,9,0.0,
20191029T18-07,398.0,2819,2661,,10,34,0.0,
20191029T17-07,379.0,2261,2659,,10,299,1.0,
20191029T16-07,387.0,2266,2662,,0,565,-1.0,
20191029T15-07,392.0,2193,2667,,0,624,1.0,
20191029T14-07,332.0,2230,2667,,-2,620,0.0,
20191029T13-07,338.0,2434,2666,,-2,611,0.0,
20191029T12-07,343.0,2423,2666,,-4,618,1.0,
20191029T11-07,394.0,2447,2666,,-4,642,0.0,
20191029T10-07,349.0,2452,2667,,0,637,0.0,
20191029T09-07,331.0,2823,2671,,0,500,2.0,
20191029T08-07,372.0,3233,2674,,0,142,0.0,
20191029T07-07,372.0,3256,2673,,0,0,1.0,
20191029T06-07,327.0,3259,2676,,0,-3,0.0,
20191029T05-07,325.0,2957,2674,,-10,-2,0.0,
20191029T04-07,320.0,2676,2676,,-8,-2,1.0,
20191029T03-07,319.0,2663,2674,,0,-1,0.0,
20191029T02-07,320.0,2678,2672,,-1,-1,0.0,
20191029T01-07,319.0,2799,2676,,-2,-2,2.0,
20191029T00-07,321.0,3182,2672,,-7,-1,0.0,
20191028T23-07,330.0,3557,2670,,-2,-3,0.0,
20191028T22-07,331.0,3915,2669,,0,-2,1.0,
20191028T21-07,380.0,4172,2668,,-3,0,0.0,
20191028T20-07,554.0,4098,2668,,10,8,-1.0,
20191028T19-07,573.0,4072,2664,,10,7,1.0,
20191028T18-07,444.0,3720,2664,,9,37,0.0,
20191028T17-07,427.0,3157,2665,,10,313,0.0,
20191028T16-07,403.0,2980,2667,,0,582,2.0,
20191028T15-07,388.0,2764,2666,,-1,640,0.0,
20191028T14-07,388.0,2697,2667,,-1,633,0.0,
20191028T13-07,388.0,2836,2666,,-2,628,1.0,
20191028T12-07,388.0,2789,2671,,-4,633,0.0,
20191028T11-07,387.0,2648,2664,,-4,652,0.0,
20191028T10-07,386.0,2718,2671,,0,641,1.0,
20191028T09-07,327.0,3288,2671,,0,503,0.0,
20191028T08-07,337.0,3704,2670,,0,138,2.0,
20191028T07-07,335.0,3591,2671,,0,1,0.0,
20191028T06-07,319.0,3101,2666,,-1,-2,0.0,
20191028T05-07,318.0,3017,2668,,-10,-1,0.0,
20191028T04-07,318.0,2854,2665,,-7,-4,0.0,
20191028T03-07,318.0,2887,2662,,-1,-1,0.0,
20191028T02-07,318.0,2991,2660,,0,-3,1.0,
20191028T01-07,317.0,3028,2657,,-2,-2,-1.0,
20191028T00-07,318.0,3094,2657,,-7,-2,1.0,
20191027T23-07,318.0,3342,2646,,-2,-3,1.0,
20191027T22-07,318.0,3830,2649,,0,-2,0.0,
20191027T21-07,321.0,3940,2651,,-3,-3,0.0,
20191027T20-07,346.0,4119,2648,,10,7,1.0,
20191027T19-07,430.0,4214,2646,,10,8,0.0,
20191027T18-07,331.0,4085,2641,,10,29,0.0,
20191027T17-07,318.0,3509,2648,,9,274,1.0,
20191027T16-07,318.0,3139,2647,,-1,428,0.0,
20191027T15-07,317.0,2971,2652,,0,559,1.0,
20191027T14-07,317.0,2768,2659,,-1,601,1.0,
20191027T13-07,318.0,2658,2661,,-2,595,0.0,
20191027T12-07,318.0,2341,2661,,-4,593,0.0,
20191027T11-07,318.0,2166,2658,,-4,577,1.0,
20191027T10-07,318.0,2122,2663,,0,497,0.0,
20191027T09-07,318.0,2098,2666,,0,474,0.0,
20191027T08-07,315.0,2248,2673,,0,135,1.0,
20191027T07-07,317.0,2307,2667,,0,-2,0.0,
20191027T06-07,318.0,2290,2670,,-1,-2,1.0,
20191027T05-07,318.0,2285,2665,,-10,-2,1.0,
20191027T04-07,318.0,2276,2667,,-8,-4,0.0,
20191027T03-07,318.0,2310,2663,,0,-2,-1.0,
20191027T02-07,318.0,2393,2669,,0,-4,1.0,
20191027T01-07,317.0,2655,2665,,-2,-2,-1.0,
20191027T00-07,318.0,3043,2661,,-7,-2,1.0,
20191026T23-07,318.0,3244,2663,,-2,-3,0.0,
20191026T22-07,318.0,3625,2661,,0,-2,0.0,
20191026T21-07,318.0,3781,2664,,-4,-3,2.0,
20191026T20-07,318.0,4051,2660,,10,7,0.0,
20191026T19-07,356.0,4091,2662,,10,7,0.0,
20191026T18-07,344.0,3844,2660,,10,37,1.0,
20191026T17-07,343.0,3501,2660,,9,308,-1.0,
20191026T16-07,344.0,3254,2664,,0,553,0.0,
20191026T15-07,345.0,2994,2660,,0,606,1.0,
20191026T14-07,344.0,2919,2661,,-1,617,0.0,
20191026T13-07,345.0,2854,2657,,-2,609,1.0,
20191026T12-07,345.0,2708,2656,,-4,615,1.0,
20191026T11-07,344.0,2746,2660,,-4,632,0.0,
20191026T10-07,344.0,2849,2664,,0,621,1.0,
20191026T09-07,344.0,3068,2666,,0,484,0.0,
20191026T08-07,344.0,3356,2668,,0,141,0.0,
20191026T07-07,344.0,3152,2669,,-1,0,1.0,
20191026T06-07,341.0,2650,2670,,0,-3,0.0,
20191026T05-07,329.0,2428,2668,,-10,-3,0.0,
20191026T04-07,329.0,2465,2667,,-8,-3,0.0,
20191026T03-07,329.0,2557,2670,,0,-2,1.0,
20191026T02-07,329.0,2605,2666,,0,-3,1.0,
20191026T01-07,329.0,2810,2664,,-2,-4,0.0,
20191026T00-07,329.0,3272,2665,,-7,-2,1.0,
20191025T23-07,329.0,3665,2664,,-2,-4,0.0,
20191025T22-07,329.0,4406,2666,,0,-2,0.0,
20191025T21-07,329.0,4670,2664,,-4,-4,1.0,
20191025T20-07,328.0,4747,2658,,10,7,0.0,
20191025T19-07,343.0,4959,2661,,10,6,2.0,
20191025T18-07,323.0,4667,2662,,10,41,0.0,
20191025T17-07,323.0,4275,2658,,10,335,0.0,
20191025T16-07,322.0,3997,2655,,0,584,1.0,
20191025T15-07,322.0,3498,2659,,0,641,0.0,
20191025T14-07,321.0,3281,2658,,-1,641,1.0,
20191025T13-07,322.0,3309,2656,,-2,630,0.0,
