,solar,hydro,wind
20191027T06Z,0,48,277
20191027T05Z,0,46,361
20191027T04Z,0,36,410
20191027T03Z,0,5,544
20191027T02Z,0,5,601
20191027T01Z,0,5,577
20191027T00Z,0,5,403
20191026T23Z,0,7,219
20191026T22Z,0,35,118
20191026T21Z,0,30,91
20191026T20Z,0,55,42
20191026T19Z,0,55,94
20191026T18Z,0,54,88
20191026T17Z,0,53,164
20191026T16Z,0,17,265
20191026T15Z,0,6,314
20191026T14Z,0,7,292
20191026T13Z,0,53,321
20191026T12Z,0,31,488
20191026T11Z,0,26,510
20191026T10Z,0,48,470
20191026T09Z,0,55,525
20191026T08Z,0,37,600
20191026T07Z,0,51,580
20191026T06Z,0,10,589
20191026T05Z,0,53,559
20191026T04Z,0,55,593
20191026T03Z,0,18,844
20191026T02Z,0,41,881
20191026T01Z,0,27,916
20191026T00Z,0,5,948
20191025T23Z,0,5,947
20191025T22Z,0,6,945
20191025T21Z,0,5,934
20191025T20Z,0,5,944
20191025T19Z,0,5,858
20191025T18Z,0,11,631
20191025T17Z,0,36,516
20191025T16Z,0,44,552
20191025T15Z,0,35,422
20191025T14Z,0,45,272
20191025T13Z,0,40,152
20191025T12Z,0,40,118
20191025T11Z,0,40,78
20191025T10Z,0,40,41
20191025T09Z,0,41,28
20191025T08Z,0,38,19
20191025T07Z,0,5,17
20191025T06Z,0,6,24
20191025T05Z,0,25,30
20191025T04Z,0,24,35
20191025T03Z,0,28,69
20191025T02Z,0,28,86
20191025T01Z,0,24,88
20191025T00Z,0,34,88
20191024T23Z,0,40,83
20191024T22Z,0,40,78
20191024T21Z,0,40,129
20191024T20Z,0,40,146
20191024T19Z,0,40,131
20191024T18Z,0,40,142
20191024T17Z,0,33,154
20191024T16Z,0,25,175
20191024T15Z,0,24,158
20191024T14Z,0,24,71
20191024T13Z,0,31,19
20191024T12Z,0,55,3
20191024T11Z,0,55,-1
20191024T10Z,0,50,-3
20191024T09Z,0,14,-5
20191024T08Z,0,5,-3
20191024T07Z,0,5,-4
20191024T06Z,0,11,-3
20191024T05Z,0,50,-5
20191024T04Z,0,49,-2
20191024T03Z,0,48,3
20191024T02Z,0,41,13
20191024T01Z,0,37,2
20191024T00Z,0,26,9
20191023T23Z,0,31,5
20191023T22Z,0,45,7
20191023T21Z,0,45,0
20191023T20Z,0,45,4
20191023T19Z,0,33,0
20191023T18Z,0,25,-1
20191023T17Z,0,25,1
20191023T16Z,0,25,3
