,coal,natural gas,solar,wind
20191201T17-07,573,314.0,6.0,9.0
20191201T16-07,574,141.0,97.0,4.0
20191201T15-07,564,25.0,150.0,4.0
20191201T14-07,563,-12.0,153.0,5.0
20191201T13-07,563,-17.0,152.0,7.0
20191201T12-07,564,-7.0,150.0,3.0
20191201T11-07,564,2.0,153.0,15.0
20191201T10-07,564,30.0,160.0,28.0
20191201T09-07,599,99.0,142.0,25.0
20191201T08-07,629,207.0,51.0,46.0
20191201T07-07,629,260.0,0.0,50.0
20191201T06-07,630,210.0,0.0,48.0
20191201T05-07,629,194.0,0.0,23.0
20191201T04-07,627,172.0,0.0,15.0
20191201T03-07,628,178.0,0.0,6.0
20191201T02-07,629,166.0,0.0,16.0
20191201T01-07,628,136.0,0.0,51.0
20191201T00-07,628,167.0,0.0,48.0
20191130T23-07,629,226.0,0.0,26.0
20191130T22-07,629,259.0,0.0,41.0
20191130T21-07,624,320.0,0.0,16.0
20191130T20-07,604,355.0,0.0,16.0
20191130T19-07,604,369.0,0.0,5.0
20191130T18-07,603,347.0,0.0,37.0
20191130T17-07,580,291.0,2.0,42.0
20191130T16-07,553,125.0,90.0,49.0
20191130T15-07,554,-7.0,155.0,50.0
20191130T14-07,553,-42.0,157.0,49.0
20191130T13-07,553,-31.0,155.0,52.0
20191130T12-07,554,-5.0,151.0,51.0
20191130T11-07,553,7.0,154.0,44.0
20191130T10-07,554,38.0,144.0,48.0
20191130T09-07,553,120.0,114.0,44.0
20191130T08-07,633,196.0,28.0,33.0
20191130T07-07,634,206.0,0.0,36.0
20191130T06-07,632,147.0,0.0,50.0
20191130T05-07,633,119.0,0.0,35.0
20191130T04-07,633,86.0,0.0,50.0
20191130T03-07,634,80.0,0.0,54.0
20191130T02-07,634,88.0,0.0,56.0
20191130T01-07,634,98.0,0.0,58.0
20191130T00-07,634,126.0,0.0,53.0
20191129T23-07,634,167.0,0.0,52.0
20191129T22-07,634,216.0,0.0,60.0
20191129T21-07,634,280.0,0.0,40.0
20191129T20-07,634,328.0,0.0,15.0
20191129T19-07,635,319.0,0.0,42.0
20191129T18-07,633,340.0,0.0,33.0
20191129T17-07,658,222.0,4.0,49.0
20191129T16-07,561,206.0,28.0,78.0
20191129T15-07,555,164.0,42.0,77.0
20191129T14-07,555,137.0,77.0,59.0
20191129T13-07,638,137.0,36.0,45.0
20191129T12-07,711,175.0,41.0,24.0
20191129T11-07,714,153.0,34.0,63.0
20191129T10-07,714,168.0,7.0,66.0
20191129T09-07,715,170.0,0.0,40.0
20191129T08-07,714,114.0,0.0,42.0
20191129T07-07,714,48.0,0.0,38.0
20191129T06-07,714,18.0,0.0,30.0
20191129T05-07,714,-21.0,0.0,27.0
20191129T04-07,654,17.0,0.0,22.0
20191129T03-07,655,4.0,0.0,28.0
20191129T02-07,713,-41.0,0.0,26.0
20191129T01-07,714,-31.0,0.0,23.0
20191129T00-07,714,12.0,0.0,10.0
20191128T23-07,715,52.0,0.0,5.0
20191128T22-07,715,95.0,0.0,1.0
