,coal
20181022T04Z,670
20181022T03Z,664
20181022T02Z,673
20181022T01Z,666
20181022T00Z,675
20181021T23Z,671
20181021T22Z,677
20181021T21Z,665
20181021T20Z,679
20181021T19Z,671
20181021T18Z,674
20181021T17Z,672
20181021T16Z,669
20181021T15Z,677
20181021T14Z,670
20181021T13Z,669
20181021T12Z,673
20181021T11Z,674
20181021T10Z,673
20181021T09Z,679
20181021T08Z,672
20181021T07Z,678
20181021T06Z,674
20181021T05Z,676
20181021T04Z,676
20181021T03Z,670
20181021T02Z,676
20181021T01Z,671
20181021T00Z,675
20181020T23Z,674
20181020T22Z,671
20181020T21Z,675
20181020T20Z,676
20181020T19Z,669
20181020T18Z,675
20181020T17Z,668
20181020T16Z,671
20181020T15Z,675
20181020T14Z,674
20181020T13Z,674
20181020T12Z,679
20181020T11Z,682
20181020T10Z,679
20181020T09Z,674
20181020T08Z,682
20181020T07Z,677
20181020T06Z,677
20181020T05Z,682
20181020T04Z,1014
20181020T03Z,1581
20181020T02Z,1577
20181020T01Z,1580
20181020T00Z,1579
20181019T23Z,1583
20181019T22Z,1582
20181019T21Z,1583
20181019T20Z,1585
20181019T19Z,1581
20181019T18Z,1575
20181019T17Z,1573
20181019T16Z,1582
20181019T15Z,1573
20181019T14Z,1578
20181019T13Z,1579
20181019T12Z,1544
20181019T11Z,1029
20181019T10Z,684
20181019T09Z,682
20181019T08Z,677
20181019T07Z,682
20181019T06Z,679
20181019T05Z,679
20181019T04Z,1065
20181019T03Z,1581
20181019T02Z,1589
20181019T01Z,1591
20181019T00Z,1589
20181018T23Z,1587
20181018T22Z,1583
20181018T21Z,1579
20181018T20Z,1586
20181018T19Z,1547
20181018T18Z,1597
20181018T17Z,1592
20181018T16Z,1590
20181018T15Z,1552
20181018T14Z,1534
20181018T13Z,1521
20181018T12Z,1502
20181018T11Z,1048
20181018T10Z,676
20181018T09Z,655
20181018T08Z,676
20181018T07Z,677
20181018T06Z,670
20181018T05Z,691
20181018T04Z,1043
20181018T03Z,1565
20181018T02Z,1570
20181018T01Z,1539
20181018T00Z,1529
20181017T23Z,1532
20181017T22Z,1534
20181017T21Z,1536
20181017T20Z,1531
20181017T19Z,1527
20181017T18Z,1521
20181017T17Z,1521
20181017T16Z,1519
20181017T15Z,1516
20181017T14Z,1510
20181017T13Z,1504
20181017T12Z,1476
20181017T11Z,1074
20181017T10Z,680
20181017T09Z,682
20181017T08Z,679
20181017T07Z,682
20181017T06Z,687
20181017T05Z,690
20181017T04Z,980
20181017T03Z,1536
20181017T02Z,1544
20181017T01Z,1551
20181017T00Z,1545
20181016T23Z,1548
20181016T22Z,1528
20181016T21Z,1535
20181016T20Z,1534
20181016T19Z,1534
20181016T18Z,1531
20181016T17Z,1521
20181016T16Z,1517
20181016T15Z,1521
20181016T14Z,1518
20181016T13Z,1515
20181016T12Z,1511
20181016T11Z,1206
20181016T10Z,860
20181016T09Z,853
20181016T08Z,804
20181016T07Z,773
20181016T06Z,776
