,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191210T15-05,1376,20351,3849,0,1634,896,22.0
20191210T14-05,1422,19570,3849,0,1630,1020,22.0
20191210T13-05,1396,18662,3846,0,1624,1101,22.0
20191210T12-05,1308,17489,3851,0,1652,1206,22.0
20191210T11-05,1215,16275,3847,0,1660,1133,22.0
20191210T10-05,1174,15122,3856,0,1688,882,22.0
20191210T09-05,1204,14101,3851,0,1691,448,22.0
20191210T08-05,1155,13323,3855,0,1740,65,22.0
20191210T07-05,978,12082,3852,0,1778,0,22.0
20191210T06-05,777,10497,3850,0,1296,0,22.0
20191210T05-05,780,9470,3851,0,1085,0,22.0
20191210T04-05,779,9228,3855,0,1073,0,22.0
20191210T03-05,778,9526,3854,0,1053,0,22.0
20191210T02-05,778,10097,3848,0,1014,0,22.0
20191210T01-05,877,11213,3855,0,1029,0,22.0
20191210T00-05,1055,12548,3850,0,1384,0,22.0
20191209T23-05,1213,14512,3851,0,1597,0,21.0
20191209T22-05,1339,16475,3851,0,1667,0,22.0
20191209T21-05,1489,17955,3850,0,1696,0,23.0
20191209T20-05,1682,18996,3853,0,1734,5,22.0
20191209T19-05,1750,19678,3843,0,1742,5,23.0
20191209T18-05,1720,18757,3847,0,1722,21,36.0
20191209T17-05,1702,18317,3850,0,1681,340,22.0
20191209T16-05,1685,18007,3850,0,1667,788,22.0
20191209T15-05,1580,17551,3854,0,1628,1150,23.0
20191209T14-05,1507,16838,3857,0,1658,1238,22.0
20191209T13-05,1441,16021,3857,0,1729,1343,22.0
20191209T12-05,1437,15080,3860,0,1731,1447,23.0
20191209T11-05,1314,14325,3853,0,1664,1367,22.0
20191209T10-05,1239,13894,3862,0,1379,1130,22.0
20191209T09-05,1234,13549,3864,1,1144,680,22.0
20191209T08-05,1166,13263,3862,0,1119,107,23.0
20191209T07-05,972,12114,3861,0,1144,0,22.0
20191209T06-05,732,10228,3860,0,1011,0,22.0
20191209T05-05,634,9067,3861,0,896,0,22.0
20191209T04-05,640,8651,3862,2,852,0,23.0
20191209T03-05,737,8743,3861,0,866,0,22.0
20191209T02-05,732,9166,3859,0,1061,0,22.0
20191209T01-05,776,9991,3857,0,1423,0,22.0
20191209T00-05,826,10750,3856,0,1629,0,21.0
20191208T23-05,1030,12784,3860,0,1650,0,22.0
20191208T22-05,1233,14899,3854,0,1699,0,21.0
20191208T21-05,1354,16088,3855,0,1802,0,22.0
20191208T20-05,1453,17103,3859,0,1846,5,21.0
20191208T19-05,1484,17555,3856,0,1842,5,22.0
20191208T18-05,1407,16910,3856,0,1775,21,36.0
20191208T17-05,1382,16285,3854,0,1733,351,23.0
20191208T16-05,1381,16042,3857,0,1702,707,22.0
20191208T15-05,1357,15676,3861,0,1696,953,21.0
20191208T14-05,1308,15351,3860,0,1703,1028,22.0
20191208T13-05,1270,14905,3859,0,1695,1203,23.0
20191208T12-05,1111,14290,3860,0,1677,1281,23.0
20191208T11-05,1005,13602,3860,0,1665,1251,24.0
20191208T10-05,1000,12851,3866,0,1464,998,24.0
20191208T09-05,969,11945,3862,0,1200,507,24.0
20191208T08-05,828,10648,3861,0,1153,83,24.0
20191208T07-05,658,9820,3865,0,1078,-1,24.0
20191208T06-05,634,9082,3863,0,1006,0,23.0
20191208T05-05,622,8807,3862,0,953,0,24.0
20191208T04-05,624,8806,3866,0,952,0,24.0
20191208T03-05,685,9002,3863,0,944,0,23.0
20191208T02-05,736,9487,3861,0,988,0,24.0
20191208T01-05,746,10436,3862,0,1018,0,24.0
20191208T00-05,895,10013,2982,0,1111,0,23.0
20191207T23-05,995,10444,2984,0,1080,0,24.0
20191207T22-05,1032,11528,1009,0,1122,0,23.0
20191207T21-05,1092,14971,3858,0,1116,0,23.0
20191207T20-05,1183,15681,3863,0,1110,4,21.0
20191207T19-05,1300,16378,3863,0,1132,5,18.0
20191207T18-05,1251,15943,3859,0,1128,14,37.0
20191207T17-05,1222,15484,3862,0,1124,215,25.0
20191207T16-05,1154,15228,3861,0,1130,594,24.0
20191207T15-05,1080,14978,3865,0,1136,890,24.0
20191207T14-05,1067,14560,3865,0,1131,1144,24.0
20191207T13-05,1083,14316,3863,0,1111,1184,24.0
20191207T12-05,1159,13872,3870,0,1109,1224,24.0
20191207T11-05,1270,14129,3864,0,1108,1213,24.0
20191207T10-05,1238,14344,3866,0,1132,960,24.0
20191207T09-05,1175,14178,3869,0,1137,572,24.0
20191207T08-05,1084,13501,3862,0,1157,120,24.0
20191207T07-05,880,12187,3870,0,1097,0,24.0
20191207T06-05,759,11019,3864,0,1058,-1,24.0
20191207T05-05,726,10283,3868,0,1026,0,24.0
20191207T04-05,725,9957,3869,0,1036,0,23.0
20191207T03-05,723,9917,3863,0,1036,0,24.0
20191207T02-05,752,10220,3867,0,1053,0,23.0
20191207T01-05,904,10641,3868,0,1181,0,23.0
20191207T00-05,1110,11210,3864,0,1582,0,23.0
20191206T23-05,1237,12679,3865,0,1681,0,23.0
20191206T22-05,1242,13830,3866,0,1672,0,23.0
20191206T21-05,1243,14851,3862,0,1663,0,23.0
20191206T20-05,1248,15674,3863,0,1588,5,16.0
20191206T19-05,1273,16464,3838,0,1328,5,19.0
20191206T18-05,1333,16200,3882,0,1092,26,38.0
20191206T17-05,1262,15405,3856,0,1050,377,19.0
20191206T16-05,1264,14510,3858,0,1277,936,18.0
20191206T15-05,1476,13790,3858,0,1623,1246,17.0
20191206T14-05,1156,13512,3854,0,1614,1358,18.0
20191206T13-05,1214,13558,3860,0,1633,1408,18.0
20191206T12-05,1196,13665,3859,0,1647,1425,17.0
20191206T11-05,1226,14308,3860,0,1598,1368,20.0
20191206T10-05,1222,15612,3863,0,1155,1131,19.0
20191206T09-05,1234,16869,3859,0,1223,666,19.0
20191206T08-05,1211,17738,3859,0,1258,109,20.0
20191206T07-05,1233,16313,3862,0,1160,0,19.0
20191206T06-05,1199,13626,3861,0,1094,0,19.0
20191206T05-05,1121,11723,3860,0,1101,-1,19.0
20191206T04-05,948,11051,3859,0,1112,0,19.0
20191206T03-05,915,10924,3859,0,1119,0,19.0
20191206T02-05,916,10337,3861,0,1118,0,20.0
20191206T01-05,936,11907,3857,0,1100,0,19.0
20191206T00-05,1098,13156,3858,0,1081,0,19.0
20191205T23-05,1183,14575,3858,0,1072,0,19.0
20191205T22-05,1272,15979,3858,0,1122,0,19.0
20191205T21-05,1276,17171,3854,0,1143,0,19.0
20191205T20-05,1290,17455,3856,0,1137,5,20.0
20191205T19-05,1371,17364,3858,0,1161,5,21.0
20191205T18-05,1303,16018,3854,0,1142,21,37.0
20191205T17-05,1172,14594,3858,0,1092,407,22.0
20191205T16-05,1119,13887,3859,0,1063,964,21.0
20191205T15-05,1147,13722,3855,0,1033,1148,22.0
20191205T14-05,1179,13945,3853,0,1035,1125,21.0
20191205T13-05,1203,14137,3859,0,1050,1189,21.0
20191205T12-05,1253,14227,3856,0,1076,1345,18.0
20191205T11-05,1253,14921,3857,0,1116,1372,19.0
20191205T10-05,1293,15699,3858,0,1127,1186,20.0
20191205T09-05,1478,17002,3859,0,1151,717,20.0
20191205T08-05,1660,17810,3857,0,1174,117,21.0
20191205T07-05,1566,16467,3857,0,1126,0,21.0
20191205T06-05,1339,13855,3859,0,1148,0,20.0
20191205T05-05,1294,11881,3858,0,1143,0,21.0
20191205T04-05,1127,11377,3858,2,1131,-1,21.0
20191205T03-05,1055,11322,3857,0,1092,0,20.0
20191205T02-05,1054,11462,3854,0,1077,0,21.0
20191205T01-05,1146,11929,3856,0,1076,0,21.0
20191205T00-05,1271,13030,3853,0,1055,0,20.0
20191204T23-05,1389,14888,3853,0,1061,0,21.0
20191204T22-05,1482,15987,3856,0,1108,-1,21.0
20191204T21-05,1525,17226,3852,0,1123,0,20.0
20191204T20-05,1551,17503,3857,0,1373,5,21.0
20191204T19-05,1539,17149,3845,0,1721,5,21.0
20191204T18-05,1480,15669,3851,0,1646,26,39.0
20191204T17-05,1320,14755,3857,7,1285,424,22.0
20191204T16-05,1271,13525,3854,0,1132,1062,20.0
20191204T15-05,1362,13262,3856,0,1128,1481,21.0
20191204T14-05,1387,13364,3857,0,1132,1535,20.0
20191204T13-05,1405,13361,3856,0,1364,1544,21.0
20191204T12-05,1415,13885,3857,0,1332,1553,21.0
20191204T11-05,1414,14703,3857,0,1163,1487,20.0
20191204T10-05,1426,15623,3856,0,1128,1156,21.0
20191204T09-05,1516,16649,3860,0,1110,727,20.0
20191204T08-05,1550,17536,3854,0,1131,135,20.0
20191204T07-05,1499,16369,3854,0,1133,0,21.0
20191204T06-05,1302,13783,3857,0,1080,0,21.0
20191204T05-05,1168,12195,3857,0,1049,0,21.0
20191204T04-05,1054,11665,3853,0,1053,0,22.0
20191204T03-05,1052,11595,3856,0,1049,-1,21.0
20191204T02-05,1059,11829,3855,0,1055,0,21.0
20191204T01-05,1155,12471,3853,0,1040,0,22.0
20191204T00-05,1239,13730,3850,0,1061,0,21.0
20191203T23-05,1492,15147,3849,0,1240,0,22.0
20191203T22-05,1577,16580,3850,0,1363,0,22.0
20191203T21-05,1649,17675,3850,0,1411,0,22.0
20191203T20-05,1662,18269,3842,0,1422,5,21.0
20191203T19-05,1643,18076,3822,0,1378,6,22.0
20191203T18-05,1578,16582,3847,0,1347,19,37.0
20191203T17-05,1429,15046,3847,0,1262,303,21.0
20191203T16-05,1309,13993,3850,0,1235,943,21.0
20191203T15-05,1315,13505,3847,0,1245,1488,21.0
20191203T14-05,1427,13563,3848,0,1233,1562,20.0
20191203T13-05,1457,13978,3845,0,1247,1554,21.0
20191203T12-05,1536,14426,3848,0,1250,1556,21.0
20191203T11-05,1594,15121,3846,0,1415,1529,24.0
20191203T10-05,1651,15579,3846,0,1906,1306,23.0
20191203T09-05,1665,16678,3844,0,1978,818,24.0
20191203T08-05,1647,17293,3845,0,1905,166,24.0
20191203T07-05,1499,15926,3848,0,1893,0,24.0
20191203T06-05,1320,13212,3851,0,1543,0,24.0
20191203T05-05,1247,11547,3847,0,1305,0,24.0
20191203T04-05,1093,10990,3850,0,1176,0,25.0
20191203T03-05,1043,10867,3837,0,1114,0,25.0
20191203T02-05,989,11118,3842,0,1102,-1,24.0
20191203T01-05,943,11844,3847,0,1074,0,25.0
20191203T00-05,958,12806,3844,0,1018,0,23.0
20191202T23-05,1087,14524,3844,0,1052,0,24.0
20191202T22-05,1258,15693,3844,0,1376,0,24.0
20191202T21-05,1284,16789,3843,0,1655,0,23.0
20191202T20-05,1301,17681,3838,0,1661,4,24.0
20191202T19-05,1310,18106,3849,0,1659,5,23.0
20191202T18-05,1262,17006,3844,0,1659,21,36.0
20191202T17-05,1189,16137,3843,0,1628,337,24.0
20191202T16-05,1181,15975,3840,0,1609,894,24.0
20191202T15-05,1179,15763,3844,0,1560,1379,24.0
20191202T14-05,1174,15878,3836,0,1559,1406,24.0
20191202T13-05,1180,15779,3843,0,1565,1423,24.0
20191202T12-05,1175,15462,3846,0,1577,1378,23.0
20191202T11-05,1160,15421,3848,0,1564,1283,26.0
20191202T10-05,1121,14881,3847,0,1538,1092,25.0
20191202T09-05,1054,14308,3850,0,1520,659,26.0
20191202T08-05,1049,13814,3850,0,1517,111,25.0
20191202T07-05,927,12739,3843,0,1510,0,26.0
20191202T06-05,758,10728,3848,0,1547,0,25.0
20191202T05-05,680,9786,3847,0,1551,0,26.0
20191202T04-05,677,9582,3846,0,1521,0,25.0
20191202T03-05,672,9871,3843,0,1509,0,26.0
20191202T02-05,715,10483,3847,0,1508,0,25.0
20191202T01-05,784,11440,3841,0,1535,-1,26.0
20191202T00-05,945,12768,3842,0,1549,-1,25.0
20191201T23-05,1052,14816,3846,0,1588,0,26.0
20191201T22-05,1103,16379,3843,0,1580,0,25.0
20191201T21-05,1109,17696,3838,0,1636,0,24.0
20191201T20-05,1011,19096,3843,0,1618,5,24.0
20191201T19-05,1008,19894,3842,0,1646,5,28.0
20191201T18-05,1147,19077,3841,0,1664,19,37.0
20191201T17-05,1334,18436,3840,0,1642,311,25.0
20191201T16-05,1349,18287,3835,0,1612,690,25.0
20191201T15-05,1320,17875,3842,0,1622,959,24.0
20191201T14-05,1302,17321,3841,0,1620,1094,25.0
20191201T13-05,1242,16439,3842,0,1631,1102,24.0
20191201T12-05,1149,15270,3846,0,1623,1142,23.0
20191201T11-05,1050,14038,3844,0,1613,1150,24.0
20191201T10-05,1020,12628,3842,0,1604,977,22.0
20191201T09-05,1019,11080,3847,0,1503,591,22.0
20191201T08-05,1006,10120,3847,0,1100,119,21.0
20191201T07-05,918,9316,3844,0,1020,0,21.0
20191201T06-05,740,8875,3849,0,990,0,21.0
20191201T05-05,631,8700,3844,0,970,0,22.0
20191201T04-05,628,8763,3844,0,970,0,20.0
20191201T03-05,629,9087,3844,0,977,0,21.0
20191201T02-05,630,9767,3847,0,996,0,21.0
20191201T01-05,693,10392,3842,0,1407,0,19.0
20191201T00-05,816,11364,3840,0,1591,-1,21.0
20191130T23-05,979,12720,3841,0,1587,0,22.0
20191130T22-05,1002,13998,3837,0,1623,0,22.0
20191130T21-05,1047,14790,3841,0,1639,0,26.0
20191130T20-05,1213,16111,3840,0,1612,5,30.0
20191130T19-05,1320,17251,3835,0,1627,5,33.0
20191130T18-05,1318,17292,3838,0,1635,20,38.0
20191130T17-05,1313,17327,3839,0,1621,391,31.0
20191130T16-05,1299,17195,3839,0,1633,995,32.0
20191130T15-05,1300,16558,3843,0,1669,1373,33.0
20191130T14-05,1243,15974,3842,0,1679,1441,32.0
20191130T13-05,1140,15293,3843,0,1667,1469,30.0
20191130T12-05,1097,14524,3842,0,1653,1472,31.0
20191130T11-05,1083,13646,3845,0,1664,1411,30.0
20191130T10-05,1005,12676,3849,0,1669,1183,31.0
20191130T09-05,1009,11352,3842,0,1619,744,30.0
20191130T08-05,1000,10325,3842,0,1198,150,30.0
20191130T07-05,866,9420,3846,0,1091,0,29.0
20191130T06-05,707,8880,3844,0,1068,0,25.0
20191130T05-05,634,8639,3843,0,1013,0,23.0
20191130T04-05,672,8616,3843,0,1002,0,23.0
20191130T03-05,689,8880,3839,0,998,0,23.0
20191130T02-05,762,9367,3841,0,993,0,22.0
20191130T01-05,993,9778,3841,0,1341,0,22.0
20191130T00-05,1166,8548,2960,0,1546,0,21.0
20191129T23-05,1192,8101,2958,0,1610,0,21.0
20191129T22-05,1256,11247,2959,0,1635,-1,22.0
20191129T21-05,1329,14483,3834,0,1663,0,22.0
20191129T20-05,1340,15448,3839,0,1636,5,21.0
20191129T19-05,1381,16367,3836,0,1649,4,28.0
20191129T18-05,1354,15745,3830,0,1657,23,37.0
20191129T17-05,1364,16299,3840,0,1607,397,23.0
20191129T16-05,1361,16055,3836,0,1606,1012,21.0
20191129T15-05,1348,15669,3837,0,1609,1385,23.0
20191129T14-05,1334,15101,3841,0,1604,1507,25.0
20191129T13-05,1337,14513,3836,0,1594,1522,27.0
20191129T12-05,1335,13865,3842,0,1579,1515,26.0
20191129T11-05,1351,13061,3843,0,1485,1432,26.0
20191129T10-05,1408,12123,3838,0,1482,1208,27.0
20191129T09-05,1175,11396,3837,0,1399,764,26.0
20191129T08-05,1020,10481,3838,0,1306,163,26.0
20191129T07-05,1002,9510,3839,0,1319,0,26.0
20191129T06-05,996,8595,3835,0,1170,0,26.0
20191129T05-05,995,8187,3840,0,970,0,26.0
20191129T04-05,994,8102,3838,0,940,0,25.0
20191129T03-05,993,8367,3842,0,937,0,26.0
20191129T02-05,996,8926,3836,0,977,0,25.0
20191129T01-05,996,9436,3838,0,1392,0,25.0
20191129T00-05,1075,10381,3837,0,1601,0,25.0
20191128T23-05,1248,11494,3839,0,1563,-1,26.0
20191128T22-05,1357,12226,3836,0,1582,0,26.0
20191128T21-05,1359,13004,3839,0,1598,-1,28.0
20191128T20-05,1359,14158,3835,0,1604,5,28.0
20191128T19-05,1361,15661,3833,0,1581,5,30.0
20191128T18-05,1429,16611,3839,0,1551,22,38.0
20191128T17-05,1458,18153,3837,0,1519,403,27.0
20191128T16-05,1510,18736,3834,0,1527,1001,27.0
20191128T15-05,1518,18866,3834,0,1551,1350,28.0
20191128T14-05,1524,18603,3840,0,1575,1457,29.0
20191128T13-05,1515,18060,3843,0,1619,1432,29.0
20191128T12-05,1517,17190,3844,0,1615,1230,28.0
20191128T11-05,1440,15655,3841,0,1615,1014,25.0
20191128T10-05,1296,13976,3842,0,1670,888,24.0
20191128T09-05,1132,11817,3840,0,1679,588,22.0
20191128T08-05,1041,10590,3842,0,1282,120,22.0
20191128T07-05,998,9401,3841,0,1052,0,22.0
20191128T06-05,993,8684,3843,0,1032,0,22.0
20191128T05-05,994,8382,3842,0,975,0,22.0
20191128T04-05,990,8265,3846,0,1036,0,20.0
20191128T03-05,992,8250,3839,0,1439,0,21.0
20191128T02-05,993,8849,3840,0,1540,0,21.0
20191128T01-05,991,9979,3841,0,1555,0,20.0
20191128T00-05,1057,11284,3838,0,1877,0,20.0
20191127T23-05,1243,12532,3842,0,1891,0,20.0
20191127T22-05,1361,13943,3838,0,1964,0,20.0
20191127T21-05,1360,15008,3835,0,2037,0,20.0
20191127T20-05,1363,16102,3838,0,2081,4,22.0
20191127T19-05,1364,17117,3840,0,2117,5,23.0
20191127T18-05,1364,16969,3834,0,2155,21,37.0
20191127T17-05,1369,16884,3840,0,2121,359,21.0
20191127T16-05,1371,16546,3835,0,2103,951,21.0
20191127T15-05,1368,16006,3839,0,2092,1293,22.0
20191127T14-05,1366,15310,3838,0,2086,1421,22.0
20191127T13-05,1403,14442,3846,0,2077,1457,22.0
20191127T12-05,1402,13711,3843,0,2081,1458,27.0
20191127T11-05,1406,13186,3839,0,2105,1379,28.0
20191127T10-05,1409,13047,3845,0,2103,1144,29.0
20191127T09-05,1407,12862,3841,0,2114,728,29.0
20191127T08-05,1401,12550,3839,0,1857,166,29.0
20191127T07-05,1240,11520,3847,0,1591,0,29.0
