,natural gas,hydro
20191224T00-08,139,13.0
20191223T23-08,175,13.0
20191223T22-08,219,13.0
20191223T21-08,220,3.0
20191223T20-08,190,3.0
20191223T19-08,179,8.0
20191223T18-08,189,14.0
20191223T17-08,184,14.0
20191223T16-08,175,14.0
20191223T15-08,180,14.0
20191223T14-08,184,14.0
20191223T13-08,176,14.0
20191223T12-08,171,14.0
20191223T11-08,183,14.0
20191223T10-08,196,14.0
20191223T09-08,182,13.0
20191223T08-08,171,13.0
20191223T07-08,142,14.0
20191223T06-08,141,14.0
20191223T05-08,128,13.0
20191223T04-08,120,13.0
20191223T03-08,120,14.0
20191223T02-08,120,13.0
20191223T01-08,120,13.0
20191223T00-08,134,14.0
20191222T23-08,167,13.0
20191222T22-08,181,13.0
20191222T21-08,183,11.0
20191222T20-08,183,3.0
20191222T19-08,182,3.0
20191222T18-08,186,4.0
20191222T17-08,175,13.0
20191222T16-08,157,14.0
20191222T15-08,153,13.0
20191222T14-08,137,14.0
20191222T13-08,124,14.0
20191222T12-08,134,13.0
20191222T11-08,152,13.0
20191222T10-08,152,13.0
20191222T09-08,146,13.0
20191222T08-08,141,14.0
20191222T07-08,135,14.0
20191222T06-08,125,14.0
20191222T05-08,105,14.0
20191222T04-08,105,14.0
20191222T03-08,105,14.0
20191222T02-08,106,14.0
20191222T01-08,106,14.0
20191222T00-08,106,13.0
20191221T23-08,105,14.0
20191221T22-08,99,13.0
20191221T21-08,99,14.0
20191221T20-08,99,13.0
20191221T19-08,99,13.0
20191221T18-08,105,14.0
20191221T17-08,101,14.0
20191221T16-08,96,13.0
20191221T15-08,96,14.0
20191221T14-08,97,13.0
20191221T13-08,102,13.0
20191221T12-08,105,13.0
20191221T11-08,104,13.0
20191221T10-08,104,14.0
20191221T09-08,104,14.0
20191221T08-08,104,14.0
20191221T07-08,105,14.0
20191221T06-08,105,14.0
20191221T05-08,105,14.0
20191221T04-08,102,13.0
20191221T03-08,95,13.0
20191221T02-08,94,13.0
20191221T01-08,92,6.0
20191221T00-08,99,3.0
20191220T23-08,167,5.0
20191220T22-08,184,13.0
20191220T21-08,186,13.0
20191220T20-08,194,13.0
20191220T19-08,177,13.0
20191220T18-08,164,13.0
20191220T17-08,152,14.0
20191220T16-08,112,14.0
20191220T15-08,98,14.0
20191220T14-08,98,14.0
20191220T13-08,98,14.0
20191220T12-08,97,14.0
20191220T11-08,98,14.0
20191220T10-08,97,13.0
20191220T09-08,96,14.0
20191220T08-08,95,13.0
20191220T07-08,93,13.0
20191220T06-08,97,14.0
20191220T05-08,100,14.0
20191220T04-08,100,14.0
20191220T03-08,102,14.0
20191220T02-08,106,14.0
20191220T01-08,106,13.0
20191220T00-08,112,16.0
20191219T23-08,141,16.0
20191219T22-08,165,14.0
20191219T21-08,172,13.0
20191219T20-08,181,3.0
20191219T19-08,222,3.0
20191219T18-08,237,4.0
20191219T17-08,224,14.0
20191219T16-08,185,14.0
20191219T15-08,185,14.0
20191219T14-08,193,14.0
20191219T13-08,196,14.0
20191219T12-08,196,14.0
20191219T11-08,195,14.0
20191219T10-08,195,14.0
20191219T09-08,197,13.0
20191219T08-08,202,13.0
20191219T07-08,171,13.0
20191219T06-08,133,14.0
20191219T05-08,137,13.0
20191219T04-08,137,14.0
20191219T03-08,137,14.0
20191219T02-08,137,14.0
20191219T01-08,140,13.0
20191219T00-08,170,13.0
20191218T23-08,192,13.0
20191218T22-08,224,13.0
20191218T21-08,230,14.0
20191218T20-08,237,14.0
20191218T19-08,240,13.0
20191218T18-08,243,13.0
20191218T17-08,236,14.0
20191218T16-08,230,14.0
20191218T15-08,232,14.0
20191218T14-08,246,10.0
20191218T13-08,254,3.0
20191218T12-08,231,12.0
20191218T11-08,228,7.0
20191218T10-08,218,22.0
20191218T09-08,227,13.0
20191218T08-08,227,13.0
20191218T07-08,206,14.0
20191218T06-08,169,14.0
20191218T05-08,143,14.0
20191218T04-08,142,14.0
20191218T03-08,142,14.0
20191218T02-08,138,14.0
20191218T01-08,142,13.0
20191218T00-08,148,13.0
20191217T23-08,180,14.0
20191217T22-08,223,14.0
20191217T21-08,240,13.0
20191217T20-08,240,14.0
20191217T19-08,242,10.0
20191217T18-08,244,8.0
20191217T17-08,227,10.0
20191217T16-08,182,17.0
20191217T15-08,180,16.0
20191217T14-08,176,15.0
20191217T13-08,176,13.0
20191217T12-08,177,14.0
20191217T11-08,191,5.0
20191217T10-08,191,11.0
20191217T09-08,193,13.0
20191217T08-08,200,14.0
20191217T07-08,187,14.0
20191217T06-08,142,14.0
20191217T05-08,137,14.0
20191217T04-08,137,13.0
20191217T03-08,135,13.0
20191217T02-08,137,13.0
20191217T01-08,140,14.0
20191217T00-08,169,14.0
20191216T23-08,230,13.0
20191216T22-08,247,13.0
20191216T21-08,239,13.0
20191216T20-08,235,13.0
20191216T19-08,218,13.0
20191216T18-08,205,14.0
20191216T17-08,211,9.0
20191216T16-08,192,5.0
20191216T15-08,167,17.0
20191216T14-08,138,13.0
20191216T13-08,126,13.0
20191216T12-08,118,15.0
20191216T11-08,104,24.0
20191216T10-08,123,14.0
20191216T09-08,127,3.0
20191216T08-08,111,3.0
20191216T07-08,105,3.0
20191216T06-08,102,4.0
20191216T05-08,68,14.0
20191216T04-08,63,14.0
20191216T03-08,62,14.0
20191216T02-08,50,14.0
20191216T01-08,54,14.0
20191216T00-08,65,14.0
20191215T23-08,95,14.0
20191215T22-08,98,14.0
20191215T21-08,98,14.0
20191215T20-08,84,14.0
20191215T19-08,82,14.0
20191215T18-08,79,14.0
20191215T17-08,74,14.0
20191215T16-08,63,14.0
20191215T15-08,61,14.0
20191215T14-08,61,14.0
20191215T13-08,63,14.0
20191215T12-08,64,13.0
20191215T11-08,64,14.0
20191215T10-08,69,14.0
20191215T09-08,72,14.0
20191215T08-08,72,14.0
20191215T07-08,70,14.0
20191215T06-08,66,13.0
20191215T05-08,55,14.0
20191215T04-08,55,14.0
20191215T03-08,54,13.0
20191215T02-08,51,13.0
20191215T01-08,60,14.0
20191215T00-08,62,14.0
20191214T23-08,68,13.0
20191214T22-08,109,13.0
20191214T21-08,120,14.0
20191214T20-08,120,14.0
20191214T19-08,119,13.0
20191214T18-08,116,13.0
20191214T17-08,112,13.0
20191214T16-08,110,5.0
20191214T15-08,112,3.0
20191214T14-08,112,3.0
20191214T13-08,97,11.0
20191214T12-08,81,14.0
20191214T11-08,86,14.0
20191214T10-08,92,14.0
20191214T09-08,95,14.0
20191214T08-08,96,13.0
20191214T07-08,100,13.0
20191214T06-08,96,14.0
20191214T05-08,58,13.0
20191214T04-08,58,14.0
20191214T03-08,58,14.0
20191214T02-08,60,13.0
20191214T01-08,66,14.0
20191214T00-08,72,13.0
20191213T23-08,92,13.0
20191213T22-08,98,14.0
20191213T21-08,106,13.0
20191213T20-08,116,13.0
20191213T19-08,96,14.0
20191213T18-08,111,14.0
20191213T17-08,118,13.0
20191213T16-08,114,14.0
20191213T15-08,108,10.0
20191213T14-08,106,3.0
20191213T13-08,105,6.0
20191213T12-08,113,13.0
20191213T11-08,114,14.0
20191213T10-08,101,13.0
20191213T09-08,94,14.0
20191213T08-08,98,13.0
20191213T07-08,98,14.0
20191213T06-08,86,15.0
20191213T05-08,58,15.0
20191213T04-08,55,14.0
20191213T03-08,56,15.0
20191213T02-08,56,14.0
20191213T01-08,68,14.0
20191213T00-08,83,14.0
20191212T23-08,103,14.0
20191212T22-08,96,15.0
20191212T21-08,98,15.0
20191212T20-08,102,8.0
20191212T19-08,104,3.0
20191212T18-08,101,3.0
20191212T17-08,111,4.0
20191212T16-08,95,14.0
20191212T15-08,90,13.0
20191212T14-08,103,10.0
20191212T13-08,108,10.0
20191212T12-08,109,11.0
20191212T11-08,105,10.0
20191212T10-08,99,10.0
20191212T09-08,91,11.0
20191212T08-08,90,14.0
20191212T07-08,105,3.0
20191212T06-08,103,3.0
20191212T05-08,67,9.0
20191212T04-08,62,14.0
20191212T03-08,64,14.0
20191212T02-08,71,14.0
20191212T01-08,83,14.0
20191212T00-08,68,14.0
20191211T23-08,99,14.0
20191211T22-08,112,14.0
20191211T21-08,120,14.0
20191211T20-08,125,14.0
20191211T19-08,133,14.0
20191211T18-08,135,13.0
20191211T17-08,130,11.0
20191211T16-08,137,11.0
20191211T15-08,131,11.0
20191211T14-08,130,11.0
20191211T13-08,130,10.0
20191211T12-08,128,11.0
20191211T11-08,117,11.0
20191211T10-08,118,12.0
20191211T09-08,123,14.0
20191211T08-08,123,13.0
20191211T07-08,124,3.0
20191211T06-08,112,3.0
20191211T05-08,73,3.0
20191211T04-08,67,3.0
20191211T03-08,67,13.0
20191211T02-08,70,13.0
20191211T01-08,72,14.0
20191211T00-08,74,14.0
20191210T23-08,102,13.0
20191210T22-08,116,13.0
20191210T21-08,116,13.0
20191210T20-08,120,13.0
20191210T19-08,123,13.0
20191210T18-08,123,13.0
20191210T17-08,119,13.0
