,Demand
20191012T17Z,1425
20191012T16Z,1456
20191012T15Z,1487
20191012T14Z,1491
20191012T13Z,1458
20191012T12Z,1394
20191012T11Z,1360
20191012T10Z,1348
20191012T09Z,1345
20191012T08Z,1352
20191012T07Z,1383
20191012T06Z,1434
20191012T05Z,1506
20191012T04Z,1559
20191012T03Z,1602
20191012T02Z,1580
20191012T01Z,1515
20191012T00Z,1461
20191011T23Z,1438
20191011T22Z,1416
20191011T21Z,1404
20191011T20Z,1404
20191011T19Z,1413
20191011T18Z,1442
20191011T17Z,1471
20191011T16Z,1508
20191011T15Z,1544
20191011T14Z,1552
20191011T13Z,1502
20191011T12Z,1391
20191011T11Z,1341
20191011T10Z,1331
20191011T09Z,1330
20191011T08Z,1345
20191011T07Z,1368
20191011T06Z,1427
20191011T05Z,1506
20191011T04Z,1581
20191011T03Z,1654
20191011T02Z,1668
20191011T01Z,1614
20191011T00Z,1594
20191010T23Z,1590
20191010T22Z,1557
20191010T21Z,1529
20191010T20Z,1508
20191010T19Z,1499
20191010T18Z,1493
20191010T17Z,1485
20191010T16Z,1475
20191010T15Z,1502
20191010T14Z,1473
20191010T13Z,1441
20191010T12Z,1322
20191010T11Z,1276
20191010T10Z,1265
20191010T09Z,1283
20191010T08Z,1309
20191010T07Z,
20191010T06Z,
20191010T05Z,
20191010T04Z,
20191010T03Z,
20191010T02Z,
20191010T01Z,
20191010T00Z,
20191009T23Z,
20191009T22Z,
20191009T21Z,
20191009T20Z,
20191009T19Z,
20191009T18Z,
20191009T17Z,
20191009T16Z,
20191009T15Z,
20191009T14Z,
20191009T13Z,
20191009T12Z,
20191009T11Z,
20191009T10Z,
20191009T09Z,
20191009T08Z,
20191009T07Z,1336
20191009T06Z,1386
20191009T05Z,1489
20191009T04Z,1601
20191009T03Z,1686
20191009T02Z,1700
20191009T01Z,1643
20191009T00Z,1622
20191008T23Z,1593
20191008T22Z,1595
20191008T21Z,1586
20191008T20Z,1593
20191008T19Z,1544
20191008T18Z,1496
20191008T17Z,1465
20191008T16Z,1462
20191008T15Z,1528
20191008T14Z,1481
20191008T13Z,1421
20191008T12Z,1311
20191008T11Z,1247
20191008T10Z,1246
20191008T09Z,1263
20191008T08Z,1264
20191008T07Z,1312
20191008T06Z,1354
20191008T05Z,1449
20191008T04Z,1567
20191008T03Z,1664
20191008T02Z,1692
20191008T01Z,1632
20191008T00Z,1633
20191007T23Z,1608
20191007T22Z,1564
20191007T21Z,1526
20191007T20Z,1495
20191007T19Z,1490
20191007T18Z,1449
20191007T17Z,1456
20191007T16Z,1451
20191007T15Z,1467
