,Demand1
20191206T22-05,2085
20191206T21-05,2157
20191206T20-05,2211
20191206T19-05,2265
20191206T18-05,2179
20191206T17-05,2122
20191206T16-05,2105
20191206T15-05,2079
20191206T14-05,2067
20191206T13-05,2101
20191206T12-05,2151
20191206T11-05,2237
20191206T10-05,2367
20191206T09-05,2490
20191206T08-05,2571
20191206T07-05,2482
20191206T06-05,2203
20191206T05-05,1985
20191206T04-05,1912
20191206T03-05,1887
20191206T02-05,1891
20191206T01-05,1922
20191206T00-05,2034
20191205T23-05,2194
20191205T22-05,2334
20191205T21-05,2421
20191205T20-05,2449
20191205T19-05,2427
20191205T18-05,2262
20191205T17-05,2098
20191205T16-05,2063
20191205T15-05,2067
20191205T14-05,2089
20191205T13-05,2141
20191205T12-05,2172
20191205T11-05,2232
20191205T10-05,2289
20191205T09-05,2410
20191205T08-05,2492
20191205T07-05,2433
20191205T06-05,2162
20191205T05-05,1937
20191205T04-05,1872
20191205T03-05,1859
20191205T02-05,1869
20191205T01-05,1926
20191205T00-05,2025
20191204T23-05,2189
20191204T22-05,2358
20191204T21-05,2429
20191204T20-05,2444
20191204T19-05,2433
20191204T18-05,2253
20191204T17-05,2092
20191204T16-05,2049
20191204T15-05,2053
20191204T14-05,2083
20191204T13-05,2106
20191204T12-05,2163
20191204T11-05,2226
20191204T10-05,2288
20191204T09-05,2371
20191204T08-05,2435
20191204T07-05,2387
20191204T06-05,2155
20191204T05-05,1956
20191204T04-05,1880
20191204T03-05,1873
20191204T02-05,1898
20191204T01-05,2002
20191204T00-05,2115
20191203T23-05,2300
20191203T22-05,2495
20191203T21-05,2604
20191203T20-05,2651
20191203T19-05,2623
20191203T18-05,2432
20191203T17-05,2257
20191203T16-05,2165
20191203T15-05,2141
20191203T14-05,2152
20191203T13-05,2194
20191203T12-05,2274
20191203T11-05,2370
20191203T10-05,2437
20191203T09-05,2526
20191203T08-05,2563
20191203T07-05,2470
20191203T06-05,2158
20191203T05-05,1918
20191203T04-05,1819
20191203T03-05,1790
20191203T02-05,1794
20191203T01-05,1853
20191203T00-05,1940
20191202T23-05,2096
20191202T22-05,2241
20191202T21-05,2355
20191202T20-05,2421
20191202T19-05,2427
20191202T18-05,2263
20191202T17-05,2126
20191202T16-05,2086
20191202T15-05,2079
20191202T14-05,2083
20191202T13-05,2074
20191202T12-05,2058
20191202T11-05,2049
20191202T10-05,2003
20191202T09-05,1973
20191202T08-05,1944
20191202T07-05,1900
20191202T06-05,1715
20191202T05-05,1622
20191202T04-05,1628
20191202T03-05,1664
20191202T02-05,1734
20191202T01-05,1837
20191202T00-05,1998
20191201T23-05,2197
20191201T22-05,2369
20191201T21-05,2514
20191201T20-05,2618
20191201T19-05,2664
20191201T18-05,2569
20191201T17-05,2518
20191201T16-05,2534
20191201T15-05,2520
20191201T14-05,2465
20191201T13-05,2347
20191201T12-05,2214
20191201T11-05,2078
20191201T10-05,1928
20191201T09-05,1791
20191201T08-05,1620
20191201T07-05,1535
20191201T06-05,1475
20191201T05-05,1433
20191201T04-05,1420
20191201T03-05,1443
20191201T02-05,1507
20191201T01-05,1604
20191201T00-05,1745
20191130T23-05,1862
20191130T22-05,1989
20191130T21-05,2094
20191130T20-05,2188
20191130T19-05,2301
20191130T18-05,2302
20191130T17-05,2348
20191130T16-05,2381
20191130T15-05,2339
20191130T14-05,2261
20191130T13-05,2179
20191130T12-05,2108
20191130T11-05,2028
20191130T10-05,1919
20191130T09-05,1779
20191130T08-05,1626
20191130T07-05,1532
20191130T06-05,1472
20191130T05-05,1433
20191130T04-05,1417
20191130T03-05,1427
20191130T02-05,1453
20191130T01-05,1528
20191130T00-05,1664
20191129T23-05,1813
20191129T22-05,1935
20191129T21-05,2033
20191129T20-05,2119
20191129T19-05,2204
20191129T18-05,2199
20191129T17-05,2207
20191129T16-05,2217
20191129T15-05,2176
20191129T14-05,2090
20191129T13-05,2020
20191129T12-05,1965
20191129T11-05,1906
20191129T10-05,1826
20191129T09-05,1716
20191129T08-05,1595
20191129T07-05,1509
20191129T06-05,1413
20191129T05-05,1345
20191129T04-05,1343
20191129T03-05,1361
20191129T02-05,1400
20191129T01-05,1494
20191129T00-05,1599
