,Demand
20191028T01Z,18259
20191028T00Z,19232
20191027T23Z,19530
20191027T22Z,20422
20191027T21Z,21042
20191027T20Z,21146
20191027T19Z,20883
20191027T18Z,20319
20191027T17Z,19526
20191027T16Z,18295
20191027T15Z,16736
20191027T14Z,14969
20191027T13Z,12959
20191027T12Z,11758
20191027T11Z,11477
20191027T10Z,11291
20191027T09Z,11230
20191027T08Z,11451
20191027T07Z,11821
20191027T06Z,12377
20191027T05Z,13091
20191027T04Z,14005
20191027T03Z,14945
20191027T02Z,15820
20191027T01Z,16451
20191027T00Z,17092
20191026T23Z,17340
20191026T22Z,17904
20191026T21Z,18355
20191026T20Z,18712
20191026T19Z,18906
20191026T18Z,18897
20191026T17Z,18786
20191026T16Z,18159
20191026T15Z,16981
20191026T14Z,15400
20191026T13Z,13650
20191026T12Z,12579
20191026T11Z,12072
20191026T10Z,11740
20191026T09Z,11669
20191026T08Z,11935
20191026T07Z,12346
20191026T06Z,12902
20191026T05Z,13740
20191026T04Z,14706
20191026T03Z,15844
20191026T02Z,16880
20191026T01Z,17737
20191026T00Z,18414
20191025T23Z,18756
20191025T22Z,19730
20191025T21Z,20396
20191025T20Z,20500
20191025T19Z,20481
20191025T18Z,20181
20191025T17Z,19665
20191025T16Z,19018
20191025T15Z,18013
20191025T14Z,16687
20191025T13Z,15218
20191025T12Z,14451
20191025T11Z,14004
20191025T10Z,12970
20191025T09Z,12349
20191025T08Z,12372
20191025T07Z,12724
20191025T06Z,13290
20191025T05Z,14152
20191025T04Z,15251
20191025T03Z,16679
20191025T02Z,18039
20191025T01Z,19083
20191025T00Z,19888
20191024T23Z,20045
20191024T22Z,20787
20191024T21Z,21237
20191024T20Z,21235
20191024T19Z,20893
20191024T18Z,20456
20191024T17Z,19724
20191024T16Z,18853
20191024T15Z,17720
20191024T14Z,16361
20191024T13Z,14834
20191024T12Z,14141
20191024T11Z,13709
20191024T10Z,12604
20191024T09Z,11968
20191024T08Z,11958
20191024T07Z,12253
20191024T06Z,12774
20191024T05Z,13642
20191024T04Z,14967
20191024T03Z,16250
20191024T02Z,17661
20191024T01Z,18886
20191024T00Z,19715
20191023T23Z,19961
20191023T22Z,20729
20191023T21Z,21159
20191023T20Z,20936
20191023T19Z,20425
20191023T18Z,19751
20191023T17Z,18785
20191023T16Z,17685
20191023T15Z,16512
20191023T14Z,15310
20191023T13Z,14113
20191023T12Z,13597
20191023T11Z,13241
20191023T10Z,12218
20191023T09Z,11706
20191023T08Z,11793
20191023T07Z,12233
20191023T06Z,12915
20191023T05Z,13963
20191023T04Z,15316
20191023T03Z,16921
20191023T02Z,18405
20191023T01Z,19664
20191023T00Z,20729
20191022T23Z,21081
20191022T22Z,21856
20191022T21Z,22271
20191022T20Z,22296
20191022T19Z,21886
20191022T18Z,21145
20191022T17Z,19968
20191022T16Z,18542
20191022T15Z,17128
20191022T14Z,15983
20191022T13Z,14745
20191022T12Z,14283
20191022T11Z,13885
20191022T10Z,12800
20191022T09Z,12239
20191022T08Z,12246
20191022T07Z,12631
20191022T06Z,13245
20191022T05Z,14185
20191022T04Z,15261
20191022T03Z,16856
20191022T02Z,18463
20191022T01Z,19835
20191022T00Z,20924
20191021T23Z,21248
20191021T22Z,21939
20191021T21Z,22293
20191021T20Z,22284
20191021T19Z,22011
20191021T18Z,21421
20191021T17Z,20448
20191021T16Z,19229
20191021T15Z,17805
20191021T14Z,16217
20191021T13Z,14589
20191021T12Z,13714
20191021T11Z,13211
20191021T10Z,12174
20191021T09Z,11549
20191021T08Z,11503
20191021T07Z,11813
20191021T06Z,12398
20191021T05Z,13259
20191021T04Z,14703
20191021T03Z,15949
20191021T02Z,17200
20191021T01Z,18356
20191021T00Z,19225
20191020T23Z,19615
20191020T22Z,20380
20191020T21Z,20944
20191020T20Z,21021
20191020T19Z,20683
20191020T18Z,19916
20191020T17Z,19127
20191020T16Z,18237
20191020T15Z,17118
20191020T14Z,15709
20191020T13Z,13794
20191020T12Z,12617
20191020T11Z,12303
20191020T10Z,12085
20191020T09Z,11981
20191020T08Z,12126
20191020T07Z,12537
20191020T06Z,13134
20191020T05Z,13899
20191020T04Z,14667
20191020T03Z,15578
20191020T02Z,16353
20191020T01Z,17026
20191020T00Z,17504
20191019T23Z,17556
20191019T22Z,17989
20191019T21Z,18198
20191019T20Z,18185
20191019T19Z,17838
20191019T18Z,17663
20191019T17Z,17451
20191019T16Z,16586
20191019T15Z,15734
20191019T14Z,14882
20191019T13Z,13754
20191019T12Z,12863
20191019T11Z,12464
20191019T10Z,12319
20191019T09Z,12243
20191019T08Z,12263
20191019T07Z,12572
20191019T06Z,13003
20191019T05Z,13648
20191019T04Z,14552
20191019T03Z,15554
20191019T02Z,16405
20191019T01Z,17111
20191019T00Z,17745
20191018T23Z,17697
20191018T22Z,17909
20191018T21Z,18261
20191018T20Z,18615
20191018T19Z,18676
20191018T18Z,18514
20191018T17Z,18097
20191018T16Z,17361
20191018T15Z,16427
20191018T14Z,15118
20191018T13Z,13762
20191018T12Z,12962
20191018T11Z,12483
20191018T10Z,11559
20191018T09Z,11068
20191018T08Z,11158
20191018T07Z,11540
20191018T06Z,12110
20191018T05Z,12950
20191018T04Z,14249
20191018T03Z,15476
20191018T02Z,16862
20191018T01Z,18085
20191018T00Z,18807
20191017T23Z,19062
20191017T22Z,19856
20191017T21Z,20423
20191017T20Z,20711
20191017T19Z,20591
20191017T18Z,20124
20191017T17Z,19259
20191017T16Z,18261
20191017T15Z,16971
20191017T14Z,15706
20191017T13Z,14218
20191017T12Z,13562
20191017T11Z,13230
20191017T10Z,12217
20191017T09Z,11693
20191017T08Z,11795
20191017T07Z,12182
20191017T06Z,12798
20191017T05Z,13818
20191017T04Z,15209
20191017T03Z,16685
20191017T02Z,18209
20191017T01Z,19460
20191017T00Z,20367
20191016T23Z,20834
20191016T22Z,21692
20191016T21Z,21996
20191016T20Z,21904
20191016T19Z,21385
20191016T18Z,20663
20191016T17Z,19682
20191016T16Z,18580
20191016T15Z,17291
20191016T14Z,15806
20191016T13Z,14162
20191016T12Z,13322
20191016T11Z,12845
20191016T10Z,11759
20191016T09Z,11126
20191016T08Z,11122
20191016T07Z,11507
20191016T06Z,12111
20191016T05Z,12984
20191016T04Z,14274
20191016T03Z,15686
20191016T02Z,17131
20191016T01Z,18339
20191016T00Z,19160
20191015T23Z,19428
20191015T22Z,20201
20191015T21Z,20698
20191015T20Z,20652
20191015T19Z,20173
20191015T18Z,19495
20191015T17Z,18452
20191015T16Z,17263
20191015T15Z,16010
20191015T14Z,14662
20191015T13Z,13395
20191015T12Z,12794
20191015T11Z,12398
20191015T10Z,11313
20191015T09Z,10736
20191015T08Z,10868
20191015T07Z,11206
20191015T06Z,11841
20191015T05Z,12825
20191015T04Z,14132
20191015T03Z,15664
20191015T02Z,17066
20191015T01Z,18338
20191015T00Z,19275
20191014T23Z,19639
20191014T22Z,20491
20191014T21Z,20966
20191014T20Z,20897
20191014T19Z,20595
20191014T18Z,20060
20191014T17Z,19201
20191014T16Z,18182
20191014T15Z,16945
20191014T14Z,15486
20191014T13Z,13791
20191014T12Z,12779
20191014T11Z,12387
20191014T10Z,11474
20191014T09Z,10892
20191014T08Z,10842
20191014T07Z,11128
20191014T06Z,11674
20191014T05Z,12582
20191014T04Z,13656
20191014T03Z,14994
20191014T02Z,16190
20191014T01Z,17176
20191014T00Z,17863
20191013T23Z,18144
20191013T22Z,18958
20191013T21Z,19427
20191013T20Z,19423
20191013T19Z,19140
20191013T18Z,18624
20191013T17Z,17759
20191013T16Z,16849
20191013T15Z,15785
20191013T14Z,14336
20191013T13Z,12456
20191013T12Z,11059
20191013T11Z,10706
20191013T10Z,10479
20191013T09Z,10453
20191013T08Z,10647
20191013T07Z,11025
20191013T06Z,11622
20191013T05Z,12469
20191013T04Z,13424
20191013T03Z,14419
20191013T02Z,15327
20191013T01Z,16077
20191013T00Z,16609
20191012T23Z,16806
20191012T22Z,17430
20191012T21Z,17842
20191012T20Z,17943
20191012T19Z,17930
20191012T18Z,17723
20191012T17Z,17346
20191012T16Z,16614
20191012T15Z,15617
20191012T14Z,14319
20191012T13Z,12606
20191012T12Z,11412
20191012T11Z,10940
20191012T10Z,10589
20191012T09Z,10474
20191012T08Z,10644
20191012T07Z,11028
20191012T06Z,11621
20191012T05Z,12417
20191012T04Z,13482
20191012T03Z,14501
20191012T02Z,15515
20191012T01Z,16342
20191012T00Z,16990
20191011T23Z,17293
20191011T22Z,18059
20191011T21Z,18658
20191011T20Z,19073
20191011T19Z,19288
20191011T18Z,19117
20191011T17Z,18499
20191011T16Z,17793
20191011T15Z,16743
20191011T14Z,15457
20191011T13Z,14028
20191011T12Z,13215
20191011T11Z,12805
20191011T10Z,11726
20191011T09Z,11127
20191011T08Z,11115
20191011T07Z,11420
20191011T06Z,11986
20191011T05Z,12833
20191011T04Z,14033
20191011T03Z,15398
20191011T02Z,16702
20191011T01Z,17690
20191011T00Z,18231
20191010T23Z,18378
20191010T22Z,19019
20191010T21Z,19611
20191010T20Z,19884
20191010T19Z,19781
20191010T18Z,19331
20191010T17Z,18351
20191010T16Z,17303
20191010T15Z,16057
20191010T14Z,14856
20191010T13Z,13717
20191010T12Z,13247
20191010T11Z,12777
20191010T10Z,11583
20191010T09Z,10894
20191010T08Z,10808
20191010T07Z,11027
20191010T06Z,11516
20191010T05Z,12235
20191010T04Z,13429
20191010T03Z,14641
20191010T02Z,15918
20191010T01Z,16909
20191010T00Z,17506
20191009T23Z,17561
20191009T22Z,18003
20191009T21Z,18772
20191009T20Z,19552
20191009T19Z,19705
20191009T18Z,19481
20191009T17Z,18643
20191009T16Z,17581
20191009T15Z,16330
20191009T14Z,15112
20191009T13Z,13895
20191009T12Z,13162
20191009T11Z,12668
20191009T10Z,11745
20191009T09Z,11217
20191009T08Z,11173
20191009T07Z,11453
20191009T06Z,11978
20191009T05Z,12792
20191009T04Z,13843
20191009T03Z,15192
20191009T02Z,16418
20191009T01Z,17466
20191009T00Z,18103
20191008T23Z,18292
20191008T22Z,18865
20191008T21Z,19105
20191008T20Z,19018
20191008T19Z,18618
20191008T18Z,18140
20191008T17Z,17218
20191008T16Z,16285
20191008T15Z,15506
20191008T14Z,14748
20191008T13Z,13842
20191008T12Z,13361
20191008T11Z,12902
20191008T10Z,11690
20191008T09Z,11029
20191008T08Z,10885
20191008T07Z,11117
20191008T06Z,11535
20191008T05Z,12254
20191008T04Z,13379
20191008T03Z,14613
20191008T02Z,15751
20191008T01Z,16676
20191008T00Z,17149
20191007T23Z,17037
20191007T22Z,17132
20191007T21Z,17304
20191007T20Z,17568
20191007T19Z,17820
20191007T18Z,18193
20191007T17Z,18110
20191007T16Z,17657
20191007T15Z,16767
20191007T14Z,15739
20191007T13Z,14566
20191007T12Z,14046
20191007T11Z,13653
20191007T10Z,12635
20191007T09Z,11988
20191007T08Z,11779
20191007T07Z,11984
20191007T06Z,12487
20191007T05Z,13271
20191007T04Z,14327
20191007T03Z,15643
20191007T02Z,16809
20191007T01Z,17838
20191007T00Z,18496
20191006T23Z,18800
20191006T22Z,19659
20191006T21Z,20303
20191006T20Z,20537
20191006T19Z,20413
20191006T18Z,19905
20191006T17Z,19190
20191006T16Z,18123
20191006T15Z,16921
20191006T14Z,15404
20191006T13Z,13470
20191006T12Z,12137
20191006T11Z,11825
20191006T10Z,11568
20191006T09Z,11630
20191006T08Z,11863
20191006T07Z,12325
20191006T06Z,12981
20191006T05Z,13849
20191006T04Z,14813
20191006T03Z,15861
20191006T02Z,16905
20191006T01Z,17844
20191006T00Z,18514
20191005T23Z,19095
20191005T22Z,20166
20191005T21Z,20702
20191005T20Z,20916
20191005T19Z,20957
20191005T18Z,20543
20191005T17Z,19742
20191005T16Z,18731
20191005T15Z,17396
20191005T14Z,15826
20191005T13Z,13903
20191005T12Z,12403
20191005T11Z,11998
20191005T10Z,11659
20191005T09Z,11679
20191005T08Z,11981
20191005T07Z,12480
20191005T06Z,13145
20191005T05Z,14063
20191005T04Z,15152
20191005T03Z,16413
20191005T02Z,17481
20191005T01Z,18494
20191005T00Z,19361
20191004T23Z,20209
20191004T22Z,21235
20191004T21Z,21665
20191004T20Z,21493
20191004T19Z,21004
20191004T18Z,20237
20191004T17Z,19198
20191004T16Z,18028
20191004T15Z,16707
20191004T14Z,15262
20191004T13Z,13685
20191004T12Z,12788
20191004T11Z,12316
20191004T10Z,11304
20191004T09Z,10815
20191004T08Z,10938
20191004T07Z,11386
20191004T06Z,12074
20191004T05Z,12985
20191004T04Z,14173
20191004T03Z,15610
20191004T02Z,17064
20191004T01Z,18240
20191004T00Z,18978
20191003T23Z,19546
20191003T22Z,20446
20191003T21Z,20835
20191003T20Z,20631
20191003T19Z,20197
20191003T18Z,19589
20191003T17Z,18742
20191003T16Z,17802
20191003T15Z,16654
20191003T14Z,15311
20191003T13Z,13904
20191003T12Z,13107
20191003T11Z,12868
20191003T10Z,11265
20191003T09Z,11312
20191003T08Z,11371
20191003T07Z,11687
20191003T06Z,12248
20191003T05Z,13110
20191003T04Z,14595
20191003T03Z,15785
20191003T02Z,17187
20191003T01Z,18285
20191003T00Z,18876
20191002T23Z,19194
20191002T22Z,19918
20191002T21Z,20299
20191002T20Z,20388
20191002T19Z,20269
20191002T18Z,19801
20191002T17Z,19095
20191002T16Z,18178
20191002T15Z,17121
20191002T14Z,15971
20191002T13Z,14630
20191002T12Z,13968
20191002T11Z,13639
20191002T10Z,12590
20191002T09Z,11997
20191002T08Z,12066
20191002T07Z,12392
20191002T06Z,12945
20191002T05Z,13759
20191002T04Z,14981
20191002T03Z,16303
20191002T02Z,17763
20191002T01Z,18923
20191002T00Z,19296
20191001T23Z,19509
20191001T22Z,20170
20191001T21Z,20500
20191001T20Z,20504
20191001T19Z,20147
20191001T18Z,19634
20191001T17Z,18966
20191001T16Z,18264
20191001T15Z,17291
20191001T14Z,16064
20191001T13Z,14733
20191001T12Z,14002
20191001T11Z,13670
20191001T10Z,12675
20191001T09Z,12076
20191001T08Z,12093
20191001T07Z,12397
20191001T06Z,12950
20191001T05Z,13777
20191001T04Z,14939
20191001T03Z,16459
20191001T02Z,17921
20191001T01Z,19162
20191001T00Z,19665
20190930T23Z,20204
20190930T22Z,21011
20190930T21Z,21621
20190930T20Z,21678
20190930T19Z,21439
20190930T18Z,20901
20190930T17Z,20230
20190930T16Z,19281
20190930T15Z,18086
20190930T14Z,16586
20190930T13Z,15018
20190930T12Z,14053
20190930T11Z,13653
20190930T10Z,12840
20190930T09Z,12314
20190930T08Z,12234
20190930T07Z,12511
20190930T06Z,13051
20190930T05Z,13871
20190930T04Z,14775
20190930T03Z,16238
20190930T02Z,17357
20190930T01Z,18342
20190930T00Z,18909
20190929T23Z,19558
20190929T22Z,20547
20190929T21Z,20959
20190929T20Z,20958
20190929T19Z,20739
20190929T18Z,20149
20190929T17Z,19372
20190929T16Z,18254
20190929T15Z,17083
20190929T14Z,15580
20190929T13Z,13612
20190929T12Z,12101
20190929T11Z,11814
20190929T10Z,11691
20190929T09Z,11769
20190929T08Z,12076
20190929T07Z,12621
20190929T06Z,13312
20190929T05Z,14209
20190929T04Z,12310
20190929T03Z,13546
20190929T02Z,17709
20190929T01Z,18760
20190929T00Z,19516
20190928T23Z,20358
20190928T22Z,21512
20190928T21Z,22027
20190928T20Z,22042
20190928T19Z,21792
20190928T18Z,21149
20190928T17Z,20309
20190928T16Z,19101
20190928T15Z,17699
20190928T14Z,15998
20190928T13Z,13947
20190928T12Z,12377
20190928T11Z,12006
20190928T10Z,11816
