,Demand
20191027T07Z,1552
20191027T06Z,1760
20191027T05Z,1766
20191027T04Z,1826
20191027T03Z,1889
20191027T02Z,1919
20191027T01Z,1845
20191027T00Z,1801
20191026T23Z,1727
20191026T22Z,1692
20191026T21Z,1664
20191026T20Z,1660
20191026T19Z,1636
20191026T18Z,1598
20191026T17Z,1550
20191026T16Z,1501
20191026T15Z,1501
20191026T14Z,1438
20191026T13Z,1384
20191026T12Z,1354
20191026T11Z,1348
20191026T10Z,1374
20191026T09Z,1426
20191026T08Z,1496
20191026T07Z,1581
20191026T06Z,1725
20191026T05Z,1834
20191026T04Z,1927
20191026T03Z,2023
20191026T02Z,2071
20191026T01Z,2103
20191026T00Z,2124
20191025T23Z,2058
20191025T22Z,2007
20191025T21Z,1956
20191025T20Z,1892
20191025T19Z,1856
20191025T18Z,1822
20191025T17Z,1781
20191025T16Z,1755
20191025T15Z,1747
20191025T14Z,1656
20191025T13Z,1488
20191025T12Z,1402
20191025T11Z,1368
20191025T10Z,1381
20191025T09Z,1418
20191025T08Z,1483
20191025T07Z,1578
20191025T06Z,1716
20191025T05Z,1889
20191025T04Z,2002
20191025T03Z,2099
20191025T02Z,2119
20191025T01Z,2127
20191025T00Z,2141
20191024T23Z,2102
20191024T22Z,2041
20191024T21Z,1975
20191024T20Z,1907
20191024T19Z,1858
20191024T18Z,1822
20191024T17Z,1781
20191024T16Z,1783
20191024T15Z,1771
20191024T14Z,1662
20191024T13Z,1482
20191024T12Z,1387
20191024T11Z,1357
20191024T10Z,1367
20191024T09Z,1409
20191024T08Z,1473
20191024T07Z,1566
20191024T06Z,1727
20191024T05Z,1883
20191024T04Z,2022
20191024T03Z,2114
20191024T02Z,2134
20191024T01Z,2128
20191024T00Z,2127
20191023T23Z,2081
20191023T22Z,2012
20191023T21Z,1923
20191023T20Z,1905
20191023T19Z,1848
20191023T18Z,1829
20191023T17Z,1855
20191023T16Z,1752
20191023T15Z,1768
20191023T14Z,1674
20191023T13Z,1479
20191023T12Z,1375
20191023T11Z,1342
20191023T10Z,1348
20191023T09Z,1391
20191023T08Z,1462
20191023T07Z,1550
20191023T06Z,1693
20191023T05Z,1864
20191023T04Z,1989
20191023T03Z,2060
20191023T02Z,2079
20191023T01Z,2089
20191023T00Z,2080
20191022T23Z,2044
20191022T22Z,2001
20191022T21Z,1933
20191022T20Z,1890
20191022T19Z,1839
20191022T18Z,1828
20191022T17Z,1785
20191022T16Z,1763
20191022T15Z,1767
20191022T14Z,1665
20191022T13Z,1478
20191022T12Z,1373
20191022T11Z,1349
20191022T10Z,1354
20191022T09Z,1393
20191022T08Z,1465
20191022T07Z,1553
20191022T06Z,1694
20191022T05Z,1859
20191022T04Z,1996
20191022T03Z,2079
20191022T02Z,2077
20191022T01Z,2054
20191022T00Z,2017
20191021T23Z,1960
20191021T22Z,1916
20191021T21Z,1889
20191021T20Z,1843
20191021T19Z,1808
20191021T18Z,1795
20191021T17Z,1776
20191021T16Z,1740
20191021T15Z,1753
20191021T14Z,1645
20191021T13Z,1463
20191021T12Z,1344
20191021T11Z,1312
20191021T10Z,1302
20191021T09Z,1330
20191021T08Z,1390
20191021T07Z,1461
20191021T06Z,1596
20191021T05Z,1729
20191021T04Z,1838
20191021T03Z,1885
20191021T02Z,1844
20191021T01Z,1779
20191021T00Z,1681
20191020T23Z,1636
20191020T22Z,1598
20191020T21Z,1575
20191020T20Z,1570
20191020T19Z,1558
20191020T18Z,1552
20191020T17Z,1509
20191020T16Z,1485
20191020T15Z,1428
20191020T14Z,1383
20191020T13Z,1329
20191020T12Z,1297
20191020T11Z,1299
20191020T10Z,1322
20191020T09Z,1368
20191020T08Z,1424
20191020T07Z,1499
20191020T06Z,1620
20191020T05Z,1723
20191020T04Z,1764
20191020T03Z,1816
20191020T02Z,1794
20191020T01Z,1715
20191020T00Z,1677
20191019T23Z,1671
20191019T22Z,1634
20191019T21Z,1599
20191019T20Z,1627
20191019T19Z,1631
20191019T18Z,1623
20191019T17Z,1606
20191019T16Z,1561
20191019T15Z,1492
20191019T14Z,1438
20191019T13Z,1367
20191019T12Z,1326
20191019T11Z,1315
20191019T10Z,1330
20191019T09Z,1370
20191019T08Z,1432
20191019T07Z,1515
20191019T06Z,1635
20191019T05Z,1740
20191019T04Z,1819
20191019T03Z,1872
20191019T02Z,1859
20191019T01Z,1847
20191019T00Z,1837
20191018T23Z,1798
20191018T22Z,1796
20191018T21Z,1791
20191018T20Z,1768
20191018T19Z,1767
20191018T18Z,1774
20191018T17Z,1766
20191018T16Z,1761
20191018T15Z,1753
20191018T14Z,1663
20191018T13Z,1489
20191018T12Z,1388
20191018T11Z,1358
20191018T10Z,1364
20191018T09Z,1395
20191018T08Z,1458
20191018T07Z,1526
20191018T06Z,1660
20191018T05Z,1799
20191018T04Z,1911
20191018T03Z,1950
20191018T02Z,1920
20191018T01Z,1884
20191018T00Z,1856
20191017T23Z,1790
20191017T22Z,1870
20191017T21Z,1895
20191017T20Z,1797
20191017T19Z,1806
20191017T18Z,1786
20191017T17Z,1765
20191017T16Z,1763
20191017T15Z,1761
20191017T14Z,1677
20191017T13Z,1490
20191017T12Z,1402
20191017T11Z,1365
20191017T10Z,1376
20191017T09Z,1405
20191017T08Z,1453
20191017T07Z,1538
20191017T06Z,1675
20191017T05Z,1812
20191017T04Z,1911
20191017T03Z,1961
20191017T02Z,1952
20191017T01Z,1899
20191017T00Z,1878
20191016T23Z,1880
20191016T22Z,1861
20191016T21Z,1896
20191016T20Z,1816
20191016T19Z,1799
20191016T18Z,1800
20191016T17Z,1784
20191016T16Z,1780
20191016T15Z,1774
20191016T14Z,1681
20191016T13Z,1484
20191016T12Z,1381
20191016T11Z,1341
20191016T10Z,1349
20191016T09Z,1389
20191016T08Z,1441
20191016T07Z,1530
20191016T06Z,1652
20191016T05Z,1815
20191016T04Z,1934
20191016T03Z,2015
20191016T02Z,1984
20191016T01Z,1970
20191016T00Z,2025
20191015T23Z,1908
20191015T22Z,1852
20191015T21Z,1843
20191015T20Z,1798
20191015T19Z,1777
20191015T18Z,1766
20191015T17Z,1761
20191015T16Z,1755
20191015T15Z,1829
20191015T14Z,1725
20191015T13Z,1474
20191015T12Z,1356
20191015T11Z,1327
20191015T10Z,1321
20191015T09Z,1360
20191015T08Z,1420
20191015T07Z,0
20191015T06Z,1665
20191015T05Z,1836
20191015T04Z,1931
20191015T03Z,2001
20191015T02Z,1990
20191015T01Z,1975
20191015T00Z,1938
20191014T23Z,1892
20191014T22Z,1846
20191014T21Z,1821
20191014T20Z,1789
20191014T19Z,1773
20191014T18Z,1768
20191014T17Z,1749
20191014T16Z,1742
20191014T15Z,1737
20191014T14Z,1644
20191014T13Z,1455
20191014T12Z,1355
20191014T11Z,1310
20191014T10Z,1308
20191014T09Z,1334
20191014T08Z,1392
20191014T07Z,0
20191014T06Z,1609
20191014T05Z,1721
20191014T04Z,1832
20191014T03Z,1888
20191014T02Z,1848
20191014T01Z,1809
20191014T00Z,1737
20191013T23Z,1678
20191013T22Z,1622
20191013T21Z,1598
20191013T20Z,1573
20191013T19Z,1568
20191013T18Z,1577
20191013T17Z,1535
20191013T16Z,1492
20191013T15Z,1440
20191013T14Z,1403
20191013T13Z,1334
20191013T12Z,1289
20191013T11Z,1305
20191013T10Z,1316
20191013T09Z,1360
20191013T08Z,1418
20191013T07Z,0
20191013T06Z,1599
20191013T05Z,1709
20191013T04Z,1784
20191013T03Z,1840
20191013T02Z,1818
20191013T01Z,1785
20191013T00Z,1737
20191012T23Z,1687
20191012T22Z,1658
20191012T21Z,1617
20191012T20Z,1617
20191012T19Z,1608
20191012T18Z,1632
20191012T17Z,1646
20191012T16Z,1589
20191012T15Z,1508
20191012T14Z,1473
20191012T13Z,1367
20191012T12Z,1328
20191012T11Z,1322
20191012T10Z,1344
20191012T09Z,1388
20191012T08Z,1454
20191012T07Z,0
20191012T06Z,1665
20191012T05Z,1775
20191012T04Z,1861
20191012T03Z,1908
20191012T02Z,1905
20191012T01Z,1898
20191012T00Z,1897
20191011T23Z,1881
20191011T22Z,1794
20191011T21Z,1807
20191011T20Z,1781
20191011T19Z,1781
20191011T18Z,1787
20191011T17Z,1780
20191011T16Z,1782
20191011T15Z,1787
20191011T14Z,1721
20191011T13Z,1451
20191011T12Z,1337
20191011T11Z,1328
20191011T10Z,1339
20191011T09Z,1377
20191011T08Z,1417
20191011T07Z,1511
20191011T06Z,1630
20191011T05Z,1766
20191011T04Z,1897
20191011T03Z,1958
20191011T02Z,1933
20191011T01Z,1876
20191011T00Z,1860
20191010T23Z,1842
20191010T22Z,1814
20191010T21Z,1790
20191010T20Z,1776
20191010T19Z,1763
20191010T18Z,1774
20191010T17Z,1754
20191010T16Z,1752
20191010T15Z,1752
20191010T14Z,1675
20191010T13Z,1483
20191010T12Z,1385
20191010T11Z,1349
20191010T10Z,1356
20191010T09Z,1391
20191010T08Z,1443
20191010T07Z,0
20191010T06Z,1646
20191010T05Z,1796
20191010T04Z,1898
20191010T03Z,1965
20191010T02Z,1917
20191010T01Z,1897
20191010T00Z,1887
20191009T23Z,1846
20191009T22Z,1812
20191009T21Z,1802
20191009T20Z,1774
20191009T19Z,1774
20191009T18Z,1771
20191009T17Z,1761
20191009T16Z,1739
20191009T15Z,1734
20191009T14Z,1667
20191009T13Z,1494
20191009T12Z,1405
20191009T11Z,1381
20191009T10Z,1400
20191009T09Z,1447
20191009T08Z,1518
20191009T07Z,1639
20191009T06Z,1792
20191009T05Z,1987
20191009T04Z,2132
20191009T03Z,2220
20191009T02Z,2234
20191009T01Z,2266
20191009T00Z,2268
20191008T23Z,2225
20191008T22Z,2156
20191008T21Z,2068
20191008T20Z,1973
20191008T19Z,1918
20191008T18Z,1861
20191008T17Z,1803
20191008T16Z,1770
20191008T15Z,1768
20191008T14Z,1703
20191008T13Z,1526
20191008T12Z,1427
20191008T11Z,1401
20191008T10Z,1413
20191008T09Z,1454
20191008T08Z,1532
20191008T07Z,1621
20191008T06Z,1788
20191008T05Z,1974
20191008T04Z,2124
20191008T03Z,2227
20191008T02Z,2263
20191008T01Z,2293
20191008T00Z,2246
20191007T23Z,2161
20191007T22Z,2052
20191007T21Z,1974
20191007T20Z,1915
20191007T19Z,1883
20191007T18Z,1890
20191007T17Z,1807
20191007T16Z,1767
20191007T15Z,1745
20191007T14Z,1664
20191007T13Z,1483
20191007T12Z,1385
20191007T11Z,1343
20191007T10Z,1357
20191007T09Z,1378
20191007T08Z,1448
20191007T07Z,1537
20191007T06Z,1696
20191007T05Z,1848
20191007T04Z,1985
20191007T03Z,2057
20191007T02Z,2039
20191007T01Z,2023
20191007T00Z,1944
20191006T23Z,1835
20191006T22Z,1762
20191006T21Z,1687
20191006T20Z,1647
20191006T19Z,1615
20191006T18Z,1571
20191006T17Z,1541
20191006T16Z,1479
20191006T15Z,1421
20191006T14Z,1396
20191006T13Z,1339
20191006T12Z,1313
20191006T11Z,1317
20191006T10Z,1336
20191006T09Z,1375
20191006T08Z,1448
20191006T07Z,1553
20191006T06Z,1670
20191006T05Z,1777
20191006T04Z,1867
20191006T03Z,1913
20191006T02Z,1881
20191006T01Z,1864
20191006T00Z,1791
20191005T23Z,1745
20191005T22Z,1682
20191005T21Z,1659
20191005T20Z,1648
20191005T19Z,1634
20191005T18Z,1654
20191005T17Z,1625
20191005T16Z,1602
20191005T15Z,1538
20191005T14Z,1501
20191005T13Z,1414
20191005T12Z,1379
20191005T11Z,1371
20191005T10Z,1390
20191005T09Z,1431
20191005T08Z,1491
20191005T07Z,1583
20191005T06Z,1693
20191005T05Z,1813
20191005T04Z,1885
20191005T03Z,1940
20191005T02Z,1881
20191005T01Z,1882
20191005T00Z,1890
20191004T23Z,1852
20191004T22Z,1827
20191004T21Z,1809
20191004T20Z,1794
20191004T19Z,1798
20191004T18Z,1795
20191004T17Z,1808
20191004T16Z,1787
20191004T15Z,1766
20191004T14Z,1701
20191004T13Z,1537
20191004T12Z,1442
20191004T11Z,1403
20191004T10Z,1412
20191004T09Z,1446
20191004T08Z,1496
20191004T07Z,1595
20191004T06Z,1719
20191004T05Z,1871
20191004T04Z,1979
20191004T03Z,2033
20191004T02Z,1975
20191004T01Z,1980
20191004T00Z,1947
20191003T23Z,1913
20191003T22Z,1878
20191003T21Z,1857
20191003T20Z,1844
20191003T19Z,1822
20191003T18Z,1816
20191003T17Z,1817
20191003T16Z,1807
20191003T15Z,1794
20191003T14Z,1725
20191003T13Z,1545
20191003T12Z,1444
20191003T11Z,1403
20191003T10Z,1409
20191003T09Z,1439
20191003T08Z,1495
20191003T07Z,1571
20191003T06Z,1706
20191003T05Z,1866
20191003T04Z,1969
20191003T03Z,2018
20191003T02Z,1977
20191003T01Z,1970
20191003T00Z,1939
20191002T23Z,1896
20191002T22Z,1861
20191002T21Z,1836
20191002T20Z,1819
20191002T19Z,1813
20191002T18Z,1804
20191002T17Z,1812
