,Total interchange
20191027T15Z,-5922
20191027T14Z,-6155
20191027T13Z,-6165
20191027T12Z,-6381
20191027T11Z,-6219
20191027T10Z,-6228
20191027T09Z,-6119
20191027T08Z,-6484
20191027T07Z,-7574
20191027T06Z,-7724
20191027T05Z,-8486
20191027T04Z,-9062
20191027T03Z,-9382
20191027T02Z,-9300
20191027T01Z,-8802
20191027T00Z,-6801
20191026T23Z,-5848
20191026T22Z,-5516
20191026T21Z,-4994
20191026T20Z,-5287
20191026T19Z,-5107
20191026T18Z,-4812
20191026T17Z,-5160
20191026T16Z,-6221
20191026T15Z,-7361
20191026T14Z,-7299
20191026T13Z,-6691
20191026T12Z,-6595
20191026T11Z,-6745
20191026T10Z,-7015
20191026T09Z,-7133
20191026T08Z,-7210
20191026T07Z,-7306
20191026T06Z,-8128
20191026T05Z,-8697
20191026T04Z,-9043
20191026T03Z,-9378
20191026T02Z,-9316
20191026T01Z,-9079
20191026T00Z,-7757
20191025T23Z,-6776
20191025T22Z,-6230
20191025T21Z,-6052
20191025T20Z,-5934
20191025T19Z,-5755
20191025T18Z,-5717
20191025T17Z,-5793
20191025T16Z,-6441
20191025T15Z,-8067
20191025T14Z,-7906
20191025T13Z,-6638
20191025T12Z,-6784
20191025T11Z,-6991
20191025T10Z,-7266
20191025T09Z,-7522
20191025T08Z,-7361
20191025T07Z,-7670
20191025T06Z,-8015
20191025T05Z,-8744
20191025T04Z,-8942
20191025T03Z,-8476
20191025T02Z,-8673
20191025T01Z,-8133
20191025T00Z,-6979
20191024T23Z,-6467
20191024T22Z,-6136
20191024T21Z,-6095
20191024T20Z,-6069
20191024T19Z,-5610
20191024T18Z,-5289
20191024T17Z,-5609
20191024T16Z,-6597
20191024T15Z,-8242
20191024T14Z,-8163
20191024T13Z,-7281
20191024T12Z,-7237
20191024T11Z,-7134
20191024T10Z,-7109
20191024T09Z,-7264
20191024T08Z,-7277
20191024T07Z,-7511
20191024T06Z,-7918
20191024T05Z,-7819
20191024T04Z,-8221
20191024T03Z,-8636
20191024T02Z,-8466
20191024T01Z,-7484
20191024T00Z,-5048
20191023T23Z,-4814
20191023T22Z,-4244
20191023T21Z,-3965
20191023T20Z,-4488
20191023T19Z,-3700
20191023T18Z,-4133
20191023T17Z,-5534
20191023T16Z,-6030
20191023T15Z,-6929
20191023T14Z,-7169
20191023T13Z,-6476
20191023T12Z,-6561
20191023T11Z,-6796
20191023T10Z,-6790
20191023T09Z,-7205
20191023T08Z,-7837
20191023T07Z,-8193
20191023T06Z,-8199
20191023T05Z,-8927
20191023T04Z,-8445
20191023T03Z,-8173
20191023T02Z,-6453
20191023T01Z,-7367
20191023T00Z,-6045
20191022T23Z,-6112
20191022T22Z,-5955
20191022T21Z,-5200
20191022T20Z,-5286
20191022T19Z,-4977
20191022T18Z,-4759
20191022T17Z,-4934
20191022T16Z,-6269
20191022T15Z,-7754
20191022T14Z,-7832
20191022T13Z,-6407
20191022T12Z,-6259
20191022T11Z,-6285
20191022T10Z,-6416
20191022T09Z,-6796
20191022T08Z,-7221
20191022T07Z,-7148
20191022T06Z,-7285
20191022T05Z,-7849
20191022T04Z,-8297
20191022T03Z,-8684
20191022T02Z,-8594
20191022T01Z,-8317
20191022T00Z,-6028
20191021T23Z,-4924
20191021T22Z,-4411
20191021T21Z,-3942
20191021T20Z,-4218
20191021T19Z,-4058
20191021T18Z,-4530
20191021T17Z,-5041
20191021T16Z,-6347
20191021T15Z,-8215
20191021T14Z,-7740
20191021T13Z,-6692
20191021T12Z,-6582
20191021T11Z,-6564
20191021T10Z,-6978
20191021T09Z,-7258
20191021T08Z,-7133
20191021T07Z,-7464
20191021T06Z,-7797
20191021T05Z,-8238
20191021T04Z,-8155
20191021T03Z,-7728
20191021T02Z,-7269
20191021T01Z,-6442
20191021T00Z,-4659
20191020T23Z,-3502
20191020T22Z,-2920
20191020T21Z,-2990
20191020T20Z,-3017
20191020T19Z,-3030
20191020T18Z,-2863
20191020T17Z,-3336
20191020T16Z,-5218
20191020T15Z,-7123
20191020T14Z,-7510
20191020T13Z,-6624
20191020T12Z,-6555
20191020T11Z,-6741
20191020T10Z,-6825
20191020T09Z,-7065
20191020T08Z,-6950
20191020T07Z,-7354
20191020T06Z,-7727
20191020T05Z,-7948
20191020T04Z,-7703
20191020T03Z,-7718
20191020T02Z,-7873
20191020T01Z,-7864
20191020T00Z,-5813
20191019T23Z,-4605
20191019T22Z,-3344
20191019T21Z,-3709
20191019T20Z,-3909
20191019T19Z,-3706
20191019T18Z,-4462
20191019T17Z,-4431
20191019T16Z,-5054
20191019T15Z,-6007
20191019T14Z,-6310
20191019T13Z,-5725
20191019T12Z,-5557
20191019T11Z,-5594
20191019T10Z,-5654
20191019T09Z,-5483
20191019T08Z,-5914
20191019T07Z,-6367
20191019T06Z,-6802
20191019T05Z,-7415
20191019T04Z,-7761
20191019T03Z,-7759
20191019T02Z,-7255
20191019T01Z,-6885
20191019T00Z,-4791
20191018T23Z,-3652
20191018T22Z,-3457
20191018T21Z,-3914
20191018T20Z,-4011
20191018T19Z,-4155
20191018T18Z,-4690
20191018T17Z,-4564
20191018T16Z,-4642
20191018T15Z,-6397
20191018T14Z,-6374
20191018T13Z,-5621
20191018T12Z,-5487
20191018T11Z,-5669
20191018T10Z,-5680
20191018T09Z,-5980
20191018T08Z,-6168
20191018T07Z,-6500
20191018T06Z,-7097
20191018T05Z,-7563
20191018T04Z,-7987
20191018T03Z,-7856
20191018T02Z,-7816
20191018T01Z,-7196
20191018T00Z,-4920
20191017T23Z,-4436
20191017T22Z,-4321
20191017T21Z,-4173
20191017T20Z,-3948
20191017T19Z,-4264
20191017T18Z,-4392
20191017T17Z,-4561
20191017T16Z,-5306
20191017T15Z,-6791
20191017T14Z,-7048
20191017T13Z,-6123
20191017T12Z,-5995
20191017T11Z,-6468
20191017T10Z,-6414
20191017T09Z,-6685
20191017T08Z,-6771
20191017T07Z,-6872
20191017T06Z,-7138
20191017T05Z,-7681
20191017T04Z,-7809
20191017T03Z,-8356
20191017T02Z,-8435
20191017T01Z,-7562
20191017T00Z,-6389
20191016T23Z,-5869
20191016T22Z,-5563
20191016T21Z,-4912
20191016T20Z,-4568
20191016T19Z,-4743
20191016T18Z,-4720
20191016T17Z,-4923
20191016T16Z,-5729
20191016T15Z,-7273
20191016T14Z,-7061
20191016T13Z,-6150
20191016T12Z,-6063
20191016T11Z,-6048
20191016T10Z,-6126
20191016T09Z,-6475
20191016T08Z,-6584
20191016T07Z,-6592
20191016T06Z,-6867
20191016T05Z,-7593
20191016T04Z,-7351
20191016T03Z,-7574
20191016T02Z,-6744
20191016T01Z,-5834
20191016T00Z,-4743
20191015T23Z,-3961
20191015T22Z,-3585
20191015T21Z,-3444
20191015T20Z,-3561
20191015T19Z,-4044
20191015T18Z,-4358
20191015T17Z,-4477
20191015T16Z,-5099
20191015T15Z,-6843
20191015T14Z,-7062
20191015T13Z,-5615
20191015T12Z,-5335
20191015T11Z,-5521
20191015T10Z,-5634
20191015T09Z,-5701
20191015T08Z,-5880
20191015T07Z,-6212
20191015T06Z,-6897
20191015T05Z,-7245
20191015T04Z,-7469
20191015T03Z,-7698
20191015T02Z,-7608
20191015T01Z,-6589
20191015T00Z,-5157
20191014T23Z,-4474
20191014T22Z,-3792
20191014T21Z,-3956
20191014T20Z,-4001
20191014T19Z,-4250
20191014T18Z,-4118
20191014T17Z,-4581
20191014T16Z,-5757
20191014T15Z,-7444
20191014T14Z,-7046
20191014T13Z,-6195
20191014T12Z,-6177
20191014T11Z,-5867
20191014T10Z,-6005
20191014T09Z,-6181
20191014T08Z,-6609
20191014T07Z,-6729
20191014T06Z,-7474
20191014T05Z,-7619
20191014T04Z,-7228
20191014T03Z,-7366
20191014T02Z,-7463
20191014T01Z,-6499
20191014T00Z,-4622
20191013T23Z,-3786
20191013T22Z,-3305
20191013T21Z,-3270
20191013T20Z,-2981
20191013T19Z,-2891
20191013T18Z,-3255
20191013T17Z,-3923
20191013T16Z,-4937
20191013T15Z,-6295
20191013T14Z,-6726
20191013T13Z,-6300
20191013T12Z,-6247
20191013T11Z,-6425
20191013T10Z,-6620
20191013T09Z,-6600
20191013T08Z,-6650
20191013T07Z,-6631
20191013T06Z,-7339
20191013T05Z,-7931
20191013T04Z,-8355
20191013T03Z,-8290
20191013T02Z,-8022
20191013T01Z,-6960
20191013T00Z,-4952
20191012T23Z,-4128
20191012T22Z,-3719
20191012T21Z,-3195
20191012T20Z,-3140
20191012T19Z,-3000
20191012T18Z,-3002
20191012T17Z,-3963
20191012T16Z,-4811
20191012T15Z,-6104
20191012T14Z,-6988
20191012T13Z,-6572
20191012T12Z,-6301
20191012T11Z,-6199
20191012T10Z,-6292
20191012T09Z,-6549
20191012T08Z,-6725
20191012T07Z,-6819
20191012T06Z,-7325
20191012T05Z,-8420
20191012T04Z,-8753
