,Total interchange
20191108T09Z,-1388
20191108T08Z,-1245
20191108T07Z,-1292
20191108T06Z,-1359
20191108T05Z,-1341
20191108T04Z,-1919
20191108T03Z,-2359
20191108T02Z,-2404
20191108T01Z,-1767
20191108T00Z,-1846
20191107T23Z,-2220
20191107T22Z,-2437
20191107T21Z,-2773
20191107T20Z,-2627
20191107T19Z,-2368
20191107T18Z,-2223
20191107T17Z,-1844
20191107T16Z,-1551
20191107T15Z,-1635
20191107T14Z,-1274
20191107T13Z,-1041
20191107T12Z,-1108
20191107T11Z,-978
20191107T10Z,-1022
20191107T09Z,-1086
20191107T08Z,-1082
20191107T07Z,-1127
20191107T06Z,-1138
20191107T05Z,-1186
20191107T04Z,-1340
20191107T03Z,-1615
20191107T02Z,-1969
20191107T01Z,-1791
20191107T00Z,-1735
20191106T23Z,-2187
20191106T22Z,-2307
20191106T21Z,-2605
20191106T20Z,-2486
20191106T19Z,-2395
20191106T18Z,-2487
20191106T17Z,-2237
20191106T16Z,-2158
20191106T15Z,-1539
20191106T14Z,-1026
20191106T13Z,-656
20191106T12Z,-1034
20191106T11Z,-735
20191106T10Z,-894
20191106T09Z,-1019
20191106T08Z,-1065
20191106T07Z,-1142
20191106T06Z,-1155
20191106T05Z,-1341
20191106T04Z,-1524
20191106T03Z,-1780
20191106T02Z,-1927
20191106T01Z,-1950
20191106T00Z,-2054
20191105T23Z,-2257
20191105T22Z,-2681
20191105T21Z,-2622
20191105T20Z,-2323
20191105T19Z,-2105
20191105T18Z,-2185
20191105T17Z,-2147
20191105T16Z,-1901
20191105T15Z,-1613
20191105T14Z,-1254
20191105T13Z,-1013
20191105T12Z,-875
20191105T11Z,-651
20191105T10Z,-608
20191105T09Z,-967
20191105T08Z,-881
20191105T07Z,-925
20191105T06Z,-1331
20191105T05Z,-1416
20191105T04Z,-1389
20191105T03Z,-1353
20191105T02Z,-1606
20191105T01Z,-1848
20191105T00Z,-2066
20191104T23Z,-2513
20191104T22Z,-2504
20191104T21Z,-2408
20191104T20Z,-2376
20191104T19Z,-2416
