,Total interchange
20191020T05Z,8365
20191020T04Z,8337
20191020T03Z,8644
20191020T02Z,8572
20191020T01Z,8543
20191020T00Z,8277
20191019T23Z,8248
20191019T22Z,8032
20191019T21Z,8178
20191019T20Z,8544
20191019T19Z,8535
20191019T18Z,8549
20191019T17Z,8222
20191019T16Z,7841
20191019T15Z,7337
20191019T14Z,6762
20191019T13Z,6200
20191019T12Z,5781
20191019T11Z,5854
20191019T10Z,5787
20191019T09Z,5860
20191019T08Z,5902
20191019T07Z,6344
20191019T06Z,6718
20191019T05Z,6296
20191019T04Z,6769
20191019T03Z,7006
20191019T02Z,6908
20191019T01Z,7720
20191019T00Z,7763
20191018T23Z,7727
20191018T22Z,7492
20191018T21Z,7795
20191018T20Z,7925
20191018T19Z,8114
20191018T18Z,8284
20191018T17Z,8219
20191018T16Z,8462
20191018T15Z,8751
20191018T14Z,8497
20191018T13Z,8217
20191018T12Z,8012
20191018T11Z,7836
20191018T10Z,7642
20191018T09Z,7710
20191018T08Z,7925
20191018T07Z,8210
20191018T06Z,8238
20191018T05Z,8084
20191018T04Z,8078
20191018T03Z,8417
20191018T02Z,8595
20191018T01Z,8563
20191018T00Z,8508
20191017T23Z,8153
20191017T22Z,8259
20191017T21Z,8272
20191017T20Z,8169
20191017T19Z,8166
20191017T18Z,7837
20191017T17Z,8028
20191017T16Z,8309
20191017T15Z,8259
20191017T14Z,8239
20191017T13Z,7902
20191017T12Z,7607
20191017T11Z,7160
20191017T10Z,6822
20191017T09Z,6617
20191017T08Z,6620
20191017T07Z,7009
20191017T06Z,7157
20191017T05Z,7696
20191017T04Z,7629
20191017T03Z,7760
20191017T02Z,8276
20191017T01Z,8199
20191017T00Z,7356
20191016T23Z,7125
20191016T22Z,6903
20191016T21Z,6654
20191016T20Z,6580
20191016T19Z,6714
20191016T18Z,7348
20191016T17Z,7778
20191016T16Z,8013
20191016T15Z,8326
20191016T14Z,8143
20191016T13Z,6843
20191016T12Z,6102
20191016T11Z,5851
20191016T10Z,5826
20191016T09Z,5884
20191016T08Z,5991
20191016T07Z,5925
20191016T06Z,6208
20191016T05Z,6996
20191016T04Z,7412
20191016T03Z,7802
20191016T02Z,7547
20191016T01Z,7308
20191016T00Z,6949
20191015T23Z,6474
20191015T22Z,6295
20191015T21Z,6511
20191015T20Z,6644
20191015T19Z,6756
20191015T18Z,6923
20191015T17Z,7389
20191015T16Z,7674
20191015T15Z,8226
20191015T14Z,8005
20191015T13Z,6655
20191015T12Z,5939
20191015T11Z,5545
20191015T10Z,5574
20191015T09Z,5424
20191015T08Z,5851
20191015T07Z,6134
20191015T06Z,6966
20191015T05Z,7168
20191015T04Z,8072
20191015T03Z,8167
20191015T02Z,8107
20191015T01Z,6620
20191015T00Z,5789
20191014T23Z,5599
20191014T22Z,5454
20191014T21Z,5696
20191014T20Z,5919
20191014T19Z,6274
20191014T18Z,6765
20191014T17Z,7750
20191014T16Z,8381
20191014T15Z,8896
20191014T14Z,8371
20191014T13Z,7192
20191014T12Z,6334
20191014T11Z,6153
20191014T10Z,6124
20191014T09Z,6219
20191014T08Z,6331
20191014T07Z,6516
20191014T06Z,6916
20191014T05Z,7835
20191014T04Z,8178
20191014T03Z,8890
20191014T02Z,8732
20191014T01Z,7803
20191014T00Z,6364
20191013T23Z,5783
20191013T22Z,5280
20191013T21Z,5281
20191013T20Z,5338
20191013T19Z,5449
20191013T18Z,5729
20191013T17Z,5558
20191013T16Z,5178
20191013T15Z,5462
20191013T14Z,5410
20191013T13Z,5303
20191013T12Z,5207
20191013T11Z,5203
20191013T10Z,5272
20191013T09Z,5389
20191013T08Z,5517
20191013T07Z,5966
20191013T06Z,6401
20191013T05Z,6637
20191013T04Z,6964
20191013T03Z,7273
20191013T02Z,6944
20191013T01Z,6400
20191013T00Z,5039
20191012T23Z,4698
20191012T22Z,4405
20191012T21Z,4572
20191012T20Z,4713
20191012T19Z,5110
20191012T18Z,5061
20191012T17Z,5207
20191012T16Z,5101
20191012T15Z,5528
20191012T14Z,5348
20191012T13Z,5418
20191012T12Z,5091
20191012T11Z,5029
20191012T10Z,5246
20191012T09Z,5365
20191012T08Z,5487
20191012T07Z,5977
20191012T06Z,6619
20191012T05Z,6672
20191012T04Z,7219
20191012T03Z,7420
20191012T02Z,7434
20191012T01Z,6969
20191012T00Z,6342
20191011T23Z,5952
20191011T22Z,5755
20191011T21Z,6165
20191011T20Z,6272
20191011T19Z,6476
20191011T18Z,6810
20191011T17Z,7533
20191011T16Z,7922
20191011T15Z,8367
20191011T14Z,8086
20191011T13Z,7209
20191011T12Z,6147
20191011T11Z,5846
20191011T10Z,5706
20191011T09Z,5550
20191011T08Z,5759
20191011T07Z,5869
20191011T06Z,6056
20191011T05Z,7513
20191011T04Z,7911
20191011T03Z,7936
20191011T02Z,7772
20191011T01Z,7528
20191011T00Z,6696
20191010T23Z,6113
20191010T22Z,5843
20191010T21Z,5935
20191010T20Z,5656
20191010T19Z,6327
20191010T18Z,6589
20191010T17Z,7192
20191010T16Z,7471
20191010T15Z,7775
20191010T14Z,7627
20191010T13Z,6738
20191010T12Z,5826
20191010T11Z,5209
20191010T10Z,5233
20191010T09Z,5151
20191010T08Z,5124
20191010T07Z,4928
20191010T06Z,5184
20191010T05Z,6119
20191010T04Z,6774
20191010T03Z,6954
20191010T02Z,6848
20191010T01Z,6475
20191010T00Z,5990
20191009T23Z,5763
20191009T22Z,5358
20191009T21Z,5342
20191009T20Z,5167
20191009T19Z,5669
20191009T18Z,5879
20191009T17Z,6056
20191009T16Z,5883
20191009T15Z,6513
20191009T14Z,6462
20191009T13Z,5343
20191009T12Z,5040
20191009T11Z,4977
20191009T10Z,4944
20191009T09Z,5120
20191009T08Z,5576
20191009T07Z,7025
20191009T06Z,7528
20191009T05Z,8211
20191009T04Z,8320
20191009T03Z,8720
20191009T02Z,8800
20191009T01Z,8456
20191009T00Z,8578
20191008T23Z,8410
20191008T22Z,8555
20191008T21Z,8580
20191008T20Z,8475
20191008T19Z,8514
