,Total interchange
20180406T18Z,-4
20180406T17Z,-5
20180406T16Z,-5
20180406T15Z,-5
20180406T14Z,-5
20180406T13Z,-5
20180406T12Z,-7
20180406T11Z,-7
20180406T10Z,-7
20180406T09Z,-7
20180406T08Z,-6
20180406T07Z,-5
20180406T06Z,-5
20180406T05Z,-5
20180406T04Z,-6
20180406T03Z,-5
20180406T02Z,-6
20180406T01Z,-4
20180406T00Z,-4
20180405T23Z,-5
20180405T22Z,-5
20180405T21Z,-5
20180405T20Z,-6
20180405T19Z,-5
20180405T18Z,-2
20180405T17Z,82
20180405T16Z,231
20180405T15Z,231
20180405T14Z,223
20180405T13Z,82
20180405T12Z,27
20180405T11Z,9
20180405T10Z,2
20180405T09Z,-2
20180405T08Z,0
20180405T07Z,-6
20180405T06Z,-5
20180405T05Z,-6
20180405T04Z,-6
20180405T03Z,-6
20180405T02Z,-6
20180405T01Z,-5
20180405T00Z,-5
20180404T23Z,-6
20180404T22Z,-4
20180404T21Z,-5
20180404T20Z,-3
20180404T19Z,0
20180404T18Z,-1
20180404T17Z,-3
20180404T16Z,-5
20180404T15Z,-5
20180404T14Z,-5
20180404T13Z,-5
20180404T12Z,-4
20180404T11Z,-5
20180404T10Z,-5
20180404T09Z,-6
20180404T08Z,-5
20180404T07Z,-4
20180404T06Z,-5
20180404T05Z,-6
20180404T04Z,-5
20180404T03Z,-6
20180404T02Z,-6
20180404T01Z,-3
20180404T00Z,-3
20180403T23Z,-3
20180403T22Z,-1
20180403T21Z,-2
20180403T20Z,-2
20180403T19Z,-5
20180403T18Z,-6
20180403T17Z,-8
20180403T16Z,-7
20180403T15Z,-5
20180403T14Z,-5
20180403T13Z,-7
20180403T12Z,-5
20180403T11Z,-5
20180403T10Z,-5
20180403T09Z,-7
20180403T08Z,-4
20180403T07Z,-6
20180403T06Z,-5
20180403T05Z,-6
20180403T04Z,-6
20180403T03Z,-4
20180403T02Z,-7
20180403T01Z,-4
20180403T00Z,-1
20180402T23Z,-2
20180402T22Z,-1
20180402T21Z,-4
20180402T20Z,-6
20180402T19Z,-2
20180402T18Z,-6
20180402T17Z,-8
20180402T16Z,-7
20180402T15Z,-6
20180402T14Z,-5
20180402T13Z,-5
20180402T12Z,-6
20180402T11Z,-4
20180402T10Z,-7
20180402T09Z,-6
20180402T08Z,-7
20180402T07Z,-6
20180402T06Z,-8
20180402T05Z,-3
20180402T04Z,-4
20180402T03Z,-6
20180402T02Z,-7
20180402T01Z,-6
20180402T00Z,-5
20180401T23Z,-5
20180401T22Z,-6
20180401T21Z,-8
20180401T20Z,-7
20180401T19Z,-10
20180401T18Z,-9
20180401T17Z,-9
20180401T16Z,-11
20180401T15Z,-7
20180401T14Z,-9
20180401T13Z,-8
20180401T12Z,-7
20180401T11Z,-9
20180401T10Z,-8
20180401T09Z,-8
20180401T08Z,5
20180401T07Z,317
20180401T06Z,353
20180401T05Z,415
20180401T04Z,453
20180401T03Z,438
20180401T02Z,368
20180401T01Z,401
20180401T00Z,392
20180331T23Z,443
20180331T22Z,436
20180331T21Z,403
20180331T20Z,400
20180331T19Z,343
20180331T18Z,336
20180331T17Z,393
20180331T16Z,347
20180331T15Z,364
20180331T14Z,469
20180331T13Z,440
20180331T12Z,408
20180331T11Z,400
20180331T10Z,401
20180331T09Z,412
20180331T08Z,430
20180331T07Z,424
20180331T06Z,450
20180331T05Z,457
20180331T04Z,442
20180331T03Z,446
20180331T02Z,446
20180331T01Z,376
20180331T00Z,265
20180330T23Z,265
20180330T22Z,265
20180330T21Z,266
20180330T20Z,324
20180330T19Z,355
20180330T18Z,352
20180330T17Z,355
20180330T16Z,344
20180330T15Z,418
20180330T14Z,446
20180330T13Z,424
20180330T12Z,459
20180330T11Z,456
20180330T10Z,462
20180330T09Z,453
20180330T08Z,444
20180330T07Z,451
20180330T06Z,433
20180330T05Z,453
20180330T04Z,460
20180330T03Z,457
20180330T02Z,438
20180330T01Z,356
20180330T00Z,336
20180329T23Z,265
20180329T22Z,265
20180329T21Z,266
20180329T20Z,263
20180329T19Z,264
20180329T18Z,266
20180329T17Z,264
20180329T16Z,325
20180329T15Z,332
20180329T14Z,407
20180329T13Z,462
20180329T12Z,480
20180329T11Z,481
20180329T10Z,484
20180329T09Z,482
20180329T08Z,470
20180329T07Z,469
20180329T06Z,467
20180329T05Z,413
20180329T04Z,448
20180329T03Z,427
20180329T02Z,443
20180329T01Z,297
20180329T00Z,265
20180328T23Z,264
20180328T22Z,266
20180328T21Z,297
20180328T20Z,327
20180328T19Z,329
20180328T18Z,330
20180328T17Z,341
20180328T16Z,345
20180328T15Z,356
20180328T14Z,448
20180328T13Z,465
20180328T12Z,385
20180328T11Z,354
20180328T10Z,325
20180328T09Z,325
20180328T08Z,346
20180328T07Z,392
20180328T06Z,444
20180328T05Z,469
20180328T04Z,454
20180328T03Z,457
20180328T02Z,461
20180328T01Z,391
20180328T00Z,362
20180327T23Z,411
20180327T22Z,421
20180327T21Z,379
20180327T20Z,400
20180327T19Z,393
20180327T18Z,400
20180327T17Z,356
20180327T16Z,335
20180327T15Z,342
20180327T14Z,453
20180327T13Z,443
20180327T12Z,451
20180327T11Z,402
20180327T10Z,401
20180327T09Z,400
20180327T08Z,400
20180327T07Z,381
20180327T06Z,391
20180327T05Z,427
20180327T04Z,455
20180327T03Z,466
20180327T02Z,460
20180327T01Z,415
20180327T00Z,431
20180326T23Z,423
20180326T22Z,386
20180326T21Z,360
20180326T20Z,333
20180326T19Z,329
20180326T18Z,329
20180326T17Z,348
20180326T16Z,416
20180326T15Z,447
20180326T14Z,443
20180326T13Z,433
20180326T12Z,371
20180326T11Z,351
20180326T10Z,325
20180326T09Z,325
20180326T08Z,328
20180326T07Z,352
20180326T06Z,397
20180326T05Z,412
20180326T04Z,453
20180326T03Z,465
20180326T02Z,455
20180326T01Z,458
20180326T00Z,446
20180325T23Z,322
20180325T22Z,258
20180325T21Z,256
20180325T20Z,275
20180325T19Z,325
20180325T18Z,324
20180325T17Z,324
20180325T16Z,330
20180325T15Z,382
20180325T14Z,392
20180325T13Z,402
20180325T12Z,393
20180325T11Z,354
20180325T10Z,336
20180325T09Z,335
20180325T08Z,347
20180325T07Z,366
20180325T06Z,410
20180325T05Z,388
20180325T04Z,428
20180325T03Z,436
20180325T02Z,315
20180325T01Z,256
20180325T00Z,256
20180324T23Z,256
20180324T22Z,256
20180324T21Z,256
20180324T20Z,255
20180324T19Z,253
20180324T18Z,255
20180324T17Z,272
20180324T16Z,325
20180324T15Z,325
20180324T14Z,324
20180324T13Z,323
20180324T12Z,343
20180324T11Z,332
20180324T10Z,332
20180324T09Z,340
20180324T08Z,438
20180324T07Z,442
20180324T06Z,452
20180324T05Z,428
20180324T04Z,434
20180324T03Z,446
20180324T02Z,428
20180324T01Z,438
20180324T00Z,449
20180323T23Z,418
20180323T22Z,406
20180323T21Z,334
20180323T20Z,326
20180323T19Z,324
20180323T18Z,326
20180323T17Z,326
20180323T16Z,323
20180323T15Z,394
20180323T14Z,416
20180323T13Z,366
20180323T12Z,332
20180323T11Z,337
20180323T10Z,347
20180323T09Z,365
20180323T08Z,412
20180323T07Z,428
20180323T06Z,441
20180323T05Z,407
20180323T04Z,351
20180323T03Z,339
20180323T02Z,331
20180323T01Z,328
20180323T00Z,400
20180322T23Z,404
20180322T22Z,408
20180322T21Z,455
20180322T20Z,437
20180322T19Z,429
20180322T18Z,377
20180322T17Z,363
20180322T16Z,326
20180322T15Z,336
20180322T14Z,358
20180322T13Z,385
20180322T12Z,337
20180322T11Z,335
20180322T10Z,336
20180322T09Z,328
20180322T08Z,342
20180322T07Z,404
20180322T06Z,401
20180322T05Z,418
20180322T04Z,448
20180322T03Z,448
20180322T02Z,452
20180322T01Z,440
20180322T00Z,442
20180321T23Z,349
20180321T22Z,350
20180321T21Z,348
20180321T20Z,338
20180321T19Z,454
20180321T18Z,337
20180321T17Z,342
20180321T16Z,353
20180321T15Z,421
20180321T14Z,422
20180321T13Z,399
20180321T12Z,386
20180321T11Z,383
20180321T10Z,380
20180321T09Z,382
20180321T08Z,386
20180321T07Z,330
20180321T06Z,340
20180321T05Z,431
20180321T04Z,438
20180321T03Z,447
20180321T02Z,436
20180321T01Z,429
20180321T00Z,370
20180320T23Z,257
20180320T22Z,256
20180320T21Z,256
20180320T20Z,256
20180320T19Z,277
20180320T18Z,325
20180320T17Z,329
20180320T16Z,341
20180320T15Z,406
20180320T14Z,466
20180320T13Z,312
20180320T12Z,273
20180320T11Z,273
20180320T10Z,274
20180320T09Z,323
20180320T08Z,324
20180320T07Z,325
20180320T06Z,332
20180320T05Z,429
20180320T04Z,450
20180320T03Z,450
20180320T02Z,409
20180320T01Z,368
20180320T00Z,383
20180319T23Z,348
20180319T22Z,347
20180319T21Z,383
20180319T20Z,357
20180319T19Z,346
20180319T18Z,383
20180319T17Z,406
20180319T16Z,391
20180319T15Z,397
20180319T14Z,439
20180319T13Z,442
20180319T12Z,419
20180319T11Z,410
20180319T10Z,467
20180319T09Z,464
20180319T08Z,466
20180319T07Z,466
20180319T06Z,481
20180319T05Z,518
20180319T04Z,517
20180319T03Z,519
20180319T02Z,517
20180319T01Z,478
20180319T00Z,442
20180318T23Z,433
20180318T22Z,376
20180318T21Z,333
20180318T20Z,356
20180318T19Z,368
20180318T18Z,373
20180318T17Z,435
20180318T16Z,417
20180318T15Z,442
20180318T14Z,448
20180318T13Z,452
20180318T12Z,452
20180318T11Z,462
20180318T10Z,465
20180318T09Z,435
20180318T08Z,428
20180318T07Z,435
20180318T06Z,502
20180318T05Z,520
20180318T04Z,519
20180318T03Z,519
20180318T02Z,479
20180318T01Z,443
20180318T00Z,406
20180317T23Z,302
20180317T22Z,253
20180317T21Z,254
20180317T20Z,255
20180317T19Z,293
20180317T18Z,324
20180317T17Z,325
20180317T16Z,325
20180317T15Z,330
20180317T14Z,430
20180317T13Z,433
20180317T12Z,376
20180317T11Z,346
20180317T10Z,358
20180317T09Z,386
20180317T08Z,391
20180317T07Z,483
20180317T06Z,611
20180317T05Z,705
20180317T04Z,687
20180317T03Z,689
20180317T02Z,695
20180317T01Z,649
20180317T00Z,717
20180316T23Z,717
20180316T22Z,593
20180316T21Z,618
20180316T20Z,585
20180316T19Z,627
20180316T18Z,586
20180316T17Z,622
20180316T16Z,675
20180316T15Z,729
20180316T14Z,737
20180316T13Z,738
20180316T12Z,697
20180316T11Z,593
20180316T10Z,593
20180316T09Z,621
20180316T08Z,633
20180316T07Z,772
20180316T06Z,778
20180316T05Z,777
20180316T04Z,776
20180316T03Z,778
20180316T02Z,751
20180316T01Z,655
20180316T00Z,636
20180315T23Z,648
20180315T22Z,571
20180315T21Z,547
20180315T20Z,567
20180315T19Z,581
20180315T18Z,591
20180315T17Z,609
20180315T16Z,634
20180315T15Z,635
20180315T14Z,631
20180315T13Z,519
20180315T12Z,444
20180315T11Z,421
20180315T10Z,421
20180315T09Z,441
20180315T08Z,563
20180315T07Z,785
20180315T06Z,697
20180315T05Z,843
20180315T04Z,922
20180315T03Z,961
20180315T02Z,955
20180315T01Z,916
20180315T00Z,793
