,Total interchange
20190923T12Z,171
20190923T11Z,179
20190923T10Z,180
20190923T09Z,134
20190923T08Z,125
20190923T07Z,85
20190923T05Z,105
20190923T04Z,117
20190923T03Z,101
20190923T02Z,76
20190923T01Z,62
20190923T00Z,56
20190922T23Z,40
20190922T22Z,38
20190922T21Z,22
20190922T20Z,16
20190922T19Z,24
20190922T18Z,36
20190922T17Z,40
20190922T16Z,61
20190922T15Z,114
20190922T14Z,122
20190922T13Z,104
20190922T12Z,120
20190922T11Z,68
20190922T10Z,85
20190922T09Z,93
20190922T08Z,130
20190922T07Z,112
20190922T05Z,107
20190922T04Z,92
20190922T03Z,69
20190922T02Z,45
20190922T01Z,38
20190922T00Z,34
20190921T23Z,15
20190921T22Z,19
20190921T21Z,22
20190921T20Z,14
20190921T19Z,17
20190921T18Z,17
20190921T17Z,12
20190921T16Z,0
20190921T15Z,3
20190921T14Z,-1
20190921T13Z,8
20190921T12Z,25
20190921T11Z,31
20190921T10Z,63
20190921T09Z,104
20190921T08Z,91
20190921T07Z,76
20190921T05Z,57
20190921T04Z,62
20190921T03Z,59
20190921T02Z,54
20190921T01Z,60
20190921T00Z,89
20190920T23Z,23
20190920T22Z,1
20190920T21Z,9
20190920T20Z,27
20190920T19Z,40
20190920T18Z,25
20190920T17Z,47
20190920T16Z,81
20190920T15Z,102
20190920T14Z,105
20190920T13Z,96
20190920T12Z,91
20190920T11Z,117
20190920T10Z,67
20190920T09Z,55
20190920T08Z,71
20190920T07Z,65
20190920T05Z,60
20190920T04Z,33
20190920T03Z,-2
20190920T02Z,-2
20190920T01Z,-2
20190920T00Z,-3
20190919T23Z,3
20190919T22Z,7
20190919T21Z,0
20190919T20Z,0
20190919T19Z,-2
20190919T18Z,-2
20190919T17Z,-2
20190919T16Z,-3
20190919T15Z,-2
20190919T14Z,-2
20190919T13Z,-2
20190919T12Z,-3
20190919T11Z,-2
20190919T10Z,-2
20190919T09Z,-2
20190919T08Z,-2
20190919T07Z,-3
20190919T05Z,1
20190919T04Z,0
20190919T03Z,12
20190919T02Z,22
20190919T01Z,3
20190919T00Z,-3
20190918T23Z,-2
20190918T22Z,-2
20190918T21Z,-2
20190918T20Z,-2
20190918T18Z,-1
20190918T17Z,-2
20190918T16Z,0
20190918T15Z,5
20190918T14Z,0
20190918T13Z,0
20190918T12Z,0
20190918T11Z,5
20190918T10Z,13
20190918T09Z,29
20190918T08Z,79
20190918T07Z,97
20190918T05Z,73
20190918T04Z,66
