,Total interchange
20191014T11Z,919
20191014T10Z,819
20191014T09Z,764
20191014T08Z,758
20191014T07Z,792
20191014T06Z,857
20191014T05Z,961
20191014T04Z,1097
20191014T03Z,1327
20191014T02Z,1280
20191014T01Z,1306
20191014T00Z,1299
20191013T23Z,1334
20191013T22Z,1329
20191013T21Z,1322
20191013T20Z,1327
20191013T19Z,1319
20191013T18Z,1286
20191013T17Z,1261
20191013T16Z,1313
20191013T15Z,1299
20191013T14Z,1186
20191013T13Z,998
20191013T12Z,844
20191013T11Z,718
20191013T10Z,688
20191013T09Z,685
20191013T08Z,703
20191013T07Z,752
20191013T06Z,822
20191013T05Z,915
20191013T04Z,1057
20191013T03Z,1255
20191013T02Z,1242
20191013T01Z,1202
20191013T00Z,1217
20191012T23Z,1216
20191012T22Z,1342
20191012T21Z,1376
20191012T20Z,1301
20191012T19Z,1255
20191012T18Z,1264
20191012T17Z,1248
20191012T16Z,1252
20191012T15Z,1228
20191012T14Z,1092
20191012T13Z,961
20191012T12Z,875
20191012T11Z,732
20191012T10Z,694
20191012T09Z,686
20191012T08Z,705
20191012T07Z,747
20191012T06Z,813
20191012T05Z,904
20191012T04Z,1021
20191012T03Z,1251
20191012T02Z,1276
20191012T01Z,1351
20191012T00Z,1361
20191011T23Z,1341
20191011T22Z,1345
20191011T21Z,1342
20191011T20Z,1375
20191011T19Z,1386
20191011T18Z,1380
20191011T17Z,1329
20191011T16Z,1292
20191011T15Z,1239
20191011T14Z,1144
20191011T13Z,1079
20191011T12Z,1049
20191011T11Z,880
20191011T10Z,760
20191011T09Z,668
20191011T08Z,699
20191011T07Z,733
20191011T06Z,816
20191011T05Z,966
20191011T04Z,1129
20191011T03Z,1315
20191011T02Z,1325
20191011T01Z,1348
20191011T00Z,1338
20191010T23Z,1281
20191010T22Z,1339
20191010T21Z,1347
20191010T20Z,1326
20191010T19Z,1336
20191010T18Z,1345
20191010T17Z,1359
20191010T16Z,1342
20191010T15Z,1277
20191010T14Z,1178
20191010T13Z,1118
20191010T12Z,0
20191010T11Z,947
20191010T10Z,813
20191010T09Z,735
20191010T08Z,723
20191010T07Z,787
20191010T06Z,846
20191010T05Z,953
20191010T04Z,1155
20191010T03Z,1320
20191010T02Z,1335
20191010T01Z,1337
20191010T00Z,1292
20191009T23Z,1289
20191009T22Z,1272
20191009T21Z,1267
20191009T20Z,1269
20191009T19Z,1266
20191009T18Z,1305
20191009T17Z,1315
20191009T16Z,1289
20191009T15Z,1257
20191009T14Z,1160
20191009T13Z,1098
20191009T12Z,1073
20191009T11Z,1075
20191009T10Z,1004
20191009T09Z,939
20191009T08Z,927
20191009T07Z,963
20191009T06Z,1037
20191009T05Z,1097
20191009T04Z,1107
20191009T03Z,1343
20191009T02Z,1292
20191009T01Z,1269
20191009T00Z,1275
20191008T23Z,1236
20191008T22Z,1260
20191008T21Z,1293
20191008T20Z,1286
20191008T19Z,1271
20191008T18Z,1251
20191008T17Z,1259
20191008T16Z,1228
20191008T15Z,1229
20191008T14Z,1162
20191008T13Z,1183
20191008T12Z,1182
20191008T11Z,984
20191008T10Z,846
20191008T09Z,772
20191008T08Z,772
20191008T07Z,804
20191008T06Z,847
20191008T05Z,921
20191008T04Z,1050
20191008T03Z,1204
20191008T02Z,1287
20191008T01Z,1292
20191008T00Z,1225
20191007T23Z,1180
20191007T22Z,947
20191007T21Z,890
20191007T20Z,1080
20191007T19Z,1175
20191007T18Z,1139
20191007T17Z,1039
20191007T16Z,1091
20191007T15Z,1150
20191007T14Z,1097
20191007T13Z,1211
20191007T12Z,1190
20191007T11Z,1073
